,DBS2,DBS3,DBS4,DBS5,DBS7,DBS9,DBS10
Stomach-AdenoCA::S.25,27.0,0.0,9.0,0.0,41.0,6.0,0.0
Stomach-AdenoCA::S.26,1.0,0.0,86.0,69.0,0.0,0.0,0.0
Stomach-AdenoCA::S.27,56.0,0.0,107.0,4.0,73.0,24.0,0.0
Stomach-AdenoCA::S.28,74.0,0.0,201.0,152.0,163.0,0.0,0.0
Stomach-AdenoCA::S.29,25.0,0.0,10.0,0.0,61.0,8.0,0.0
Stomach-AdenoCA::S.30,104.0,15.0,134.0,0.0,0.0,27.0,0.0
Stomach-AdenoCA::S.31,28.0,0.0,17.0,0.0,216.0,0.0,0.0
Stomach-AdenoCA::S.32,2.0,25.0,13.0,0.0,49.0,19.0,0.0
Stomach-AdenoCA::S.33,13.0,0.0,254.0,41.0,76.0,0.0,0.0
Stomach-AdenoCA::S.34,26.0,0.0,74.0,2.0,62.0,0.0,0.0
Stomach-AdenoCA::S.35,32.0,0.0,126.0,4.0,28.0,0.0,0.0
Stomach-AdenoCA::S.36,2.0,0.0,22.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.37,7.0,0.0,92.0,4.0,9.0,0.0,0.0
Stomach-AdenoCA::S.38,33.0,0.0,82.0,3.0,90.0,13.0,0.0
Stomach-AdenoCA::S.39,13.0,9.0,25.0,3.0,86.0,10.0,0.0
Stomach-AdenoCA::S.40,8.0,8.0,9.0,0.0,0.0,10.0,0.0
Stomach-AdenoCA::S.41,8.0,0.0,58.0,0.0,101.0,0.0,0.0
Stomach-AdenoCA::S.42,0.0,55.0,173.0,12.0,9.0,0.0,28.0
Stomach-AdenoCA::S.43,92.0,0.0,6.0,0.0,34.0,0.0,0.0
Stomach-AdenoCA::S.44,174.0,0.0,20.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.45,128.0,0.0,22.0,0.0,66.0,0.0,0.0
Stomach-AdenoCA::S.46,21.0,0.0,32.0,0.0,135.0,0.0,0.0
Stomach-AdenoCA::S.47,28.0,0.0,52.0,0.0,89.0,12.0,0.0
Stomach-AdenoCA::S.48,3.0,0.0,61.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.49,10.0,0.0,46.0,0.0,127.0,0.0,0.0
Stomach-AdenoCA::S.50,22.0,0.0,7.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.51,3.0,0.0,7.0,0.0,102.0,0.0,0.0
Stomach-AdenoCA::S.52,6.0,0.0,60.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.53,16.0,0.0,145.0,8.0,50.0,18.0,0.0
Stomach-AdenoCA::S.54,23.0,0.0,82.0,0.0,78.0,23.0,0.0
Stomach-AdenoCA::S.55,85.0,19.0,94.0,0.0,0.0,11.0,0.0
Stomach-AdenoCA::S.56,27.0,0.0,55.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.57,2.0,10.0,55.0,0.0,58.0,0.0,0.0
Stomach-AdenoCA::S.58,13.0,0.0,24.0,0.0,22.0,16.0,0.0
Stomach-AdenoCA::S.59,49.0,0.0,269.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.60,12.0,19.0,156.0,3.0,72.0,0.0,0.0
Stomach-AdenoCA::S.61,10.0,0.0,63.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.62,3.0,28.0,117.0,0.0,81.0,0.0,0.0
Stomach-AdenoCA::S.63,8.0,8.0,23.0,0.0,38.0,15.0,0.0
Stomach-AdenoCA::S.64,47.0,0.0,52.0,0.0,11.0,0.0,0.0
Stomach-AdenoCA::S.65,0.0,0.0,83.0,2.0,3.0,0.0,0.0
Stomach-AdenoCA::S.66,4.0,10.0,19.0,0.0,169.0,22.0,0.0
