Samples	ID1	ID2	ID3	ID5	ID6	ID8	ID9	ID11
Liver-HCC::S.51	142	0	549	267	0	0	0	0
Liver-HCC::S.52	92	0	130	108	0	80	0	0
Liver-HCC::S.53	34	25	149	112	0	89	0	0
Liver-HCC::S.54	345	0	0	208	0	103	0	0
Liver-HCC::S.55	0	0	225	112	0	64	0	0
Liver-HCC::S.56	177	68	308	0	0	0	0	0
Liver-HCC::S.57	106	0	142	216	0	0	0	120
Liver-HCC::S.58	101	68	100	223	0	0	0	0
Liver-HCC::S.59	191	0	180	139	0	78	0	0
Liver-HCC::S.60	187	0	0	160	0	150	0	0
Liver-HCC::S.61	297	0	0	290	0	132	0	121
Liver-HCC::S.62	126	0	0	464	0	0	0	0
Liver-HCC::S.63	295	98	346	0	0	178	0	0
Liver-HCC::S.64	100	0	0	505	0	177	0	0
Liver-HCC::S.65	103	0	0	305	0	109	102	0
Liver-HCC::S.66	194	0	0	415	0	0	0	0
Liver-HCC::S.67	103	0	228	0	0	307	0	0
Liver-HCC::S.68	291	78	0	240	0	0	0	0
Liver-HCC::S.69	251	0	0	141	0	88	0	0
Liver-HCC::S.70	0	0	243	122	0	78	0	0
Liver-HCC::S.71	139	0	0	325	0	170	0	0
Liver-HCC::S.72	149	0	87	181	0	88	0	0
Liver-HCC::S.73	94	0	159	200	0	0	0	0
Liver-HCC::S.74	465	0	0	365	0	0	0	0
Liver-HCC::S.75	111	0	378	0	0	0	0	0
Liver-HCC::S.76	173	0	0	321	0	0	0	0
Liver-HCC::S.77	216	0	0	323	0	151	0	0
Liver-HCC::S.78	47	44	248	0	0	233	0	0
Liver-HCC::S.79	334	0	154	283	0	0	0	0
Liver-HCC::S.80	98	0	74	172	0	0	0	0
Liver-HCC::S.81	0	70	158	0	0	0	173	0
Liver-HCC::S.82	108	0	380	244	0	139	0	0
Liver-HCC::S.83	28	0	0	119	0	41	0	0
Liver-HCC::S.84	62	0	187	0	0	40	71	0
Liver-HCC::S.85	253	0	260	0	0	0	0	0
Liver-HCC::S.86	38	0	0	125	0	111	54	0
Liver-HCC::S.87	52	0	318	0	0	177	0	0
Liver-HCC::S.88	434	0	196	325	0	0	0	0
Liver-HCC::S.89	60	0	134	162	0	157	0	0
Liver-HCC::S.90	19	21	0	122	0	55	0	45
Liver-HCC::S.91	325	0	172	304	0	0	0	0
Liver-HCC::S.92	53	0	64	159	0	0	0	0
Liver-HCC::S.93	137	0	163	119	0	64	0	0
Liver-HCC::S.94	0	0	247	149	0	233	0	0
Liver-HCC::S.95	161	42	180	171	0	103	0	0
Liver-HCC::S.96	30	0	0	307	0	92	0	0
Liver-HCC::S.97	34	0	299	139	0	0	0	0
Liver-HCC::S.98	0	0	254	399	0	0	0	0
Liver-HCC::S.99	46	0	0	249	0	286	0	0
