Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40	SBS41
Stomach-AdenoCA::S.67	1228	0	0	6810	0	0	13725	0	0	0	0
Stomach-AdenoCA::S.68	639	1214	0	2205	212	0	0	2014	0	0	0
Stomach-AdenoCA::S.69	2579	0	0	4631	0	4655	2135	0	0	0	0
Stomach-AdenoCA::S.70	505	0	0	526	0	0	4516	0	0	0	0
Stomach-AdenoCA::S.71	1183	0	0	7120	0	0	2937	0	0	0	4309
Stomach-AdenoCA::S.72	1418	0	0	3107	0	3607	4174	0	0	13601	0
Stomach-AdenoCA::S.73	329	650	0	6622	212	1086	634	0	0	0	0
Stomach-AdenoCA::S.74	1606	0	0	4748	0	0	22562	0	0	0	0
Stomach-AdenoCA::S.75	890	0	0	6682	0	0	0	0	0	0	7434
Stomach-AdenoCA::S.76	381	0	0	1783	0	0	0	1309	0	6884	0
Stomach-AdenoCA::S.77	1961	0	0	5739	0	0	8486	4279	0	0	0
Stomach-AdenoCA::S.78	1656	1038	0	9095	0	4432	4588	0	0	0	0
Stomach-AdenoCA::S.79	533	0	0	606	0	0	744	0	0	0	6404
Stomach-AdenoCA::S.80	913	683	0	10957	0	2512	0	0	0	0	0
Stomach-AdenoCA::S.81	1114	0	0	2166	0	0	0	0	0	19035	0
Stomach-AdenoCA::S.82	339	0	0	18018	0	5482	8317	0	0	0	0
Stomach-AdenoCA::S.83	1799	0	0	3918	0	5593	20968	0	0	0	0
Stomach-AdenoCA::S.84	2153	0	14470	10771	0	0	0	3901	0	0	0
Stomach-AdenoCA::S.85	1146	0	0	0	0	0	2058	0	0	20779	0
Stomach-AdenoCA::S.86	178	0	0	20299	0	3100	0	0	0	0	0
Stomach-AdenoCA::S.87	820	0	0	3051	0	3750	0	1750	0	0	0
Stomach-AdenoCA::S.88	720	0	0	1387	949	0	6722	3134	0	0	0
Stomach-AdenoCA::S.89	1587	0	0	10563	0	0	6351	4786	0	0	0
Stomach-AdenoCA::S.90	1374	0	0	174	0	0	4077	0	0	0	0
Stomach-AdenoCA::S.91	2199	0	0	8217	0	0	3138	2749	0	0	0
