Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Breast-AdenoCA::S.25	139	0.796	96.392	69.347%	22.365	62.439%	0.73534	0.744
Breast-AdenoCA::S.26	131	0.767	107.969	82.419%	43.221	91.587%	2.61676	0.754
Breast-AdenoCA::S.27	99	0.806	96.743	97.72%	26.008	99.083%	2.15631	0.794
Breast-AdenoCA::S.28	126	0.718	120.682	95.779%	25.257	78.698%	2.62426	0.656
Breast-AdenoCA::S.29	146	0.886	119.982	82.179%	25.839	49.399%	0.69091	0.877
Breast-AdenoCA::S.30	82	0.742	77.676	94.727%	15.759	73.477%	0.8521	0.686
Breast-AdenoCA::S.31	180	0.931	97.063	53.924%	21.696	36.496%	1.02161	0.921
Breast-AdenoCA::S.32	84	0.93	56.934	67.779%	12.082	36.936%	0.7227	0.924
Breast-AdenoCA::S.33	70	0.733	65.546	93.637%	16.37	73.063%	0.89758	0.695
Breast-AdenoCA::S.34	188	0.966	109.199	58.085%	27.14	36.254%	0.94437	0.966
Breast-AdenoCA::S.35	134	0.693	112.611	84.038%	26.134	77.607%	2.09042	0.612
Breast-AdenoCA::S.36	248	0.906	150.614	60.731%	31.436	44.817%	0.3077	0.893
Breast-AdenoCA::S.37	159	0.938	77.894	48.99%	14.587	34.623%	1.17782	0.924
Breast-AdenoCA::S.38	152	0.97	91.838	60.42%	30.55	32.383%	0.97182	0.97
Breast-AdenoCA::S.39	202	0.986	87.017	43.078%	32.077	19.264%	0.44999	0.986
Breast-AdenoCA::S.40	67	0.785	49.867	74.428%	18.591	62.074%	1.52206	0.768
Breast-AdenoCA::S.41	55	0.814	47.558	86.469%	8.697	58.239%	0.68398	0.77
Breast-AdenoCA::S.42	188	0.8	155.057	82.477%	42.333	60.109%	2.49869	0.778
Breast-AdenoCA::S.43	93	0.888	76.002	81.723%	17.059	58.341%	0.79535	0.877
Breast-AdenoCA::S.44	92	0.833	72.897	79.236%	13.175	60.772%	1.82754	0.789
Breast-AdenoCA::S.45	180	0.805	147.949	82.194%	32.542	61.064%	0.82325	0.77
Breast-AdenoCA::S.46	103	0.683	95.626	92.841%	21.916	74.431%	4.99817	0.611
Breast-AdenoCA::S.47	73	0.822	57.024	78.115%	17.84	64.755%	1.06413	0.807
Breast-AdenoCA::S.48	155	0.72	129.68	83.665%	38.806	81.974%	1.23865	0.683
Breast-AdenoCA::S.49	152	0.951	79.409	52.243%	16.188	30.96%	1.75003	0.945
Breast-AdenoCA::S.50	100	0.764	82.561	82.561%	19.359	64.53%	0.61859	0.718
Breast-AdenoCA::S.51	116	0.806	98.413	84.839%	26.046	65.115%	3.5809	0.784
Breast-AdenoCA::S.52	114	0.915	67.704	59.389%	14.821	40.338%	0.44986	0.903
Breast-AdenoCA::S.53	120	0.837	87.587	72.989%	17.268	55.161%	1.16702	0.795
Breast-AdenoCA::S.54	238	0.898	208.741	87.706%	41.028	44.485%	1.3196	0.888
Breast-AdenoCA::S.55	108	0.903	87.032	80.585%	27.157	69.113%	0.90315	0.901
Breast-AdenoCA::S.56	141	0.845	95.074	67.428%	18.309	53.55%	0.42686	0.796
Breast-AdenoCA::S.57	89	0.78	79.761	89.619%	16.379	63.23%	3.85558	0.735
Breast-AdenoCA::S.58	66	0.595	69.14	104.758%	13.598	88.143%	2.11005	0.464
Breast-AdenoCA::S.59	135	0.934	71.622	53.053%	13.194	36.003%	0.35746	0.92
Breast-AdenoCA::S.60	142	0.935	85.077	59.913%	16.224	35.991%	2.10543	0.926
Breast-AdenoCA::S.61	160	0.921	87.245	54.528%	17.49	39.227%	0.35753	0.905
Breast-AdenoCA::S.62	98	0.8	87.03	88.806%	17.563	60.099%	1.34257	0.761
Breast-AdenoCA::S.63	120	0.946	78.016	65.013%	19.63	36.979%	0.72356	0.943
Breast-AdenoCA::S.64	188	0.849	115.938	61.669%	25.295	53.905%	0.84621	0.807
Breast-AdenoCA::S.65	87	0.766	71.2	81.839%	14.804	73.562%	0.62688	0.704
Breast-AdenoCA::S.66	141	0.838	90.284	64.031%	19.146	55.109%	0.40497	0.79
Breast-AdenoCA::S.67	54	0.913	38.267	70.865%	9.488	48.931%	0.60847	0.907
Breast-AdenoCA::S.68	91	0.562	104.488	114.822%	21.687	103.743%	1.51494	0.451
Breast-AdenoCA::S.69	194	0.914	117.303	60.465%	27.787	44.438%	1.60193	0.903
Breast-AdenoCA::S.70	104	0.793	77.628	74.642%	15.447	62.441%	1.53621	0.727
Breast-AdenoCA::S.71	81	0.921	55.213	68.164%	13.216	50.203%	0.9741	0.915
Breast-AdenoCA::S.72	131	0.932	75.81	57.87%	14.829	39.76%	0.50652	0.921
Breast-AdenoCA::S.73	112	0.906	64.7	57.768%	11.593	45.263%	1.25541	0.878
Breast-AdenoCA::S.74	110	0.815	111.763	101.603%	32.982	106.895%	1.26464	0.81
Breast-AdenoCA::S.75	131	0.685	127.401	97.253%	33.719	93.556%	2.25133	0.64
Breast-AdenoCA::S.76	142	0.839	103.013	72.544%	19.516	54.549%	0.66182	0.794
Breast-AdenoCA::S.77	111	0.808	85.627	77.141%	17.812	60.078%	0.67906	0.762
Breast-AdenoCA::S.78	109	0.802	96.136	88.198%	28.193	59.769%	1.06122	0.785
Breast-AdenoCA::S.79	157	0.898	113.318	72.177%	31.55	52.561%	0.81662	0.891
Breast-AdenoCA::S.80	133	0.973	52.114	39.183%	9.644	23.953%	0.2704	0.968
Breast-AdenoCA::S.81	145	0.903	103.817	71.598%	33.017	43.29%	2.39487	0.898
Breast-AdenoCA::S.82	135	0.771	115.472	85.535%	45.545	70.053%	4.31093	0.759
Breast-AdenoCA::S.83	130	0.815	96.316	74.089%	22.799	58.672%	0.58276	0.782
Breast-AdenoCA::S.84	199	0.931	93.186	46.827%	27.075	36.518%	0.34502	0.924
Breast-AdenoCA::S.85	82	0.985	45.479	55.462%	10.253	26.026%	0.53163	0.985
Breast-AdenoCA::S.86	119	0.896	93.02	78.168%	17.276	46.624%	0.87672	0.881
Breast-AdenoCA::S.87	136	0.886	93.128	68.476%	19.849	55.35%	0.69984	0.868
Breast-AdenoCA::S.88	108	0.8	82.744	76.615%	18.725	65.47%	0.7401	0.758
Breast-AdenoCA::S.89	99	0.909	72.196	72.925%	15.846	49.066%	0.62659	0.9
Breast-AdenoCA::S.90	181	0.787	153.626	84.876%	43.718	68.926%	0.82853	0.765
Breast-AdenoCA::S.91	163	0.918	74.224	45.536%	14.543	39.743%	0.27473	0.888
Breast-AdenoCA::S.92	116	0.905	61.068	52.645%	9.816	43.724%	0.86121	0.855
Breast-AdenoCA::S.93	132	0.734	108.904	82.503%	22.702	70.127%	0.74838	0.653
Breast-AdenoCA::S.94	138	0.77	115.889	83.978%	24.42	66.91%	2.39628	0.716
Breast-AdenoCA::S.95	125	0.884	85.915	68.732%	20.813	51.567%	0.85016	0.87
Breast-AdenoCA::S.96	136	0.781	105.615	77.658%	19.241	67.69%	2.63415	0.695
Breast-AdenoCA::S.97	135	0.943	64.717	47.939%	12.346	33.295%	0.51999	0.931
Breast-AdenoCA::S.98	93	0.693	91.101	97.958%	30.08	72.132%	2.82358	0.667
Breast-AdenoCA::S.99	119	0.785	98.651	82.9%	19.531	68.414%	1.47558	0.73
Breast-AdenoCA::S.100	117	0.801	83.561	71.42%	17.271	61.254%	2.82027	0.74
