MutationType	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
CG>TC	0.002150455	0.000721696	7e-18	0.008911912	4.87e-05	0.000904678	0.000132956	0.002650115
CG>TT	0.005561177	0.007166978	0.000361162	0.018704013	3.13e-05	0.000328883	8.29e-05	0.007770337
CT>AA	0.003210679	0.000102957	7e-18	0.004480961	9.04e-18	0.020592675	9.02e-18	0.00393017
CT>AC	4.17e-18	0.029087733	7e-18	0.001950419	1.01e-17	0.013995022	9.02e-18	0.013000563
CT>AG	0.000587124	0.113951944	0.000363163	0.039508477	0.001259455	0.020392746	0.000581806	0.026501149
CT>GA	1.81e-05	1.72e-05	0.000673302	0.007341575	0.001869191	0.005568019	0.002839055	7.41e-18
CT>GC	0.000134028	2.69e-05	7.22e-05	0.001790384	0.015593248	0.000236916	0.003108966	7.41e-18
CT>GG	8.98e-05	5.99e-05	0.000926415	0.006811462	0.003998269	0.000305891	0.010396541	7.41e-18
CT>TA	0.003380715	0.000183922	7e-18	8.84e-05	9.04e-18	0.010896124	9.02e-18	0.004030175
CT>TC	3.84e-05	0.006337327	7e-18	8.3e-18	0.063172644	0.017793671	3e-05	0.002750119
CT>TG	0.000390083	0.052177995	3.08e-05	0.011202404	9.04e-18	0.000965657	9.46e-18	0.045701981
GC>AA	0.005081075	2.16e-05	0.328147163	8.3e-18	9.04e-18	0.012895413	9.02e-18	0.004080177
GC>AG	0.000325069	0.00052178	0.01130507	0.003660785	7.3e-05	0.008516971	0.123958759	7.41e-18
GC>AT	0.000953202	0.003988318	0.009244146	0.001880403	0.000349849	0.005508041	0.125958094	0.007750336
GC>CA	0.001060224	0.0002369	0.011905339	0.008691865	0.00066971	0.004828283	0.027390887	0.000105005
GC>CG	6.69e-05	1.11e-17	9.83e-07	9.04e-18	0.002648853	0.000241914	0.002499169	7.41e-18
GC>TA	0.000736156	0.004228217	0.017707941	0.000829178	6.24e-06	0.008556956	0.013995344	0.002810122
TA>AT	0.002750582	0.001449389	0.030413639	0.008571839	0.055775847	0.009696551	0.015494845	0.010400451
TA>CG	1.89e-05	0.003338592	0.000389175	0.000259056	0.00304868	2.09e-05	0.001349551	0.004110178
TA>CT	0.000280059	0.000343855	0.008723912	0.026105602	0.029087404	0.004098542	0.014195277	0.00162007
TA>GC	8.22e-05	0.001989161	7.02e-05	0.000264057	0.001509346	0.000788719	0.000578807	7.41e-18
TA>GG	7.89e-05	0.005457698	0.002220996	0.000218047	0.004308134	0.000216923	0.003248919	0.008590372
TA>GT	0.001300275	0.000361847	0.008063616	6.25e-05	0.026288616	0.000152946	0.007777412	0.003610156
TC>AA	0.001450307	0.005487686	0.379170045	0.045809829	0.019591516	0.038786204	0.003688773	0.007560328
TC>AG	0.000200042	6.14e-06	0.001870839	0.008281777	4e-06	0.011595875	0.046684468	0.000271012
TC>AT	4.17e-18	0.001119528	0.008413773	0.000594127	0.002289009	0.018493422	0.051782772	0.003090134
TC>CA	0.000682144	0.065472389	0.084637957	0.011802532	0.002708827	0.017593742	0.04878377	0.025201092
TC>CG	3.89e-06	0.000115951	0.000400179	0.000862185	0.001629294	0.010896124	0.007787409	0.000842036
TC>CT	0.003350709	0.019391822	8.28e-06	0.009392015	0.009186022	0.008756885	0.051382905	0.026201136
TC>GA	0.000885187	0.077767204	0.036416331	0.007341575	9.04e-18	0.009606583	0.017294246	0.043801898
TC>GG	9.87e-06	0.000176925	1.04e-05	0.001510324	0.000705694	0.001909321	0.003728759	7.41e-18
TC>GT	8.57e-05	0.043381705	7e-18	8.3e-18	9.04e-18	0.000275902	9.15e-18	0.045901989
TG>AA	0.002960626	6.68e-05	0.007633423	0.025505473	0.022590218	0.008646924	0.015794745	0.001420062
TG>AC	0.000220047	8.04e-05	0.000118053	0.010102168	0.002618866	0.003848631	0.007267582	0.000207009
TG>AT	0.004290908	0.000957596	7e-18	0.22104743	0.001289442	0.008217077	0.000745752	0.002500108
TG>CA	0.00014403	0.015893297	0.000804361	0.011402447	0.023889655	0.005058201	0.022792417	0.029201266
TG>CC	5.94e-05	0.000483796	0.000120054	0.007891693	0.001049546	0.001249556	0.011796075	0.000190008
TG>CT	0.00307065	0.006067441	8.21e-05	0.27505902	9.04e-18	0.019493066	0.000967678	0.004330188
TG>GA	0.001470311	0.00052278	0.007853522	0.007441597	0.008246429	0.000270904	0.006177945	2.02e-05
TG>GC	0.000272058	0.00049779	0.000604271	0.005601202	0.003878321	0.003538741	0.0039087	7.41e-18
TG>GT	0.006401355	0.010295658	3.23e-05	0.027405881	0.00870623	0.007857205	0.003338889	0.002170094
TT>AA	0.004310912	0.003218643	1.8e-05	0.000193041	0.23489828	0.003578727	0.000340887	0.014500628
TT>AC	0.000345073	0.002428976	6.6e-07	0.000128027	0.039982686	1.13e-17	0.006657785	7.41e-18
TT>AG	0.000215046	0.022890347	7e-18	0.002120455	0.053876669	0.014594809	0.000917695	0.006960302
TT>CA	4.17e-18	0.000693707	7e-18	8.3e-18	0.09765771	0.006287763	9.03e-18	0.001290056
TT>CC	2.98e-06	0.00815656	7e-18	8.3e-18	0.035384677	0.000293895	0.005158284	0.002880125
TT>CG	1.52e-05	0.031786595	7.25e-18	1.12e-05	0.002668844	0.000115959	1.98e-05	0.008580372
TT>GA	4.79e-05	0.012294815	7e-18	8.3e-18	0.043581128	0.003628709	9.17e-18	0.008690377
TT>GC	1.54e-06	0.066471967	7e-18	4.09e-07	0.003668411	0.000285898	3.56e-05	0.025801118
TT>GG	4.17e-18	0.170927916	7e-18	8.3e-18	9.04e-18	0.000537809	9.02e-18	0.084703671
