,SBS1,SBS2,SBS4,SBS5,SBS12,SBS13,SBS18,SBS22a,SBS22b,SBS40a,SBS40b,SBS40c
Kidney-RCC::S.19,176.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.0,0.0
Kidney-RCC::S.20,178.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,1973.0,714.0,0.0
Kidney-RCC::S.21,136.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.0,1771.0,1342.0
Kidney-RCC::S.22,0.0,0.0,653.0,0.0,195.0,0.0,235.0,444.0,4482.0,651.0,3828.0,0.0
Kidney-RCC::S.23,432.0,124.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2620.0,0.0,0.0
Kidney-RCC::S.24,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0,0.0
Kidney-RCC::S.25,246.0,195.0,257.0,1745.0,188.0,155.0,391.0,20466.0,0.0,0.0,0.0,919.0
Kidney-RCC::S.26,118.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,701.0,236.0
Kidney-RCC::S.27,204.0,0.0,168.0,0.0,0.0,28.0,82.0,0.0,0.0,765.0,737.0,0.0
Kidney-RCC::S.28,318.0,0.0,295.0,657.0,0.0,0.0,0.0,0.0,0.0,2246.0,1734.0,0.0
Kidney-RCC::S.29,295.0,0.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.0,0.0
Kidney-RCC::S.30,190.0,0.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,3604.0,1450.0,0.0
Kidney-RCC::S.31,188.0,68.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,720.0,1737.0
Kidney-RCC::S.32,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,7441.0,1199.0,1233.0,0.0
Kidney-RCC::S.33,91.0,0.0,432.0,1543.0,0.0,0.0,0.0,0.0,0.0,2690.0,265.0,0.0
Kidney-RCC::S.34,176.0,0.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0
Kidney-RCC::S.35,194.0,0.0,624.0,0.0,0.0,0.0,227.0,0.0,0.0,2383.0,2802.0,0.0
Kidney-RCC::S.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,0.0
Kidney-RCC::S.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.0,0.0,0.0
Kidney-RCC::S.38,117.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.0,418.0,0.0
Kidney-RCC::S.39,151.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,0.0,0.0
Kidney-RCC::S.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,0.0
Kidney-RCC::S.41,0.0,0.0,0.0,1475.0,0.0,169.0,0.0,0.0,0.0,1442.0,609.0,0.0
Kidney-RCC::S.42,234.0,0.0,95.0,2097.0,881.0,0.0,0.0,779.0,0.0,0.0,835.0,0.0
Kidney-RCC::S.43,214.0,0.0,1015.0,1163.0,132.0,0.0,0.0,0.0,0.0,1527.0,1407.0,0.0
Kidney-RCC::S.44,182.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,342.0,1467.0,572.0,0.0
Kidney-RCC::S.45,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,2895.0,887.0,0.0
Kidney-RCC::S.46,373.0,39.0,125.0,0.0,0.0,33.0,98.0,41.0,0.0,1462.0,1377.0,0.0
Kidney-RCC::S.47,114.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,3020.0,432.0
Kidney-RCC::S.48,473.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,2562.0,1805.0,0.0,0.0
Kidney-RCC::S.49,191.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.0,1212.0,0.0
Kidney-RCC::S.50,205.0,50.0,1182.0,293.0,0.0,0.0,0.0,95.0,0.0,1066.0,1577.0,0.0
Kidney-RCC::S.51,504.0,0.0,0.0,0.0,0.0,44.0,400.0,0.0,0.0,1615.0,0.0,0.0
Kidney-RCC::S.52,319.0,142.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,1896.0,1481.0,0.0
Kidney-RCC::S.53,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716.0,1517.0,0.0
Kidney-RCC::S.54,43.0,0.0,1031.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1140.0,0.0
Kidney-RCC::S.55,270.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.0,761.0,0.0
Kidney-RCC::S.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,0.0,523.0,1796.0,463.0
Kidney-RCC::S.57,147.0,0.0,432.0,0.0,0.0,59.0,0.0,0.0,0.0,1976.0,1766.0,0.0
Kidney-RCC::S.58,329.0,0.0,0.0,0.0,0.0,75.0,2996.0,0.0,74.0,367.0,1624.0,0.0
Kidney-RCC::S.59,0.0,0.0,894.0,0.0,0.0,0.0,0.0,57.0,0.0,2357.0,2234.0,0.0
Kidney-RCC::S.60,374.0,0.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,0.0,0.0
Kidney-RCC::S.61,0.0,0.0,1301.0,365.0,0.0,0.0,1452.0,0.0,0.0,765.0,0.0,0.0
Kidney-RCC::S.62,0.0,0.0,0.0,786.0,0.0,0.0,214.0,0.0,0.0,2877.0,904.0,0.0
Kidney-RCC::S.63,79.0,0.0,369.0,0.0,0.0,36.0,127.0,0.0,0.0,2477.0,1124.0,0.0
Kidney-RCC::S.64,0.0,0.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,659.0,307.0
Kidney-RCC::S.65,99.0,0.0,1203.0,0.0,0.0,0.0,545.0,0.0,0.0,2422.0,1828.0,1811.0
Kidney-RCC::S.66,450.0,0.0,0.0,1647.0,0.0,412.0,0.0,75.0,0.0,1152.0,2098.0,1497.0
Kidney-RCC::S.67,172.0,0.0,0.0,246.0,0.0,168.0,502.0,0.0,0.0,725.0,494.0,0.0
Kidney-RCC::S.68,203.0,59.0,0.0,0.0,0.0,122.0,95.0,0.0,0.0,729.0,444.0,0.0
Kidney-RCC::S.69,201.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2006.0,1048.0,0.0
Kidney-RCC::S.70,308.0,0.0,458.0,739.0,0.0,29.0,0.0,0.0,0.0,0.0,615.0,387.0
Kidney-RCC::S.71,185.0,0.0,834.0,0.0,0.0,0.0,0.0,0.0,0.0,2370.0,782.0,661.0
Kidney-RCC::S.72,220.0,73.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,1221.0,1044.0,0.0
Kidney-RCC::S.73,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4104.0,1677.0,641.0
Kidney-RCC::S.74,80.0,0.0,1035.0,552.0,0.0,0.0,0.0,0.0,0.0,1093.0,0.0,1173.0
Kidney-RCC::S.75,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2350.0,0.0,2705.0,0.0
Kidney-RCC::S.76,204.0,23.0,394.0,0.0,0.0,0.0,0.0,41.0,0.0,175.0,632.0,0.0
Kidney-RCC::S.77,154.0,0.0,296.0,608.0,0.0,0.0,216.0,105.0,0.0,1641.0,1555.0,0.0
Kidney-RCC::S.78,0.0,0.0,1236.0,0.0,0.0,190.0,0.0,0.0,0.0,2705.0,1458.0,1968.0
Kidney-RCC::S.79,171.0,0.0,413.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,1279.0,0.0
Kidney-RCC::S.80,313.0,0.0,153.0,1298.0,112.0,0.0,0.0,0.0,0.0,1807.0,0.0,0.0
Kidney-RCC::S.81,141.0,0.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,0.0,2620.0
Kidney-RCC::S.82,212.0,95.0,2689.0,705.0,0.0,333.0,0.0,6307.0,1502.0,695.0,660.0,0.0
Kidney-RCC::S.83,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,1199.0,488.0
Kidney-RCC::S.84,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,715.0,1480.0,0.0
Kidney-RCC::S.85,171.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,558.0,2998.0,0.0
Kidney-RCC::S.86,548.0,0.0,272.0,0.0,0.0,0.0,102.0,0.0,2296.0,1164.0,591.0,0.0
Kidney-RCC::S.87,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,1209.0,1698.0,326.0
Kidney-RCC::S.88,308.0,0.0,1476.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.0,245.0,1220.0
Kidney-RCC::S.89,183.0,0.0,0.0,0.0,94.0,105.0,0.0,0.0,161.0,1671.0,1808.0,0.0
Kidney-RCC::S.90,0.0,0.0,321.0,0.0,0.0,0.0,108.0,0.0,0.0,1161.0,285.0,0.0
Kidney-RCC::S.91,80.0,0.0,1833.0,1909.0,137.0,0.0,0.0,0.0,0.0,1155.0,0.0,0.0
Kidney-RCC::S.92,108.0,0.0,506.0,652.0,163.0,0.0,913.0,0.0,0.0,1950.0,1552.0,0.0
Kidney-RCC::S.93,31.0,0.0,657.0,514.0,0.0,0.0,0.0,0.0,0.0,1285.0,1311.0,900.0
Kidney-RCC::S.94,192.0,0.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.0,1718.0,0.0
Kidney-RCC::S.95,441.0,0.0,1013.0,0.0,0.0,40.0,0.0,0.0,0.0,3357.0,929.0,0.0
Kidney-RCC::S.96,27.0,76.0,1187.0,0.0,0.0,158.0,0.0,0.0,0.0,900.0,977.0,0.0
Kidney-RCC::S.97,18.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,0.0,0.0
Kidney-RCC::S.98,168.0,0.0,1531.0,0.0,0.0,438.0,237.0,0.0,0.0,1076.0,897.0,0.0
Kidney-RCC::S.99,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,2480.0,0.0
