MutationType	Liver-HCC::S.1	Liver-HCC::S.2	Liver-HCC::S.3	Liver-HCC::S.4	Liver-HCC::S.5	Liver-HCC::S.6	Liver-HCC::S.7	Liver-HCC::S.8	Liver-HCC::S.9	Liver-HCC::S.10	Liver-HCC::S.11	Liver-HCC::S.12	Liver-HCC::S.13	Liver-HCC::S.14	Liver-HCC::S.15	Liver-HCC::S.16	Liver-HCC::S.17	Liver-HCC::S.18	Liver-HCC::S.19	Liver-HCC::S.20	Liver-HCC::S.21	Liver-HCC::S.22	Liver-HCC::S.23	Liver-HCC::S.24	Liver-HCC::S.25	Liver-HCC::S.26	Liver-HCC::S.27	Liver-HCC::S.28	Liver-HCC::S.29	Liver-HCC::S.30	Liver-HCC::S.31	Liver-HCC::S.32	Liver-HCC::S.33	Liver-HCC::S.34	Liver-HCC::S.35	Liver-HCC::S.36	Liver-HCC::S.37	Liver-HCC::S.38	Liver-HCC::S.39	Liver-HCC::S.40	Liver-HCC::S.41	Liver-HCC::S.42	Liver-HCC::S.43	Liver-HCC::S.44	Liver-HCC::S.45	Liver-HCC::S.46	Liver-HCC::S.47	Liver-HCC::S.48	Liver-HCC::S.49	Liver-HCC::S.50	Liver-HCC::S.51	Liver-HCC::S.52	Liver-HCC::S.53	Liver-HCC::S.54	Liver-HCC::S.55	Liver-HCC::S.56	Liver-HCC::S.57	Liver-HCC::S.58	Liver-HCC::S.59	Liver-HCC::S.60	Liver-HCC::S.61	Liver-HCC::S.62	Liver-HCC::S.63	Liver-HCC::S.64	Liver-HCC::S.65	Liver-HCC::S.66	Liver-HCC::S.67	Liver-HCC::S.68	Liver-HCC::S.69	Liver-HCC::S.70	Liver-HCC::S.71	Liver-HCC::S.72	Liver-HCC::S.73	Liver-HCC::S.74	Liver-HCC::S.75	Liver-HCC::S.76	Liver-HCC::S.77	Liver-HCC::S.78	Liver-HCC::S.79	Liver-HCC::S.80	Liver-HCC::S.81	Liver-HCC::S.82	Liver-HCC::S.83	Liver-HCC::S.84	Liver-HCC::S.85	Liver-HCC::S.86	Liver-HCC::S.87	Liver-HCC::S.88	Liver-HCC::S.89	Liver-HCC::S.90	Liver-HCC::S.91	Liver-HCC::S.92	Liver-HCC::S.93	Liver-HCC::S.94	Liver-HCC::S.95	Liver-HCC::S.96	Liver-HCC::S.97	Liver-HCC::S.98	Liver-HCC::S.99
AT>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>TA	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CC>AA	29	43	101	681	22	65	24	21	78	44	10	120	31	423	68	48	36	35	50	109	165	30	311	67	38	172	60	5	41	36	16	1	90	77	61	1	8	13	142	143	13	27	10	143	120	239	30	194	23	27	18	15	17	2	96	12	121	81	13	218	251	28	99	257	10	108	20	19	90	9	206	148	63	1	196	5	80	8	3	319	274	0	283	22	32	215	33	13	129	181	9	266	337	70	41	110	157	56	62
CC>AG	4	7	20	28	0	2	6	6	1	36	1	11	33	4	2	6	6	0	7	6	1	7	32	1	2	36	0	9	4	12	0	22	27	20	37	5	3	1	14	0	1	11	1	8	0	9	11	5	0	12	8	5	18	5	27	19	5	2	7	51	5	26	2	4	5	11	5	0	12	6	3	2	1	1	27	13	3	10	2	5	5	0	16	1	0	5	15	7	5	28	11	29	5	7	4	16	1	12	12
CC>AT	5	39	39	72	3	2	1	2	6	1	10	59	1	28	0	3	24	7	10	13	24	58	3	5	1	46	32	7	5	6	0	14	7	19	1	4	9	8	21	39	5	6	5	7	16	3	1	9	40	17	10	6	4	13	60	13	10	0	1	22	6	8	2	27	20	27	3	16	18	10	1	11	4	13	10	3	9	8	23	25	10	37	41	22	2	15	10	9	30	17	2	15	19	14	5	10	15	17	91
CC>GA	4	2	3	3	1	3	0	3	0	2	2	5	1	1	0	6	1	0	10	1	1	17	0	1	0	14	2	0	0	1	2	0	1	0	1	1	0	4	3	11	0	0	2	4	2	2	1	0	1	1	0	3	0	1	3	1	4	2	0	9	1	1	0	3	1	0	0	9	1	2	0	1	5	10	0	3	2	0	1	0	2	4	15	2	6	0	1	8	15	5	1	1	0	5	0	3	1	3	3
CC>GG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CC>GT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CC>TA	4	0	1	0	0	0	1	0	0	2	0	1	3	0	1	0	3	2	2	2	0	5	1	1	0	1	4	1	3	12	1	0	0	1	3	0	0	0	6	7	0	0	0	2	1	0	0	4	4	1	7	2	0	0	0	1	0	1	1	4	0	4	0	7	0	0	0	1	1	1	3	0	2	2	0	12	2	5	0	5	4	1	15	1	0	0	0	0	1	12	1	0	2	0	0	3	0	2	3
CC>TG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0
CC>TT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>AT	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CG>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	3	0	0	10	0	0	1	0	2	0	0	0
CG>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>TC	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	5	0	1	0	0	0	2	0	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CG>TT	2	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	3	3	0	0	1	0	0	0	1	1	0	1	1	2	4	0	0	0	4	1	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0	2	0	0	1	0	2	3	0	4	0	1	0	1	0	0	0	1	0	1	1	0	2	1	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	7	2	0	0
CT>AA	5	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	168	0	0	0	0	0	0	1	51	0	0	1	0	145	0	0	0	2	0	0	0	0	1	0	0	0	0	0	19	0	1	1	0	3	1	0	0	0	1	0	0	0	1	1	0	0	0	68	1	1	0	0	2	2	0	0	0	1	0	0	32	1	1	1	1	0	0	3	2	92	0	1	0	0	26	2	2	0
CT>AC	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	28	0	0	0	0	0	0	0	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	37	0	73	0	9	0	0	38	0	0	0
CT>AG	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	7	0	0	0	1	1	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
CT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	8	0	0	0	0	2	0	0	2
CT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
CT>GG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>TA	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	1	3	0	0	0	0	0	3	1	6	0	0	2	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	2	2	0	1	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
CT>TC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>TG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
GC>AA	33	4	56	1	0	2	0	11	85	0	1	11	12	0	0	3	41	14	5	8	0	14	0	0	1	124	1	64	1	2	0	0	18	20	125	12	13	1	0	13	5	0	5	0	2	45	8	23	11	33	74	1	0	8	2	22	5	0	2	2	0	59	11	19	36	0	0	13	3	2	0	5	0	13	10	32	17	4	0	1	112	19	0	3	0	8	23	0	22	2	44	11	0	16	1	35	0	90	46
GC>AG	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	1	1	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	5	1	2	0	0	2	2	3	0	1	0	0	0	0	0	0	4	0	0	0	0	4	0	1	3
GC>AT	0	0	0	0	1	1	1	0	4	0	2	1	3	0	0	3	0	1	0	2	2	3	0	0	0	3	0	0	0	2	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	3	1	0	0	0	1	0	0	0
GC>CA	2	3	2	0	0	0	0	1	1	0	0	4	1	0	0	0	4	0	1	0	0	1	1	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	1	0	3	2	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	1	1	2	0	0	0	0	2	1	0	4	1	1	2	1	0	0	1	0	0	1
GC>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GC>TA	0	0	1	0	0	5	1	3	5	0	1	3	0	0	0	7	2	0	1	1	0	1	0	2	0	2	0	4	0	1	0	0	1	2	4	1	1	0	0	4	1	0	2	0	0	0	0	1	1	4	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	2	1	1	1	2	1	1	0	1	1	3	0	1	0	0	7	1	0	0	0	1	0	0	0	1	0	0	1
TA>AT	1	2	7	0	3	4	0	4	0	0	5	5	1	0	0	2	5	1	0	6	0	1	0	0	0	15	0	0	0	1	0	0	5	0	1	2	0	0	0	3	1	1	5	0	1	1	0	7	3	0	0	1	0	5	1	1	2	2	3	0	0	2	2	5	1	4	0	2	2	1	1	2	0	2	2	1	4	1	0	2	10	4	0	1	0	0	2	0	3	0	0	1	1	1	0	0	0	2	3
TA>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TA>CT	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	2	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	5	0	0	0	0	1	1	0	1	1	1	2	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	3	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0
TA>GC	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TA>GG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TA>GT	0	0	1	1	1	2	0	1	6	1	1	1	2	0	0	0	2	1	1	4	0	1	1	0	1	1	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	2	2	0	2	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	3	0	0	0	0	2	0	0	0	2	0	0	1	0	2	0	0	1	0	1	0	1	0
TC>AA	18	9	34	0	3	5	0	3	37	0	54	16	100	0	0	41	16	18	115	43	0	30	39	0	0	15	0	60	0	6	0	1	6	67	46	25	4	1	0	38	2	0	62	0	17	12	102	118	5	14	57	4	0	5	0	17	19	12	15	0	0	7	113	10	16	16	0	160	37	53	0	17	5	20	33	39	3	3	1	7	121	16	2	68	2	19	34	0	10	0	31	9	4	45	0	70	0	10	6
TC>AG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0
TC>AT	0	0	0	0	1	1	0	0	0	0	5	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC>CA	12	0	2	1	2	7	0	0	3	0	3	0	4	0	0	2	0	0	1	3	0	5	1	0	0	0	0	19	0	1	0	1	10	6	1	6	1	0	0	6	0	0	0	0	3	11	0	1	2	0	6	0	0	1	0	0	1	5	0	0	0	6	1	13	1	2	0	4	2	3	0	2	6	4	14	0	1	3	0	6	22	16	0	4	0	4	3	0	4	0	16	1	0	15	0	1	0	5	5
TC>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
