MutationType	Lung-AdenoCA::S.1	Lung-AdenoCA::S.2	Lung-AdenoCA::S.3	Lung-AdenoCA::S.4	Lung-AdenoCA::S.5	Lung-AdenoCA::S.6	Lung-AdenoCA::S.7	Lung-AdenoCA::S.8	Lung-AdenoCA::S.9	Lung-AdenoCA::S.10	Lung-AdenoCA::S.11	Lung-AdenoCA::S.12	Lung-AdenoCA::S.13	Lung-AdenoCA::S.14	Lung-AdenoCA::S.15	Lung-AdenoCA::S.16	Lung-AdenoCA::S.17	Lung-AdenoCA::S.18	Lung-AdenoCA::S.19	Lung-AdenoCA::S.20	Lung-AdenoCA::S.21	Lung-AdenoCA::S.22	Lung-AdenoCA::S.23	Lung-AdenoCA::S.24	Lung-AdenoCA::S.25	Lung-AdenoCA::S.26	Lung-AdenoCA::S.27	Lung-AdenoCA::S.28	Lung-AdenoCA::S.29	Lung-AdenoCA::S.30	Lung-AdenoCA::S.31	Lung-AdenoCA::S.32	Lung-AdenoCA::S.33	Lung-AdenoCA::S.34	Lung-AdenoCA::S.35	Lung-AdenoCA::S.36	Lung-AdenoCA::S.37	Lung-AdenoCA::S.38	Lung-AdenoCA::S.39	Lung-AdenoCA::S.40	Lung-AdenoCA::S.41	Lung-AdenoCA::S.42	Lung-AdenoCA::S.43	Lung-AdenoCA::S.44	Lung-AdenoCA::S.45	Lung-AdenoCA::S.46	Lung-AdenoCA::S.47	Lung-AdenoCA::S.48	Lung-AdenoCA::S.49	Lung-AdenoCA::S.50	Lung-AdenoCA::S.51	Lung-AdenoCA::S.52	Lung-AdenoCA::S.53	Lung-AdenoCA::S.54	Lung-AdenoCA::S.55	Lung-AdenoCA::S.56	Lung-AdenoCA::S.57	Lung-AdenoCA::S.58	Lung-AdenoCA::S.59	Lung-AdenoCA::S.60	Lung-AdenoCA::S.61	Lung-AdenoCA::S.62	Lung-AdenoCA::S.63	Lung-AdenoCA::S.64	Lung-AdenoCA::S.65	Lung-AdenoCA::S.66	Lung-AdenoCA::S.67	Lung-AdenoCA::S.68	Lung-AdenoCA::S.69	Lung-AdenoCA::S.70	Lung-AdenoCA::S.71	Lung-AdenoCA::S.72	Lung-AdenoCA::S.73	Lung-AdenoCA::S.74	Lung-AdenoCA::S.75	Lung-AdenoCA::S.76	Lung-AdenoCA::S.77	Lung-AdenoCA::S.78	Lung-AdenoCA::S.79	Lung-AdenoCA::S.80	Lung-AdenoCA::S.81	Lung-AdenoCA::S.82	Lung-AdenoCA::S.83	Lung-AdenoCA::S.84	Lung-AdenoCA::S.85	Lung-AdenoCA::S.86	Lung-AdenoCA::S.87	Lung-AdenoCA::S.88	Lung-AdenoCA::S.89	Lung-AdenoCA::S.90	Lung-AdenoCA::S.91	Lung-AdenoCA::S.92	Lung-AdenoCA::S.93	Lung-AdenoCA::S.94	Lung-AdenoCA::S.95	Lung-AdenoCA::S.96	Lung-AdenoCA::S.97	Lung-AdenoCA::S.98	Lung-AdenoCA::S.99	Lung-AdenoCA::S.100
1:Del:T:4	5	0	42	0	43	24	13	50	6	6	12	10	45	76	28	2	54	35	11	5	9	7	39	183	25	7	26	10	1	65	50	26	44	65	18	60	67	41	7	14	17	33	24	24	18	28	31	62	87	71	19	37	48	14	6	15	2	5	15	5	6	38	65	79	6	18	18	5	4	29	16	21	52	6	14	42	25	14	8	14	16	30	21	42	3	26	97	8	14	70	46	106	30	47	18	13	49	13	18	56
1:Del:T:5	7	0	13	1	24	143	14	50	19	4	4	6	41	30	14	41	138	121	7	0	1	1	12	30	15	7	74	4	11	63	17	6	18	69	10	33	20	15	8	33	36	36	8	40	125	2	22	26	124	29	11	14	12	4	62	20	19	3	62	1	31	203	124	35	1	16	23	3	1	30	6	265	253	6	12	20	9	10	7	1	9	20	13	100	14	17	76	15	8	29	67	68	36	8	18	20	11	17	26	12
1:Ins:C:0	2	0	2	0	2	0	0	6	1	0	2	1	7	0	0	0	2	1	0	0	1	0	3	8	1	1	2	1	0	3	0	1	3	3	2	5	1	1	0	1	0	0	0	0	0	1	6	5	10	4	2	1	5	0	1	0	0	0	2	0	1	2	2	3	1	0	0	0	0	1	0	0	0	0	2	1	2	0	0	0	0	2	5	2	2	1	3	0	5	6	0	12	4	1	7	0	0	1	2	3
1:Ins:C:1	2	0	7	0	2	2	1	6	1	0	1	0	0	2	0	0	7	0	1	0	0	0	4	5	5	1	3	1	0	1	4	1	2	4	1	4	2	1	0	1	1	1	4	0	1	2	2	6	6	1	0	3	5	0	0	2	0	0	0	0	0	1	0	11	0	1	1	0	0	0	0	0	0	0	1	4	0	0	0	2	0	0	5	2	0	1	6	0	2	4	0	8	1	2	2	0	0	1	1	2
1:Ins:C:2	1	0	0	0	9	1	2	8	1	1	1	1	2	3	0	0	3	1	0	0	2	0	8	2	0	1	0	0	0	9	5	1	0	5	5	2	3	1	0	2	0	1	3	1	0	1	5	10	5	0	1	3	0	1	1	1	0	0	1	0	3	1	2	3	0	1	2	1	0	1	1	0	1	1	1	3	1	0	0	1	0	1	2	2	2	4	10	2	4	11	0	0	5	1	2	0	0	1	4	2
1:Ins:C:3	1	0	13	0	15	0	1	20	14	0	2	1	12	4	0	0	3	1	1	0	0	0	16	28	4	5	6	0	0	25	2	11	5	14	5	11	18	2	0	1	1	1	3	2	1	0	13	15	18	9	5	8	0	0	0	1	0	3	1	1	0	3	1	10	3	3	0	0	3	12	1	4	0	1	1	5	1	1	0	0	1	1	10	0	1	2	14	0	12	13	1	13	8	13	21	0	0	10	2	27
1:Ins:C:4	4	0	12	0	20	2	0	65	6	0	0	0	9	21	0	1	24	2	1	0	1	0	52	36	2	1	19	1	0	28	6	5	6	4	10	8	8	5	2	0	1	0	5	1	0	0	14	10	27	13	7	1	1	1	1	3	0	1	1	1	1	2	0	31	2	2	0	0	1	8	0	0	1	10	0	8	2	1	0	0	0	0	12	3	14	8	35	0	4	13	0	10	13	4	13	0	0	3	10	23
1:Ins:C:5	7	2	24	0	31	3	1	30	3	0	0	2	6	4	3	2	20	5	6	3	3	2	11	18	2	4	16	10	0	37	19	13	8	18	14	7	9	1	7	0	6	9	4	1	2	4	12	23	35	20	13	14	5	0	7	0	0	7	1	6	1	7	4	25	8	6	6	0	4	7	4	5	4	5	3	2	9	4	2	10	1	4	15	6	6	4	24	1	3	18	2	27	6	6	35	4	0	16	9	15
1:Ins:T:0	11	4	43	0	38	4	3	63	8	1	3	14	34	28	4	0	25	12	1	6	2	3	72	22	4	11	28	8	0	41	22	37	4	9	10	51	15	24	1	2	2	6	17	1	3	15	78	27	87	31	18	34	15	10	7	2	0	7	2	9	1	7	5	43	12	7	7	3	2	11	5	2	2	3	10	22	5	0	8	2	6	3	29	7	16	21	24	5	37	46	6	67	21	47	35	1	1	13	50	40
1:Ins:T:1	1	1	99	9	113	11	11	273	13	0	6	14	99	33	3	1	62	24	3	2	2	6	89	146	13	18	78	14	0	58	30	36	32	80	57	114	38	44	0	9	3	18	26	4	2	1	161	176	123	43	29	92	2	10	7	36	0	15	1	18	7	11	13	182	3	30	7	0	27	16	11	6	2	2	3	32	13	1	26	4	5	5	45	7	44	32	165	17	42	98	16	100	39	58	202	2	10	20	32	110
1:Ins:T:2	24	3	129	4	43	14	10	210	42	5	28	6	97	63	7	0	149	33	13	0	5	8	135	198	41	25	107	6	0	66	33	18	15	34	62	73	59	43	5	13	7	51	34	15	2	4	76	92	371	103	8	81	5	26	5	8	0	34	6	16	9	27	19	117	7	38	30	0	2	7	11	8	3	10	0	54	9	5	14	4	10	12	142	20	25	27	21	38	39	98	7	100	25	43	99	1	12	41	50	69
1:Ins:T:3	10	1	54	2	54	4	8	67	13	2	5	8	76	33	5	2	69	9	2	1	2	4	58	110	25	4	19	5	0	147	34	14	24	39	29	30	20	26	7	1	6	17	11	10	10	2	24	66	133	59	16	29	3	7	7	12	0	22	5	7	5	53	9	119	7	12	11	0	12	17	9	4	6	8	4	20	15	6	5	2	1	6	114	18	35	13	52	8	66	66	9	39	22	16	52	2	17	7	46	99
1:Ins:T:4	4	1	7	2	7	1	4	24	18	0	2	3	12	24	2	2	17	6	11	2	1	9	32	7	12	1	8	8	1	15	7	15	5	5	8	6	10	14	1	6	9	8	21	8	1	5	28	14	17	26	16	6	13	2	1	6	1	7	3	3	0	4	7	23	6	4	7	2	2	3	4	3	6	3	2	4	10	1	5	4	2	4	33	6	12	14	36	6	13	35	2	16	12	12	26	4	0	30	23	14
1:Ins:T:5	52	172	245	1	153	89	3	195	15	2	1	93	230	92	26	140	132	114	155	131	60	160	191	133	8	117	54	129	34	241	169	170	341	278	81	166	388	43	226	2	57	410	73	300	121	109	175	133	293	65	183	79	175	54	72	3	2	101	109	3	5	126	19	160	119	82	248	0	127	35	104	1	43	107	118	39	91	196	43	104	6	56	97	18	185	48	85	33	26	133	24	139	109	138	175	111	36	276	31	121
2:Del:R:0	22	1	24	1	23	6	7	63	8	10	10	2	3	28	6	0	36	12	9	1	6	9	37	15	19	2	27	1	0	13	33	11	7	16	10	9	11	4	4	8	7	7	7	5	1	1	37	42	45	19	7	7	7	4	8	10	0	10	11	0	0	10	13	43	3	6	12	4	1	5	8	3	3	3	7	25	24	8	1	4	12	12	4	15	15	37	27	20	7	29	7	30	6	4	12	4	3	11	7	37
2:Del:R:1	4	1	16	1	11	14	4	30	3	9	7	6	13	23	8	2	46	7	5	0	2	1	37	43	6	3	18	2	0	34	21	13	10	7	24	19	15	12	0	4	3	13	8	5	7	3	58	25	74	27	7	15	9	13	7	5	2	10	1	3	4	14	32	64	4	11	8	1	1	13	7	4	4	2	3	12	24	5	5	6	10	2	9	8	6	12	29	5	17	18	10	40	19	11	14	5	4	13	14	9
2:Del:R:2	1	0	20	1	53	0	3	34	15	0	1	1	22	15	1	0	41	2	1	1	2	5	22	27	2	15	19	3	0	44	10	5	16	15	4	41	22	37	0	2	0	5	6	2	0	3	76	16	11	46	7	14	0	3	3	3	0	7	0	1	0	5	9	22	3	3	0	0	5	4	2	7	1	0	1	9	4	1	5	2	2	2	40	4	23	3	35	1	5	29	0	45	20	5	54	3	0	9	26	23
2:Del:R:3	4	0	24	1	14	0	1	25	5	0	1	1	13	3	0	0	31	5	0	0	0	1	13	11	1	2	4	0	0	15	4	2	5	5	10	6	5	1	0	0	1	3	4	1	1	0	11	19	5	29	8	1	1	1	1	1	0	1	1	1	5	6	1	21	3	3	0	0	1	2	1	3	0	0	0	9	1	0	0	0	0	0	23	1	4	5	29	0	3	10	2	19	11	2	15	1	0	6	12	13
2:Del:R:4	1	0	14	0	8	1	0	8	4	0	2	0	5	0	0	0	7	1	0	0	0	0	10	2	1	1	5	0	0	8	11	1	2	4	1	11	6	4	0	0	0	1	1	0	0	1	7	4	24	7	3	7	0	0	0	2	2	2	0	1	0	1	3	8	2	3	1	1	0	2	0	2	0	0	0	1	0	0	1	1	0	0	5	0	1	1	2	0	3	7	2	7	2	0	8	0	1	2	5	9
2:Del:R:5	3	0	3	0	0	4	0	1	0	7	3	4	0	18	4	0	16	14	6	0	1	12	10	4	10	0	3	3	0	4	8	1	4	1	0	8	0	3	2	8	7	8	11	4	7	2	2	4	2	6	3	0	15	6	3	2	0	11	4	0	0	8	2	13	0	0	4	3	0	0	0	4	2	0	3	4	1	1	0	5	8	5	2	6	0	2	10	6	0	13	4	5	3	0	0	0	4	1	2	0
3:Del:R:0	4	0	6	0	3	4	2	3	1	1	9	0	0	4	0	1	12	5	2	2	3	3	3	6	11	1	7	0	0	5	9	3	5	2	2	12	7	3	1	3	10	8	4	7	5	3	0	4	12	4	2	0	3	4	7	14	1	7	4	0	0	7	11	16	0	4	4	1	0	0	3	9	4	0	4	7	5	0	2	0	4	9	8	6	1	3	13	11	0	6	2	4	2	2	0	0	6	2	4	4
3:Del:R:1	1	0	3	0	0	4	4	1	0	0	0	2	0	4	3	2	11	2	0	3	0	3	0	6	6	1	5	1	0	6	8	1	2	4	5	2	2	3	2	0	6	4	1	3	4	3	3	3	4	3	0	0	12	1	0	1	0	1	9	0	2	2	3	5	0	2	1	2	1	0	2	0	3	0	3	4	3	0	0	4	1	2	1	5	1	2	7	2	1	5	4	5	2	4	1	1	3	2	1	4
3:Del:R:2	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	2	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	2	0	1	1	0	0	0	0
3:Del:R:3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0
3:Del:R:4	2	0	0	0	0	5	1	0	0	0	1	1	0	4	0	0	1	0	0	0	0	1	0	2	5	0	0	0	0	2	3	0	3	0	0	0	0	1	0	0	0	5	2	3	2	1	0	3	2	0	0	0	3	1	1	4	0	0	1	0	0	6	8	4	0	2	1	1	0	0	2	1	2	0	1	2	0	1	0	2	2	6	1	0	0	2	5	6	0	1	0	0	0	0	0	0	1	0	0	0
3:Del:R:5	5	0	1	1	0	6	1	0	0	0	2	1	0	1	1	0	6	1	2	0	0	5	2	0	5	0	1	0	0	3	2	1	3	0	0	2	2	1	0	2	2	3	7	4	0	0	2	3	0	0	2	0	3	4	2	4	0	4	0	0	0	3	3	3	0	2	4	0	0	0	5	0	0	0	0	2	1	2	0	4	3	9	0	1	0	2	0	1	0	3	0	7	0	0	0	0	5	0	1	0
4:Del:R:0	2	0	2	0	0	8	1	1	1	0	3	0	0	4	2	0	5	1	1	1	1	0	6	2	6	1	1	3	0	1	5	2	1	2	2	7	0	0	0	4	3	5	1	3	2	1	2	3	2	7	0	0	8	1	3	5	2	5	2	0	0	2	5	4	0	4	4	0	0	0	3	4	1	0	1	6	12	1	0	2	7	3	2	3	1	1	3	7	1	2	4	4	2	4	0	0	5	1	1	3
4:Del:R:1	0	0	1	0	2	3	2	8	0	1	0	1	0	2	1	0	3	2	0	2	0	1	1	6	0	1	5	0	1	3	3	1	2	2	0	1	1	2	0	4	2	0	0	1	1	4	4	9	1	1	2	1	2	1	0	3	0	1	2	0	0	3	1	6	2	2	4	0	0	0	2	2	1	0	5	1	5	1	0	0	0	0	2	3	1	4	3	3	1	2	2	4	0	2	0	1	0	0	1	1
4:Del:R:2	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
4:Del:R:3	1	0	0	0	0	2	2	0	0	0	0	0	0	3	0	0	7	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	1	2	1	1	1	0	0	0	2	0	0	0	3	3	0	0	0	1	1	0	0	4	1	1	0	0	0	0	0	0	1	0	1	0	1	2	0	1	0	0	0	1	0	1	0	0	1	1	2	4	0	1	0	0	0	0	0	1	1	0
4:Del:R:4	1	0	2	0	0	0	1	0	0	0	0	0	0	9	1	0	1	1	0	0	0	0	2	0	2	0	1	0	0	0	0	1	1	0	0	2	1	1	0	2	0	1	0	1	3	0	1	1	2	2	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	2	2	0	0	0	3	3	1	0	1	0	4	0	0	3	0	5	0	0	0	5	5	1	0	4	2	2	0	0	0	0	1	0	0	0
4:Del:R:5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	3	6	6	0	2	19	25	12	2	24	12	2	1	15	37	16	24	3	17	11	14	10	9	3	17	5	7	1	3	12	21	21	4	28	13	23	4	38	3	19	25	12	10	4	3	29	8	8	14	8	10	15	32	2	12	6	13	4	30	2	1	4	12	55	2	7	18	2	0	2	16	14	7	0	5	13	21	5	5	4	5	5	4	19	5	2	15	12	7	14	5	6	6	2	19	5	36	2	3	26
5:Del:R:1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	3	1	0	0	2	0	19	1	0	1	0	0	0	11	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
5:Del:R:2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	3	0	4	1	6	1	0	16	1	0	3	1	2	3	2	0	12	4	5	0	2	5	15	8	2	0	2	2	0	8	2	4	3	2	11	10	4	4	1	3	0	4	5	4	1	1	10	9	9	7	1	1	1	2	4	0	1	1	3	0	1	6	3	24	2	1	5	0	0	1	1	3	5	3	2	3	4	1	0	0	2	1	8	2	2	2	9	5	4	5	1	16	3	4	14	2	10	2	3	5
2:Ins:R:1	1	0	17	2	10	8	4	15	0	1	9	13	2	17	7	0	33	9	1	1	0	7	10	2	3	1	4	1	0	1	10	9	6	5	3	9	6	5	1	4	3	9	5	6	2	3	19	18	16	11	1	7	3	3	11	5	0	18	1	0	2	9	28	33	1	9	1	4	2	0	2	4	2	0	5	2	2	3	0	4	3	5	7	2	0	14	15	11	1	14	2	6	2	2	8	1	2	3	7	3
2:Ins:R:2	1	0	2	0	4	3	1	4	0	2	0	3	1	2	2	0	25	0	0	1	0	3	3	2	3	0	4	0	0	9	8	1	1	2	0	3	2	2	1	4	1	3	8	5	0	4	4	2	4	7	1	1	1	1	1	5	0	6	1	0	0	5	10	3	2	10	4	2	0	1	1	0	2	1	2	2	4	0	0	1	2	5	0	1	1	0	5	0	0	5	1	3	5	3	2	0	2	0	1	4
2:Ins:R:3	0	0	1	0	2	0	1	1	0	0	0	0	4	2	0	0	2	0	0	0	0	0	1	1	0	3	0	1	0	2	3	2	1	2	0	1	1	1	0	0	1	0	2	2	0	1	7	4	4	0	1	0	0	0	0	0	0	2	0	1	0	1	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	1	0	0	1	1	2	0	1	0	1	1	1	2	4	0	0	1	1	0
