,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.86,257.0,5574.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0
Breast-AdenoCA::S.87,288.0,292.0,12218.0,0.0,0.0,0.0,2871.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.88,428.0,5687.0,0.0,0.0,0.0,0.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.89,456.0,277.0,0.0,1488.0,0.0,0.0,109.0,0.0,0.0,702.0,0.0,0.0,179.0
Breast-AdenoCA::S.90,350.0,0.0,0.0,1299.0,0.0,2412.0,1150.0,0.0,0.0,342.0,0.0,0.0,0.0
Breast-AdenoCA::S.91,492.0,3659.0,7558.0,1478.0,0.0,0.0,2235.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.92,181.0,393.0,4426.0,1801.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.93,301.0,1485.0,2920.0,4762.0,0.0,0.0,1260.0,1203.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.94,275.0,120.0,0.0,1738.0,0.0,0.0,544.0,0.0,0.0,495.0,0.0,768.0,277.0
Breast-AdenoCA::S.95,407.0,0.0,3307.0,2023.0,0.0,0.0,0.0,0.0,0.0,1882.0,0.0,0.0,0.0
Breast-AdenoCA::S.96,723.0,0.0,0.0,2986.0,0.0,0.0,4064.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.97,453.0,415.0,0.0,1094.0,0.0,0.0,1262.0,0.0,0.0,550.0,0.0,0.0,0.0
Breast-AdenoCA::S.98,242.0,1508.0,0.0,611.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.99,742.0,2622.0,0.0,3872.0,0.0,0.0,2787.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.100,432.0,1089.0,0.0,2523.0,0.0,0.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0
