,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.35,127.0,29.0,0.0,1445.0,0.0,0.0,98.0,0.0,0.0,302.0,0.0,0.0,0.0
Breast-AdenoCA::S.36,98.0,556.0,3838.0,2069.0,0.0,0.0,1381.0,0.0,0.0,0.0,0.0,0.0,296.0
Breast-AdenoCA::S.37,293.0,2809.0,3408.0,2170.0,0.0,0.0,305.0,0.0,0.0,860.0,0.0,0.0,0.0
Breast-AdenoCA::S.38,850.0,150.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0
Breast-AdenoCA::S.39,255.0,0.0,3664.0,2300.0,0.0,7293.0,3338.0,0.0,0.0,0.0,0.0,0.0,476.0
Breast-AdenoCA::S.40,425.0,257.0,0.0,1536.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.41,403.0,0.0,7479.0,4277.0,1159.0,0.0,244.0,0.0,110.0,0.0,493.0,0.0,0.0
Breast-AdenoCA::S.42,435.0,0.0,0.0,4211.0,0.0,0.0,127.0,0.0,0.0,643.0,0.0,0.0,0.0
Breast-AdenoCA::S.43,202.0,68.0,2695.0,1032.0,0.0,0.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.44,412.0,5180.0,0.0,3602.0,0.0,0.0,407.0,0.0,0.0,582.0,0.0,0.0,0.0
Breast-AdenoCA::S.45,684.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.46,357.0,830.0,5740.0,3184.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.47,1348.0,245.0,5310.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.48,443.0,401.0,1742.0,2697.0,636.0,0.0,2172.0,0.0,0.0,564.0,0.0,0.0,0.0
Breast-AdenoCA::S.49,203.0,8393.0,0.0,0.0,0.0,0.0,4602.0,0.0,0.0,935.0,587.0,0.0,0.0
Breast-AdenoCA::S.50,366.0,2439.0,7538.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,461.0,0.0,1028.0
Breast-AdenoCA::S.51,198.0,524.0,0.0,3381.0,0.0,0.0,615.0,0.0,0.0,0.0,395.0,0.0,209.0
Breast-AdenoCA::S.52,392.0,4383.0,6011.0,1928.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,214.0
Breast-AdenoCA::S.53,362.0,59.0,0.0,1649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.54,363.0,3240.0,10263.0,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.55,500.0,2929.0,4224.0,866.0,0.0,0.0,1093.0,0.0,0.0,637.0,0.0,0.0,0.0
Breast-AdenoCA::S.56,346.0,171.0,0.0,949.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.57,278.0,591.0,0.0,1516.0,0.0,0.0,1104.0,0.0,44.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.58,648.0,0.0,8164.0,734.0,0.0,0.0,5893.0,0.0,0.0,0.0,415.0,0.0,0.0
Breast-AdenoCA::S.59,521.0,79.0,0.0,2233.0,0.0,0.0,2933.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.60,407.0,1138.0,0.0,1066.0,0.0,0.0,14524.0,0.0,0.0,0.0,0.0,0.0,621.0
Breast-AdenoCA::S.61,597.0,662.0,0.0,2831.0,0.0,0.0,2097.0,302.0,4154.0,410.0,0.0,0.0,0.0
Breast-AdenoCA::S.62,178.0,0.0,0.0,832.0,0.0,0.0,167.0,0.0,0.0,81.0,0.0,0.0,0.0
Breast-AdenoCA::S.63,480.0,417.0,2482.0,6259.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.64,238.0,1656.0,0.0,3056.0,0.0,0.0,2631.0,0.0,0.0,333.0,0.0,0.0,0.0
Breast-AdenoCA::S.65,350.0,888.0,0.0,0.0,0.0,0.0,4318.0,0.0,0.0,315.0,0.0,0.0,0.0
Breast-AdenoCA::S.66,413.0,1482.0,0.0,1422.0,0.0,0.0,1498.0,0.0,0.0,128.0,0.0,0.0,0.0
Breast-AdenoCA::S.67,556.0,835.0,6515.0,1106.0,0.0,0.0,3416.0,0.0,0.0,0.0,0.0,0.0,373.0
Breast-AdenoCA::S.68,415.0,953.0,1250.0,2362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.69,372.0,283.0,0.0,1353.0,0.0,0.0,5408.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.70,691.0,54.0,372.0,1288.0,0.0,0.0,111.0,0.0,0.0,813.0,0.0,0.0,0.0
Breast-AdenoCA::S.71,654.0,938.0,0.0,2648.0,0.0,0.0,1501.0,0.0,0.0,547.0,0.0,0.0,476.0
Breast-AdenoCA::S.72,691.0,137.0,0.0,1366.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.73,498.0,126.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.74,515.0,3658.0,0.0,0.0,0.0,0.0,8902.0,0.0,0.0,0.0,0.0,2451.0,454.0
Breast-AdenoCA::S.75,203.0,0.0,0.0,3528.0,0.0,0.0,125.0,76.0,0.0,479.0,0.0,0.0,0.0
Breast-AdenoCA::S.76,533.0,168.0,4752.0,1830.0,0.0,0.0,5643.0,0.0,0.0,0.0,0.0,1237.0,0.0
Breast-AdenoCA::S.77,169.0,285.0,2224.0,2369.0,0.0,0.0,66.0,0.0,0.0,221.0,0.0,0.0,0.0
Breast-AdenoCA::S.78,355.0,893.0,1017.0,1037.0,0.0,0.0,4090.0,0.0,0.0,0.0,0.0,0.0,153.0
Breast-AdenoCA::S.79,287.0,3034.0,0.0,1461.0,0.0,0.0,3187.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.80,196.0,3103.0,0.0,4239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0
Breast-AdenoCA::S.81,276.0,0.0,0.0,2947.0,0.0,0.0,2318.0,0.0,0.0,696.0,0.0,0.0,0.0
Breast-AdenoCA::S.82,242.0,210.0,0.0,485.0,0.0,0.0,8969.0,0.0,0.0,0.0,0.0,0.0,166.0
Breast-AdenoCA::S.83,227.0,1286.0,4787.0,2684.0,0.0,0.0,1477.0,0.0,0.0,452.0,0.0,0.0,0.0
Breast-AdenoCA::S.84,321.0,0.0,0.0,2152.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,0.0
Breast-AdenoCA::S.85,701.0,445.0,0.0,3100.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0
Breast-AdenoCA::S.86,265.0,5584.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0
Breast-AdenoCA::S.87,259.0,274.0,11638.0,0.0,0.0,0.0,2879.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.88,428.0,5687.0,0.0,810.0,0.0,0.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.89,461.0,275.0,0.0,1402.0,0.0,0.0,106.0,0.0,0.0,683.0,0.0,0.0,166.0
Breast-AdenoCA::S.90,362.0,0.0,0.0,1088.0,0.0,2370.0,1150.0,0.0,0.0,273.0,0.0,0.0,277.0
Breast-AdenoCA::S.91,491.0,3660.0,7519.0,1424.0,0.0,0.0,2228.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.92,179.0,392.0,4399.0,1800.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.93,296.0,1483.0,2813.0,4749.0,0.0,0.0,1250.0,1211.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.94,274.0,123.0,0.0,1772.0,0.0,0.0,548.0,0.0,0.0,490.0,0.0,678.0,286.0
Breast-AdenoCA::S.95,417.0,0.0,2950.0,1905.0,0.0,0.0,0.0,0.0,0.0,1792.0,0.0,0.0,0.0
Breast-AdenoCA::S.96,729.0,0.0,0.0,2653.0,0.0,0.0,4061.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.97,456.0,420.0,0.0,959.0,0.0,0.0,1264.0,0.0,0.0,552.0,0.0,0.0,0.0
Breast-AdenoCA::S.98,247.0,1514.0,0.0,461.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.99,743.0,2625.0,0.0,3791.0,0.0,0.0,2788.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.100,433.0,1091.0,0.0,2442.0,0.0,0.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0
