Samples	ID1	ID2	ID4	ID5	ID8	ID9	ID13
Skin-Melanoma::S.60	57	0	0	371	135	0	0
Skin-Melanoma::S.61	588	0	0	309	0	0	0
Skin-Melanoma::S.62	218	0	1916	0	480	0	725
Skin-Melanoma::S.63	134	0	0	249	205	0	0
Skin-Melanoma::S.64	83	0	0	0	221	0	1016
Skin-Melanoma::S.65	58	30	0	72	34	0	0
Skin-Melanoma::S.66	128	0	0	0	0	0	805
Skin-Melanoma::S.67	100	0	0	0	0	0	739
Skin-Melanoma::S.68	0	75	0	361	0	0	76
Skin-Melanoma::S.69	0	0	0	289	155	0	0
Skin-Melanoma::S.70	120	0	0	449	364	0	624
Skin-Melanoma::S.71	128	0	0	244	0	0	316
Skin-Melanoma::S.72	81	0	0	198	105	0	120
Skin-Melanoma::S.73	0	179	0	0	0	123	665
Skin-Melanoma::S.74	193	0	0	0	0	0	709
Skin-Melanoma::S.75	90	0	0	0	93	0	0
Skin-Melanoma::S.76	97	45	0	234	190	0	98
Skin-Melanoma::S.77	115	0	0	0	387	0	287
Skin-Melanoma::S.78	70	0	0	61	0	0	0
Skin-Melanoma::S.79	83	0	0	742	0	0	0
Skin-Melanoma::S.80	141	0	0	239	0	0	125
Skin-Melanoma::S.81	0	0	344	334	0	0	0
Skin-Melanoma::S.82	101	0	0	0	164	0	712
Skin-Melanoma::S.83	38	0	0	170	0	0	61
Skin-Melanoma::S.84	0	0	0	594	520	0	627
Skin-Melanoma::S.85	74	0	0	288	0	0	0
Skin-Melanoma::S.86	153	0	0	0	324	0	146
Skin-Melanoma::S.87	140	43	0	316	0	0	0
Skin-Melanoma::S.88	135	0	0	0	191	0	449
Skin-Melanoma::S.89	0	204	793	0	0	0	246
Skin-Melanoma::S.90	180	0	0	227	95	0	179
Skin-Melanoma::S.91	0	0	0	0	0	0	773
Skin-Melanoma::S.92	173	51	0	213	84	0	0
Skin-Melanoma::S.93	103	0	0	477	808	0	757
Skin-Melanoma::S.94	80	39	0	202	62	0	142
Skin-Melanoma::S.95	0	0	0	0	505	0	145
Skin-Melanoma::S.96	92	0	0	0	242	0	864
Skin-Melanoma::S.97	157	48	0	0	396	0	325
Skin-Melanoma::S.98	336	0	0	0	147	0	0
Skin-Melanoma::S.99	0	84	0	605	0	0	0
