Sample.ID,Tool,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
Breast-AdenoCA::S.60,Ground-Truth,0,13,0,68,0,17,0,0,44,0,0
Breast-AdenoCA::S.61,Ground-Truth,0,33,0,46,0,14,0,0,53,0,14
Breast-AdenoCA::S.62,Ground-Truth,0,4,0,0,0,28,0,0,48,0,18
Breast-AdenoCA::S.63,Ground-Truth,0,49,0,37,0,0,0,0,34,0,0
Breast-AdenoCA::S.64,Ground-Truth,0,21,0,14,0,84,0,0,46,0,23
Breast-AdenoCA::S.65,Ground-Truth,0,17,0,13,0,28,0,0,0,0,29
Breast-AdenoCA::S.66,Ground-Truth,0,23,0,30,0,17,0,0,39,0,32
Breast-AdenoCA::S.67,Ground-Truth,0,26,0,7,0,13,0,0,8,0,0
Breast-AdenoCA::S.68,Ground-Truth,0,9,0,17,0,12,0,0,30,0,23
Breast-AdenoCA::S.69,Ground-Truth,0,20,0,82,0,25,0,0,29,0,38
Breast-AdenoCA::S.70,Ground-Truth,0,8,0,25,0,19,0,0,42,0,10
Breast-AdenoCA::S.71,Ground-Truth,0,31,0,13,0,25,0,0,0,0,12
Breast-AdenoCA::S.72,Ground-Truth,0,30,0,32,0,17,0,0,52,0,0
Breast-AdenoCA::S.73,Ground-Truth,0,10,0,30,0,9,0,0,36,0,27
Breast-AdenoCA::S.74,Ground-Truth,0,30,0,25,0,16,0,0,39,0,0
Breast-AdenoCA::S.75,Ground-Truth,0,35,0,14,0,36,0,0,29,0,17
Breast-AdenoCA::S.76,Ground-Truth,0,7,0,22,0,41,0,0,39,0,33
Breast-AdenoCA::S.77,Ground-Truth,0,26,0,28,0,7,0,0,50,0,0
Breast-AdenoCA::S.78,Ground-Truth,0,16,0,52,0,29,0,0,0,0,12
Breast-AdenoCA::S.79,Ground-Truth,0,49,0,43,0,18,0,0,47,0,0
Breast-AdenoCA::S.80,Ground-Truth,0,42,0,18,0,10,0,0,41,0,22
Breast-AdenoCA::S.81,Ground-Truth,0,65,0,44,0,14,0,0,0,0,22
Breast-AdenoCA::S.82,Ground-Truth,0,8,0,77,0,17,0,0,33,0,0
Breast-AdenoCA::S.83,Ground-Truth,0,30,0,52,0,17,0,0,31,0,0
Breast-AdenoCA::S.84,Ground-Truth,0,58,0,79,0,28,0,0,34,0,0
Breast-AdenoCA::S.85,Ground-Truth,0,43,0,7,0,32,0,0,0,0,0
Breast-AdenoCA::S.86,Ground-Truth,0,7,0,28,0,15,0,0,19,0,50
Breast-AdenoCA::S.87,Ground-Truth,0,43,0,23,0,35,0,0,24,0,11
Breast-AdenoCA::S.88,Ground-Truth,0,30,0,28,0,17,0,0,33,0,0
Breast-AdenoCA::S.89,Ground-Truth,0,28,0,21,0,21,0,0,29,0,0
Breast-AdenoCA::S.90,Ground-Truth,0,68,0,0,0,58,0,0,55,0,0
Breast-AdenoCA::S.91,Ground-Truth,0,31,0,19,0,33,0,0,54,0,26
Breast-AdenoCA::S.92,Ground-Truth,0,10,0,24,0,15,0,0,32,0,35
Breast-AdenoCA::S.93,Ground-Truth,0,15,0,16,0,17,0,0,49,0,35
Breast-AdenoCA::S.94,Ground-Truth,0,12,0,25,0,32,0,0,37,0,32
Breast-AdenoCA::S.95,Ground-Truth,0,28,0,24,0,43,0,0,30,0,0
Breast-AdenoCA::S.96,Ground-Truth,0,4,0,22,0,31,0,0,65,0,14
Breast-AdenoCA::S.97,Ground-Truth,0,3,0,45,0,41,0,0,0,0,46
Breast-AdenoCA::S.98,Ground-Truth,0,18,0,33,0,42,0,0,0,0,0
Breast-AdenoCA::S.99,Ground-Truth,0,6,0,21,0,34,0,0,36,0,22
Breast-AdenoCA::S.100,Ground-Truth,0,0,0,17,0,39,0,0,61,0,0
ColoRect-AdenoCA::S.1,Ground-Truth,0,1,0,6,0,17,95,0,0,0,0
ColoRect-AdenoCA::S.2,Ground-Truth,0,10,0,18,0,0,81,0,0,0,0
ColoRect-AdenoCA::S.3,Ground-Truth,0,35,0,12,0,5,84,0,0,0,0
ColoRect-AdenoCA::S.4,Ground-Truth,0,13,0,12,0,22,60,0,0,0,0
ColoRect-AdenoCA::S.5,Ground-Truth,0,15,0,4,0,20,0,0,36,0,0
ColoRect-AdenoCA::S.6,Ground-Truth,0,44,0,6,0,9,164,0,37,0,0
ColoRect-AdenoCA::S.7,Ground-Truth,0,31,0,11,0,14,95,0,0,0,0
ColoRect-AdenoCA::S.8,Ground-Truth,0,4,0,10,0,13,50,0,54,0,0
ColoRect-AdenoCA::S.9,Ground-Truth,0,24,0,7,0,0,48,0,0,0,0
ColoRect-AdenoCA::S.10,Ground-Truth,0,21,0,8,0,0,346,0,16,0,0
ColoRect-AdenoCA::S.11,Ground-Truth,0,14,6,13,0,12,313,0,0,0,0
ColoRect-AdenoCA::S.12,Ground-Truth,0,8,0,14,0,0,88,0,0,0,0
ColoRect-AdenoCA::S.13,Ground-Truth,0,9,0,53,0,15,0,0,56,0,0
ColoRect-AdenoCA::S.14,Ground-Truth,0,23,7,15,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.15,Ground-Truth,0,54,3,9,0,6,117,0,21,0,0
ColoRect-AdenoCA::S.16,Ground-Truth,0,18,0,5,0,35,231,0,28,0,0
ColoRect-AdenoCA::S.17,Ground-Truth,0,11,0,33,0,0,25,0,0,0,0
ColoRect-AdenoCA::S.18,Ground-Truth,0,38,0,27,0,13,69,0,16,0,0
ColoRect-AdenoCA::S.19,Ground-Truth,0,22,0,14,0,0,48,0,6,0,0
ColoRect-AdenoCA::S.20,Ground-Truth,0,52,1,16,0,0,30,0,0,0,0
ColoRect-AdenoCA::S.21,Ground-Truth,0,25,0,8,0,34,0,0,26,0,0
ColoRect-AdenoCA::S.22,Ground-Truth,0,5,0,1,0,9,267,0,30,0,0
ColoRect-AdenoCA::S.23,Ground-Truth,0,58,0,18,0,5,49,0,0,0,0
ColoRect-AdenoCA::S.24,Ground-Truth,0,0,0,12,0,29,0,0,32,0,0
ColoRect-AdenoCA::S.25,Ground-Truth,0,8,0,8,0,24,157,0,0,0,0
ColoRect-AdenoCA::S.26,Ground-Truth,0,18,0,10,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.27,Ground-Truth,0,8,0,21,0,0,186,0,17,0,0
ColoRect-AdenoCA::S.28,Ground-Truth,0,3,0,7,0,0,107,0,33,0,0
ColoRect-AdenoCA::S.29,Ground-Truth,0,22,0,7,0,0,186,0,24,0,0
ColoRect-AdenoCA::S.30,Ground-Truth,0,20,0,17,0,0,72,0,15,0,0
ColoRect-AdenoCA::S.31,Ground-Truth,0,31,0,14,0,0,69,0,0,0,0
ColoRect-AdenoCA::S.32,Ground-Truth,0,11,0,5,0,0,0,0,0,0,0
ColoRect-AdenoCA::S.33,Ground-Truth,0,19,0,52,0,22,21,0,0,0,0
ColoRect-AdenoCA::S.34,Ground-Truth,0,11,0,40,0,0,76,0,0,0,0
ColoRect-AdenoCA::S.35,Ground-Truth,0,38,0,7,0,0,240,0,15,0,0
ColoRect-AdenoCA::POLE.S.1,Ground-Truth,0,0,1442,0,0,0,0,0,0,319,0
ColoRect-AdenoCA::POLE.S.2,Ground-Truth,0,0,1229,0,0,0,0,0,0,291,0
ColoRect-AdenoCA::POLE.S.3,Ground-Truth,0,0,200,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.4,Ground-Truth,0,0,1501,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.5,Ground-Truth,0,0,3853,0,0,0,0,0,0,521,0
ColoRect-AdenoCA::POLE.S.6,Ground-Truth,0,0,2596,0,0,0,0,0,0,354,0
ColoRect-AdenoCA::POLE.S.7,Ground-Truth,0,0,1310,0,0,0,0,0,0,373,0
ColoRect-AdenoCA::POLE.S.8,Ground-Truth,0,0,0,0,0,0,0,0,0,515,0
ColoRect-AdenoCA::POLE.S.9,Ground-Truth,0,0,3292,0,0,0,0,0,0,1477,0
ColoRect-AdenoCA::POLE.S.10,Ground-Truth,0,0,2477,0,0,0,0,0,0,580,0
ColoRect-AdenoCA::POLE.S.11,Ground-Truth,0,0,1861,0,0,0,0,0,0,126,0
ColoRect-AdenoCA::POLE.S.12,Ground-Truth,0,0,238,0,0,0,0,0,0,272,0
ColoRect-AdenoCA::POLE.S.13,Ground-Truth,0,0,1135,0,0,0,0,0,0,281,0
ColoRect-AdenoCA::POLE.S.14,Ground-Truth,0,0,1028,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.15,Ground-Truth,0,0,766,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.16,Ground-Truth,0,0,3828,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.17,Ground-Truth,0,0,644,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.18,Ground-Truth,0,0,1898,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.19,Ground-Truth,0,0,4090,0,0,0,0,0,0,162,0
ColoRect-AdenoCA::POLE.S.20,Ground-Truth,0,0,2402,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.21,Ground-Truth,0,0,2241,0,0,0,0,0,0,130,0
ColoRect-AdenoCA::POLE.S.22,Ground-Truth,0,0,0,0,0,0,0,0,0,123,0
ColoRect-AdenoCA::POLE.S.23,Ground-Truth,0,0,2713,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.24,Ground-Truth,0,0,0,0,0,0,0,0,0,452,0
ColoRect-AdenoCA::POLE.S.25,Ground-Truth,0,0,634,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.26,Ground-Truth,0,0,1241,0,0,0,0,0,0,628,0
ColoRect-AdenoCA::POLE.S.27,Ground-Truth,0,0,3097,0,0,0,0,0,0,0,0
ColoRect-AdenoCA::POLE.S.28,Ground-Truth,0,0,426,0,0,0,0,0,0,79,0
ColoRect-AdenoCA::POLE.S.29,Ground-Truth,0,0,765,0,0,0,0,0,0,440,0
ColoRect-AdenoCA::POLE.S.30,Ground-Truth,0,0,707,0,0,0,0,0,0,447,0
ColoRect-AdenoCA::MSI-H.S.1,Ground-Truth,0,48,37,3,0,20,0,235,74,15,0
ColoRect-AdenoCA::MSI-H.S.2,Ground-Truth,0,3,0,54,0,0,37,178,11,0,0
ColoRect-AdenoCA::MSI-H.S.3,Ground-Truth,0,4,31,18,0,15,0,0,60,0,0
ColoRect-AdenoCA::MSI-H.S.4,Ground-Truth,0,1,56,2,0,15,47,0,39,42,0
ColoRect-AdenoCA::MSI-H.S.5,Ground-Truth,0,3,34,0,0,15,0,0,38,0,0
ColoRect-AdenoCA::MSI-H.S.6,Ground-Truth,0,55,0,9,0,25,0,0,41,0,0
ColoRect-AdenoCA::MSI-H.S.7,Ground-Truth,0,68,35,11,0,6,0,0,30,0,0
ColoRect-AdenoCA::MSI-H.S.8,Ground-Truth,0,0,59,0,0,0,0,153,66,30,0
ColoRect-AdenoCA::MSI-H.S.9,Ground-Truth,0,1,76,2,0,0,41,0,43,57,0
ColoRect-AdenoCA::MSI-H.S.10,Ground-Truth,0,32,44,1,0,0,0,0,38,0,0
ColoRect-AdenoCA::MSI-H.S.11,Ground-Truth,0,2,43,6,0,0,31,0,22,2,0
ColoRect-AdenoCA::MSI-H.S.12,Ground-Truth,0,1,10,12,0,0,0,327,52,0,0
ColoRect-AdenoCA::MSI-H.S.13,Ground-Truth,0,0,22,23,0,0,67,0,47,25,0
ColoRect-AdenoCA::MSI-H.S.14,Ground-Truth,0,11,29,0,0,0,0,0,32,12,0
ColoRect-AdenoCA::MSI-H.S.15,Ground-Truth,0,0,38,6,0,16,0,0,31,0,0
ColoRect-AdenoCA::MSI-H.S.16,Ground-Truth,0,0,27,18,0,0,15,0,29,54,0
ColoRect-AdenoCA::MSI-H.S.17,Ground-Truth,0,126,58,4,0,0,0,0,22,0,0
ColoRect-AdenoCA::MSI-H.S.18,Ground-Truth,0,0,37,7,0,15,0,106,52,0,0
ColoRect-AdenoCA::MSI-H.S.19,Ground-Truth,0,126,41,5,0,0,40,0,11,7,0
ColoRect-AdenoCA::MSI-H.S.20,Ground-Truth,0,68,64,0,0,0,24,158,55,0,0
ColoRect-AdenoCA::MSI-H.S.21,Ground-Truth,0,13,45,7,0,0,56,0,37,0,0
ColoRect-AdenoCA::MSI-H.S.22,Ground-Truth,0,0,46,9,0,24,66,0,69,0,0
ColoRect-AdenoCA::MSI-H.S.23,Ground-Truth,0,10,33,29,0,12,0,0,59,0,0
ColoRect-AdenoCA::MSI-H.S.24,Ground-Truth,0,0,0,6,0,15,79,0,42,37,0
ColoRect-AdenoCA::MSI-H.S.25,Ground-Truth,0,45,37,28,0,0,29,0,62,0,0
ColoRect-AdenoCA::MSI-H.S.26,Ground-Truth,0,39,36,0,0,0,30,0,28,0,0
ColoRect-AdenoCA::MSI-H.S.27,Ground-Truth,0,9,0,34,0,0,0,172,53,0,0
ColoRect-AdenoCA::MSI-H.S.28,Ground-Truth,0,3,59,26,0,0,0,0,41,38,0
ColoRect-AdenoCA::MSI-H.S.29,Ground-Truth,0,9,0,2,0,0,81,0,35,32,0
ColoRect-AdenoCA::MSI-H.S.30,Ground-Truth,0,10,31,10,0,0,37,0,40,11,0
ColoRect-AdenoCA::MSI-H.S.31,Ground-Truth,0,22,38,1,0,26,57,0,20,0,0
ColoRect-AdenoCA::MSI-H.S.32,Ground-Truth,0,0,61,4,0,23,64,99,18,18,0
ColoRect-AdenoCA::MSI-H.S.33,Ground-Truth,0,3,51,55,0,0,45,0,19,0,0
ColoRect-AdenoCA::MSI-H.S.34,Ground-Truth,0,8,51,0,0,13,21,0,87,0,0
ColoRect-AdenoCA::MSI-H.S.35,Ground-Truth,0,18,34,8,0,0,74,0,45,0,0
Eso-AdenoCA::S.1,Ground-Truth,0,34,0,11,0,0,26,0,22,0,21
Eso-AdenoCA::S.2,Ground-Truth,0,2,0,79,0,13,0,2,70,0,14
Eso-AdenoCA::S.3,Ground-Truth,0,3,0,39,0,12,0,2,18,0,0
Eso-AdenoCA::S.4,Ground-Truth,0,23,0,9,0,21,0,45,0,0,9
Eso-AdenoCA::S.5,Ground-Truth,0,3,36,4,0,54,0,0,27,0,8
Eso-AdenoCA::S.6,Ground-Truth,0,91,28,26,0,27,52,0,0,0,0
Eso-AdenoCA::S.7,Ground-Truth,0,1,0,21,0,25,34,4,28,0,23
Eso-AdenoCA::S.8,Ground-Truth,0,11,167,6,0,31,0,14,24,0,34
Eso-AdenoCA::S.9,Ground-Truth,0,16,33,10,0,15,0,23,10,0,19
Eso-AdenoCA::S.10,Ground-Truth,0,10,0,36,0,0,0,0,17,0,0
Eso-AdenoCA::S.11,Ground-Truth,0,20,67,29,0,4,0,15,29,0,12
Eso-AdenoCA::S.12,Ground-Truth,0,4,0,40,27,21,60,0,9,0,7
Eso-AdenoCA::S.13,Ground-Truth,0,29,0,11,32,12,38,0,38,0,0
Eso-AdenoCA::S.14,Ground-Truth,0,29,0,16,0,16,0,20,0,0,32
Eso-AdenoCA::S.15,Ground-Truth,0,8,0,30,0,45,38,0,44,0,43
Eso-AdenoCA::S.16,Ground-Truth,0,0,0,7,29,27,213,2,30,0,10
Eso-AdenoCA::S.17,Ground-Truth,0,7,0,49,0,19,42,0,12,0,25
Eso-AdenoCA::S.18,Ground-Truth,0,35,0,20,0,17,80,79,53,0,10
Eso-AdenoCA::S.19,Ground-Truth,0,4,0,15,0,0,89,75,36,0,18
Eso-AdenoCA::S.20,Ground-Truth,0,12,0,21,0,22,0,2,28,0,2
Eso-AdenoCA::S.21,Ground-Truth,0,14,0,48,0,7,0,18,42,0,0
Eso-AdenoCA::S.22,Ground-Truth,0,10,0,26,0,11,37,54,25,0,0
Eso-AdenoCA::S.23,Ground-Truth,0,41,0,17,0,0,35,18,32,0,14
Eso-AdenoCA::S.24,Ground-Truth,0,101,0,77,0,10,21,0,6,0,45
Eso-AdenoCA::S.25,Ground-Truth,0,18,0,6,0,6,0,15,0,0,6
Eso-AdenoCA::S.26,Ground-Truth,0,11,0,7,0,0,0,0,74,0,21
Eso-AdenoCA::S.27,Ground-Truth,0,12,0,53,0,12,0,8,14,0,8
Eso-AdenoCA::S.28,Ground-Truth,0,18,0,41,0,11,0,3,38,0,0
Eso-AdenoCA::S.29,Ground-Truth,0,6,0,33,0,36,0,57,57,0,18
Eso-AdenoCA::S.30,Ground-Truth,0,13,0,18,0,21,52,11,0,0,0
Eso-AdenoCA::S.31,Ground-Truth,0,50,76,38,65,0,195,7,23,0,25
Eso-AdenoCA::S.32,Ground-Truth,0,9,0,2,0,10,63,0,0,0,0
Eso-AdenoCA::S.33,Ground-Truth,0,23,0,12,0,15,134,4,53,0,24
Eso-AdenoCA::S.34,Ground-Truth,0,5,110,135,0,12,0,11,20,0,34
Eso-AdenoCA::S.35,Ground-Truth,0,3,0,20,0,40,62,0,19,0,9
Eso-AdenoCA::S.36,Ground-Truth,0,20,0,6,0,17,0,0,32,0,21
Eso-AdenoCA::S.37,Ground-Truth,0,22,0,69,0,9,0,27,0,0,21
Eso-AdenoCA::S.38,Ground-Truth,0,81,0,27,0,5,77,22,12,0,30
Eso-AdenoCA::S.39,Ground-Truth,0,9,0,7,0,18,62,0,50,0,7
Eso-AdenoCA::S.40,Ground-Truth,0,7,0,11,0,18,0,38,98,0,3
Eso-AdenoCA::S.41,Ground-Truth,0,16,0,11,0,8,74,34,28,0,0
Eso-AdenoCA::S.42,Ground-Truth,0,0,0,0,0,12,103,7,55,0,0
Eso-AdenoCA::S.43,Ground-Truth,0,0,0,12,0,18,26,15,53,0,11
Eso-AdenoCA::S.44,Ground-Truth,0,11,0,39,0,9,71,20,20,0,5
Eso-AdenoCA::S.45,Ground-Truth,0,17,0,16,0,14,20,0,18,0,11
Eso-AdenoCA::S.46,Ground-Truth,0,12,0,10,0,21,0,15,0,0,6
Eso-AdenoCA::S.47,Ground-Truth,0,17,0,10,0,28,122,7,45,0,8
Eso-AdenoCA::S.48,Ground-Truth,0,15,0,13,114,20,0,14,0,0,4
Eso-AdenoCA::S.49,Ground-Truth,0,12,11,34,0,12,0,0,12,0,30
Eso-AdenoCA::S.50,Ground-Truth,0,8,0,5,0,6,0,0,12,0,15
Eso-AdenoCA::S.51,Ground-Truth,0,29,0,8,0,11,0,21,36,0,3
Eso-AdenoCA::S.52,Ground-Truth,0,12,0,26,0,15,0,0,18,0,25
Eso-AdenoCA::S.53,Ground-Truth,0,9,0,15,0,17,22,29,32,0,39
Eso-AdenoCA::S.54,Ground-Truth,0,41,0,19,0,62,0,9,76,0,6
Eso-AdenoCA::S.55,Ground-Truth,0,4,0,12,0,0,57,0,102,0,16
Eso-AdenoCA::S.56,Ground-Truth,0,4,0,18,0,16,47,3,48,0,0
Eso-AdenoCA::S.57,Ground-Truth,0,3,0,15,0,17,70,15,29,0,18
Eso-AdenoCA::S.58,Ground-Truth,0,8,0,19,0,21,108,18,23,0,22
Eso-AdenoCA::S.59,Ground-Truth,0,10,0,7,0,32,54,0,26,0,8
Eso-AdenoCA::S.60,Ground-Truth,0,52,0,26,0,0,0,0,52,0,0
Eso-AdenoCA::S.61,Ground-Truth,0,7,0,0,0,84,0,0,49,0,6
Eso-AdenoCA::S.62,Ground-Truth,0,6,0,55,0,4,50,0,39,0,13
Eso-AdenoCA::S.63,Ground-Truth,0,2,0,5,19,33,0,27,0,0,0
Eso-AdenoCA::S.64,Ground-Truth,0,26,0,47,0,9,0,11,28,0,5
Eso-AdenoCA::S.65,Ground-Truth,0,24,0,18,0,28,0,0,0,0,7
Eso-AdenoCA::S.66,Ground-Truth,0,58,0,10,0,27,29,3,14,0,6
Eso-AdenoCA::S.67,Ground-Truth,0,17,0,50,0,14,0,0,23,0,53
Eso-AdenoCA::S.68,Ground-Truth,0,62,0,36,0,0,0,20,45,0,9
Eso-AdenoCA::S.69,Ground-Truth,0,36,0,10,0,19,34,0,46,0,6
Eso-AdenoCA::S.70,Ground-Truth,0,14,0,45,0,18,20,94,31,0,58
Eso-AdenoCA::S.71,Ground-Truth,0,70,0,13,0,21,0,35,0,0,18
Eso-AdenoCA::S.72,Ground-Truth,0,8,0,15,0,29,0,0,23,0,8
Eso-AdenoCA::S.73,Ground-Truth,0,12,0,22,0,0,0,0,0,0,19
Eso-AdenoCA::S.74,Ground-Truth,0,7,0,38,0,7,34,44,10,0,27
Eso-AdenoCA::S.75,Ground-Truth,0,4,0,20,0,21,0,0,13,0,13
Eso-AdenoCA::S.76,Ground-Truth,0,26,0,37,0,2,0,0,0,0,39
Eso-AdenoCA::S.77,Ground-Truth,0,29,0,0,0,8,55,0,7,0,27
Eso-AdenoCA::S.78,Ground-Truth,0,48,0,12,0,14,0,2,6,0,26
Eso-AdenoCA::S.79,Ground-Truth,0,6,0,33,128,0,0,0,22,0,8
Eso-AdenoCA::S.80,Ground-Truth,0,16,0,58,0,10,0,5,41,0,27
Eso-AdenoCA::S.81,Ground-Truth,0,4,0,7,0,41,70,6,24,0,11
Eso-AdenoCA::S.82,Ground-Truth,0,4,0,8,0,18,53,124,11,0,24
Eso-AdenoCA::S.83,Ground-Truth,0,27,0,32,0,15,35,48,33,0,0
Eso-AdenoCA::S.84,Ground-Truth,0,1,0,37,0,13,0,79,33,0,22
Eso-AdenoCA::S.85,Ground-Truth,0,0,0,72,0,9,0,0,6,0,10
Eso-AdenoCA::S.86,Ground-Truth,0,20,0,4,0,17,0,0,0,0,11
Eso-AdenoCA::S.87,Ground-Truth,0,17,0,14,0,23,42,1,21,0,27
Eso-AdenoCA::S.88,Ground-Truth,0,17,0,14,0,35,39,36,0,0,0
Eso-AdenoCA::S.89,Ground-Truth,0,28,0,39,0,29,0,147,15,0,83
Eso-AdenoCA::S.90,Ground-Truth,0,0,0,21,0,0,21,0,50,0,6
Eso-AdenoCA::S.91,Ground-Truth,0,3,0,55,0,15,0,39,0,0,20
Eso-AdenoCA::S.92,Ground-Truth,0,4,49,7,0,0,0,0,27,0,14
Eso-AdenoCA::S.93,Ground-Truth,0,2,0,25,0,0,0,0,0,0,0
Eso-AdenoCA::S.94,Ground-Truth,0,27,0,40,0,0,0,2,12,0,15
Eso-AdenoCA::S.95,Ground-Truth,0,13,0,16,0,4,70,7,5,0,35
