cancer.type,Tool,rank_in_cancer_type,m.Combined
Lung-AdenoCA,musical,2,2.59106359451725
Lung-AdenoCA,fitms_0.060,3,2.5884937383181
Lung-AdenoCA,msa_thresholdx10,4,2.56291384297745
Lung-AdenoCA,deconstruct_0.03,5,2.50398901322947
Lung-AdenoCA,yapsa_0.03,6,2.50109374323481
Lung-AdenoCA,mp,7,2.486145116061
Lung-AdenoCA,mutsig,8,2.45788310803993
Lung-AdenoCA,sigest,9,2.4282002107577
Lung-AdenoCA,sigspack,10,2.40674782980532
Lung-AdenoCA,sigfit,11,2.37610515407112
Lung-AdenoCA,sigpro,12,2.30303445771489
Ovary-AdenoCA,pasa,1,2.77524873193273
Ovary-AdenoCA,fitms_0.060,2,2.72369163765404
Ovary-AdenoCA,musical,3,2.6435557976127
Ovary-AdenoCA,msa_thresholdx10,4,2.57686029782116
Ovary-AdenoCA,deconstruct_0.03,5,2.55434643398468
Ovary-AdenoCA,yapsa_0.03,6,2.54953886353427
Ovary-AdenoCA,mp,7,2.50909078464931
Ovary-AdenoCA,mutsig,8,2.50712196872691
Ovary-AdenoCA,sigspack,9,2.48193431069767
Ovary-AdenoCA,sigfit,10,2.47058083449217
Ovary-AdenoCA,sigest,11,2.45222002498339
Ovary-AdenoCA,sigpro,12,2.35989359732204
Skin-Melanoma,pasa,1,2.78672943688718
Skin-Melanoma,fitms_0.060,2,2.63289589850752
Skin-Melanoma,musical,3,2.61193882089979
Skin-Melanoma,msa_thresholdx10,4,2.58610271786741
Skin-Melanoma,deconstruct_0.03,5,2.54215964682823
Skin-Melanoma,mp,6,2.54096465904583
Skin-Melanoma,yapsa_0.03,7,2.53690063828752
Skin-Melanoma,mutsig,8,2.49278397095601
Skin-Melanoma,sigspack,9,2.47240704908429
Skin-Melanoma,sigest,10,2.45419276337
Skin-Melanoma,sigfit,11,2.42044580150019
Skin-Melanoma,sigpro,12,2.37669913837241
Stomach-AdenoCA,pasa,1,2.86983917390609
Stomach-AdenoCA,fitms_0.060,2,2.85180821556784
Stomach-AdenoCA,msa_thresholdx10,3,2.76925388576573
Stomach-AdenoCA,musical,4,2.74188324706211
Stomach-AdenoCA,deconstruct_0.03,5,2.72570709495225
Stomach-AdenoCA,yapsa_0.03,6,2.71804762924413
Stomach-AdenoCA,mp,7,2.69907683041278
Stomach-AdenoCA,sigpro,8,2.62400408566905
Stomach-AdenoCA,mutsig,9,2.50141986330236
Stomach-AdenoCA,sigspack,10,2.39139246758751
Stomach-AdenoCA,sigest,11,2.38499961044466
Stomach-AdenoCA,sigfit,12,2.30466810206509
