,DBS2,DBS4,DBS5,DBS6,DBS11
Lung-AdenoCA::S.33,106.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.34,24.0,0.0,0.0,21.0,0.0
Lung-AdenoCA::S.35,4666.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.36,1660.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.37,327.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.38,48.0,17.0,0.0,0.0,0.0
Lung-AdenoCA::S.39,52.0,0.0,0.0,37.0,0.0
Lung-AdenoCA::S.40,155.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.41,29.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.42,93.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.43,403.0,0.0,0.0,145.0,0.0
Lung-AdenoCA::S.44,391.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.45,186.0,0.0,84.0,0.0,0.0
Lung-AdenoCA::S.46,104.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.47,214.0,0.0,0.0,169.0,0.0
Lung-AdenoCA::S.48,589.0,0.0,206.0,0.0,0.0
Lung-AdenoCA::S.49,154.0,0.0,0.0,370.0,0.0
Lung-AdenoCA::S.50,97.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.51,96.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.52,28.0,0.0,0.0,0.0,29.0
Lung-AdenoCA::S.53,66.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.54,800.0,0.0,459.0,0.0,0.0
Lung-AdenoCA::S.55,92.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.56,521.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.57,710.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.58,1125.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.59,5551.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.60,396.0,0.0,174.0,0.0,0.0
Lung-AdenoCA::S.61,497.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.62,471.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.63,1617.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.64,47.0,0.0,0.0,138.0,0.0
Lung-AdenoCA::S.65,30.0,0.0,0.0,89.0,0.0
Lung-AdenoCA::S.66,1026.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.67,0.0,0.0,0.0,0.0,38.0
Lung-AdenoCA::S.68,271.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.69,431.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.70,92.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.71,695.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.72,5344.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.73,52.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.74,34.0,0.0,64.0,0.0,0.0
Lung-AdenoCA::S.75,3220.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.76,9.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.77,418.0,0.0,0.0,0.0,102.0
Lung-AdenoCA::S.78,1093.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.79,564.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.80,2686.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.81,708.0,0.0,0.0,468.0,0.0
Lung-AdenoCA::S.82,0.0,0.0,0.0,0.0,179.0
Lung-AdenoCA::S.83,3819.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.84,36.0,22.0,0.0,21.0,0.0
Lung-AdenoCA::S.85,134.0,0.0,373.0,0.0,0.0
Lung-AdenoCA::S.86,1821.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.87,2165.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.88,630.0,0.0,0.0,418.0,0.0
Lung-AdenoCA::S.89,381.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.90,0.0,0.0,0.0,0.0,18.0
Lung-AdenoCA::S.91,479.0,0.0,0.0,0.0,100.0
Lung-AdenoCA::S.92,573.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.93,92.0,0.0,0.0,70.0,0.0
Lung-AdenoCA::S.94,1147.0,0.0,181.0,392.0,0.0
Lung-AdenoCA::S.95,1546.0,0.0,0.0,302.0,0.0
Lung-AdenoCA::S.96,66.0,0.0,0.0,843.0,0.0
Lung-AdenoCA::S.97,5477.0,0.0,779.0,0.0,0.0
Lung-AdenoCA::S.98,4865.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.99,1013.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.100,4156.0,0.0,0.0,0.0,0.0
