"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.spec","med.spec","m.scaled_L2","med.scaled_L2","m.KL","med.KL","m.sum_sens_spec","med.sum_sens_spec"
"11","msa_default",2.48579801716454,2.55132058618126,0.369322760662217,0.836356767959709,0.857142857142857,0.143767750857818,0.222551189184662,0.181930740558355,0.170083020159847,0.884915784832451,1,0.162715924259448,0.823433421516755,0.833333333333333,0.175496718113761,0.866200420585225,0.875,0.872056736683657,0.897376744523077,0.265639841005957,0.129733457231973,1.75111620541768,1.8
"12","sigpro",2.4702508320995,2.52226742882891,0.39673528029116,0.829040434873768,0.857142857142857,0.152927126500547,0.245087792239125,0.175053653928766,0.21522439543816,0.76842328042328,0.75,0.206445280175306,0.946915343915344,1,0.121179996224665,0.974125383875384,1,0.854915045478898,0.894352197079121,0.47963146066524,0.241574418413339,1.74254866429866,1.75
"13","mp",2.4623045658771,2.54029543189981,0.412234743035993,0.800031931031931,0.857142857142857,0.185962594097357,0.214351959696096,0.16027902078828,0.178580219031468,0.748416666666667,0.8,0.24314191706382,0.928239858906526,1,0.137217203833401,0.955516946016946,1,0.876672291177064,0.907199670771935,0.338479090985644,0.160569484427582,1.70393361268361,1.75
"14","deconstruct",2.38185252333716,2.43930313222183,0.395440860725737,0.768572532405866,0.8,0.168604212430864,0.230894390243087,0.194466056435144,0.169486148545639,0.692111992945326,0.666666666666667,0.217437191692273,0.920634920634921,1,0.143267723980676,0.958170187836854,1,0.868814843039416,0.893815171278962,0.374163427797253,0.281365201200896,1.65028218078218,1.66666666666667
"15","yapsa",2.37368074500075,2.4342164122389,0.392994608703241,0.763897065897066,0.8,0.173322711059258,0.232834687098019,0.195579701531863,0.162446238528179,0.692487654320988,0.666666666666667,0.221857073542885,0.914027777777778,1,0.153861722277673,0.954959603667937,1,0.866452270210991,0.889840508887572,0.368805585712969,0.290777403797858,1.64744725798892,1.66666666666667
"16","sigest",2.31502360999387,2.34001382496062,0.312752228815971,0.721163902345791,0.727272727272727,0.149340134046106,0.241803599833337,0.205262508662692,0.167093828095602,0.942514991181658,1,0.126147794657992,0.614312218645552,0.625,0.188447299669079,0.603654742679252,0.6,0.871522389059012,0.891893854556498,0.25897459102238,0.17645977831131,1.54616973386091,1.55555555555556
"17","sigspack",2.31502360999387,2.34001382496062,0.312752228815971,0.721163902345791,0.727272727272727,0.149340134046106,0.241803599833337,0.205262508662692,0.167093828095602,0.942514991181658,1,0.126147794657992,0.614312218645552,0.625,0.188447299669079,0.603654742679252,0.6,0.871522389059012,0.891893854556498,0.360141360928132,0.188396360366136,1.54616973386091,1.55555555555556
"18","mutsig",2.3074787886828,2.33357651464472,0.316611814401919,0.719034618956704,0.727272727272727,0.149848630633195,0.243415801295123,0.205614382319047,0.167438860647266,0.9479708994709,1,0.112979650619705,0.602923690507024,0.6,0.182329867013818,0.589742252391762,0.6,0.870106207934681,0.891709407689312,0.257091898163025,0.173488973453451,1.53771315186266,1.55555555555556
"19","sigfit",2.21111065288576,2.2287317257769,0.196489844901871,0.544870916807808,0.555555555555556,0.143925347954414,0.176728010357316,0.152905993068659,0.11975680357195,1,1,0,0.387838663243075,0.384615384615385,0.136671473935211,0,0,0.910618588480973,0.925156266673283,0.157497484107965,0.13051019462406,1,1
"20","siglasso",2.19473183345446,2.19756075684125,0.371813490937179,0.680638447971781,0.666666666666667,0.212293593048198,0.351584304111673,0.31140369404005,0.195971261876026,0.560160052910053,0.5,0.248574699063538,0.986156084656085,1,0.0671320207563069,0.99266933991934,1,0.795814086486942,0.822428899799635,0.753220410894919,0.647972961713102,1.55282939282939,1.5
"21","siglasso_wprior",2.15491551371036,2.16936816119286,0.387612748609454,0.709132962716296,0.75,0.197946443394643,0.426918260540079,0.389236512102785,0.25366026360779,0.587407848324515,0.6,0.237844238599063,0.994425925925926,1,0.041990150388451,0.997391093474427,1,0.739110080336845,0.770026012285096,0.918869056182544,0.806061924555576,1.58479894179894,1.6
