Cancer type,Tool,Rank within cancer type,mean (Combined Score)
Kidney-RCC,SigEstQP,9,2.42678237950731
Kidney-RCC,SigsPack,9,2.42678237950731
Kidney-RCC,mutSig,11,2.41646726912112
Kidney-RCC,sigfit,12,2.26739754864935
Liver-HCC,PASA,1,2.95351714466303
Liver-HCC,FitMS,2,2.89638338767779
Liver-HCC,MutPat,3,2.64507180648514
Liver-HCC,SigPro,4,2.64188975291445
Liver-HCC,MuSiCal,5,2.64032959041308
Liver-HCC,YAPSA,6,2.5711315935125
Liver-HCC,MSA,7,2.54084380229961
Liver-HCC,mutSig,8,2.41753407331049
Liver-HCC,DeconSig,9,2.39310256360468
Liver-HCC,SigEstQP,10,2.36926678981447
Liver-HCC,SigsPack,10,2.36926678981447
Liver-HCC,sigfit,12,2.32449681159274
Lung-AdenoCA,PASA,1,2.84697797132982
Lung-AdenoCA,FitMS,2,2.73628924978136
Lung-AdenoCA,SigPro,3,2.69028318830904
Lung-AdenoCA,DeconSig,4,2.62478606443007
Lung-AdenoCA,MutPat,5,2.49118612008023
Lung-AdenoCA,MuSiCal,6,2.47882483613925
Lung-AdenoCA,YAPSA,7,2.44538000297587
Lung-AdenoCA,MSA,8,2.40969369191039
Lung-AdenoCA,SigEstQP,9,2.23750505878443
Lung-AdenoCA,SigsPack,9,2.23750505878443
Lung-AdenoCA,mutSig,11,2.21565996512862
Lung-AdenoCA,sigfit,12,2.166399972338
Ovary-AdenoCA,PASA,1,2.86239342227867
Ovary-AdenoCA,FitMS,2,2.75154192050951
Ovary-AdenoCA,MSA,3,2.57076311802004
Ovary-AdenoCA,MuSiCal,4,2.57017234695967
Ovary-AdenoCA,MutPat,5,2.53801673098933
Ovary-AdenoCA,YAPSA,6,2.49900270396908
Ovary-AdenoCA,SigPro,7,2.42520046457531
Ovary-AdenoCA,mutSig,8,2.41496005725125
Ovary-AdenoCA,SigEstQP,9,2.40739465044821
Ovary-AdenoCA,SigsPack,9,2.40739465044821
Ovary-AdenoCA,sigfit,11,2.33569125762193
Ovary-AdenoCA,DeconSig,12,2.25759967797756
Skin-Melanoma,DeconSig,1,3
Skin-Melanoma,SigPro,1,3
Skin-Melanoma,FitMS,3,2.97342422040009
Skin-Melanoma,PASA,4,2.95182024202571
Skin-Melanoma,MutPat,5,2.81143830413461
Skin-Melanoma,YAPSA,6,2.73958104201444
Skin-Melanoma,MSA,7,2.7147753870381
Skin-Melanoma,MuSiCal,8,2.67790969788282
Skin-Melanoma,mutSig,9,2.5137142770168
Skin-Melanoma,sigfit,10,2.47449640662535
Skin-Melanoma,SigEstQP,11,2.40687560313171
Skin-Melanoma,SigsPack,11,2.40687560313171
Stomach-AdenoCA,PASA,1,2.8006645750073
Stomach-AdenoCA,FitMS,2,2.72056840525367
Stomach-AdenoCA,MuSiCal,3,2.5846131468908
Stomach-AdenoCA,MutPat,4,2.47788293928077
Stomach-AdenoCA,MSA,5,2.4459768104811
Stomach-AdenoCA,YAPSA,6,2.40626013830589
Stomach-AdenoCA,mutSig,7,2.3804805697205
Stomach-AdenoCA,SigEstQP,8,2.35969399099165
Stomach-AdenoCA,SigsPack,9,2.35969399099165
Stomach-AdenoCA,sigfit,10,2.2818020668932
Stomach-AdenoCA,SigPro,11,2.24599256317125
Stomach-AdenoCA,DeconSig,12,2.15855176519333
