Cancer type,Tool,Rank within cancer type,mean (Combined Score)
Ovary-AdenoCA,SigEstQP,5,2.53367240593577
Ovary-AdenoCA,SigsPack,5,2.53367240593577
Ovary-AdenoCA,mutSig,7,2.51378863539358
Ovary-AdenoCA,MutPat,8,2.50909078464931
Ovary-AdenoCA,YAPSA,9,2.47843720908879
Ovary-AdenoCA,DeconSig,10,2.47227848629966
Ovary-AdenoCA,sigfit,11,2.47058083449217
Ovary-AdenoCA,SigPro,12,2.35989359732204
Skin-Melanoma,PASA,1,2.78672943688718
Skin-Melanoma,MuSiCal,2,2.61193882089979
Skin-Melanoma,FitMS,3,2.6044262970206
Skin-Melanoma,MSA,4,2.58693942372832
Skin-Melanoma,MutPat,5,2.54096465904583
Skin-Melanoma,SigsPack,6,2.50083562051286
Skin-Melanoma,SigEstQP,7,2.50083562051286
Skin-Melanoma,DeconSig,8,2.49848884919768
Skin-Melanoma,mutSig,9,2.49561730428934
Skin-Melanoma,YAPSA,10,2.46804066287418
Skin-Melanoma,sigfit,11,2.42044580150019
Skin-Melanoma,SigPro,12,2.37669913837241
Stomach-AdenoCA,PASA,1,2.86983917390609
Stomach-AdenoCA,FitMS,2,2.8407927728615
Stomach-AdenoCA,MuSiCal,3,2.74188324706211
Stomach-AdenoCA,DeconSig,4,2.7311541859306
Stomach-AdenoCA,YAPSA,5,2.70159626667908
Stomach-AdenoCA,MutPat,6,2.69907683041278
Stomach-AdenoCA,MSA,7,2.69666220780583
Stomach-AdenoCA,SigPro,8,2.62400408566905
Stomach-AdenoCA,SigEstQP,9,2.53828532473037
Stomach-AdenoCA,SigsPack,9,2.53828532473037
Stomach-AdenoCA,mutSig,11,2.51787224425474
Stomach-AdenoCA,sigfit,12,2.3046681020651
