Sample,SBS1,SBS4,SBS5,SBS9,SBS12,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS22,SBS24,SBS29,SBS30,SBS31,SBS35,SBS40
Liver-HCC::S.18,0.0,0.0,2905.5586653079126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4467.766228115979
Liver-HCC::S.19,0.0,0.0,2696.706756298564,0.0,5498.648321186257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.20,0.0,0.0,12238.133210264843,0.0,2124.467316052769,0.0,0.0,0.0,1307.4287455012654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.21,0.0,0.0,5602.231183307187,0.0,2677.231869958764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.22,0.0,3357.6186586996223,6828.242658095237,0.0,1079.589240799989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.3301317961736,0.0,0.0,0.0,0.0
Liver-HCC::S.23,0.0,0.0,9231.81916702303,0.0,0.0,813.2274719153272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.24,0.0,0.0,6299.208265889364,0.0,2322.7939237593614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.25,0.0,0.0,6754.615891729695,0.0,1011.0180190008386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.26,0.0,4124.235612712557,15585.58346609952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.27,0.0,4939.645332337716,17077.560236242527,0.0,6341.790128296259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.28,272.7657487463654,1706.7807400238457,8435.543109387192,0.0,1463.4665502375399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.29,0.0,0.0,9447.293132871002,0.0,5477.114782883988,2778.399898054416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.30,0.0,0.0,4625.109928965378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.5384001056743,0.0,0.0,0.0,2370.916191211082
Liver-HCC::S.31,0.0,2639.491139808657,14636.692210212046,0.0,0.0,2305.668320204476,0.0,699.9121317899711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4504.693055769513
Liver-HCC::S.32,0.0,0.0,11211.330804334946,0.0,3326.834474920786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.8999052985703,0.0,0.0,0.0,0.0
Liver-HCC::S.33,0.0,0.0,7395.123520972938,0.0,2569.753253676902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.34,284.8470457171528,1554.7826107884791,6555.32233004654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2044.160128418557,0.0,0.0,0.0,0.0
Liver-HCC::S.35,0.0,0.0,15065.49615461477,0.0,1605.8808422953084,924.116634788443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.36,213.15061943024725,0.0,4584.4049022721765,0.0,0.0,525.3274237197998,144.24357634807103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.37,0.0,0.0,9263.093592595926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.38,0.0,0.0,13206.757794269519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.39,0.0,0.0,7610.5394076056555,0.0,0.0,452.3630736453241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.40,0.0,0.0,6262.772151002469,0.0,2508.007711394258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3308.6520416062544,0.0,0.0,13650.915779553732,0.0
Liver-HCC::S.41,0.0,0.0,7151.198222585236,0.0,4576.066741226733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.42,0.0,0.0,18822.741892907878,0.0,5480.296932871447,3124.1751051928945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.43,0.0,3119.7993462905015,3745.3018277470323,0.0,3537.3616708251757,633.0363929221389,0.0,0.0,0.0,0.0,0.0,0.0,1645.8652715768028,0.0,0.0,0.0,0.0
Liver-HCC::S.44,0.0,2401.8443690943195,6243.989496532044,0.0,1387.0099496909954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.45,335.91704496550767,0.0,7208.885833415476,0.0,0.0,967.4050959483574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.6486618446918,0.0,0.0
Liver-HCC::S.46,0.0,4082.4993313835116,5947.08120473779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.47,0.0,0.0,13365.44163375673,0.0,2847.8100168029923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.48,0.0,0.0,5073.700755333978,0.0,0.0,276.44206758372275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.49,0.0,0.0,4096.0228234514525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.50,0.0,4793.379777126096,6512.36059361501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.51,0.0,0.0,11010.926037454394,0.0,0.0,0.0,0.0,0.0,0.0,3124.110359982592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.52,0.0,0.0,3442.8603645263747,0.0,1995.0496377298691,0.0,0.0,0.0,0.0,0.0,7140.126391094537,0.0,0.0,0.0,0.0,1427.311369370917,0.0
Liver-HCC::S.53,0.0,2739.5761479820726,10508.597737644017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.54,0.0,0.0,9868.654682079996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0362218503358,0.0,0.0,0.0,0.0
Liver-HCC::S.55,0.0,0.0,8131.7872409335005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.8914756322206,0.0,0.0,0.0,8563.289207495154
Liver-HCC::S.56,387.2284378627848,3921.0437787676137,3825.2456587845295,0.0,4154.063856196021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.57,0.0,0.0,13644.022093771444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.58,0.0,0.0,7343.314832685727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.8845411839393,0.0,0.0,0.0,7356.164134731796
Liver-HCC::S.59,0.0,1676.6567421405407,5849.9017060166225,0.0,2396.8202227291936,1121.8879460129372,0.0,0.0,0.0,0.0,0.0,840.0057625381343,0.0,0.0,0.0,2942.5191136330413,0.0
Liver-HCC::S.60,0.0,3342.5139363435214,8407.833123695835,0.0,2392.1433734350126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.61,0.0,0.0,12659.439267870112,0.0,6257.734795962546,1188.3316260086463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.62,0.0,1686.668653397809,14175.555161818103,0.0,2720.5840896875266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.63,0.0,0.0,8256.38688123488,0.0,2856.38717071474,0.0,0.0,0.0,0.0,412.18206292126956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.64,0.0,0.0,8394.48333401553,0.0,0.0,2072.494334318839,0.0,0.0,0.0,0.0,0.0,0.0,2261.513984788785,0.0,0.0,0.0,0.0
Liver-HCC::S.65,0.0,0.0,5358.675288467835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.6252532662365,0.0
Liver-HCC::S.66,0.0,0.0,6775.582986638906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.67,0.0,3376.3690724409457,10359.1916804332,0.0,2921.3125266109114,0.0,0.0,420.4251055107194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.68,0.0,1251.9587500122743,2767.04664934703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.823524193145,0.0,0.0,0.0,0.0
Liver-HCC::S.69,0.0,0.0,2139.183538556033,0.0,1340.265496765988,0.0,0.0,0.0,0.0,0.0,0.0,524.1832229655797,0.0,0.0,0.0,3797.8235622399684,0.0
Liver-HCC::S.70,0.0,0.0,4197.641396365464,0.0,4074.4822126334357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2507.737360989234,8385.091414824652
Liver-HCC::S.71,0.0,0.0,9790.734370255552,0.0,3076.337392183347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.491821871617,0.0,0.0,4660.625112633047,0.0
Liver-HCC::S.72,0.0,0.0,2962.6962094869177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.8987773607152,0.0,0.0,0.0
Liver-HCC::S.73,0.0,0.0,15870.41972239902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.74,0.0,1621.2672545677804,18669.188133279447,0.0,3697.6414552659476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.75,0.0,0.0,12976.455723325038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.683252157292,0.0,0.0,0.0,0.0
Liver-HCC::S.76,0.0,0.0,13549.976484386927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.77,0.0,0.0,7682.371589408605,0.0,0.0,757.3661553540937,208.7661123839938,0.0,0.0,0.0,0.0,0.0,1368.6838838056383,0.0,0.0,0.0,0.0
Liver-HCC::S.78,0.0,0.0,7549.015577593083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.9204726592516,0.0,0.0,0.0,0.0
Liver-HCC::S.79,0.0,6626.6756224236315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5110.60033516555
Liver-HCC::S.80,0.0,1658.8661006691298,8683.686734739147,0.0,2391.129043266719,1305.803882927303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.81,0.0,0.0,11413.47040633484,0.0,5425.793764979248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.82,0.0,0.0,11382.61257567232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.83,0.0,2493.6267143954506,4438.25250397152,0.0,0.0,0.0,0.0,0.0,777.3047749160421,378.0297673830039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.84,0.0,0.0,13889.968246474698,0.0,3034.967460489984,0.0,353.7605759438054,0.0,0.0,0.0,0.0,0.0,1238.3910772325528,0.0,0.0,0.0,0.0
Liver-HCC::S.85,0.0,5013.894466257247,3498.207016028565,0.0,4365.840959136029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.86,0.0,0.0,11342.718813367084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.87,0.0,1920.6533567793274,5762.059790662012,0.0,1646.6721119534307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2522.350370902776
Liver-HCC::S.88,0.0,0.0,7307.6207341041045,0.0,3839.973346898976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0180764392405,0.0,0.0,0.0,0.0
Liver-HCC::S.89,0.0,0.0,2564.2998634033074,0.0,2773.953259036586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0362010948272,0.0,0.0,0.0,0.0
Liver-HCC::S.90,0.0,0.0,10485.327444141873,0.0,5542.74784737615,0.0,0.0,0.0,0.0,0.0,0.0,1578.1572008626272,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.91,0.0,2870.366033205924,9308.153697596657,0.0,0.0,0.0,317.8075700256451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.92,0.0,0.0,7237.958938521908,0.0,2556.5026538025527,1872.8944742709707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.93,420.3029098068565,0.0,5639.325230981327,0.0,1382.2108068528273,0.0,0.0,0.0,2144.689630877858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.94,0.0,3060.7199287698486,8297.137657940037,0.0,2703.5194441227645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.95,0.0,1959.3183696539754,3103.951981337548,0.0,3076.543294946608,785.6401404251274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.96,0.0,0.0,14131.152589896561,0.0,0.0,1083.3598300645767,0.0,0.0,0.0,0.0,0.0,0.0,1107.299414873648,0.0,0.0,0.0,0.0
Liver-HCC::S.97,0.0,0.0,6452.255708300781,0.0,2083.6945641209613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.5144188456336,0.0,0.0,0.0,0.0
Liver-HCC::S.98,0.0,0.0,8008.760224040628,0.0,3947.231462682251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.809762260224,0.0,0.0,0.0,0.0
Liver-HCC::S.99,0.0,0.0,7613.7412823223585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
