,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.68,0.0,0.0,6102.0,0.0,14008.0,806.0,0.0,345.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.69,624.0,9326.0,2609.0,41227.0,0.0,1971.0,3444.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.70,0.0,381.0,2766.0,9422.0,2982.0,347.0,5343.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.71,0.0,2126.0,0.0,6065.0,3738.0,2602.0,7650.0,433.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.72,0.0,1693.0,0.0,14740.0,45165.0,3526.0,5974.0,0.0,873.0,0.0,0.0,0.0
Skin-Melanoma::S.73,120.0,439.0,0.0,1862.0,2319.0,1609.0,166.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.74,0.0,0.0,0.0,48880.0,15742.0,1908.0,2225.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.75,0.0,0.0,1442.0,0.0,27509.0,0.0,1281.0,0.0,0.0,0.0,496.0,0.0
Skin-Melanoma::S.76,0.0,0.0,0.0,92328.0,37345.0,7799.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.77,0.0,13808.0,0.0,90344.0,18083.0,0.0,1988.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.78,1439.0,1893.0,0.0,39696.0,54489.0,8464.0,7268.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.79,73.0,109.0,4524.0,0.0,1061.0,2722.0,600.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.80,0.0,40846.0,0.0,147719.0,0.0,33663.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.81,1605.0,6542.0,11729.0,7423.0,31417.0,0.0,3710.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.82,0.0,0.0,0.0,154382.0,39763.0,20873.0,5445.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.83,721.0,5419.0,3831.0,73066.0,7368.0,4517.0,0.0,0.0,0.0,10180.0,0.0,0.0
Skin-Melanoma::S.84,544.0,6577.0,4735.0,12773.0,41185.0,5193.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.85,0.0,41531.0,0.0,151457.0,0.0,0.0,6855.0,0.0,0.0,0.0,0.0,14585.0
Skin-Melanoma::S.86,975.0,8603.0,6284.0,46832.0,0.0,1742.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.87,1492.0,0.0,7578.0,101856.0,18209.0,0.0,1993.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.88,649.0,0.0,10812.0,2686.0,29282.0,4696.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.89,0.0,18584.0,8668.0,34334.0,8255.0,6782.0,0.0,0.0,0.0,0.0,0.0,3969.0
Skin-Melanoma::S.90,0.0,7721.0,0.0,43029.0,60738.0,10226.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.91,0.0,0.0,0.0,60308.0,34444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.92,325.0,0.0,781.0,0.0,0.0,10112.0,2313.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.93,0.0,3410.0,7815.0,42860.0,5014.0,14709.0,0.0,0.0,0.0,0.0,0.0,6298.0
Skin-Melanoma::S.94,0.0,0.0,0.0,152293.0,6092.0,3893.0,0.0,0.0,0.0,0.0,1793.0,0.0
Skin-Melanoma::S.95,0.0,3226.0,0.0,35083.0,0.0,19082.0,0.0,0.0,1981.0,0.0,0.0,5415.0
Skin-Melanoma::S.96,3133.0,0.0,0.0,119208.0,7763.0,0.0,7286.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.97,968.0,5332.0,3838.0,32414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.98,496.0,0.0,0.0,0.0,2790.0,0.0,1268.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.99,0.0,0.0,0.0,0.0,0.0,31689.0,0.0,0.0,0.0,0.0,0.0,0.0
