MutationType	Breast-AdenoCA::S.1	Breast-AdenoCA::S.2	Breast-AdenoCA::S.3	Breast-AdenoCA::S.4	Breast-AdenoCA::S.5	Breast-AdenoCA::S.6	Breast-AdenoCA::S.7	Breast-AdenoCA::S.8	Breast-AdenoCA::S.9	Breast-AdenoCA::S.10	Breast-AdenoCA::S.11	Breast-AdenoCA::S.12	Breast-AdenoCA::S.13	Breast-AdenoCA::S.14	Breast-AdenoCA::S.15	Breast-AdenoCA::S.16	Breast-AdenoCA::S.17	Breast-AdenoCA::S.18	Breast-AdenoCA::S.19	Breast-AdenoCA::S.20	Breast-AdenoCA::S.21	Breast-AdenoCA::S.22	Breast-AdenoCA::S.23	Breast-AdenoCA::S.24	Breast-AdenoCA::S.25	Breast-AdenoCA::S.26	Breast-AdenoCA::S.27	Breast-AdenoCA::S.28	Breast-AdenoCA::S.29	Breast-AdenoCA::S.30	Breast-AdenoCA::S.31	Breast-AdenoCA::S.32	Breast-AdenoCA::S.33	Breast-AdenoCA::S.34	Breast-AdenoCA::S.35	Breast-AdenoCA::S.36	Breast-AdenoCA::S.37	Breast-AdenoCA::S.38	Breast-AdenoCA::S.39	Breast-AdenoCA::S.40	Breast-AdenoCA::S.41	Breast-AdenoCA::S.42	Breast-AdenoCA::S.43	Breast-AdenoCA::S.44	Breast-AdenoCA::S.45	Breast-AdenoCA::S.46	Breast-AdenoCA::S.47	Breast-AdenoCA::S.48	Breast-AdenoCA::S.49	Breast-AdenoCA::S.50	Breast-AdenoCA::S.51	Breast-AdenoCA::S.52	Breast-AdenoCA::S.53	Breast-AdenoCA::S.54	Breast-AdenoCA::S.55	Breast-AdenoCA::S.56	Breast-AdenoCA::S.57	Breast-AdenoCA::S.58	Breast-AdenoCA::S.59	Breast-AdenoCA::S.60	Breast-AdenoCA::S.61	Breast-AdenoCA::S.62	Breast-AdenoCA::S.63	Breast-AdenoCA::S.64	Breast-AdenoCA::S.65	Breast-AdenoCA::S.66	Breast-AdenoCA::S.67	Breast-AdenoCA::S.68	Breast-AdenoCA::S.69	Breast-AdenoCA::S.70	Breast-AdenoCA::S.71	Breast-AdenoCA::S.72	Breast-AdenoCA::S.73	Breast-AdenoCA::S.74	Breast-AdenoCA::S.75	Breast-AdenoCA::S.76	Breast-AdenoCA::S.77	Breast-AdenoCA::S.78	Breast-AdenoCA::S.79	Breast-AdenoCA::S.80	Breast-AdenoCA::S.81	Breast-AdenoCA::S.82	Breast-AdenoCA::S.83	Breast-AdenoCA::S.84	Breast-AdenoCA::S.85	Breast-AdenoCA::S.86	Breast-AdenoCA::S.87	Breast-AdenoCA::S.88	Breast-AdenoCA::S.89	Breast-AdenoCA::S.90	Breast-AdenoCA::S.91	Breast-AdenoCA::S.92	Breast-AdenoCA::S.93	Breast-AdenoCA::S.94	Breast-AdenoCA::S.95	Breast-AdenoCA::S.96	Breast-AdenoCA::S.97	Breast-AdenoCA::S.98	Breast-AdenoCA::S.99	Breast-AdenoCA::S.100
AT>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>GA	0	0	0	0	1	0	0	0	1	2	0	0	1	1	0	1	1	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	2	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
AT>GC	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1
AT>TA	0	0	0	0	3	0	0	1	0	1	0	0	0	0	3	1	0	1	0	0	0	0	3	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	1	0	0	5	0	2	2	0	1	0	0	2	1	1	1	1	3	0	1	1	0	1	0	4	0	0	1	0	0	2	1	0	0	0	1	0	0	1	1	2	1	0	0	2
CC>AA	20	0	84	21	15	11	25	3	7	39	10	0	43	9	16	13	43	105	17	30	4	7	20	13	20	1	9	5	34	11	3	20	10	65	0	39	29	92	166	2	8	9	24	3	17	3	9	2	38	7	1	23	15	1	33	10	0	2	26	6	26	1	46	17	6	9	15	1	17	3	20	25	3	22	15	1	15	1	45	34	64	6	18	41	38	0	20	8	26	38	21	2	14	7	25	0	1	5	3	0
CC>AG	7	5	12	10	12	2	5	9	8	3	4	13	3	1	5	5	4	16	5	5	1	2	16	4	3	7	2	6	3	6	13	2	1	4	16	16	2	1	2	2	1	9	6	0	0	4	7	7	2	11	22	4	0	5	7	17	0	2	6	1	10	12	0	15	4	10	4	4	8	5	9	0	2	4	1	3	1	4	2	5	0	3	4	9	5	6	7	4	1	31	6	5	0	3	9	10	2	0	0	9
CC>AT	5	4	18	1	1	0	1	1	5	1	4	2	1	5	2	1	6	6	2	11	4	3	6	6	1	1	8	5	4	9	3	5	5	4	2	6	5	4	2	1	4	2	3	2	4	2	4	6	4	2	8	2	12	2	2	7	2	2	2	4	1	0	4	1	9	10	6	9	0	2	2	4	4	2	14	6	10	11	2	8	0	1	8	7	2	6	9	12	1	3	6	5	4	3	3	8	0	13	0	1
CC>GA	3	1	1	1	4	1	5	2	3	1	0	0	3	1	2	1	2	9	1	2	4	5	1	5	2	1	1	3	1	0	3	2	1	3	2	3	0	2	3	1	3	2	4	2	2	0	0	2	0	0	0	1	0	7	2	2	3	0	3	3	1	0	0	6	0	0	0	0	2	0	2	0	3	0	3	1	0	2	1	1	1	0	0	1	1	4	2	2	0	5	0	2	1	0	0	3	6	3	4	1
CC>GG	0	0	0	2	0	2	0	2	0	0	0	1	0	2	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	2	2	1	0	0	0	1	0	1	1	3	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	0	0	1	0
CC>GT	4	3	0	0	0	0	0	0	0	4	10	4	0	1	1	0	0	2	0	0	6	2	4	0	1	0	0	5	1	1	6	0	0	2	0	10	0	0	0	0	2	1	1	2	4	2	0	1	2	2	2	0	1	12	1	1	0	0	2	0	4	0	0	1	4	1	0	9	0	1	0	0	5	1	3	1	1	0	0	6	1	0	4	0	0	1	2	2	1	1	3	1	0	2	1	1	6	0	1	2
CC>TA	0	1	1	0	0	1	2	1	2	2	5	4	0	1	2	2	2	1	1	1	11	0	6	0	1	0	3	1	2	0	9	0	1	3	2	1	2	3	1	0	3	1	0	1	2	1	0	4	4	0	4	0	3	1	2	0	0	1	0	0	2	0	0	6	7	1	0	0	2	0	1	2	4	2	1	2	0	0	0	1	2	0	0	0	0	1	4	1	2	0	2	3	6	11	0	1	1	0	7	0
CC>TG	0	2	1	2	0	1	0	0	0	4	2	6	0	3	0	0	0	1	0	0	0	1	0	1	4	5	2	4	1	0	4	1	0	1	2	5	3	0	1	0	3	0	0	1	0	2	1	1	1	1	1	0	0	0	1	0	4	2	1	0	2	0	0	1	4	2	1	3	0	5	2	1	1	0	1	1	0	1	0	0	3	3	0	0	2	1	0	2	0	1	0	2	4	1	0	0	3	1	6	7
CC>TT	0	4	3	0	0	3	0	0	0	4	3	12	0	22	3	0	0	7	0	0	1	0	2	0	0	0	2	0	0	0	48	23	0	2	4	20	4	0	0	0	3	1	0	13	32	4	0	11	6	0	5	0	2	85	0	0	0	4	0	0	0	0	0	2	7	13	0	6	5	0	1	0	6	0	5	14	0	0	0	0	6	0	0	0	0	31	0	0	0	0	8	10	5	7	0	6	12	0	5	0
CG>AT	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
CG>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CG>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0
CG>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>TC	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	2	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1
CG>TT	0	0	0	1	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	4	1	0	0	0	3	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	6	0	1	0	0	0	1	0	0	0	2	3	1	0	0	1	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	3	3	0	0	0	0	1	1	0	0	0
CT>AA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
CT>AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
CT>AG	0	1	1	2	0	0	1	0	2	3	3	2	3	0	1	0	1	0	1	1	3	0	0	0	0	1	1	2	0	2	0	0	0	0	1	1	0	0	8	2	0	0	1	0	1	0	0	2	0	0	1	0	0	4	0	1	4	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	2	1	3	1	1	0	0	0	1	0	1	1	0	1	0
CT>GA	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	3	1	2	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	2	1	1	1	0	0	1	1	1	0	2	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	2	0	0	0	1	2	0	0	0	2	0	0	1	1
CT>GC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
CT>GG	3	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	1	0	2	1	2	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	2	1	7	1	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1
CT>TA	1	0	0	1	0	1	0	0	0	2	2	0	2	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	1	0	0	0	3	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	2	3	0	1	8	1	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	1	3	0	1	4	0	0	0
CT>TC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>TG	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	1	1	0	0	2	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GC>AA	50	4	18	6	13	4	7	3	16	5	32	2	5	7	70	1	10	3	9	8	20	0	5	3	6	3	6	23	8	3	23	1	15	16	2	7	11	2	0	0	0	6	1	3	32	6	3	41	23	20	2	6	7	1	13	2	8	4	5	21	15	1	22	6	2	22	0	1	20	15	0	18	10	11	0	15	5	4	4	6	40	3	2	14	1	1	18	5	2	0	14	4	2	19	11	9	17	10	6	8
GC>AG	10	0	10	3	12	1	3	8	3	1	0	0	9	7	4	0	7	0	1	9	1	17	11	1	8	4	1	6	22	0	4	3	2	7	1	10	10	1	0	1	2	10	0	2	6	8	3	0	4	6	0	8	2	7	2	15	4	0	1	12	14	12	1	13	2	7	0	0	0	1	0	7	2	1	1	1	5	0	1	7	0	1	1	4	0	0	6	4	2	4	9	4	2	6	7	9	2	0	5	2
GC>AT	4	1	9	6	0	2	1	3	9	17	11	11	5	3	7	2	2	0	1	6	16	33	7	9	4	0	1	3	30	6	0	8	4	11	7	28	3	0	0	1	8	2	5	0	2	2	0	1	15	14	0	5	16	22	1	7	3	1	5	9	1	2	3	4	0	5	0	0	8	6	0	2	9	0	1	13	12	2	9	7	0	8	9	6	1	0	2	1	1	7	9	6	8	1	1	10	0	0	0	11
GC>CA	5	0	0	1	2	5	0	3	1	4	1	2	1	1	3	1	1	0	0	2	0	0	6	0	3	1	1	0	1	1	1	0	3	4	2	2	1	1	0	0	0	4	0	2	0	0	0	1	0	1	1	1	0	7	0	1	0	3	3	1	0	0	0	1	0	0	1	2	0	0	0	4	3	1	4	1	0	0	0	4	0	1	0	4	2	0	2	1	1	1	0	4	4	0	2	1	3	0	1	1
GC>CG	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
GC>TA	0	0	1	4	1	9	0	5	1	0	2	5	1	1	0	1	2	1	0	0	0	0	1	1	2	2	1	0	0	1	1	1	1	5	0	0	0	1	1	1	0	2	0	1	0	1	0	4	0	2	0	2	0	4	1	0	0	5	0	0	1	0	1	0	0	0	1	3	4	2	0	1	0	2	0	4	0	1	0	1	0	2	0	2	0	0	3	0	0	0	3	2	4	1	1	2	2	1	1	1
TA>AT	2	0	2	1	2	3	2	2	1	0	3	1	4	1	2	1	3	0	0	2	4	0	1	2	3	4	2	1	1	6	3	0	0	2	1	1	2	0	0	3	2	0	0	0	2	2	0	6	0	0	0	0	1	1	2	0	1	0	0	0	1	0	7	1	2	1	1	2	4	2	0	3	1	8	2	3	3	2	3	1	0	6	3	2	1	2	1	0	6	2	7	2	1	1	3	1	2	4	1	0
TA>CG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TA>CT	0	0	1	1	0	3	2	1	0	1	0	1	1	0	0	2	3	0	0	1	2	5	3	0	1	3	0	1	3	3	2	0	0	3	1	2	8	0	0	1	0	2	1	0	2	2	1	2	1	1	3	3	2	5	0	5	3	1	1	0	2	0	0	1	2	1	0	0	0	2	2	0	1	3	1	0	1	1	5	1	1	2	2	2	1	0	0	2	2	0	6	3	1	0	2	2	1	0	8	3
TA>GC	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TA>GG	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
TA>GT	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	2	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	3	1	3	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
TC>AA	4	24	5	26	13	38	27	3	18	8	14	9	9	1	15	4	11	4	9	2	9	0	25	5	9	41	19	6	2	2	10	1	0	27	21	34	14	10	8	28	0	35	7	6	1	5	23	4	19	2	9	24	10	15	1	5	1	0	8	33	21	2	6	4	1	5	1	2	51	5	7	12	16	4	6	2	2	39	34	6	2	63	23	56	0	9	5	20	9	1	3	6	9	6	2	3	20	18	15	3
TC>AG	2	1	3	2	0	0	0	0	1	6	4	4	8	6	7	3	0	3	0	1	5	2	2	2	4	0	3	2	0	5	8	0	0	1	3	0	3	0	1	2	1	2	0	8	3	6	2	4	2	1	1	0	3	2	0	5	7	2	2	2	11	5	4	3	1	5	2	1	1	5	2	1	1	2	2	0	4	1	6	4	3	1	2	2	1	7	0	4	3	1	2	4	3	6	1	4	1	0	3	1
