Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS13	SBS17a	SBS17b	SBS38	SBS40
Skin-Melanoma::S.66	803	0	0	125650	18872	0	0	0	0	0	0	0
Skin-Melanoma::S.67	1139	298	3255	0	0	0	2306	638	0	0	0	0
Skin-Melanoma::S.68	131	0	7103	0	14403	0	0	0	0	0	0	0
Skin-Melanoma::S.69	608	9458	3695	41838	0	0	3723	0	0	0	0	0
Skin-Melanoma::S.70	117	0	3132	10043	2598	0	5422	0	0	0	0	0
Skin-Melanoma::S.71	265	0	0	11312	0	2906	8744	0	0	0	0	0
Skin-Melanoma::S.72	0	0	0	17907	44759	0	7077	0	0	0	0	0
Skin-Melanoma::S.73	145	0	0	2723	2115	1817	0	0	0	0	0	0
Skin-Melanoma::S.74	0	0	0	50402	16679	0	0	0	0	0	0	0
Skin-Melanoma::S.75	161	0	0	0	30780	0	0	0	0	0	0	0
Skin-Melanoma::S.76	0	0	0	92331	37631	0	0	0	0	0	0	0
Skin-Melanoma::S.77	0	0	0	124590	0	0	0	0	0	0	0	0
Skin-Melanoma::S.78	1418	0	0	41733	51604	8291	7310	0	0	0	0	0
Skin-Melanoma::S.79	68	0	4540	0	1081	2678	589	0	0	0	0	0
Skin-Melanoma::S.80	1667	39690	0	143287	0	32629	0	0	0	0	0	0
Skin-Melanoma::S.81	1614	6577	11792	7463	31585	0	3730	0	0	0	0	0
Skin-Melanoma::S.82	66	0	0	155686	40919	22252	0	0	0	0	0	0
Skin-Melanoma::S.83	1039	0	0	87529	0	5332	0	0	0	10808	0	0
Skin-Melanoma::S.84	548	6619	4765	12854	41448	5226	0	0	0	0	0	0
Skin-Melanoma::S.85	0	43400	0	169089	0	0	0	0	0	0	0	0
Skin-Melanoma::S.86	1391	0	0	67411	0	0	0	0	0	0	0	0
Skin-Melanoma::S.87	1962	0	0	108795	20779	0	0	0	0	0	0	0
Skin-Melanoma::S.88	630	0	11576	0	32230	4816	0	0	0	0	0	0
Skin-Melanoma::S.89	0	18588	11354	34120	8294	7010	0	0	0	0	0	0
Skin-Melanoma::S.90	936	0	3731	55323	53588	10178	0	0	0	0	0	0
Skin-Melanoma::S.91	0	0	0	60680	34657	0	0	0	0	0	0	0
Skin-Melanoma::S.92	320	0	842	0	0	10029	2287	0	0	0	0	0
Skin-Melanoma::S.93	0	0	14801	49063	0	15010	0	0	0	0	0	0
Skin-Melanoma::S.94	0	0	0	160138	0	0	0	0	0	0	0	0
Skin-Melanoma::S.95	0	0	0	44670	0	23468	0	0	0	0	0	0
Skin-Melanoma::S.96	3691	0	0	135038	0	0	0	0	0	0	0	0
Skin-Melanoma::S.97	969	5338	3843	32450	0	0	0	0	0	0	0	0
Skin-Melanoma::S.98	543	0	0	0	3083	0	1387	0	0	0	0	0
Skin-Melanoma::S.99	12	0	0	0	0	26593	0	0	0	0	0	0
