Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS37	SBS40	SBS41
Breast-AdenoCA::S.24	625	3703	0	1420	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.25	560	1241	0	2436	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.26	283	1612	0	1797	0	0	2010	0	0	0	0	0	0
Breast-AdenoCA::S.27	982	1210	2077	921	0	0	1420	0	0	0	0	0	0
Breast-AdenoCA::S.28	569	457	3876	1931	0	0	2438	0	0	0	0	0	0
Breast-AdenoCA::S.29	508	256	0	5044	0	0	1023	0	0	0	0	0	0
Breast-AdenoCA::S.30	336	732	0	4195	0	0	4953	0	0	0	0	0	0
Breast-AdenoCA::S.31	476	344	0	2083	0	0	890	0	0	0	0	0	0
Breast-AdenoCA::S.32	297	0	0	2810	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.33	519	0	0	1130	0	0	1211	0	0	0	0	0	0
Breast-AdenoCA::S.34	582	0	0	3223	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.35	120	0	0	1410	0	0	92	0	0	285	0	0	0
Breast-AdenoCA::S.36	94	584	4381	2404	0	0	1425	0	0	0	0	0	0
Breast-AdenoCA::S.37	345	2867	4567	2064	0	0	297	0	0	0	0	0	0
Breast-AdenoCA::S.38	897	155	0	823	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.39	261	0	3689	2316	0	7593	3348	0	0	0	0	0	0
Breast-AdenoCA::S.40	431	257	0	1835	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.41	421	0	9820	4545	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.42	428	0	0	4237	0	0	0	0	0	661	0	0	0
Breast-AdenoCA::S.43	196	0	2569	1185	0	0	771	0	0	0	0	0	0
Breast-AdenoCA::S.44	431	5222	0	3980	0	0	430	0	0	0	0	0	0
Breast-AdenoCA::S.45	704	0	0	825	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.46	357	831	5749	3190	0	0	951	0	0	0	0	0	0
Breast-AdenoCA::S.47	1334	0	5817	462	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.48	495	424	3202	2457	0	0	2197	0	0	0	0	0	0
Breast-AdenoCA::S.49	234	8667	0	1004	0	0	4794	0	0	0	0	0	0
Breast-AdenoCA::S.50	385	2458	8686	1244	0	0	392	0	0	0	0	0	0
Breast-AdenoCA::S.51	191	515	0	4009	0	0	629	0	0	0	0	0	0
Breast-AdenoCA::S.52	426	4437	6760	1942	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.53	344	0	0	1875	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.54	365	3257	10319	1153	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.55	540	2971	5209	849	0	0	1090	0	0	0	0	0	0
Breast-AdenoCA::S.56	338	167	0	926	0	0	269	0	0	0	0	0	0
Breast-AdenoCA::S.57	289	619	0	2008	0	0	1195	0	0	0	0	0	0
Breast-AdenoCA::S.58	637	0	8186	1123	0	0	5873	0	0	0	0	0	0
Breast-AdenoCA::S.59	494	0	0	2221	0	0	2793	0	0	0	0	0	0
Breast-AdenoCA::S.60	388	1073	0	1414	0	0	13806	0	0	0	0	0	0
Breast-AdenoCA::S.61	594	643	0	3305	0	0	2092	0	4142	0	0	0	0
Breast-AdenoCA::S.62	182	0	0	960	0	0	172	0	0	0	0	0	0
Breast-AdenoCA::S.63	483	450	3535	6292	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.64	246	1646	0	3319	0	0	2640	0	0	0	0	0	0
Breast-AdenoCA::S.65	371	924	0	397	0	0	4552	0	0	0	0	0	0
Breast-AdenoCA::S.66	417	1494	0	1669	0	0	1518	0	0	0	0	0	0
Breast-AdenoCA::S.67	534	794	6319	1212	0	0	3274	0	0	0	0	0	0
Breast-AdenoCA::S.68	419	1017	0	3814	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.69	362	0	0	2040	0	0	5531	0	0	0	0	0	0
Breast-AdenoCA::S.70	706	0	0	1901	0	0	0	0	0	895	0	0	0
Breast-AdenoCA::S.71	697	966	0	3429	0	0	1616	0	0	0	0	0	0
Breast-AdenoCA::S.72	700	145	0	1565	0	0	455	0	0	0	0	0	0
Breast-AdenoCA::S.73	504	127	0	449	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.74	511	3859	0	1378	0	0	9313	0	0	0	0	0	0
Breast-AdenoCA::S.75	220	0	0	4223	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.76	494	0	5143	2664	0	0	5617	0	0	0	0	0	0
Breast-AdenoCA::S.77	181	288	2551	2301	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.78	333	880	0	1904	0	0	4178	0	0	0	0	0	0
Breast-AdenoCA::S.79	298	3095	0	1601	0	0	3258	0	0	0	0	0	0
Breast-AdenoCA::S.80	185	3186	0	4736	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.81	301	0	0	3487	0	0	2398	0	0	0	0	0	0
Breast-AdenoCA::S.82	295	0	0	0	0	0	9544	0	0	0	0	0	0
Breast-AdenoCA::S.83	252	1303	5242	2680	0	0	1491	0	0	0	0	0	0
Breast-AdenoCA::S.84	307	0	0	2146	0	0	0	0	0	490	0	0	0
Breast-AdenoCA::S.85	696	466	0	3654	2250	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.86	430	7050	0	0	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.87	267	273	11689	418	0	0	2841	0	0	0	0	0	0
Breast-AdenoCA::S.88	424	5637	0	803	0	0	5214	0	0	0	0	0	0
Breast-AdenoCA::S.89	474	286	0	1674	0	0	126	0	0	723	0	0	0
Breast-AdenoCA::S.90	379	0	0	1557	0	2811	1233	0	0	0	0	0	0
Breast-AdenoCA::S.91	494	3676	7591	1484	0	0	2245	0	0	0	0	0	0
Breast-AdenoCA::S.92	178	380	4686	2001	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.93	236	1501	0	7548	0	0	1444	1364	0	0	0	0	0
Breast-AdenoCA::S.94	254	136	0	2679	0	0	607	0	0	623	0	0	0
Breast-AdenoCA::S.95	400	0	3251	1989	0	0	0	0	0	1851	0	0	0
Breast-AdenoCA::S.96	678	0	0	2798	0	0	3809	0	0	0	0	0	0
Breast-AdenoCA::S.97	508	446	0	1540	0	0	1391	0	0	0	0	0	0
Breast-AdenoCA::S.98	252	1557	0	678	0	0	138	0	0	0	0	0	0
Breast-AdenoCA::S.99	738	2609	0	3852	0	0	2773	0	0	0	0	0	0
Breast-AdenoCA::S.100	425	1072	0	2527	0	0	819	0	0	0	0	0	0
