,DBS2,DBS4,DBS5,DBS6,DBS9
Ovary-AdenoCA::S.49,116.0,31.0,0.0,0.0,0.0
Ovary-AdenoCA::S.50,21.0,0.0,0.0,0.0,8.0
Ovary-AdenoCA::S.51,0.0,0.0,27.0,122.0,36.0
Ovary-AdenoCA::S.52,13.0,0.0,15.0,50.0,0.0
Ovary-AdenoCA::S.53,37.0,13.0,0.0,19.0,0.0
Ovary-AdenoCA::S.54,30.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.55,43.0,27.0,70.0,0.0,35.0
Ovary-AdenoCA::S.56,40.0,114.0,0.0,51.0,0.0
Ovary-AdenoCA::S.57,0.0,105.0,0.0,0.0,32.0
Ovary-AdenoCA::S.58,20.0,14.0,58.0,12.0,0.0
Ovary-AdenoCA::S.59,46.0,53.0,0.0,11.0,0.0
Ovary-AdenoCA::S.60,43.0,40.0,19.0,14.0,0.0
Ovary-AdenoCA::S.61,9.0,48.0,86.0,0.0,0.0
Ovary-AdenoCA::S.62,51.0,13.0,0.0,0.0,0.0
Ovary-AdenoCA::S.63,32.0,32.0,46.0,0.0,64.0
Ovary-AdenoCA::S.64,183.0,51.0,0.0,0.0,0.0
Ovary-AdenoCA::S.65,3.0,0.0,0.0,19.0,17.0
Ovary-AdenoCA::S.66,2.0,7.0,0.0,3.0,7.0
Ovary-AdenoCA::S.67,11.0,21.0,9.0,0.0,0.0
Ovary-AdenoCA::S.68,11.0,0.0,42.0,0.0,0.0
Ovary-AdenoCA::S.69,133.0,39.0,26.0,0.0,0.0
Ovary-AdenoCA::S.70,112.0,17.0,55.0,0.0,0.0
Ovary-AdenoCA::S.71,296.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.72,38.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.73,162.0,24.0,14.0,28.0,0.0
Ovary-AdenoCA::S.74,31.0,29.0,0.0,39.0,0.0
Ovary-AdenoCA::S.75,2.0,0.0,0.0,0.0,3.0
Ovary-AdenoCA::S.76,35.0,0.0,0.0,0.0,8.0
Ovary-AdenoCA::S.77,43.0,0.0,0.0,81.0,68.0
Ovary-AdenoCA::S.78,26.0,114.0,0.0,0.0,58.0
Ovary-AdenoCA::S.79,5.0,19.0,0.0,0.0,7.0
Ovary-AdenoCA::S.80,17.0,50.0,146.0,0.0,0.0
Ovary-AdenoCA::S.81,21.0,103.0,0.0,29.0,0.0
Ovary-AdenoCA::S.82,66.0,23.0,148.0,80.0,0.0
Ovary-AdenoCA::S.83,13.0,41.0,94.0,0.0,0.0
Ovary-AdenoCA::S.84,138.0,186.0,0.0,0.0,0.0
Ovary-AdenoCA::S.85,11.0,21.0,0.0,17.0,0.0
Ovary-AdenoCA::S.86,4.0,105.0,0.0,107.0,0.0
Ovary-AdenoCA::S.87,7.0,19.0,12.0,0.0,0.0
Ovary-AdenoCA::S.88,291.0,25.0,0.0,0.0,0.0
Ovary-AdenoCA::S.89,49.0,0.0,0.0,0.0,52.0
Ovary-AdenoCA::S.90,25.0,34.0,0.0,70.0,0.0
Ovary-AdenoCA::S.91,8.0,46.0,0.0,32.0,0.0
Ovary-AdenoCA::S.92,25.0,0.0,0.0,0.0,29.0
Ovary-AdenoCA::S.93,0.0,30.0,0.0,0.0,0.0
Ovary-AdenoCA::S.94,37.0,45.0,0.0,119.0,0.0
Ovary-AdenoCA::S.95,28.0,16.0,0.0,0.0,0.0
Ovary-AdenoCA::S.96,28.0,40.0,0.0,0.0,0.0
Ovary-AdenoCA::S.97,31.0,0.0,22.0,0.0,0.0
Ovary-AdenoCA::S.98,168.0,17.0,0.0,0.0,0.0
Ovary-AdenoCA::S.99,7.0,47.0,0.0,0.0,0.0
Ovary-AdenoCA::S.100,23.0,10.0,0.0,0.0,0.0
