,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS11
Eso-AdenoCA::S.36,22.0,6.0,0.0,0.0,16.0,0.0,0.0,21.0,44.0
Eso-AdenoCA::S.37,28.0,0.0,64.0,0.0,0.0,0.0,31.0,0.0,7.0
Eso-AdenoCA::S.38,101.0,0.0,32.0,0.0,0.0,83.0,24.0,0.0,50.0
Eso-AdenoCA::S.39,7.0,0.0,9.0,0.0,20.0,111.0,0.0,47.0,0.0
Eso-AdenoCA::S.40,15.0,0.0,10.0,0.0,0.0,0.0,20.0,121.0,0.0
Eso-AdenoCA::S.41,15.0,0.0,0.0,0.0,0.0,101.0,42.0,25.0,0.0
Eso-AdenoCA::S.42,0.0,0.0,0.0,0.0,7.0,126.0,0.0,41.0,0.0
Eso-AdenoCA::S.43,0.0,0.0,7.0,0.0,13.0,21.0,0.0,81.0,0.0
Eso-AdenoCA::S.44,0.0,0.0,41.0,0.0,12.0,40.0,29.0,16.0,7.0
Eso-AdenoCA::S.45,17.0,0.0,18.0,0.0,14.0,15.0,9.0,0.0,8.0
Eso-AdenoCA::S.46,7.0,0.0,13.0,0.0,19.0,0.0,21.0,0.0,0.0
Eso-AdenoCA::S.47,11.0,0.0,22.0,0.0,24.0,52.0,34.0,62.0,6.0
Eso-AdenoCA::S.48,16.0,0.0,12.0,158.0,15.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.49,4.0,9.0,23.0,0.0,0.0,0.0,0.0,28.0,40.0
Eso-AdenoCA::S.50,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0
Eso-AdenoCA::S.51,35.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,0.0
Eso-AdenoCA::S.52,13.0,0.0,31.0,0.0,22.0,0.0,7.0,0.0,32.0
Eso-AdenoCA::S.53,0.0,0.0,22.0,0.0,9.0,13.0,26.0,21.0,63.0
Eso-AdenoCA::S.54,50.0,0.0,10.0,0.0,96.0,0.0,0.0,106.0,0.0
Eso-AdenoCA::S.55,0.0,0.0,0.0,0.0,0.0,38.0,0.0,150.0,0.0
Eso-AdenoCA::S.56,0.0,0.0,28.0,1.0,15.0,35.0,0.0,36.0,0.0
Eso-AdenoCA::S.57,0.0,5.0,11.0,0.0,25.0,41.0,17.0,27.0,16.0
Eso-AdenoCA::S.58,9.0,0.0,20.0,0.0,25.0,70.0,26.0,17.0,24.0
Eso-AdenoCA::S.59,6.0,0.0,10.0,0.0,20.0,56.0,0.0,22.0,6.0
Eso-AdenoCA::S.60,62.0,0.0,30.0,0.0,0.0,4.0,0.0,34.0,0.0
Eso-AdenoCA::S.61,0.0,11.0,16.0,0.0,75.0,0.0,0.0,39.0,5.0
Eso-AdenoCA::S.62,6.0,0.0,43.0,0.0,6.0,67.0,0.0,50.0,0.0
Eso-AdenoCA::S.63,0.0,0.0,0.0,10.0,51.0,0.0,22.0,0.0,0.0
Eso-AdenoCA::S.64,26.0,7.0,30.0,0.0,7.0,0.0,0.0,49.0,0.0
Eso-AdenoCA::S.65,29.0,0.0,12.0,0.0,36.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.66,74.0,0.0,8.0,0.0,16.0,31.0,0.0,15.0,0.0
Eso-AdenoCA::S.67,20.0,0.0,58.0,0.0,0.0,0.0,0.0,35.0,50.0
Eso-AdenoCA::S.68,81.0,0.0,39.0,0.0,0.0,0.0,15.0,31.0,11.0
Eso-AdenoCA::S.69,46.0,0.0,8.0,0.0,22.0,30.0,0.0,45.0,0.0
Eso-AdenoCA::S.70,10.0,0.0,44.0,0.0,11.0,0.0,102.0,0.0,72.0
Eso-AdenoCA::S.71,83.0,0.0,0.0,0.0,33.0,0.0,32.0,0.0,17.0
Eso-AdenoCA::S.72,7.0,0.0,22.0,6.0,28.0,0.0,0.0,18.0,0.0
Eso-AdenoCA::S.73,2.0,0.0,21.0,1.0,3.0,0.0,0.0,0.0,28.0
Eso-AdenoCA::S.74,15.0,0.0,35.0,0.0,0.0,42.0,32.0,22.0,22.0
Eso-AdenoCA::S.75,0.0,0.0,26.0,0.0,15.0,0.0,0.0,0.0,21.0
Eso-AdenoCA::S.76,27.0,0.0,41.0,1.0,5.0,0.0,0.0,0.0,31.0
Eso-AdenoCA::S.77,35.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,10.0
Eso-AdenoCA::S.78,59.0,0.0,13.0,0.0,14.0,0.0,0.0,0.0,10.0
Eso-AdenoCA::S.79,0.0,11.0,22.0,123.0,0.0,0.0,0.0,37.0,0.0
Eso-AdenoCA::S.80,17.0,0.0,66.0,2.0,12.0,0.0,0.0,44.0,11.0
Eso-AdenoCA::S.81,4.0,0.0,0.0,0.0,28.0,102.0,0.0,25.0,0.0
Eso-AdenoCA::S.82,0.0,0.0,0.0,0.0,18.0,22.0,208.0,0.0,0.0
Eso-AdenoCA::S.83,28.0,0.0,32.0,0.0,0.0,26.0,55.0,49.0,0.0
Eso-AdenoCA::S.84,0.0,0.0,51.0,0.0,0.0,0.0,61.0,49.0,25.0
Eso-AdenoCA::S.85,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,16.0
Eso-AdenoCA::S.86,21.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0
Eso-AdenoCA::S.87,16.0,0.0,13.0,0.0,15.0,55.0,0.0,42.0,7.0
Eso-AdenoCA::S.88,16.0,0.0,24.0,0.0,52.0,57.0,0.0,0.0,0.0
Eso-AdenoCA::S.89,26.0,0.0,44.0,0.0,26.0,10.0,117.0,0.0,120.0
Eso-AdenoCA::S.90,0.0,7.0,13.0,0.0,0.0,17.0,0.0,58.0,10.0
Eso-AdenoCA::S.91,0.0,0.0,63.0,0.0,13.0,0.0,31.0,0.0,28.0
Eso-AdenoCA::S.92,6.0,60.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Eso-AdenoCA::S.93,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.94,28.0,0.0,45.0,0.0,0.0,9.0,0.0,0.0,0.0
Eso-AdenoCA::S.95,15.0,0.0,16.0,0.0,0.0,39.0,16.0,0.0,41.0
Eso-AdenoCA::S.96,74.0,9.0,11.0,0.0,13.0,26.0,10.0,37.0,6.0
Eso-AdenoCA::S.97,10.0,0.0,36.0,10.0,0.0,29.0,61.0,0.0,8.0
Eso-AdenoCA::S.98,6.0,0.0,51.0,0.0,0.0,0.0,23.0,42.0,83.0
Eso-AdenoCA::S.99,0.0,0.0,32.0,0.0,16.0,0.0,108.0,35.0,5.0
Eso-AdenoCA::S.100,6.0,0.0,19.0,9.0,0.0,7.0,45.0,63.0,0.0
