Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40	SBS41
Stomach-AdenoCA::S.26	1329	0	0	3372	0	0	9785	0	0	0	0
Stomach-AdenoCA::S.27	839	0	0	8127	0	0	15573	0	4363	0	0
Stomach-AdenoCA::S.28	1941	0	0	4832	0	0	0	1757	0	0	0
Stomach-AdenoCA::S.29	434	0	0	9827	0	0	2015	0	0	0	0
Stomach-AdenoCA::S.30	200	319	0	2646	877	5862	0	0	0	0	0
Stomach-AdenoCA::S.31	128	0	0	0	0	2375	929	0	0	2404	0
Stomach-AdenoCA::S.32	651	0	0	5038	0	0	0	0	0	0	3672
Stomach-AdenoCA::S.33	833	0	0	15517	0	1489	0	0	0	0	0
Stomach-AdenoCA::S.34	2482	0	0	1763	0	0	0	0	0	14933	0
Stomach-AdenoCA::S.35	904	892	0	3283	0	5422	0	0	0	0	0
Stomach-AdenoCA::S.36	6333	0	0	0	0	0	0	0	0	8710	0
Stomach-AdenoCA::S.37	861	0	41368	5912	0	4689	1492	0	0	0	0
Stomach-AdenoCA::S.38	1533	1285	0	7563	0	4376	0	0	0	0	0
Stomach-AdenoCA::S.39	1449	0	0	7365	0	0	2592	0	0	0	0
Stomach-AdenoCA::S.40	3134	0	0	7411	0	0	5414	0	0	0	0
Stomach-AdenoCA::S.41	844	0	0	9148	0	0	0	0	0	12668	0
Stomach-AdenoCA::S.42	372	0	0	4683	0	0	18638	0	0	0	0
Stomach-AdenoCA::S.43	4392	0	0	382	0	0	0	0	0	0	0
Stomach-AdenoCA::S.44	831	1435	16295	4086	0	4050	0	0	0	0	0
Stomach-AdenoCA::S.45	98	0	0	4821	0	0	6652	0	0	0	0
Stomach-AdenoCA::S.46	490	0	0	3513	0	0	1381	0	0	7409	0
Stomach-AdenoCA::S.47	1751	0	0	4332	0	0	0	0	0	7575	0
Stomach-AdenoCA::S.48	2375	0	0	3579	0	1193	4786	0	0	0	0
Stomach-AdenoCA::S.49	831	0	4070	1099	387	0	364	930	0	0	0
Stomach-AdenoCA::S.50	562	0	0	0	0	0	665	0	0	2197	0
Stomach-AdenoCA::S.51	757	0	0	4108	0	720	943	2379	0	6362	0
Stomach-AdenoCA::S.52	1153	0	0	0	0	0	20342	0	0	0	0
Stomach-AdenoCA::S.53	940	0	0	657	1421	0	0	0	0	6460	0
Stomach-AdenoCA::S.54	830	0	0	473	0	0	0	0	0	10826	0
Stomach-AdenoCA::S.55	284	966	0	2501	0	2741	1164	0	0	0	0
Stomach-AdenoCA::S.56	1403	784	0	11320	0	0	771	2583	0	0	0
Stomach-AdenoCA::S.57	2536	0	0	3330	0	488	3620	2493	4239	0	0
Stomach-AdenoCA::S.58	1370	0	0	5422	0	0	0	2475	0	13404	0
Stomach-AdenoCA::S.59	969	0	0	1190	472	0	0	2063	0	3689	0
Stomach-AdenoCA::S.60	980	1180	5583	3642	0	2206	0	0	0	0	4366
Stomach-AdenoCA::S.61	920	0	0	8990	0	0	0	2253	0	0	0
Stomach-AdenoCA::S.62	1776	0	0	6546	0	2186	0	2870	0	0	0
Stomach-AdenoCA::S.63	1995	747	0	2817	800	0	1706	5419	0	0	0
Stomach-AdenoCA::S.64	723	452	0	1097	0	1844	0	3482	0	0	0
Stomach-AdenoCA::S.65	915	0	0	2578	0	3509	4870	0	0	0	0
Stomach-AdenoCA::S.66	1146	0	31203	2628	0	0	7982	0	0	0	0
Stomach-AdenoCA::S.67	523	1188	0	3584	0	2208	0	4517	0	0	11351
Stomach-AdenoCA::S.68	934	0	0	9083	0	0	4941	0	0	0	4067
Stomach-AdenoCA::S.69	651	1319	7314	2109	0	3304	2753	0	0	0	0
Stomach-AdenoCA::S.70	886	0	0	10431	0	8399	693	0	0	0	0
Stomach-AdenoCA::S.71	167	0	0	0	0	0	0	4063	706	0	3641
Stomach-AdenoCA::S.72	503	0	0	345	0	0	0	0	0	11234	0
Stomach-AdenoCA::S.73	93	0	0	22100	0	7251	1045	5833	0	0	0
Stomach-AdenoCA::S.74	1355	0	0	22764	0	4909	7026	0	0	0	0
Stomach-AdenoCA::S.75	707	0	0	11483	0	1219	9750	0	0	0	0
Stomach-AdenoCA::S.76	1569	0	0	16709	0	0	0	0	0	0	6355
Stomach-AdenoCA::S.77	467	0	0	7048	0	0	925	0	0	0	0
Stomach-AdenoCA::S.78	1462	0	0	0	0	690	0	0	0	0	0
Stomach-AdenoCA::S.79	1630	0	0	9988	0	1533	5511	0	0	19070	0
Stomach-AdenoCA::S.80	506	290	0	1107	0	180	545	811	293	0	0
Stomach-AdenoCA::S.81	825	1960	0	7615	0	0	3089	0	0	0	0
Stomach-AdenoCA::S.82	1932	0	0	7359	694	0	0	0	0	0	0
Stomach-AdenoCA::S.83	1067	0	0	10364	915	0	0	0	0	0	0
Stomach-AdenoCA::S.84	239	0	0	579	0	444	295	2819	0	0	0
Stomach-AdenoCA::S.85	587	0	16088	6357	0	3508	10686	0	0	0	0
Stomach-AdenoCA::S.86	1242	0	0	330	0	0	0	1935	0	0	0
Stomach-AdenoCA::S.87	4123	0	0	1812	0	3009	0	3249	0	0	0
Stomach-AdenoCA::S.88	1128	0	0	3646	0	3056	13058	7027	0	0	0
Stomach-AdenoCA::S.89	301	0	0	0	0	0	17100	0	0	0	0
Stomach-AdenoCA::S.90	631	0	0	0	0	2917	0	0	0	0	0
Stomach-AdenoCA::S.91	1702	0	0	8723	0	0	4159	0	0	0	0
