,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Eso-AdenoCA::S.33,1546.0,0.0,0.0,5793.0,0.0,2561.0,1064.0,1523.0,0.0,0.0
Eso-AdenoCA::S.34,845.0,0.0,0.0,0.0,0.0,2742.0,6148.0,0.0,1565.0,0.0
Eso-AdenoCA::S.35,2129.0,0.0,0.0,1274.0,1200.0,4476.0,1718.0,0.0,0.0,13835.0
Eso-AdenoCA::S.36,1342.0,0.0,0.0,24388.0,318.0,10791.0,6221.0,0.0,0.0,16390.0
Eso-AdenoCA::S.37,466.0,0.0,10593.0,4604.0,0.0,227.0,5276.0,4801.0,0.0,11629.0
Eso-AdenoCA::S.38,1725.0,0.0,0.0,12608.0,0.0,0.0,10684.0,638.0,430.0,4042.0
Eso-AdenoCA::S.39,2517.0,0.0,1908.0,7830.0,163.0,0.0,0.0,813.0,0.0,8836.0
Eso-AdenoCA::S.40,1001.0,0.0,0.0,1927.0,0.0,3828.0,10356.0,1190.0,758.0,0.0
Eso-AdenoCA::S.41,1075.0,4592.0,12900.0,4950.0,0.0,693.0,2971.0,0.0,0.0,4139.0
Eso-AdenoCA::S.42,2490.0,0.0,0.0,17424.0,0.0,3281.0,614.0,0.0,178.0,0.0
Eso-AdenoCA::S.43,3416.0,219.0,0.0,6771.0,0.0,0.0,2398.0,707.0,0.0,12427.0
Eso-AdenoCA::S.44,783.0,952.0,0.0,6009.0,0.0,0.0,6152.0,0.0,0.0,0.0
Eso-AdenoCA::S.45,3627.0,0.0,0.0,9137.0,0.0,4047.0,6147.0,1021.0,8315.0,8350.0
Eso-AdenoCA::S.46,1389.0,0.0,1311.0,8283.0,572.0,2406.0,9582.0,525.0,0.0,0.0
Eso-AdenoCA::S.47,2072.0,0.0,1100.0,0.0,2582.0,4446.0,7264.0,0.0,0.0,0.0
Eso-AdenoCA::S.48,340.0,0.0,0.0,3140.0,0.0,1796.0,4158.0,0.0,0.0,3910.0
Eso-AdenoCA::S.49,1663.0,0.0,0.0,36909.0,0.0,7924.0,3947.0,0.0,0.0,0.0
Eso-AdenoCA::S.50,518.0,884.0,0.0,6288.0,769.0,3593.0,31852.0,7063.0,0.0,0.0
Eso-AdenoCA::S.51,958.0,344.0,0.0,16344.0,1536.0,4269.0,6137.0,8717.0,0.0,0.0
Eso-AdenoCA::S.52,1996.0,0.0,0.0,2405.0,1122.0,8983.0,12869.0,2211.0,2167.0,14292.0
Eso-AdenoCA::S.53,1173.0,435.0,0.0,5956.0,0.0,10407.0,5817.0,0.0,0.0,12828.0
Eso-AdenoCA::S.54,1029.0,0.0,0.0,1283.0,1269.0,0.0,21206.0,0.0,0.0,0.0
Eso-AdenoCA::S.55,986.0,0.0,0.0,13244.0,0.0,0.0,27165.0,0.0,0.0,0.0
Eso-AdenoCA::S.56,1867.0,121.0,0.0,6581.0,592.0,473.0,1448.0,0.0,0.0,0.0
Eso-AdenoCA::S.57,3043.0,0.0,0.0,1359.0,0.0,2464.0,2639.0,0.0,0.0,0.0
Eso-AdenoCA::S.58,2175.0,0.0,0.0,9664.0,0.0,1617.0,24982.0,0.0,0.0,0.0
Eso-AdenoCA::S.59,1075.0,0.0,0.0,7529.0,0.0,1048.0,11238.0,0.0,2275.0,12297.0
Eso-AdenoCA::S.60,1232.0,0.0,0.0,6607.0,0.0,8789.0,2719.0,4522.0,601.0,0.0
Eso-AdenoCA::S.61,3475.0,0.0,6560.0,0.0,0.0,6914.0,4480.0,0.0,1279.0,0.0
Eso-AdenoCA::S.62,2280.0,995.0,0.0,1246.0,0.0,7661.0,4145.0,0.0,0.0,0.0
Eso-AdenoCA::S.63,1209.0,0.0,0.0,0.0,0.0,3712.0,8136.0,2075.0,594.0,1818.0
Eso-AdenoCA::S.64,1258.0,967.0,1642.0,0.0,0.0,408.0,14689.0,1087.0,0.0,0.0
Eso-AdenoCA::S.65,733.0,136.0,2179.0,10374.0,0.0,0.0,2652.0,602.0,0.0,0.0
Eso-AdenoCA::S.66,1315.0,2654.0,0.0,13722.0,0.0,3213.0,13104.0,0.0,0.0,0.0
Eso-AdenoCA::S.67,1923.0,0.0,9714.0,0.0,0.0,5820.0,9151.0,0.0,488.0,13469.0
Eso-AdenoCA::S.68,1523.0,806.0,0.0,2145.0,0.0,3592.0,6250.0,0.0,0.0,16038.0
Eso-AdenoCA::S.69,2231.0,0.0,0.0,0.0,0.0,11929.0,236.0,0.0,0.0,6799.0
Eso-AdenoCA::S.70,2253.0,0.0,0.0,0.0,1457.0,9539.0,2575.0,0.0,4461.0,7432.0
Eso-AdenoCA::S.71,1172.0,458.0,0.0,0.0,0.0,2349.0,3661.0,4685.0,306.0,7921.0
Eso-AdenoCA::S.72,1756.0,0.0,0.0,8402.0,0.0,17831.0,3664.0,0.0,0.0,0.0
Eso-AdenoCA::S.73,1177.0,0.0,1663.0,3547.0,177.0,472.0,8407.0,3273.0,0.0,8104.0
Eso-AdenoCA::S.74,1209.0,0.0,0.0,5261.0,277.0,15806.0,349.0,0.0,0.0,8829.0
Eso-AdenoCA::S.75,1382.0,0.0,1555.0,0.0,183.0,8672.0,2406.0,0.0,0.0,0.0
Eso-AdenoCA::S.76,2252.0,1208.0,0.0,0.0,0.0,0.0,1058.0,0.0,0.0,7052.0
Eso-AdenoCA::S.77,1680.0,0.0,7719.0,3224.0,0.0,2523.0,586.0,0.0,0.0,0.0
Eso-AdenoCA::S.78,734.0,2098.0,0.0,21454.0,0.0,0.0,0.0,1962.0,0.0,6203.0
Eso-AdenoCA::S.79,2754.0,455.0,0.0,0.0,0.0,1401.0,2021.0,0.0,266.0,18061.0
Eso-AdenoCA::S.80,837.0,0.0,0.0,12215.0,0.0,982.0,10424.0,5678.0,931.0,3018.0
Eso-AdenoCA::S.81,2003.0,823.0,0.0,4779.0,0.0,22691.0,1810.0,5038.0,0.0,4008.0
Eso-AdenoCA::S.82,5139.0,0.0,1940.0,5418.0,0.0,2594.0,3451.0,0.0,761.0,7921.0
Eso-AdenoCA::S.83,657.0,0.0,0.0,13394.0,0.0,753.0,2872.0,0.0,1045.0,4035.0
Eso-AdenoCA::S.84,1659.0,0.0,0.0,0.0,491.0,4321.0,28065.0,0.0,696.0,16401.0
Eso-AdenoCA::S.85,504.0,439.0,0.0,6033.0,388.0,4744.0,21484.0,0.0,0.0,4772.0
Eso-AdenoCA::S.86,963.0,0.0,0.0,22780.0,301.0,685.0,6670.0,0.0,3477.0,2755.0
Eso-AdenoCA::S.87,2971.0,2469.0,0.0,5415.0,0.0,5579.0,10350.0,4265.0,0.0,0.0
Eso-AdenoCA::S.88,731.0,0.0,0.0,6893.0,0.0,2503.0,401.0,3798.0,0.0,0.0
Eso-AdenoCA::S.89,1659.0,0.0,16026.0,5260.0,0.0,720.0,17859.0,1147.0,0.0,0.0
Eso-AdenoCA::S.90,0.0,366.0,0.0,23870.0,1716.0,2697.0,26530.0,7839.0,0.0,0.0
Eso-AdenoCA::S.91,2458.0,123.0,0.0,10555.0,0.0,734.0,0.0,0.0,0.0,4821.0
Eso-AdenoCA::S.92,1641.0,0.0,0.0,15868.0,0.0,5994.0,2432.0,0.0,1225.0,3597.0
Eso-AdenoCA::S.93,997.0,0.0,0.0,0.0,0.0,0.0,1671.0,5367.0,0.0,21515.0
Eso-AdenoCA::S.94,774.0,1481.0,0.0,25290.0,0.0,1484.0,24538.0,5141.0,0.0,0.0
Eso-AdenoCA::S.95,1304.0,313.0,2891.0,1689.0,0.0,0.0,417.0,0.0,551.0,8693.0
Eso-AdenoCA::S.96,1740.0,1540.0,0.0,0.0,0.0,7499.0,367.0,504.0,0.0,16472.0
Eso-AdenoCA::S.97,3529.0,0.0,1990.0,1206.0,0.0,5848.0,2851.0,678.0,0.0,6037.0
Eso-AdenoCA::S.98,1677.0,0.0,0.0,3448.0,722.0,2356.0,5682.0,2541.0,0.0,0.0
Eso-AdenoCA::S.99,1072.0,0.0,6802.0,10478.0,381.0,6604.0,0.0,6193.0,0.0,0.0
Eso-AdenoCA::S.100,2060.0,0.0,0.0,9807.0,0.0,3950.0,2260.0,4472.0,0.0,1945.0
