MutationType	ColoRect-AdenoCA::MSI-H.S.1	ColoRect-AdenoCA::MSI-H.S.2	ColoRect-AdenoCA::MSI-H.S.3	ColoRect-AdenoCA::MSI-H.S.4	ColoRect-AdenoCA::MSI-H.S.5	ColoRect-AdenoCA::MSI-H.S.6	ColoRect-AdenoCA::MSI-H.S.7	ColoRect-AdenoCA::MSI-H.S.8	ColoRect-AdenoCA::MSI-H.S.9	ColoRect-AdenoCA::MSI-H.S.10	ColoRect-AdenoCA::MSI-H.S.11	ColoRect-AdenoCA::MSI-H.S.12	ColoRect-AdenoCA::MSI-H.S.13	ColoRect-AdenoCA::MSI-H.S.14	ColoRect-AdenoCA::MSI-H.S.15	ColoRect-AdenoCA::MSI-H.S.16	ColoRect-AdenoCA::MSI-H.S.17	ColoRect-AdenoCA::MSI-H.S.18	ColoRect-AdenoCA::MSI-H.S.19	ColoRect-AdenoCA::MSI-H.S.20	ColoRect-AdenoCA::MSI-H.S.21	ColoRect-AdenoCA::MSI-H.S.22	ColoRect-AdenoCA::MSI-H.S.23	ColoRect-AdenoCA::MSI-H.S.24	ColoRect-AdenoCA::MSI-H.S.25	ColoRect-AdenoCA::MSI-H.S.26	ColoRect-AdenoCA::MSI-H.S.27	ColoRect-AdenoCA::MSI-H.S.28	ColoRect-AdenoCA::MSI-H.S.29	ColoRect-AdenoCA::MSI-H.S.30	ColoRect-AdenoCA::MSI-H.S.31	ColoRect-AdenoCA::MSI-H.S.32	ColoRect-AdenoCA::MSI-H.S.33	ColoRect-AdenoCA::MSI-H.S.34	ColoRect-AdenoCA::MSI-H.S.35
GC>AA	1	13	10	0	0	4	1	0	1	0	0	2	9	0	3	2	1	3	1	2	3	4	15	4	3	0	16	4	0	4	1	1	14	0	5
GC>AG	15	5	0	5	11	3	12	0	0	1	1	9	0	10	4	4	2	8	0	4	1	2	3	5	0	5	6	0	6	7	0	3	2	3	11
GC>AT	15	2	9	6	2	3	2	3	3	9	3	9	2	0	6	2	0	13	7	17	6	21	1	2	4	2	1	10	2	8	0	2	0	10	0
GC>CA	2	2	0	1	1	1	0	11	5	2	0	4	0	0	3	6	0	1	0	3	0	3	0	0	1	0	0	7	0	0	0	3	1	5	1
GC>CG	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
GC>TA	4	5	2	3	5	2	2	2	1	0	1	4	0	0	0	3	1	2	0	5	1	7	1	5	1	0	1	0	5	0	2	1	0	1	0
TA>AT	5	7	0	6	0	1	3	6	1	0	0	5	6	1	1	0	2	0	1	10	12	5	1	1	0	3	1	1	15	3	2	5	0	4	1
TA>CG	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	4	0	0	0
TA>CT	2	5	0	2	6	3	0	2	0	0	0	1	4	2	0	0	1	2	0	3	0	16	3	3	2	2	2	0	2	1	0	10	0	2	1
TA>GC	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	2	0
TA>GG	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	2	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0
TA>GT	0	1	3	3	0	3	1	0	7	2	1	0	0	1	1	1	0	0	1	0	1	3	0	0	2	0	2	2	0	1	2	0	3	1	0
TC>AA	35	40	8	9	3	1	6	28	4	1	4	17	9	1	3	8	2	14	3	8	2	4	8	3	30	0	19	20	2	1	5	4	33	2	1
TC>AG	8	0	3	1	1	3	2	3	15	1	0	7	10	1	1	1	0	2	0	10	7	3	6	7	4	1	3	1	0	0	0	1	0	9	4
TC>AT	3	11	6	2	2	1	4	14	0	2	1	6	0	0	1	2	4	5	0	4	1	2	6	0	3	1	9	0	1	2	1	2	0	0	8
TC>CA	11	10	6	5	5	2	5	10	15	8	8	9	8	1	4	9	8	24	2	13	3	8	1	3	4	1	21	2	5	10	5	12	9	1	4
TC>CG	0	1	1	0	0	0	0	1	1	1	1	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
TC>CT	1	5	10	7	2	3	3	7	3	1	5	7	2	3	3	3	0	8	0	3	3	4	9	0	5	1	2	6	4	11	0	1	0	7	1
TC>GA	3	2	9	2	6	0	5	17	20	1	1	1	6	2	5	7	9	8	3	16	1	0	1	2	4	1	2	7	2	3	8	10	7	1	1
TC>GG	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1
TC>GT	2	0	1	6	0	0	1	5	3	0	3	2	0	3	3	3	1	2	1	3	1	8	1	5	5	6	0	1	1	0	0	8	3	3	0
TG>AA	10	5	0	1	0	0	0	4	2	0	2	0	3	2	0	0	3	2	0	2	1	5	2	3	1	2	7	0	1	3	1	3	0	1	1
TG>AC	5	1	2	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	2	0	1	1	0	2	0	0	0	3	3	0	0	0
TG>AT	1	6	6	3	2	8	0	7	0	0	0	2	0	0	0	0	0	5	0	2	0	13	2	7	0	0	0	0	0	0	10	4	0	8	0
TG>CA	8	1	6	5	3	5	1	4	1	7	5	3	4	6	3	2	0	2	0	5	3	2	1	4	2	1	2	4	1	1	5	5	5	12	5
TG>CC	0	0	0	1	2	1	0	2	0	0	0	0	0	1	1	0	0	0	0	4	0	2	1	0	1	0	0	0	1	0	0	1	1	1	2
TG>CT	7	3	1	8	4	8	1	1	0	0	0	5	1	0	10	0	1	7	1	1	0	0	2	2	0	0	3	4	0	0	6	19	0	2	0
TG>GA	0	0	1	1	0	1	0	1	0	0	2	1	0	2	2	0	1	0	0	0	1	1	1	0	0	1	0	2	3	1	1	0	0	0	1
TG>GC	1	1	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1
TG>GT	2	0	0	2	0	0	1	4	3	0	1	0	0	0	0	5	1	2	0	0	2	3	5	1	1	3	1	0	2	0	0	2	1	2	2
TT>AA	0	12	0	8	0	0	2	2	0	0	1	1	21	0	0	1	1	1	26	1	7	2	0	39	9	3	1	0	41	3	25	17	7	9	16
TT>AC	2	1	0	1	0	0	0	0	4	0	0	1	2	1	0	0	0	1	0	0	0	3	0	1	2	1	0	1	2	2	0	1	3	1	4
TT>AG	1	0	2	3	0	0	2	1	1	0	6	1	4	0	0	0	0	2	1	5	9	14	0	5	2	1	3	5	0	4	3	2	4	2	25
TT>CA	1	0	0	0	0	0	0	0	5	0	5	0	1	0	0	2	0	7	4	1	6	4	0	0	3	1	1	0	7	5	4	8	7	0	12
TT>CC	1	2	2	3	1	0	0	1	6	0	3	2	10	0	1	0	0	1	0	0	0	3	0	0	0	1	0	2	0	0	9	2	13	6	2
TT>CG	0	0	0	0	0	0	2	3	2	2	2	0	3	3	1	5	0	5	3	2	0	3	2	1	0	1	0	7	0	0	2	3	4	0	1
TT>GA	1	4	0	1	0	0	1	1	2	0	1	0	5	0	0	3	1	1	0	5	1	4	1	0	1	1	1	0	1	2	2	4	0	1	5
TT>GC	0	0	4	0	0	0	0	3	2	0	1	0	0	1	0	5	0	2	1	4	2	1	0	6	0	7	1	3	1	3	1	2	5	5	0
TT>GG	13	0	1	16	6	0	11	20	29	2	0	1	4	6	10	3	16	0	17	25	0	4	2	5	1	1	0	12	1	1	7	6	4	11	12
