MutationType	ColoRect-AdenoCA::S.1	ColoRect-AdenoCA::S.2	ColoRect-AdenoCA::S.3	ColoRect-AdenoCA::S.4	ColoRect-AdenoCA::S.5	ColoRect-AdenoCA::S.6	ColoRect-AdenoCA::S.7	ColoRect-AdenoCA::S.8	ColoRect-AdenoCA::S.9	ColoRect-AdenoCA::S.10	ColoRect-AdenoCA::S.11	ColoRect-AdenoCA::S.12	ColoRect-AdenoCA::S.13	ColoRect-AdenoCA::S.14	ColoRect-AdenoCA::S.15	ColoRect-AdenoCA::S.16	ColoRect-AdenoCA::S.17	ColoRect-AdenoCA::S.18	ColoRect-AdenoCA::S.19	ColoRect-AdenoCA::S.20	ColoRect-AdenoCA::S.21	ColoRect-AdenoCA::S.22	ColoRect-AdenoCA::S.23	ColoRect-AdenoCA::S.24	ColoRect-AdenoCA::S.25	ColoRect-AdenoCA::S.26	ColoRect-AdenoCA::S.27	ColoRect-AdenoCA::S.28	ColoRect-AdenoCA::S.29	ColoRect-AdenoCA::S.30	ColoRect-AdenoCA::S.31	ColoRect-AdenoCA::S.32	ColoRect-AdenoCA::S.33	ColoRect-AdenoCA::S.34	ColoRect-AdenoCA::S.35	ColoRect-AdenoCA::POLE.S.1	ColoRect-AdenoCA::POLE.S.2	ColoRect-AdenoCA::POLE.S.3	ColoRect-AdenoCA::POLE.S.4	ColoRect-AdenoCA::POLE.S.5	ColoRect-AdenoCA::POLE.S.6	ColoRect-AdenoCA::POLE.S.7	ColoRect-AdenoCA::POLE.S.8	ColoRect-AdenoCA::POLE.S.9	ColoRect-AdenoCA::POLE.S.10	ColoRect-AdenoCA::POLE.S.11	ColoRect-AdenoCA::POLE.S.12	ColoRect-AdenoCA::POLE.S.13	ColoRect-AdenoCA::POLE.S.14	ColoRect-AdenoCA::POLE.S.15	ColoRect-AdenoCA::POLE.S.16	ColoRect-AdenoCA::POLE.S.17	ColoRect-AdenoCA::POLE.S.18	ColoRect-AdenoCA::POLE.S.19	ColoRect-AdenoCA::POLE.S.20	ColoRect-AdenoCA::POLE.S.21	ColoRect-AdenoCA::POLE.S.22	ColoRect-AdenoCA::POLE.S.23	ColoRect-AdenoCA::POLE.S.24	ColoRect-AdenoCA::POLE.S.25	ColoRect-AdenoCA::POLE.S.26	ColoRect-AdenoCA::POLE.S.27	ColoRect-AdenoCA::POLE.S.28	ColoRect-AdenoCA::POLE.S.29	ColoRect-AdenoCA::POLE.S.30
AT>GC	0	2	2	0	0	0	0	1	3	1	2	1	0	0	3	2	0	0	1	1	0	2	1	0	0	0	4	0	3	0	0	0	0	0	0	3	5	2	5	33	15	2	2	8	7	0	3	4	18	1	4	7	4	44	6	27	1	1	1	1	5	4	1	6	1
AT>TA	7	1	3	4	2	2	8	0	0	11	10	1	0	0	3	8	0	1	2	0	0	14	0	0	7	0	14	2	5	0	0	0	3	0	5	0	1	0	0	9	7	0	5	8	14	6	2	4	1	1	7	0	0	2	0	14	1	6	0	0	8	6	2	1	2
CC>AA	0	7	26	9	9	37	18	2	16	8	7	5	3	18	50	14	7	37	12	37	16	3	42	0	5	13	4	0	15	16	26	7	3	7	25	23	13	0	1	6	9	47	1	16	9	17	11	10	3	33	32	63	40	90	44	5	0	8	13	18	16	21	18	12	8
CC>AG	0	0	2	2	2	5	4	1	1	0	5	1	1	3	0	2	1	3	1	0	10	3	9	1	7	0	4	4	4	5	0	1	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CC>AT	0	2	8	3	0	3	7	1	7	8	4	1	4	1	2	5	0	0	7	13	6	0	2	0	1	0	0	2	3	2	1	0	10	3	4	5	21	0	1	26	20	5	5	17	8	28	1	5	8	5	0	0	9	51	39	13	0	21	1	1	15	31	2	0	3
CC>GA	0	0	1	1	5	0	1	0	0	0	0	1	4	0	1	1	0	1	0	1	3	0	3	0	4	2	1	1	0	3	3	1	0	0	1	0	0	2	1	0	2	4	2	4	1	1	1	1	0	3	7	0	0	9	0	0	0	0	12	0	6	0	0	2	4
CC>GG	1	0	0	1	0	2	0	0	0	0	2	0	0	0	5	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	3	0	0	0
CC>GT	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0
CC>TA	1	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	1	0	0	0	0	0	1	2	0	0	65	3	1	107	150	12	40	6	147	29	121	11	17	23	18	100	5	15	77	26	17	2	151	6	7	34	350	18	0	60
CC>TG	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CC>TT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	11	6	18	16	1	1	0	17	3	0	0	0	0	0	3	0	3	0	0	3	0	0	0	3	19	15
CG>AT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	3	0	0	0
CG>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	347	16	36	1078	291	39	277	234	720	243	127	636	12	10	83	31	34	239	38	58	55	79	165	27	438	305	15	97	205
CG>TC	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	2	4	1	0	7	1	2	3	3	3	0	0	1	0	1	0	2	0	5	1	0	0	0	1	2	2
CG>TT	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	11	74	6	8	11	28	30	11	12	9	15	2	20	12	1	34	2	8	0	5	1	9	18	17	3	2	3
CT>AA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	1	7	2	2	5	8	0	0	0	0	1	0	1	0	0	1	1	2	0	3	0	0	1	1	0	0	2
CT>AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	44	5	37	86	20	6	3	63	34	4	14	24	18	27	13	1	119	68	26	52	0	19	2	9	26	15	1	29	13
CT>AG	0	0	0	0	1	1	4	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	113	12	287	90	257	414	8	104	482	273	62	61	174	43	1528	70	82	73	32	570	0	439	6	228	351	140	33	65	91
CT>GA	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
CT>GC	2	3	1	0	0	9	0	1	1	5	3	2	0	0	0	3	1	2	0	0	0	0	0	0	4	0	0	0	3	0	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>GG	0	1	0	2	4	2	0	2	0	0	0	1	0	0	2	1	0	1	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CT>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	2	1	1	0	0	0	0	0	0	0	1	2	3	0	0	3	0	1	0	0	0	1
CT>TC	4	5	2	6	0	2	9	4	5	2	90	5	0	0	16	0	5	4	3	1	0	2	0	0	0	0	7	7	1	2	1	0	0	3	44	36	1	4	13	12	5	10	0	15	4	14	1	17	0	38	34	4	8	60	47	6	0	1	4	2	3	33	2	7	12
CT>TG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23	73	0	355	386	70	126	9	103	21	203	26	85	27	9	330	4	25	357	850	54	9	143	30	0	109	37	40	124	15
GC>AA	2	9	0	3	2	2	1	3	4	3	8	3	40	1	2	0	18	13	1	2	2	1	10	4	3	7	0	0	5	3	2	3	31	16	1	5	0	0	0	7	2	4	3	0	8	0	2	0	0	0	0	0	0	0	0	1	2	0	8	0	0	0	0	4	0
GC>AG	0	0	0	0	1	9	0	7	0	2	0	1	16	0	0	6	0	1	0	1	0	3	0	9	0	0	2	2	2	2	0	0	0	2	1	0	1	0	0	0	0	0	0	2	4	1	0	4	1	2	3	0	1	5	0	0	0	0	0	0	0	0	1	1	2
GC>AT	0	2	1	0	6	12	0	9	0	0	0	0	21	0	4	0	1	3	2	0	0	1	0	5	1	0	5	3	0	0	0	0	1	0	5	9	11	0	2	8	3	12	6	16	2	5	5	7	8	9	4	1	2	21	0	5	0	24	11	0	18	23	5	11	2
GC>CA	0	0	0	1	0	1	1	7	1	1	0	0	2	0	2	6	0	0	0	0	0	0	1	1	1	0	0	3	1	1	0	0	1	0	3	0	1	0	0	1	2	0	0	0	3	0	0	0	0	0	3	0	3	0	3	0	0	1	0	0	0	0	0	0	1
GC>CG	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GC>TA	0	0	1	0	0	0	0	4	0	0	0	1	0	0	2	1	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	5	0	0	30	34	14	3	0	14	1	1	2	2	7	4	40	1	2	30	19	8	1	4	1	0	0	50	15	0	3
TA>AT	1	0	2	5	0	43	4	6	0	16	58	6	3	0	5	6	1	4	1	6	0	4	1	3	5	1	15	7	3	0	3	0	3	14	3	1	8	1	3	26	24	14	4	16	2	4	1	1	4	0	0	1	0	3	6	3	3	0	3	0	6	2	6	14	7
TA>CG	0	0	1	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	7	8	1	7	7	3	0	6	20	5	20	1	4	46	6	14	1	1	3	2	6	2	5	10	4
TA>CT	5	1	2	6	5	7	13	4	1	2	3	1	0	0	5	2	3	4	1	0	4	10	0	1	3	0	6	12	2	1	0	0	0	2	11	1	1	0	0	6	1	0	1	0	2	0	1	0	0	0	0	0	1	1	0	4	0	0	0	0	7	3	1	2	1
TA>GC	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	6	15	12	2	0	0	3	4	0	0	7	2	6	0	5	27	10	2	0	0	0	0	4	11	1	0	5
TA>GG	0	3	0	1	0	1	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	4	18	0	0	26	17	16	1	14	1	3	0	2	6	5	16	3	4	8	23	2	1	8	9	0	2	3	13	12	9
TA>GT	12	9	1	0	0	3	1	4	2	3	2	2	0	0	10	16	0	1	1	2	0	4	2	0	2	0	2	0	0	1	2	0	0	3	1	1	1	2	0	0	2	0	2	11	0	0	4	1	2	0	0	1	0	8	0	0	0	0	0	0	2	0	3	1	0
TC>AA	5	5	2	4	2	4	6	8	0	11	8	2	5	14	7	9	12	2	11	8	2	1	1	8	6	0	32	6	3	9	12	2	16	15	5	5	11	4	2	40	14	6	6	19	19	35	12	5	0	5	5	4	10	84	26	2	2	10	2	3	14	6	1	5	12
TC>AG	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	4	1	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC>AT	0	1	0	0	0	1	1	2	0	0	0	0	0	0	2	3	0	0	0	0	7	2	0	1	0	0	1	1	1	0	0	0	0	0	2	10	2	1	0	4	10	0	5	1	4	9	0	0	0	5	6	0	2	4	0	2	0	5	1	0	3	1	1	8	2
TC>CA	2	1	4	4	2	3	4	9	1	1	1	2	1	1	1	2	1	5	2	0	2	0	2	1	0	0	0	1	6	0	0	0	0	2	0	86	65	29	85	212	382	107	14	111	23	64	10	44	72	2	41	25	318	1145	111	253	0	122	27	28	130	603	9	23	111
TC>CG	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0
TC>CT	1	0	3	0	0	1	6	4	0	4	7	0	2	0	2	3	0	1	1	0	1	1	2	1	0	0	7	7	1	2	2	0	0	0	0	32	59	11	64	88	36	60	27	113	72	14	3	12	21	20	6	2	78	22	103	70	4	17	2	0	82	42	5	24	17
TC>GA	0	0	2	1	1	1	0	1	0	0	2	0	4	1	0	0	0	5	0	0	2	0	0	0	0	3	0	0	0	2	0	0	1	3	0	106	133	2	62	249	578	85	9	59	154	338	6	79	195	126	213	27	81	358	8	190	4	384	5	61	31	435	18	94	25
TC>GG	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TC>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	63	12	26	99	133	167	7	60	54	110	14	14	47	30	504	62	100	105	66	28	4	169	55	26	34	42	18	168	76
TG>AA	1	1	0	4	0	0	3	1	0	16	1	5	2	0	2	7	1	1	1	0	0	17	4	1	6	0	7	2	3	1	0	0	1	2	1	0	1	0	0	1	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0
TG>AC	1	2	0	1	0	0	0	2	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0
TG>AT	10	0	1	3	2	0	1	1	0	0	1	0	5	0	5	19	0	1	0	0	16	4	0	6	5	0	0	0	1	0	1	0	1	0	0	6	3	0	1	3	6	5	1	1	4	2	0	0	3	1	9	3	0	4	0	0	0	3	0	0	1	4	1	1	0
TG>CA	1	1	4	0	1	10	2	2	1	6	10	1	0	0	4	2	0	0	0	0	1	15	0	0	21	0	0	6	2	7	0	0	0	1	1	27	36	10	9	114	32	31	7	98	27	49	2	24	66	5	1	39	173	121	6	49	0	60	2	2	5	0	4	19	6
TG>CC	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	2	0	1	1	4	0	0	0	0	0	0	0	0	1	3	1	4	1	0	2	0	2	0	0	4	0	0	0	1
TG>CT	4	0	1	11	7	2	0	5	0	0	3	0	5	0	1	4	0	2	1	1	0	3	0	11	8	0	0	0	0	0	0	0	15	0	0	8	4	1	23	27	1	11	4	10	9	4	3	1	7	8	22	6	9	6	5	7	5	45	2	7	6	34	3	12	7
TG>GA	1	1	1	3	1	0	1	0	0	3	5	0	0	0	2	0	0	0	1	0	3	4	1	0	5	0	1	2	1	3	0	0	1	1	0	0	2	0	4	1	6	0	0	1	0	0	0	2	0	0	2	0	0	3	2	1	0	1	0	0	0	1	0	0	0
TG>GC	1	2	1	0	0	3	0	1	0	0	1	1	2	0	0	1	2	1	0	1	1	1	0	1	2	0	2	3	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	2	0	3	1	0	7	0	0	1	12	0	0	7	0	0	0	0	0	0	0
TG>GT	0	2	0	1	0	6	0	0	0	2	1	2	0	0	0	0	2	0	3	0	0	0	0	2	1	0	0	0	4	1	0	0	0	0	2	11	1	8	54	59	132	1	1	19	10	1	4	0	7	8	40	26	41	33	29	57	0	69	0	0	18	73	1	2	0
TT>AA	16	0	13	4	0	15	8	7	16	107	41	37	0	0	0	54	1	11	13	0	0	29	8	0	39	0	13	23	58	20	29	0	2	30	26	7	5	0	7	14	13	27	0	20	13	3	10	4	0	9	0	2	4	2	45	2	1	5	0	0	21	2	1	12	3
TT>AC	0	7	10	1	0	2	5	2	1	5	7	7	0	0	5	9	1	6	1	3	1	14	3	0	9	0	7	3	0	7	6	0	2	0	0	7	2	0	4	47	1	0	0	2	8	0	1	4	2	7	13	12	14	14	10	4	0	0	0	2	4	14	0	1	2
TT>AG	1	17	16	3	0	33	0	0	6	3	5	2	0	0	4	7	4	23	4	8	0	27	0	0	5	0	5	0	13	0	4	0	0	13	11	91	14	7	44	71	66	37	0	32	9	3	2	10	7	30	50	21	181	4	187	113	0	32	2	21	10	92	14	6	5
TT>CA	2	3	1	1	0	2	23	7	1	100	7	2	0	0	11	9	0	6	7	1	0	81	22	0	4	0	0	14	56	6	13	0	9	4	93	4	1	1	0	3	3	1	0	1	1	3	2	2	4	0	1	0	0	1	3	1	0	0	1	1	2	2	0	1	0
TT>CC	0	5	2	5	0	1	1	0	1	5	4	4	0	0	2	8	0	1	2	2	0	16	1	0	1	0	35	1	7	6	5	0	0	1	9	33	33	7	1	70	3	15	0	5	3	15	1	13	12	2	1	19	3	89	36	7	0	7	3	7	18	11	26	2	2
TT>CG	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64	96	3	7	94	90	100	4	127	6	112	5	59	3	28	66	49	114	26	9	46	0	8	6	23	28	85	41	23	20
TT>GA	9	1	7	2	0	1	7	8	2	26	11	0	0	1	5	24	1	1	2	4	0	7	1	0	19	0	15	14	6	0	0	0	0	0	1	7	16	1	7	22	7	28	2	7	21	90	6	10	8	9	79	19	16	84	9	0	0	36	7	7	2	4	4	38	23
TT>GC	2	2	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	33	21	2	18	91	263	8	5	169	97	79	19	5	19	31	27	45	71	93	380	191	7	328	5	62	23	371	25	48	40
TT>GG	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	177	47	80	526	121	80	21	2852	1007	17	67	148	111	158	5	54	217	555	57	213	8	50	20	40	231	57	103	218	273
