"Mutation type","DBS2","DBS4","DBS5","DBS6","DBS11"
"CC>TT",4.17088260046709e-18,7.00314066908267e-18,1.049912657766e-17,8.30178132151993e-18,0.331977365783201
"CG>AT",0.00115024340300651,0.000290130113433425,0.0016398635797488,0.00754161821256148,0.00181987592085972
"CG>GC",0.000369078100616872,5.10228820176023e-06,9.9191748238464e-05,0.00059012662405985,0.0001659886828916
"CG>GT",0.00128027091812899,7.00314066908267e-18,0.0064794609736416,0.00322069106690292,0.00117991955308487
"CG>TA",4.17088260046709e-18,7.00314066908267e-18,1.049912657766e-17,8.30178132151993e-18,7.37949686590368e-18
"CG>TC",0.00215045505779478,7.00314066908267e-18,2.9797521144216e-05,0.00891191223792079,0.000684953299884014
"CG>TT",0.00556117680062278,0.000361161968791264,0.0022198153335624,0.0187040133388461,0.000698952345429089
"CT>AA",0.00321067941187035,7.00314066908267e-18,0.46596123668472,0.00448096148438667,0.00439970002845206
"CT>AC",4.17088260046709e-18,7.00314066908267e-18,0.20898261473628,0.00195041850324866,0.00234983978792326
"CT>AG",0.000587124241360715,0.000363162866125287,0.026697779011764,0.0395084773734985,0.000495966185025505
"CT>GA",1.81038309516677e-05,0.000673301952898948,0.016098660752412,0.00734157528915136,0.0115992091659191
"CT>GC",0.000134028361741628,7.22323937582527e-05,0.004849596562062,0.00179038416452057,0.00610958344860047
"CT>GG",8.98190065999866e-05,0.000926415465652936,0.0005699525856444,0.00681146154211454,0.00401972593508575
"CT>TA",0.00338071539318435,7.00314066908267e-18,0.0033397221685128,8.84189721472725e-05,0.0416971570878297
"CT>TC",3.84081275438696e-05,7.00314066908267e-18,0.00023698028561004,8.30178132151993e-18,0.0029897961556981
"CT>TG",0.000390082545367425,3.08138189439638e-05,0.00087392729798808,0.0112024037109667,0.00147989910047933
"GC>AA",0.00508107520632441,0.328147162779874,0.00013298893665036,8.30178132151993e-18,0.000999931824648195
"GC>AG",0.000325068787806188,0.0113050699372335,0.0026597787330072,0.00366078549840518,0.00328977570309256
"GC>AT",0.00095320170701322,0.00924414568318913,0.0015698694025644,0.00188040348005512,0.0271981456304309
"GC>CA",0.00106022435407557,0.0119053391374405,0.0045796190214936,0.00869186502216966,0.00210985615000769
"GC>CG",6.69141597053353e-05,9.8344103967261e-07,0.00032297313186516,9.04194013813737e-18,0.00403972457157871
"GC>TA",0.000736155777924166,0.017707941406109,0.00022198153335624,0.000829177917534942,0.000242983433389511
"TA>AT",0.00275058205066774,0.030413639477159,0.0018698444476404,0.00857183926812359,0.00222984796896548
"TA>CG",1.89040002754983e-05,0.000389174531467594,7.8893436854988e-06,0.000259055585816104,0.000583960185594546
"TA>CT",0.000280059263340716,0.00872391237634299,0.0022698111744084,0.0261056015050205,0.0033797695673109
"TA>GC",8.22173980235957e-05,7.02314964242291e-05,5.2195657843224e-05,0.000264056658901357,0.00101993046114116
"TA>GG",7.89166995627944e-05,0.00222099604076622,0.0016298644115796,0.00021804678651703,0.000374974434243073
"TA>GT",0.00130027515122475,0.00806361625611519,0.0019098411203172,6.25134135656621e-05,0.00266981797181068
"TC>AA",0.00145030689944299,0.379170044797476,0.040396639403568,0.0458098294609173,0.000216985205948658
"TC>AG",0.000200042330957654,0.00187083900731209,0.014898760572108,0.00828177702917892,0.0473967684883245
"TC>AT",4.17088260046709e-18,0.00841377328956933,0.00074793777905616,0.000594127482528053,0.0845942323652373
"TC>CA",0.0006821443485656,0.0846379572291992,0.0014298810481956,0.011802532481197,0.000281980774550791
"TC>CG",3.89082333712637e-06,0.000400179466804724,1.0599118259352e-17,0.000862184999897612,0.00323977911186015
"TC>CT",0.00335070904354071,8.28371496285779e-06,0.001049912657766,0.00939201525410508,0.0200986296754287
"TC>GA",0.000885187314487618,0.0364163314792299,2.4597953696232e-05,0.00734157528915136,0.000234983978792326
"TC>GG",9.87208903276022e-06,1.04046661369228e-05,3.4797105228816e-05,0.0015103240717464,0.00732950027467127
"TC>GT",8.57181388153546e-05,7.00314066908267e-18,3.8596789133112e-05,8.30178132151993e-18,0.0151989637346526
"TG>AA",0.00296062649817328,0.00763342332930011,0.01799850270456,0.0255054727347902,0.00782946618699537
"TG>AC",0.000220046564053419,0.000118052942707394,0.0014598785527032,0.010102167632211,0.000865940960145337
"TG>AT",0.00429090799904168,7.00314066908267e-18,0.020398303065168,0.221047430368182,0.0104992841588061
"TG>CA",0.000144030478289511,0.000804360728277496,0.00047596040485392,0.0114024466343768,0.0560961753627638
"TG>CC",5.94125722944232e-05,0.000120053840041417,0.00050595790936152,0.00789169332852919,0.00312978661114885
"TG>CT",0.00307064978019999,8.21368355616696e-05,0.00032797271594976,0.275059019688914,0.00557961958153693
"TG>GA",0.00147031113253876,0.00785352203604271,0.0032697279913284,0.00744159675085642,0.00730950163817831
"TG>GC",0.000272057570102409,0.000604270994875134,0.00029197571054064,0.00560120185548332,0.00611958276684695
"TG>GT",0.00640135459064493,3.23144919444815e-05,0.082693120759284,0.0274058805071863,0.00523964276115654
"TT>AA",0.00431091223213744,1.80080760062126e-05,0.0049195907392464,0.000193041421090765,0.00476967480357189
"TT>AC",0.000345073020901953,6.60296120227795e-07,0.00096591964514472,0.000128027470982476,0.00103992909763412
"TT>AG",0.000215045505779478,7.00314066908267e-18,0.00089292571750956,0.00212045498814726,0.00126991341730321
"TT>CA",4.17088260046709e-18,7.00314066908267e-18,1.049912657766e-17,8.30178132151993e-18,0.00201986228578935
"TT>CC",2.98063073126904e-06,7.00314066908267e-18,0.00077293569947916,8.30178132151993e-18,0.00399972729859278
"TT>CG",1.52032171527817e-05,7.25325283583563e-18,1.049912657766e-17,1.12024037109667e-05,9.95932097349603e-18
"TT>GA",4.79101382643581e-05,7.00314066908267e-18,2.9897512825908e-05,8.30178132151993e-18,0.000706951800026274
"TT>GC",1.54032594837394e-06,7.00314066908267e-18,5.6595291837672e-05,4.09087778373693e-07,5.77960594646657e-06
"TT>GG",4.17088260046709e-18,7.00314066908267e-18,1.049912657766e-17,8.30178132151993e-18,7.33949959291775e-18
