"Mutation type","Stomach-AdenoCA::S.1","Stomach-AdenoCA::S.2","Stomach-AdenoCA::S.3","Stomach-AdenoCA::S.4","Stomach-AdenoCA::S.5","Stomach-AdenoCA::S.6","Stomach-AdenoCA::S.7","Stomach-AdenoCA::S.8","Stomach-AdenoCA::S.9","Stomach-AdenoCA::S.10","Stomach-AdenoCA::S.11","Stomach-AdenoCA::S.12","Stomach-AdenoCA::S.13","Stomach-AdenoCA::S.14","Stomach-AdenoCA::S.15","Stomach-AdenoCA::S.16","Stomach-AdenoCA::S.17","Stomach-AdenoCA::S.18","Stomach-AdenoCA::S.19","Stomach-AdenoCA::S.20","Stomach-AdenoCA::S.21","Stomach-AdenoCA::S.22","Stomach-AdenoCA::S.23","Stomach-AdenoCA::S.24","Stomach-AdenoCA::S.25","Stomach-AdenoCA::S.26","Stomach-AdenoCA::S.27","Stomach-AdenoCA::S.28","Stomach-AdenoCA::S.29","Stomach-AdenoCA::S.30","Stomach-AdenoCA::S.31","Stomach-AdenoCA::S.32","Stomach-AdenoCA::S.33","Stomach-AdenoCA::S.34","Stomach-AdenoCA::S.35","Stomach-AdenoCA::S.36","Stomach-AdenoCA::S.37","Stomach-AdenoCA::S.38","Stomach-AdenoCA::S.39","Stomach-AdenoCA::S.40","Stomach-AdenoCA::S.41","Stomach-AdenoCA::S.42","Stomach-AdenoCA::S.43","Stomach-AdenoCA::S.44","Stomach-AdenoCA::S.45","Stomach-AdenoCA::S.46","Stomach-AdenoCA::S.47","Stomach-AdenoCA::S.48","Stomach-AdenoCA::S.49","Stomach-AdenoCA::S.50","Stomach-AdenoCA::S.51","Stomach-AdenoCA::S.52","Stomach-AdenoCA::S.53","Stomach-AdenoCA::S.54","Stomach-AdenoCA::S.55","Stomach-AdenoCA::S.56","Stomach-AdenoCA::S.57","Stomach-AdenoCA::S.58","Stomach-AdenoCA::S.59","Stomach-AdenoCA::S.60","Stomach-AdenoCA::S.61","Stomach-AdenoCA::S.62","Stomach-AdenoCA::S.63","Stomach-AdenoCA::S.64","Stomach-AdenoCA::S.65","Stomach-AdenoCA::S.66"
"CC>GA",0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,2,1,0,2,0,5,0,0,0,1,0,1,6,1,0,1,0,2,0,1,0,1,0,1,2,1,1,1,1,0,0,0,6,0,0
"CC>GG",1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"CC>GT",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC>TA",4,1,0,0,1,0,3,1,0,1,3,3,6,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,3,2,0,3,1,1,0,0,0,0,0,1,4,0,2,9,0,0,2,3,0,0,1,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0
"CC>TG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC>TT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>AT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>GC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>GT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>TA",2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>TC",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>TT",3,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0
"CT>AA",0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31,1,79,0,4,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"CT>AC",2,34,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,19,0,16,0,4,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CT>AG",2,10,0,0,0,0,0,8,0,0,0,0,7,0,0,1,0,0,0,138,0,0,2,0,0,4,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,1,0,0
"CT>GA",0,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CT>GC",2,0,1,0,0,1,7,0,3,6,3,0,1,0,0,2,0,0,0,2,0,0,0,0,1,2,0,12,0,0,1,0,0,2,3,0,0,3,0,0,2,0,0,0,2,0,4,0,2,0,0,0,4,4,0,0,0,0,0,8,0,0,1,0,0,0
"CT>GG",1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1
"CT>TA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT>TC",3,0,1,0,0,2,5,0,3,7,1,0,7,0,0,2,0,2,0,21,0,0,6,0,5,0,1,16,1,0,10,4,2,2,0,0,0,5,2,0,23,0,3,0,2,10,6,0,10,0,11,0,2,0,0,0,6,0,0,31,0,9,0,0,0,19
"CT>TG",25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"GC>AA",2,9,4,3,13,34,3,8,30,44,23,9,191,133,9,4,75,1,71,3,13,1,0,70,4,43,10,78,0,66,0,8,40,2,12,13,0,8,1,3,38,10,1,14,11,9,37,32,20,5,3,25,7,21,8,35,36,11,159,37,38,63,2,39,14,9
"GC>AG",0,1,0,0,3,2,0,0,0,0,2,0,4,0,1,0,2,0,0,0,0,0,0,0,0,4,8,0,1,6,1,1,1,0,0,1,4,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,1,3,2
"GC>AT",2,0,0,0,1,1,2,1,2,1,1,1,0,1,2,1,0,1,3,0,1,1,1,0,1,1,5,1,0,1,2,0,1,0,1,0,2,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"GC>CA",0,11,1,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,1,1,0,4,0,0,1,2,2,3,0,3,1,0,1,1,0,1,0,2,0,1,0,3,0,0,0,0,0,2,1,4,0,1,0,1,0,2,1,0,5,1,1,0,2,1,0,2
"GC>CG",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1
"GC>TA",0,7,0,0,0,4,2,1,3,4,0,0,5,5,1,0,0,0,3,3,0,0,0,0,0,4,4,0,0,9,1,0,0,2,0,0,5,0,1,0,0,2,0,0,1,0,0,5,0,1,0,0,0,2,0,4,0,1,2,1,0,3,0,1,0,1
"TA>AT",11,0,11,8,0,15,19,6,4,6,5,3,1,7,1,2,0,2,8,9,1,0,15,3,3,2,7,13,1,1,5,8,14,11,6,3,7,3,2,0,16,5,0,1,2,14,2,1,7,1,4,6,20,15,0,0,6,2,4,0,1,9,5,4,2,16
"TA>CG",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
"TA>CT",2,0,10,0,0,4,0,2,1,1,5,0,1,1,1,10,1,4,1,3,1,2,3,0,0,0,2,1,12,6,1,10,2,0,1,0,2,1,1,1,8,1,3,0,3,3,4,2,1,0,5,0,4,12,0,4,0,4,0,0,0,1,0,2,0,3
"TA>GC",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"TA>GG",2,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,1
"TA>GT",6,0,7,2,0,1,6,5,6,13,2,1,6,1,0,3,1,1,1,1,0,0,3,1,3,0,2,21,1,0,8,1,2,2,3,1,0,5,3,2,0,1,2,2,4,20,1,0,5,2,1,0,2,7,1,1,5,0,1,4,1,6,3,2,2,15
"TC>AA",36,45,38,27,18,2,17,36,35,5,38,1,12,88,32,5,16,3,15,9,18,21,32,81,4,23,65,79,8,28,15,0,142,49,76,3,63,49,18,2,7,110,4,2,8,16,4,13,17,0,4,17,91,38,52,6,4,7,45,76,8,26,13,1,45,5
"TC>AG",1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,1,17,0,1,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC>AT",1,0,0,0,0,1,1,2,0,1,5,0,3,0,1,0,2,1,1,2,1,0,1,0,0,0,1,1,2,0,0,0,8,3,2,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,5,0,0,2,0,3,1,0,1,1,0,1,1,0
"TC>CA",29,13,8,1,13,12,0,12,15,8,0,10,0,24,6,4,3,2,1,14,3,31,5,6,0,6,5,7,2,38,8,12,4,2,3,3,0,13,2,7,5,11,3,3,0,1,5,4,1,1,0,8,13,6,30,1,17,3,8,7,12,2,8,6,1,14
"TC>CG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"TC>CT",0,0,0,0,0,1,1,5,2,1,1,0,0,0,1,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,7,1,0,1,1,0,0,2,0,1,3,8,0,1,4,3,1,0,0,0,3,0,4,1,0,0,1,0,1,1,0,1,1,0,0,2
"TC>GA",5,5,0,6,1,10,4,8,10,8,4,1,8,16,6,2,0,1,3,51,0,9,1,7,1,0,6,4,0,0,5,7,4,10,0,0,2,2,3,3,1,9,0,1,0,2,2,0,2,1,2,6,3,0,4,8,2,0,6,7,2,11,4,0,0,8
"TC>GG",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC>GT",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
"TG>AA",0,1,3,0,1,6,4,0,2,2,3,0,8,2,3,5,0,1,1,0,0,0,3,2,0,0,5,14,1,1,7,1,0,2,4,0,1,6,1,0,3,1,0,1,5,1,4,1,2,0,0,1,4,0,0,1,0,2,3,4,0,1,1,2,0,0
"TG>AC",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TG>AT",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,0,2,1,0,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"TG>CA",7,0,0,0,0,0,3,2,1,1,7,0,1,0,1,2,0,2,0,9,0,0,3,0,1,0,2,3,4,0,0,11,3,3,0,0,0,21,7,0,0,0,1,0,1,1,1,0,0,0,0,0,3,3,1,0,2,0,0,2,0,3,0,5,0,2
"TG>CC",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TG>CT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"TG>GA",1,0,1,1,2,0,9,0,0,1,1,3,0,1,5,2,0,0,0,2,0,0,2,0,0,1,12,1,0,0,3,0,1,1,1,1,1,1,1,0,12,4,0,2,0,1,4,0,0,0,1,0,2,5,0,0,1,5,9,0,0,0,1,2,0,1
"TG>GC",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
"TG>GT",3,9,0,1,0,1,3,2,0,3,0,0,0,0,2,3,0,0,1,6,0,1,1,0,0,6,0,8,0,1,3,2,0,1,1,1,0,6,8,0,3,3,0,1,1,2,1,3,1,0,3,0,2,1,0,0,0,0,0,1,0,3,0,0,0,1
"TT>AA",21,2,10,0,0,30,30,54,57,53,24,0,16,0,0,6,0,44,0,4,0,0,10,0,9,0,20,26,4,0,66,8,10,4,4,0,0,18,13,0,21,0,1,0,17,28,21,0,36,0,30,0,3,5,0,0,8,1,0,11,0,23,0,0,0,44
"TT>AC",3,0,3,0,0,8,8,1,15,7,1,0,4,0,0,3,0,7,0,2,0,0,1,1,6,0,8,24,2,0,1,1,5,3,3,0,0,10,13,0,8,1,0,0,15,2,9,0,0,0,1,0,5,8,0,0,0,5,0,3,0,2,3,0,0,26
"TT>AG",12,0,6,0,0,6,15,3,0,2,1,0,0,0,0,2,0,27,0,3,0,0,13,0,0,0,1,11,0,0,4,4,0,8,0,0,0,1,10,0,5,3,2,0,1,29,0,0,9,0,2,0,1,6,0,0,2,2,0,10,0,2,0,1,0,0
"TT>CA",2,0,6,0,0,11,58,1,9,14,7,0,7,0,0,2,0,13,0,2,0,0,6,0,1,0,2,23,35,0,2,11,25,23,2,0,0,12,5,0,3,0,22,0,0,11,7,0,0,0,2,0,8,19,0,0,22,0,0,0,0,1,21,7,0,6
"TT>CC",0,0,5,0,0,8,0,1,6,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,7,1,0,7,0,1,3,1,0,0,1,0,0,0,2,0,0,1,5,0,0,2,0,5,0,6,3,0,0,0,2,0,0,0,3,6,0,0,0
"TT>CG",2,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,1,0,5,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0
"TT>GA",0,0,0,0,0,7,9,6,8,4,0,0,0,0,0,1,0,4,0,1,0,0,3,0,3,0,1,19,2,0,11,2,3,4,6,0,0,7,21,0,5,0,0,0,5,0,0,0,5,0,1,0,0,5,0,0,5,8,0,4,0,1,1,0,0,2
"TT>GC",44,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,6,0,0,0,0
"TT>GG",52,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0
