"Mutation type","Kidney-RCC::S.1","Kidney-RCC::S.2","Kidney-RCC::S.3","Kidney-RCC::S.4","Kidney-RCC::S.5","Kidney-RCC::S.6","Kidney-RCC::S.7","Kidney-RCC::S.8","Kidney-RCC::S.9","Kidney-RCC::S.10","Kidney-RCC::S.11","Kidney-RCC::S.12","Kidney-RCC::S.13","Kidney-RCC::S.14","Kidney-RCC::S.15","Kidney-RCC::S.16","Kidney-RCC::S.17","Kidney-RCC::S.18","Kidney-RCC::S.19","Kidney-RCC::S.20","Kidney-RCC::S.21","Kidney-RCC::S.22","Kidney-RCC::S.23","Kidney-RCC::S.24","Kidney-RCC::S.25","Kidney-RCC::S.26","Kidney-RCC::S.27","Kidney-RCC::S.28","Kidney-RCC::S.29","Kidney-RCC::S.30","Kidney-RCC::S.31","Kidney-RCC::S.32","Kidney-RCC::S.33","Kidney-RCC::S.34","Kidney-RCC::S.35","Kidney-RCC::S.36","Kidney-RCC::S.37","Kidney-RCC::S.38","Kidney-RCC::S.39","Kidney-RCC::S.40","Kidney-RCC::S.41","Kidney-RCC::S.42","Kidney-RCC::S.43","Kidney-RCC::S.44","Kidney-RCC::S.45","Kidney-RCC::S.46","Kidney-RCC::S.47","Kidney-RCC::S.48","Kidney-RCC::S.49","Kidney-RCC::S.50","Kidney-RCC::S.51","Kidney-RCC::S.52","Kidney-RCC::S.53","Kidney-RCC::S.54","Kidney-RCC::S.55","Kidney-RCC::S.56","Kidney-RCC::S.57","Kidney-RCC::S.58","Kidney-RCC::S.59","Kidney-RCC::S.60","Kidney-RCC::S.61","Kidney-RCC::S.62","Kidney-RCC::S.63","Kidney-RCC::S.64","Kidney-RCC::S.65","Kidney-RCC::S.66","Kidney-RCC::S.67","Kidney-RCC::S.68","Kidney-RCC::S.69","Kidney-RCC::S.70","Kidney-RCC::S.71","Kidney-RCC::S.72","Kidney-RCC::S.73","Kidney-RCC::S.74","Kidney-RCC::S.75","Kidney-RCC::S.76","Kidney-RCC::S.77","Kidney-RCC::S.78","Kidney-RCC::S.79","Kidney-RCC::S.80","Kidney-RCC::S.81","Kidney-RCC::S.82","Kidney-RCC::S.83","Kidney-RCC::S.84","Kidney-RCC::S.85","Kidney-RCC::S.86","Kidney-RCC::S.87","Kidney-RCC::S.88","Kidney-RCC::S.89","Kidney-RCC::S.90","Kidney-RCC::S.91","Kidney-RCC::S.92","Kidney-RCC::S.93","Kidney-RCC::S.94","Kidney-RCC::S.95","Kidney-RCC::S.96","Kidney-RCC::S.97","Kidney-RCC::S.98","Kidney-RCC::S.99"
"DEL_T_1_4",38,40,46,14,20,5,126,61,34,37,49,17,51,18,14,94,53,29,89,59,65,36,40,57,15,78,20,58,8,54,37,18,29,31,18,82,51,14,35,46,16,3,46,33,17,18,18,19,29,40,55,35,33,46,50,57,4,19,20,20,13,21,29,17,14,21,51,7,41,25,8,16,22,27,30,26,12,14,36,60,5,30,5,9,76,77,20,33,22,10,14,18,24,9,15,15,23,17,32
"DEL_T_1_5+",39,10,27,17,11,20,10,26,11,12,7,12,16,59,7,44,23,9,29,28,65,37,30,7,16,18,2,26,7,42,10,15,65,31,24,21,46,4,20,10,8,17,16,60,4,21,19,3,8,8,30,40,15,25,24,36,7,21,32,8,5,20,45,12,12,6,28,10,16,46,40,38,10,7,10,7,15,14,24,28,6,21,15,9,11,21,18,7,45,3,13,13,10,76,30,14,4,40,12
"INS_C_1_0",0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,3,3,3,2,1,2,1,1,1,1,1,2,0,0,3,1,0,0,1,0,0,0,0,2,0,1,0,2,2,1,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,1,0,3,1,2,0,0,0,0,2,0,1,0,0,1,0,1,1,1,2,2,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"INS_C_1_1",5,22,0,0,10,31,4,1,5,6,2,17,2,6,0,0,32,4,3,7,9,22,4,12,17,17,0,15,0,5,4,2,16,1,0,7,19,7,10,0,15,20,10,0,2,0,0,0,0,10,15,28,1,1,5,7,0,2,0,0,0,15,0,11,1,3,0,3,31,13,7,1,3,3,11,0,1,3,11,6,0,2,0,2,0,20,1,3,5,13,6,1,1,2,1,43,0,0,7
"INS_C_1_2",3,17,1,1,20,6,5,3,4,10,4,10,3,7,2,3,13,0,3,6,7,4,10,9,8,14,1,6,2,4,2,0,6,1,0,4,15,10,12,1,8,4,13,0,4,4,1,1,7,12,6,14,5,1,14,1,4,1,3,1,0,10,2,6,4,1,0,2,21,11,9,3,1,5,4,1,1,7,6,6,1,2,1,3,0,7,1,2,6,6,12,0,1,3,1,6,5,3,18
"INS_C_1_3",1,2,0,1,0,0,0,1,2,3,1,4,1,3,0,0,5,1,0,1,1,3,1,3,2,3,1,10,1,0,6,0,2,1,0,0,5,0,3,0,0,2,4,1,2,0,1,1,3,0,8,4,1,0,3,2,0,0,1,1,0,12,0,2,1,0,0,0,10,6,0,0,0,1,5,0,0,2,7,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"INS_C_1_4",0,1,1,0,2,2,2,3,1,4,0,3,1,2,0,2,2,3,0,0,4,3,0,1,1,2,2,1,1,1,3,0,2,0,0,0,1,6,2,0,2,1,4,1,2,0,1,0,2,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,3,2,4,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,2,0,2,4
"INS_C_1_5+",0,0,1,3,0,2,1,0,0,0,2,0,1,1,0,2,1,2,0,0,1,2,1,1,3,1,0,3,2,1,2,4,1,1,2,1,0,5,1,0,0,1,2,0,3,1,0,5,3,0,1,5,1,1,0,0,0,2,1,1,0,4,0,0,3,0,1,4,1,4,1,3,1,0,0,3,1,0,1,1,0,2,0,0,2,0,1,0,1,2,2,1,4,2,2,0,4,3,2
"INS_T_1_0",4,5,10,7,5,2,10,10,5,6,8,0,9,5,0,20,2,3,14,6,12,3,6,11,1,6,6,5,5,4,4,1,10,2,7,3,1,5,4,6,3,4,5,9,11,6,2,1,1,3,6,8,2,3,4,2,3,4,8,12,6,7,13,6,7,7,9,6,4,5,1,1,2,10,6,4,9,8,11,3,2,5,3,4,6,5,7,3,3,3,6,3,3,3,4,7,3,3,6
"INS_T_1_1",16,71,7,8,21,19,19,29,29,21,6,32,12,60,4,27,74,4,13,17,33,27,9,15,24,29,5,33,11,26,37,6,44,22,8,7,46,12,50,11,12,36,37,10,11,6,17,2,30,17,60,66,22,6,39,12,9,12,15,18,2,31,18,23,14,9,12,26,16,16,14,4,11,14,28,4,4,30,34,14,4,4,1,14,9,47,9,30,22,28,34,2,4,8,9,41,8,14,19
"INS_T_1_2",5,53,18,8,10,15,15,15,23,46,5,23,32,16,16,21,46,48,44,23,38,76,44,45,7,39,24,42,27,13,14,4,32,23,23,11,26,13,38,35,20,25,17,19,34,10,7,7,22,23,44,41,37,4,18,28,8,33,2,11,8,47,29,4,16,16,33,23,86,25,11,5,17,16,35,3,3,41,34,16,3,25,9,16,6,10,15,11,18,9,38,20,35,11,23,25,17,17,17
"INS_T_1_3",8,11,9,4,15,14,13,18,15,29,3,12,19,12,10,22,18,8,19,12,20,23,24,19,23,26,4,19,24,27,10,7,26,17,5,3,38,15,22,1,8,24,34,12,15,5,4,9,9,17,13,30,21,6,10,25,7,17,19,5,2,23,11,6,8,10,13,21,20,20,5,7,8,15,7,6,18,18,29,17,3,23,2,14,6,18,12,15,23,2,15,19,14,5,6,6,17,20,18
"INS_T_1_4",6,5,5,0,6,9,8,19,4,7,4,10,21,5,5,19,8,2,19,5,23,14,12,22,3,18,4,6,2,10,1,13,10,8,16,1,9,5,4,5,10,9,9,4,5,6,10,10,7,4,17,10,19,8,16,16,1,12,9,4,1,7,5,4,5,8,6,4,2,9,0,6,6,4,11,3,2,8,15,6,2,5,7,7,3,4,0,8,4,7,14,7,9,7,8,3,4,10,12
"INS_T_1_5+",3,8,3,1,38,33,15,34,13,13,41,4,108,11,25,40,24,49,61,1,29,18,21,11,67,7,5,6,8,6,15,156,5,11,6,57,5,12,5,83,29,48,9,22,46,0,17,40,67,5,16,154,78,3,5,87,12,21,10,47,6,15,2,5,19,5,46,57,3,32,4,13,12,34,78,2,36,32,7,3,3,88,6,4,56,6,4,4,7,47,152,111,87,12,4,3,53,8,4
"DEL_repeats_2_0",24,16,12,13,11,7,12,26,20,8,8,16,27,11,1,17,20,20,31,60,26,32,23,24,11,17,24,16,12,13,6,14,31,22,17,22,38,8,8,11,4,12,9,23,30,8,27,11,5,7,21,18,10,20,21,17,7,18,30,9,10,21,11,16,5,10,15,21,8,7,4,9,28,20,15,8,12,6,94,12,8,30,13,7,14,12,6,27,24,15,17,13,24,4,12,20,25,11,20
"DEL_repeats_2_1",23,38,9,24,6,12,32,36,25,3,8,15,28,8,7,40,27,13,35,33,23,14,25,31,12,20,3,24,6,29,8,13,5,5,13,8,5,6,9,14,7,7,13,24,25,4,15,6,7,19,18,9,5,8,28,22,8,22,7,12,12,29,23,16,4,10,25,5,22,16,4,3,18,27,8,18,13,8,28,21,10,26,11,13,8,20,16,13,11,8,20,10,8,4,7,9,22,14,8
"DEL_repeats_2_2",4,2,3,10,3,0,5,6,4,4,0,4,1,1,2,6,2,8,5,6,1,6,5,6,1,3,3,6,1,10,0,1,6,2,8,2,4,0,2,2,6,3,2,4,6,2,2,1,1,2,3,9,4,2,5,3,1,7,6,2,8,11,5,4,2,3,4,4,2,4,3,3,3,5,1,7,1,4,4,3,3,4,0,2,2,11,0,4,3,1,1,6,4,7,3,1,3,4,6
"DEL_repeats_2_3",0,0,0,4,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,4,1,1,0,2,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,2,3,0,1,2,3,1,3,0,1,0,1,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,2,0,0
"DEL_repeats_2_4",1,0,1,0,0,1,1,2,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,2,1,0,2,0,0,1,3,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,2,1,2,0,2,0,2,0,0,0,1,0,1,2,0,1,1,1,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_2_5+",18,5,9,7,7,5,3,37,27,6,4,6,19,5,19,27,4,16,31,18,32,16,39,11,2,18,11,14,4,13,5,5,6,15,2,15,23,4,10,7,3,28,22,14,2,11,8,4,1,7,17,3,12,10,3,8,16,32,10,3,11,14,23,15,2,0,23,13,21,11,3,4,14,4,11,6,8,5,11,10,6,25,4,6,14,29,13,3,7,4,36,6,10,3,10,10,6,8,3
"DEL_repeats_3_0",5,11,14,3,4,12,10,26,5,4,5,4,28,6,9,21,9,12,5,9,11,16,43,10,8,30,10,25,10,39,3,4,0,12,7,17,15,3,2,13,2,3,15,17,15,9,16,4,4,5,11,9,9,12,12,20,4,28,6,5,11,11,27,2,3,4,15,19,18,9,5,12,14,10,11,2,6,5,13,11,3,3,3,7,8,21,9,16,9,8,8,14,8,6,11,2,16,12,6
"DEL_repeats_3_1",3,5,4,4,1,4,6,1,1,4,1,0,6,1,3,7,3,8,2,18,4,6,5,3,5,3,1,5,2,7,2,2,3,5,6,3,5,2,1,4,3,0,4,3,5,5,6,3,2,2,8,2,3,4,7,5,0,2,3,5,1,2,10,10,2,3,6,2,11,2,1,0,2,4,1,8,2,2,5,1,7,6,1,6,7,2,4,4,6,2,2,0,6,2,4,3,8,4,3
"DEL_repeats_3_2",0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,2,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,2,0,2,0,1,1,1,1,0,1,1,0,1,1,3,0,1,0,0,3,0,0,0,2,4,0,0,0,2,1,1,0,0,0,0,0,0,1
"DEL_repeats_3_3",0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2
"DEL_repeats_3_4",4,4,3,1,2,2,1,14,2,3,3,0,9,0,1,2,1,7,6,1,9,1,2,4,4,7,5,2,4,7,2,3,5,1,4,3,6,0,5,2,1,0,0,2,2,5,2,1,0,2,3,2,4,0,3,7,1,3,7,4,0,7,7,0,5,2,13,3,2,3,0,0,2,2,1,2,5,1,1,4,3,5,1,4,0,4,2,0,4,1,6,1,1,1,2,2,2,0,0
"DEL_repeats_3_5+",0,14,6,1,0,1,1,9,2,3,3,5,6,1,6,12,3,2,12,2,7,1,6,1,3,11,3,3,5,13,3,4,6,2,6,9,7,1,0,2,1,1,7,14,8,0,6,1,1,6,6,3,7,2,6,10,1,9,4,7,8,1,8,15,1,1,5,3,4,5,3,6,3,8,4,1,6,1,12,4,0,7,5,3,4,3,5,1,2,2,3,7,2,5,12,4,3,0,3
"DEL_repeats_4_0",5,6,2,3,1,1,13,4,4,4,6,3,10,0,12,6,3,6,14,15,8,8,13,2,5,14,1,7,8,8,1,8,9,6,6,9,10,3,8,6,1,8,2,8,8,6,4,3,4,6,11,7,4,2,10,17,1,8,3,4,11,6,0,8,1,2,2,1,9,2,5,1,8,3,3,16,3,5,11,9,7,6,6,8,10,12,10,2,3,2,3,17,2,2,3,5,10,1,5
"DEL_repeats_4_1",0,3,0,6,1,3,3,5,1,0,2,1,1,1,2,4,2,4,1,0,2,2,2,7,2,5,3,3,1,2,1,0,1,1,0,0,3,2,2,4,0,0,3,4,3,1,4,0,1,2,3,4,1,0,4,7,1,7,1,3,7,6,4,6,1,0,4,2,1,1,2,2,4,1,3,2,2,0,5,0,5,1,2,2,1,8,3,2,0,6,2,1,2,0,2,0,2,1,4
"DEL_repeats_4_2",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_4_3",4,2,0,1,2,1,10,1,2,1,3,1,2,0,2,6,2,2,2,0,0,10,4,1,0,5,1,2,1,0,0,0,1,1,2,2,2,0,3,4,0,0,0,0,2,1,1,1,0,1,1,3,2,1,2,6,1,11,2,1,0,2,5,0,2,0,2,1,2,3,1,1,3,1,3,0,3,0,4,0,0,6,1,1,1,5,0,2,0,0,3,4,0,0,0,0,6,0,1
"DEL_repeats_4_4",0,2,3,3,0,1,4,2,2,0,1,1,5,0,2,4,0,2,2,1,3,5,2,0,1,4,0,3,3,7,1,0,4,1,5,1,7,0,1,1,0,1,2,4,2,1,2,1,0,0,5,1,5,0,2,6,1,5,1,0,2,2,0,7,6,0,3,5,1,1,0,0,3,3,5,2,4,1,1,2,1,1,1,3,1,6,1,2,1,3,2,0,2,1,3,3,1,3,10
"DEL_repeats_4_5+",0,0,0,0,1,1,0,3,1,0,0,0,1,2,2,1,0,0,3,0,0,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,1,0,3,2,1,0,0,0,0,0,2,0,1,0,8,0,2,0,0,0,1,1,1,0,0,0,1,1,0,3,0,1,1,4,2,1,0,0,0,0,0,0,0,0,2,0,2
"DEL_repeats_5+_0",22,21,11,29,46,20,22,71,19,77,17,51,21,46,5,41,71,56,44,55,56,29,30,13,40,47,12,29,21,21,20,24,30,14,37,211,54,12,25,25,14,22,42,117,44,59,27,54,24,18,45,25,32,43,49,41,24,31,37,49,74,26,32,82,19,28,33,44,44,37,48,28,46,27,40,37,25,49,65,34,96,37,18,50,28,35,70,55,14,18,49,25,61,20,41,60,67,26,59
"DEL_repeats_5+_1",0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,2,0,1,1,0,3,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"DEL_repeats_5+_2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,2,0,1,1,2,1,0,1,1,0,0,2,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"DEL_repeats_5+_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"DEL_repeats_5+_4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_5+_5+",0,0,0,0,0,0,1,0,1,2,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,1,1,0,1
"INS_repeats_2_0",3,6,6,2,3,7,3,3,4,7,1,2,9,2,2,5,7,1,4,4,6,6,3,11,1,6,2,7,2,5,2,1,8,2,6,2,3,2,6,7,1,3,17,4,6,5,3,4,0,1,10,1,1,4,4,7,0,11,9,7,4,0,8,2,3,2,3,7,11,1,0,4,10,6,2,3,4,5,3,13,1,10,3,3,1,3,3,3,4,2,4,2,3,4,0,3,3,5,4
"INS_repeats_2_1",10,6,2,5,0,3,8,14,13,8,7,13,15,5,5,13,6,15,8,23,16,12,6,5,2,40,11,6,4,5,0,1,14,10,9,10,17,6,4,14,5,5,19,6,7,4,4,2,9,2,17,8,0,5,14,19,10,5,17,4,3,3,18,10,7,3,7,17,12,5,4,13,5,3,2,12,11,7,12,6,9,27,0,1,2,9,9,15,10,3,3,13,17,2,4,3,14,7,6
"INS_repeats_2_2",0,4,3,1,2,1,1,7,8,3,1,2,2,3,3,9,1,3,5,4,4,8,4,6,1,2,5,9,0,7,2,0,6,7,9,5,13,0,2,12,2,1,4,4,4,4,0,1,6,4,16,2,2,2,4,6,4,10,2,1,1,8,4,6,0,0,2,6,8,2,0,2,5,2,1,1,2,2,5,2,0,3,1,2,2,11,2,2,0,1,2,2,3,5,8,5,6,5,8
"INS_repeats_2_3",2,4,0,0,1,1,0,1,0,2,0,2,2,1,1,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,3,1,0,2,1,0,0,2,2,0,1,2,0,0,3,0,0,0,0,3,0,2,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,2,0,2,0,0,0,0,0,2,0,1,0,0,1,1,0,0,1,2,0,0,3,3,4,1,1
"INS_repeats_2_4",0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"INS_repeats_2_5+",0,3,0,0,2,4,0,2,0,0,1,2,4,0,1,2,0,1,1,0,1,0,2,2,4,3,3,1,1,1,1,1,0,1,2,1,1,1,1,3,0,4,3,1,3,0,1,10,3,0,1,0,1,2,0,7,5,1,0,0,0,0,1,1,0,2,2,2,0,0,1,3,1,1,2,0,0,2,1,1,0,6,0,1,1,0,1,1,3,1,4,3,1,0,0,0,4,1,0
