Samples	SBS1	SBS2	SBS3	SBS5	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40
Eso-AdenoCA::S.88	673	0	0	7486	0	2799	662	3303	0	0
Eso-AdenoCA::S.89	1678	0	25803	0	0	0	11415	0	0	0
Eso-AdenoCA::S.90	1136	0	0	32151	0	3597	17664	0	0	0
Eso-AdenoCA::S.91	2273	0	0	16055	0	0	0	0	0	0
Eso-AdenoCA::S.92	1290	0	0	17524	0	7754	9128	0	0	0
Eso-AdenoCA::S.93	969	0	0	1366	0	0	1654	0	0	25876
Eso-AdenoCA::S.94	905	0	0	25615	0	1411	9931	6160	0	0
Eso-AdenoCA::S.95	1414	0	0	1703	0	0	0	0	0	12703
Eso-AdenoCA::S.96	1483	1207	0	0	0	7626	0	0	0	15800
Eso-AdenoCA::S.97	2871	0	0	3411	0	4832	4183	0	0	6956
Eso-AdenoCA::S.98	3125	0	0	0	0	3007	3214	0	0	7538
Eso-AdenoCA::S.99	1621	0	0	5988	0	5143	0	0	0	20995
Eso-AdenoCA::S.100	1329	0	0	12360	0	3412	2741	5031	0	0
