MutationType	Stomach-AdenoCA::S.1	Stomach-AdenoCA::S.2	Stomach-AdenoCA::S.3	Stomach-AdenoCA::S.4	Stomach-AdenoCA::S.5	Stomach-AdenoCA::S.6	Stomach-AdenoCA::S.7	Stomach-AdenoCA::S.8	Stomach-AdenoCA::S.9	Stomach-AdenoCA::S.10	Stomach-AdenoCA::S.11	Stomach-AdenoCA::S.12	Stomach-AdenoCA::S.13	Stomach-AdenoCA::S.14	Stomach-AdenoCA::S.15	Stomach-AdenoCA::S.16	Stomach-AdenoCA::S.17	Stomach-AdenoCA::S.18	Stomach-AdenoCA::S.19	Stomach-AdenoCA::S.20	Stomach-AdenoCA::S.21	Stomach-AdenoCA::S.22	Stomach-AdenoCA::S.23	Stomach-AdenoCA::S.24	Stomach-AdenoCA::S.25	Stomach-AdenoCA::S.26	Stomach-AdenoCA::S.27	Stomach-AdenoCA::S.28	Stomach-AdenoCA::S.29	Stomach-AdenoCA::S.30	Stomach-AdenoCA::S.31	Stomach-AdenoCA::S.32	Stomach-AdenoCA::S.33	Stomach-AdenoCA::S.34	Stomach-AdenoCA::S.35	Stomach-AdenoCA::S.36	Stomach-AdenoCA::S.37	Stomach-AdenoCA::S.38	Stomach-AdenoCA::S.39	Stomach-AdenoCA::S.40	Stomach-AdenoCA::S.41	Stomach-AdenoCA::S.42	Stomach-AdenoCA::S.43	Stomach-AdenoCA::S.44	Stomach-AdenoCA::S.45	Stomach-AdenoCA::S.46	Stomach-AdenoCA::S.47	Stomach-AdenoCA::S.48	Stomach-AdenoCA::S.49	Stomach-AdenoCA::S.50	Stomach-AdenoCA::S.51	Stomach-AdenoCA::S.52	Stomach-AdenoCA::S.53	Stomach-AdenoCA::S.54	Stomach-AdenoCA::S.55	Stomach-AdenoCA::S.56	Stomach-AdenoCA::S.57	Stomach-AdenoCA::S.58	Stomach-AdenoCA::S.59	Stomach-AdenoCA::S.60	Stomach-AdenoCA::S.61	Stomach-AdenoCA::S.62	Stomach-AdenoCA::S.63	Stomach-AdenoCA::S.64	Stomach-AdenoCA::S.65	Stomach-AdenoCA::S.66	Stomach-AdenoCA::S.67	Stomach-AdenoCA::S.68	Stomach-AdenoCA::S.69	Stomach-AdenoCA::S.70	Stomach-AdenoCA::S.71	Stomach-AdenoCA::S.72	Stomach-AdenoCA::S.73	Stomach-AdenoCA::S.74	Stomach-AdenoCA::S.75	Stomach-AdenoCA::S.76	Stomach-AdenoCA::S.77	Stomach-AdenoCA::S.78	Stomach-AdenoCA::S.79	Stomach-AdenoCA::S.80	Stomach-AdenoCA::S.81	Stomach-AdenoCA::S.82	Stomach-AdenoCA::S.83	Stomach-AdenoCA::S.84	Stomach-AdenoCA::S.85	Stomach-AdenoCA::S.86	Stomach-AdenoCA::S.87	Stomach-AdenoCA::S.88	Stomach-AdenoCA::S.89	Stomach-AdenoCA::S.90
1:Del:T:4	33	59	34	8	116	57	45	7	23	31	29	20	118	18	15	23	25	12	25	8	8	30	4	20	18	5	21	28	102	21	2	52	23	15	17	29	5	20	60	63	35	21	14	18	86	10	9	70	3	12	43	31	32	11	56	22	9	10	61	38	63	30	23	53	25	39	113	48	4	68	23	16	31	23	21	46	26	28	12	48	29	39	26	56	59	24	42	109	62	12
1:Del:T:5	502	119	164	183	1391	182	289	22	224	248	180	472	255	97	241	147	119	59	398	123	192	144	60	284	73	28	71	158	597	149	48	322	97	194	278	67	46	25	208	522	92	133	261	552	720	61	109	695	61	75	63	142	609	378	360	474	103	153	397	299	555	589	251	1118	40	139	1036	190	79	438	145	345	732	237	616	1080	94	61	141	231	93	275	46	568	65	1469	132	149	1143	86
1:Ins:C:0	0	921	654	0	0	337	1	0	0	2	0	0	0	0	0	1	1	1	0	2	0	0	2	0	1	0	0	1	0	59	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	192	0	55	0	0	0	468	0	0	2	0	0	0	0	0	1	835	0	0	1	0	2	0	0	0	1	0	0	1	547	0	0	0	0	236	0	3	0	7	0	0	0	367	0	261
1:Ins:C:1	2	14	10	1	0	4	1	0	1	3	0	1	1	0	0	1	2	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	2	1	1	0	1	0	4	0	1	0	0	3	23	2	0	2	0	0	0	1	0	1	41	0	1	3	0	2	0	0	1	0	0	1	0	26	0	0	0	0	9	0	1	0	1	2	1	0	17	0	3
1:Ins:C:2	2	2	1	2	0	5	0	0	0	1	0	0	5	0	0	0	4	0	0	0	0	0	0	0	1	0	2	3	0	1	2	0	0	2	0	0	1	3	0	1	5	4	1	0	0	1	0	2	0	0	2	4	3	0	3	0	0	4	4	1	1	1	0	0	0	1	1	6	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	4	0	2	2	2
1:Ins:C:3	0	2	1	1	0	2	2	0	0	1	1	0	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	2	4	4	7	1	0	0	3	3	1	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	2	3	0	0	3	0	0
1:Ins:C:4	2	5	7	0	1	4	0	0	0	10	0	3	2	1	2	0	2	1	3	0	1	0	0	4	0	0	1	1	11	2	1	1	0	1	1	3	0	1	4	1	3	0	1	3	6	0	2	2	0	0	0	3	1	0	0	0	1	0	2	5	2	11	0	2	0	0	1	0	2	7	2	1	3	0	2	5	0	3	0	3	1	0	0	0	1	2	0	7	7	1
1:Ins:C:5	4	1	19	42	26	7	9	9	2	8	6	8	17	22	7	7	11	0	11	1	6	1	4	6	0	4	3	11	12	100	3	17	6	4	16	4	18	10	24	12	21	40	4	9	13	0	9	15	13	6	7	16	10	16	17	20	24	7	16	27	3	23	5	5	6	11	26	9	15	17	0	7	24	2	12	13	11	49	2	9	5	11	4	5	9	28	4	8	38	10
1:Ins:T:0	3	55	47	1	3	33	1	1	1	10	1	0	8	7	1	5	4	1	5	3	0	4	0	4	4	2	3	3	2	8	1	5	2	3	0	2	0	3	3	0	0	4	2	2	3	3	0	10	1	0	2	46	5	0	6	2	1	2	4	5	10	121	1	3	7	4	3	2	1	1	9	0	2	3	42	2	0	5	0	14	4	4	1	8	10	3	3	85	6	13
1:Ins:T:1	2	11	19	3	2	3	7	0	4	10	0	0	2	0	0	3	3	7	1	0	0	6	3	0	5	0	4	3	1	2	1	2	0	4	0	1	1	2	5	3	8	8	0	1	0	4	0	7	0	0	6	8	20	0	6	0	0	2	5	1	2	8	2	0	4	10	2	4	0	1	5	1	2	4	5	0	0	2	2	4	3	10	1	9	6	4	2	10	3	5
1:Ins:T:2	12	8	6	19	8	29	11	0	7	4	0	0	9	2	6	3	5	17	0	0	0	11	0	2	22	0	9	23	8	20	1	2	0	3	0	4	0	8	23	9	5	23	1	6	2	10	0	13	0	0	20	8	20	0	24	0	0	7	9	5	5	8	12	3	4	9	2	11	0	1	7	3	2	15	0	1	0	4	3	4	3	20	7	4	26	13	8	15	12	20
1:Ins:T:3	3	8	7	8	3	14	9	2	2	13	0	2	23	2	3	0	3	3	2	2	1	3	0	4	6	3	3	10	10	26	2	8	3	7	5	3	1	15	16	4	11	9	0	14	4	1	1	18	0	0	4	0	38	6	7	0	1	3	14	10	18	6	7	8	11	11	2	14	0	2	6	1	4	7	1	1	1	5	1	13	2	14	10	2	22	10	13	9	14	7
1:Ins:T:4	4	12	26	9	6	19	6	2	5	19	6	6	11	26	16	7	5	5	8	2	3	5	2	8	3	5	6	9	5	22	2	10	6	7	11	11	13	11	7	12	26	15	1	14	5	5	3	10	1	10	4	22	12	10	9	11	4	5	9	18	26	16	6	15	14	21	8	13	9	12	5	3	9	6	10	7	3	12	0	7	7	12	5	15	11	5	17	7	30	19
1:Ins:T:5	13	445	883	164	36	1749	141	488	73	981	159	290	401	794	733	62	278	24	306	215	85	121	14	84	19	409	111	856	98	851	86	146	120	90	501	210	155	322	210	215	741	478	7	59	44	66	382	174	202	105	120	438	274	1107	646	243	1000	139	122	1125	127	955	34	196	265	499	323	119	145	41	28	58	122	1	279	355	333	958	3	380	133	357	160	39	138	402	303	510	748	255
2:Del:R:0	12	7	8	17	15	17	6	0	4	14	0	1	7	3	2	8	19	7	3	0	0	12	4	0	9	0	13	4	22	4	0	3	0	12	0	6	2	5	10	31	4	21	1	9	0	4	1	27	0	1	2	7	18	1	19	1	0	12	9	2	17	2	9	4	6	20	4	12	0	4	12	0	6	2	0	2	0	6	0	19	6	21	9	20	16	4	12	10	9	1
2:Del:R:1	5	26	17	9	2	22	5	0	12	14	0	1	13	1	3	11	8	15	3	3	1	7	3	8	21	0	11	4	8	8	0	7	0	8	1	6	1	13	13	13	1	10	3	4	0	6	1	35	1	1	3	18	18	3	35	2	3	15	9	12	17	19	7	4	4	9	9	15	1	2	3	2	8	8	1	13	0	4	1	6	12	9	4	10	29	15	11	31	4	12
2:Del:R:2	1	5	4	6	7	5	3	0	2	5	0	1	4	2	1	0	2	1	2	0	0	7	0	1	0	0	3	0	8	2	0	4	0	1	1	1	0	2	3	1	1	3	1	2	2	5	3	4	0	0	1	12	3	1	4	3	1	0	4	6	3	8	1	2	2	2	2	2	1	2	1	0	2	3	2	1	0	2	0	5	0	5	2	6	3	6	6	13	4	6
2:Del:R:3	1	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	3	0	0	0	0	7	1	1	2	0	0	1	0	1	2	1	0	0	0	1	0	0	1	1	3	1	0	0	0	0	1	0	0	0	1	6	0
2:Del:R:4	2	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0	1	0	2	1	0	0	0	0	2	0	0	1	0	0	2	0	1	13	1	2	0	2	1	1	1	3	0	0	1	0	0	0	1	3	0	1	1	0	2	0	1	0	3	0	0	0	1	1	1
2:Del:R:5	15	6	5	10	0	11	10	0	2	10	0	0	13	0	1	3	10	6	0	0	0	5	0	0	4	0	3	4	3	4	1	2	0	1	0	5	4	5	8	14	11	9	0	5	0	4	0	4	0	0	2	8	26	0	4	0	0	7	16	0	6	0	3	2	5	12	6	13	0	5	0	0	1	13	0	0	0	1	1	2	7	12	7	5	17	3	16	3	11	8
3:Del:R:0	4	13	4	8	0	9	4	0	3	4	0	0	7	1	2	2	1	10	0	0	0	2	0	4	1	0	6	14	7	12	0	1	0	9	0	2	5	2	8	5	5	13	1	7	0	3	0	12	0	2	6	5	9	0	17	0	0	4	5	2	7	2	1	2	7	2	1	11	1	1	5	0	1	5	1	0	0	9	4	1	2	16	5	9	13	1	11	5	2	2
3:Del:R:1	2	2	13	10	14	11	16	0	3	12	2	4	3	8	3	3	2	4	6	2	1	4	2	4	6	0	1	2	14	10	1	6	4	3	0	2	2	1	6	7	3	13	3	9	5	1	3	15	3	2	3	9	13	4	11	2	4	4	1	13	17	21	1	6	3	7	10	9	1	4	4	1	9	6	9	12	1	4	2	11	3	12	12	10	31	5	7	39	24	4
3:Del:R:2	2	2	4	1	1	10	2	1	1	6	1	1	1	0	1	0	1	0	0	0	2	0	0	3	0	0	1	1	5	6	0	2	2	0	1	0	1	1	5	2	0	1	1	4	4	0	0	2	0	0	2	0	1	3	0	1	2	0	0	2	3	9	1	2	0	1	2	0	1	1	0	0	2	2	1	2	0	2	2	1	2	0	0	4	4	4	1	6	1	2
3:Del:R:3	0	0	0	1	0	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	3	0	0	2	0	0	0	1	3	3	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0
3:Del:R:4	3	1	2	1	1	2	1	0	0	4	0	0	1	0	3	2	1	3	0	0	0	3	0	0	1	0	2	3	4	1	1	1	0	3	0	3	0	1	3	0	2	3	0	2	0	0	0	5	0	1	1	1	4	0	4	0	0	4	0	0	1	0	0	2	0	5	0	4	0	2	0	1	2	3	0	0	0	2	1	1	2	3	2	8	2	3	1	3	2	3
3:Del:R:5	0	2	4	5	2	4	5	0	2	3	0	0	7	0	0	1	1	3	0	0	0	3	0	0	1	0	1	4	0	1	0	0	0	6	0	1	2	2	0	0	5	2	0	1	0	2	0	12	0	1	2	0	6	0	8	0	0	5	6	4	3	0	1	0	2	1	4	7	0	1	3	0	0	2	0	0	0	2	0	3	3	2	2	2	5	0	6	4	3	3
4:Del:R:0	6	4	1	2	0	8	13	0	1	3	0	0	3	0	1	1	4	8	0	0	1	4	2	0	6	0	2	6	5	4	0	0	0	2	0	2	0	7	5	5	3	3	0	4	0	1	0	8	0	0	1	6	5	0	3	0	0	0	4	1	11	1	2	1	0	2	2	7	0	3	5	0	3	12	0	0	0	3	1	7	1	10	2	9	13	2	10	5	9	10
4:Del:R:1	2	1	1	3	5	2	1	0	1	4	2	0	1	2	0	0	2	1	3	2	0	0	1	4	3	1	4	1	4	4	0	1	2	3	0	2	0	1	1	4	0	0	1	3	2	0	1	8	0	0	6	2	5	0	4	1	0	1	5	3	1	6	1	3	2	2	3	0	1	1	1	1	2	1	3	5	1	1	0	4	0	2	0	1	5	3	0	8	0	1
4:Del:R:2	0	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	4	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	1	2
4:Del:R:3	0	1	1	5	1	1	0	0	1	1	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	2	3	3	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	2	3	0	0	0	1	1	0	1	0	1	0	1	1	0	3	1	0	0	0	0	0	2	0	2	2	1	2	1	0	0	3	4
4:Del:R:4	3	0	0	0	1	3	0	0	1	0	0	0	3	0	0	2	1	0	0	1	0	2	0	0	2	0	2	0	1	5	0	1	0	1	0	2	0	0	1	3	2	2	0	2	0	0	0	2	0	0	1	4	2	0	5	0	0	2	2	1	7	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	2	3	3	0	0	1
4:Del:R:5	1	1	1	1	0	2	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	3	0	1	0	0	1	2	0	0	0	0	0	0	0	2	0	1	2	0	1	1	0	1
5:Del:R:0	31	4	11	9	6	8	7	0	24	16	0	0	10	0	5	4	2	35	26	2	0	11	89	69	33	0	22	1	5	3	0	7	0	10	0	5	3	11	2	28	4	8	7	5	1	4	0	36	0	0	10	22	5	0	76	0	0	3	3	2	18	9	1	2	8	6	16	26	0	2	143	0	18	3	6	6	0	1	0	21	10	104	3	14	171	2	3	43	9	13
5:Del:R:1	1	0	0	1	4	2	0	1	2	10	0	0	1	2	1	0	2	1	4	1	2	0	0	0	1	0	0	3	5	1	0	0	0	0	0	2	1	0	1	1	1	0	0	2	0	2	0	10	0	1	1	3	4	0	5	1	1	0	2	3	10	1	0	3	2	1	6	3	0	2	0	3	5	3	0	6	0	1	1	10	1	0	0	9	0	4	0	44	1	0
5:Del:R:2	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0
5:Del:R:3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
5:Del:R:5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
2:Ins:R:0	3	41	11	4	0	20	3	0	1	8	0	0	2	1	1	5	0	1	1	0	0	5	1	0	1	0	5	3	2	3	1	2	0	0	0	2	0	2	0	3	3	8	0	1	0	3	1	7	0	0	1	41	2	1	4	1	0	0	10	3	3	35	1	0	1	3	4	4	0	2	5	1	2	1	42	2	0	3	0	12	1	1	1	2	8	1	2	41	0	8
2:Ins:R:1	8	4	4	6	3	5	4	0	1	8	0	0	6	0	2	7	10	16	0	0	0	9	1	0	4	0	9	12	9	14	0	2	0	10	0	5	6	0	11	9	7	25	0	1	1	5	0	10	0	2	4	7	8	0	6	0	0	3	2	1	11	1	3	0	9	11	3	4	0	5	7	0	3	3	1	1	0	2	2	8	3	16	6	5	2	3	2	4	0	9
2:Ins:R:2	1	4	5	3	0	5	15	0	0	2	1	0	3	1	0	3	3	1	1	0	1	2	0	0	2	0	5	5	2	2	0	1	0	0	1	2	0	1	1	0	1	2	1	1	2	1	0	5	0	0	3	4	2	0	11	0	0	4	5	1	4	1	2	5	2	3	0	13	0	3	2	0	2	2	5	0	1	0	1	1	0	5	2	8	8	3	0	7	5	4
2:Ins:R:3	0	0	1	2	1	2	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	2	0	0	1	0	1	1	0	0	2	0	1	0	3	2	0	1	0	0	1	1	1	2	3	0	1	1	0	2	1	0	2	1	0	1	0	2	1	0	2	0	0	0	0	0	1	2	0	1	4	1	2
2:Ins:R:4	0	0	8	5	5	6	0	2	2	2	3	2	1	0	2	0	0	0	0	0	2	0	0	2	0	0	2	0	3	3	0	1	1	0	5	1	1	5	9	8	0	5	1	2	0	1	0	1	3	1	0	3	6	0	1	3	2	1	2	3	1	15	1	1	1	3	3	3	1	5	1	3	8	0	3	4	0	5	0	3	4	3	0	4	0	2	3	9	1	2
2:Ins:R:5	8	5	24	11	31	25	4	17	16	13	5	16	18	24	19	3	9	3	8	2	13	2	5	19	1	12	4	8	20	39	3	19	4	9	25	9	4	14	11	23	7	20	9	6	14	4	10	20	7	2	2	23	6	14	12	16	4	5	13	30	12	16	3	7	3	13	27	9	9	7	3	6	37	4	10	20	11	22	4	8	6	8	18	6	5	10	10	9	64	5
3:Ins:R:0	1	5	8	1	0	3	0	0	1	3	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	0	2	0	4	1	2	1	1	0	2	0	2	0	3	0	0	0	20	1	0	1	0	0	1	0	0	0	28	1	1	0	2	0	0	0	1	0	0	1	0	7	1	0	0	0	4	0	0	0	1	4	1	0	24	0	12
3:Ins:R:1	1	4	2	1	2	7	0	0	3	0	0	1	2	0	0	1	0	3	1	1	1	4	0	1	5	0	3	1	5	1	0	1	0	0	0	4	0	4	9	1	1	7	1	1	1	1	1	10	0	1	5	7	4	0	3	0	1	1	5	2	4	4	1	3	5	0	3	2	0	1	0	1	1	2	6	0	0	2	0	2	0	6	1	1	4	0	1	10	2	4
3:Ins:R:2	0	1	1	0	0	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	4	2	2	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	1	0	1
3:Ins:R:3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
