"Mutation type","Skin-Melanoma::S.1","Skin-Melanoma::S.2","Skin-Melanoma::S.3","Skin-Melanoma::S.4","Skin-Melanoma::S.5","Skin-Melanoma::S.6","Skin-Melanoma::S.7","Skin-Melanoma::S.8","Skin-Melanoma::S.9","Skin-Melanoma::S.10","Skin-Melanoma::S.11","Skin-Melanoma::S.12","Skin-Melanoma::S.13","Skin-Melanoma::S.14","Skin-Melanoma::S.15","Skin-Melanoma::S.16","Skin-Melanoma::S.17","Skin-Melanoma::S.18","Skin-Melanoma::S.19","Skin-Melanoma::S.20","Skin-Melanoma::S.21","Skin-Melanoma::S.22","Skin-Melanoma::S.23","Skin-Melanoma::S.24","Skin-Melanoma::S.25","Skin-Melanoma::S.26","Skin-Melanoma::S.27","Skin-Melanoma::S.28","Skin-Melanoma::S.29","Skin-Melanoma::S.30","Skin-Melanoma::S.31","Skin-Melanoma::S.32","Skin-Melanoma::S.33","Skin-Melanoma::S.34","Skin-Melanoma::S.35","Skin-Melanoma::S.36","Skin-Melanoma::S.37","Skin-Melanoma::S.38","Skin-Melanoma::S.39","Skin-Melanoma::S.40","Skin-Melanoma::S.41","Skin-Melanoma::S.42","Skin-Melanoma::S.43","Skin-Melanoma::S.44","Skin-Melanoma::S.45","Skin-Melanoma::S.46","Skin-Melanoma::S.47","Skin-Melanoma::S.48","Skin-Melanoma::S.49","Skin-Melanoma::S.50","Skin-Melanoma::S.51","Skin-Melanoma::S.52","Skin-Melanoma::S.53","Skin-Melanoma::S.54","Skin-Melanoma::S.55","Skin-Melanoma::S.56","Skin-Melanoma::S.57","Skin-Melanoma::S.58","Skin-Melanoma::S.59","Skin-Melanoma::S.60","Skin-Melanoma::S.61","Skin-Melanoma::S.62","Skin-Melanoma::S.63","Skin-Melanoma::S.64","Skin-Melanoma::S.65","Skin-Melanoma::S.66","Skin-Melanoma::S.67","Skin-Melanoma::S.68","Skin-Melanoma::S.69","Skin-Melanoma::S.70","Skin-Melanoma::S.71","Skin-Melanoma::S.72","Skin-Melanoma::S.73","Skin-Melanoma::S.74","Skin-Melanoma::S.75","Skin-Melanoma::S.76","Skin-Melanoma::S.77","Skin-Melanoma::S.78","Skin-Melanoma::S.79","Skin-Melanoma::S.80","Skin-Melanoma::S.81","Skin-Melanoma::S.82","Skin-Melanoma::S.83","Skin-Melanoma::S.84","Skin-Melanoma::S.85","Skin-Melanoma::S.86","Skin-Melanoma::S.87","Skin-Melanoma::S.88","Skin-Melanoma::S.89","Skin-Melanoma::S.90","Skin-Melanoma::S.91","Skin-Melanoma::S.92","Skin-Melanoma::S.93","Skin-Melanoma::S.94","Skin-Melanoma::S.95","Skin-Melanoma::S.96","Skin-Melanoma::S.97","Skin-Melanoma::S.98"
"AT>CC",0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,1,2,0,0,0,0,0,2,2,0,0,1,0,1,0,4,0,0,1,0,1,0,1,1,0,0,0,0,3,0,2,0,0,1,0,6,0,1,0,0,0,0,1,0,0,0,2,0,3,1,2,0,0,0,4,1,3,2,0,0,1,0,1,0,0
"AT>CG",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT>GA",2,0,42,1,56,0,5,6,3,15,0,0,0,4,6,4,46,10,2,0,0,2,4,2,0,2,0,0,2,17,0,5,8,14,9,6,0,4,1,3,13,0,37,12,7,17,11,5,86,3,2,5,2,4,30,25,4,0,7,38,2,3,0,3,3,4,9,1,8,10,1,0,0,1,3,0,3,0,4,1,5,3,1,44,1,12,1,0,0,1,3,3,1,0,2,8,7,3
"AT>GC",0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,3,0,1,2,0,0,0,0,0,1,0,1,3,0,1,0,0,0,1,3,2,0,1,6,1,11,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"AT>TA",1,0,1,0,5,2,5,0,0,0,1,4,0,6,6,3,15,2,0,0,0,0,0,24,0,11,3,18,4,22,0,12,4,1,16,0,0,0,5,0,23,7,15,25,2,12,1,6,2,4,0,3,2,2,1,7,7,1,9,2,0,1,2,10,0,1,0,0,4,3,2,0,1,0,0,0,0,1,5,2,0,6,11,0,3,14,2,8,0,1,0,5,0,7,1,1,2,5
"CC>AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CC>AG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC>AT",3,6,290,28,433,18,1,13,2,11,0,49,37,37,11,8,285,84,3,15,2,17,68,30,2,68,34,87,18,150,34,4,48,30,19,6,0,38,4,29,4,111,31,75,219,57,143,12,34,37,11,87,25,63,23,70,89,12,20,165,53,55,22,88,4,7,24,1,0,72,110,0,4,0,9,5,11,6,50,0,6,55,29,194,18,1,95,357,31,66,7,65,8,5,48,51,15,38
"CC>GA",0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2
"CC>GG",0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"CC>GT",9,1,4,1,7,3,7,0,3,24,0,1,61,4,0,16,7,2,7,20,0,7,9,115,3,68,7,12,32,3,1,25,9,2,13,11,2,9,12,1,1,95,106,30,8,7,16,3,16,1,0,7,3,7,128,120,19,8,2,111,5,15,6,168,6,31,12,12,58,14,53,0,0,1,2,4,2,3,5,0,17,1,37,51,1,42,33,35,6,17,5,63,1,8,33,1,4,10
"CC>TA",10,17,9,0,116,7,27,11,10,37,1,5,25,31,9,15,96,0,11,6,0,132,109,26,1,0,3,0,48,222,22,44,3,12,86,8,0,9,14,7,34,52,36,26,64,63,138,9,0,3,13,22,23,32,6,10,13,13,5,195,3,15,23,2,3,1,5,5,6,10,6,1,2,2,4,7,10,2,25,0,4,39,223,27,2,73,37,3,20,5,11,4,0,0,39,3,26,24
"CC>TG",0,1,4,1,10,0,1,7,0,10,0,2,2,1,9,45,37,3,3,3,0,0,2,4,1,19,1,29,10,3,0,0,24,2,0,5,0,3,7,3,7,3,11,24,0,0,10,4,10,5,0,30,2,1,4,41,11,4,3,3,8,3,0,8,1,2,0,4,2,16,8,0,0,2,0,0,5,0,2,2,0,3,27,38,2,24,4,1,3,7,4,4,5,4,7,1,4,17
"CC>TT",198,521,718,869,2978,408,580,854,79,1599,9,71,2540,223,566,2767,225,4652,87,4162,189,1771,1636,1583,359,446,1059,404,1261,1135,490,703,25,1197,2977,428,22,757,4728,177,2012,8903,2857,2112,1228,2323,8138,4794,986,2269,871,1011,132,57,4808,3235,3439,389,687,9443,572,1520,953,474,954,131,72,435,5410,7459,2360,53,462,81,948,180,2886,391,769,1929,137,5021,15311,21158,1390,14339,435,411,377,518,707,147,335,976,2744,766,1674,5549
"CG>AT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>GC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>GT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG>TA",0,0,3,0,0,0,3,0,1,0,0,3,0,0,1,1,1,2,1,1,0,1,0,6,0,0,0,4,0,1,2,0,0,2,0,0,0,0,0,1,0,0,9,4,2,1,0,0,0,0,0,1,0,0,5,1,0,0,0,19,0,1,0,0,0,2,0,0,1,8,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,1,1,0,0,0,2,0,1,0,3
"CG>TC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CG>TT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"CT>AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CT>AC",0,0,3,1,3,0,2,1,0,2,0,0,1,0,1,2,0,2,0,0,0,1,0,0,0,2,0,1,5,3,1,0,0,0,2,0,0,0,4,0,0,2,4,3,0,0,1,4,1,8,0,2,0,6,0,0,2,0,0,1,0,1,0,5,1,8,1,0,1,3,2,0,0,0,1,0,0,1,1,0,0,0,4,2,0,3,0,0,1,7,0,0,0,0,1,0,1,1
"CT>AG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT>GA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0
"CT>GC",1,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,1,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,3,2,2,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"CT>GG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CT>TA",12,2,34,0,202,4,47,25,4,44,0,17,1,9,8,23,92,4,9,5,0,32,13,130,1,0,8,65,117,5,49,21,29,31,2,6,1,10,51,5,3,38,25,53,22,16,78,18,189,8,5,33,1,40,3,18,13,1,3,81,19,0,19,32,4,25,0,4,15,35,68,0,7,5,0,0,24,5,3,1,5,3,71,13,6,5,5,17,3,11,2,14,5,9,14,0,43,54
"CT>TC",28,7,50,13,25,4,12,0,1,42,0,1,18,15,29,0,24,22,6,15,0,8,53,4,5,8,25,10,56,18,0,4,2,11,77,14,0,0,36,27,33,44,30,39,35,38,43,15,64,117,5,1,0,23,35,84,0,3,4,219,11,55,18,19,12,43,4,8,40,16,6,1,24,5,14,1,13,10,1,8,38,7,19,33,1,20,20,39,1,55,16,58,16,7,76,4,4,13
"CT>TG",0,1,3,1,8,0,1,0,2,0,0,0,0,0,0,3,0,4,2,5,0,12,5,5,0,10,5,7,2,22,3,2,1,9,43,0,0,1,6,2,14,5,53,5,14,8,8,2,31,3,2,4,0,5,2,16,16,4,1,14,1,20,0,36,1,1,1,1,3,7,4,1,1,1,12,0,1,0,3,0,4,8,54,52,0,1,1,15,4,12,0,3,0,2,0,3,4,9
"GC>AA",1,0,7,0,85,1,1,6,2,6,0,3,9,3,1,0,3,6,0,2,0,1,6,5,0,1,0,0,0,1,25,1,14,0,7,0,0,3,1,1,11,6,39,0,3,1,0,10,1,6,0,3,1,1,10,10,0,0,2,33,0,6,1,25,2,8,0,0,12,0,4,0,0,0,5,0,3,0,0,0,2,1,9,5,1,1,18,4,1,0,3,0,1,1,0,0,1,7
"GC>AG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC>AT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"GC>CA",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GC>CG",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC>TA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TA>AT",0,0,5,1,0,0,0,2,0,4,0,0,0,1,1,0,2,0,0,0,0,4,2,1,0,1,1,0,0,2,0,0,0,0,4,0,0,0,3,1,1,0,2,3,0,0,0,2,6,3,0,0,1,0,3,11,1,1,1,9,0,5,0,7,1,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,1,1,2,0,1,1,3,1,0,0,0,0,0,3,0,0,1,2
"TA>CG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TA>CT",0,4,6,0,0,0,1,0,0,1,0,0,2,0,2,1,10,1,0,0,0,0,5,5,0,2,1,5,1,3,1,0,0,0,0,1,0,0,1,4,3,1,1,3,0,5,6,0,8,0,0,2,0,2,0,23,2,0,1,5,0,3,0,3,0,2,1,1,1,1,2,0,1,0,0,0,0,0,0,3,0,5,10,3,0,2,0,0,1,0,1,2,0,1,1,0,1,1
"TA>GC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TA>GG",0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TA>GT",0,2,1,0,0,0,5,0,0,4,1,1,1,0,3,0,9,5,0,0,0,10,4,5,0,9,0,1,3,16,4,1,0,2,2,0,0,0,3,1,5,3,19,1,1,6,5,8,0,2,0,7,0,0,11,24,1,1,2,39,2,10,2,6,1,0,1,1,0,7,3,0,0,1,2,0,0,0,3,5,10,2,1,2,0,1,2,1,1,0,1,1,1,1,0,3,0,9
"TC>AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TC>AG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC>AT",1,5,36,1,6,0,7,9,0,4,0,5,0,4,0,10,3,3,0,7,0,5,19,10,1,6,3,24,0,23,16,4,10,1,13,1,0,4,6,5,14,0,0,21,19,3,3,3,4,0,1,15,1,2,11,0,2,4,0,0,0,21,13,8,1,13,0,2,4,21,7,0,1,0,0,0,3,0,0,0,1,0,4,47,0,15,2,9,2,2,1,22,1,3,10,1,0,0
"TC>CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
