,ID1,ID2,ID4,ID5,ID6,ID8,ID9,ID10,ID14
Eso-AdenoCA::S.21,428.0,26.0,28.0,0.0,0.0,0.0,158.0,0.0,101.0
Eso-AdenoCA::S.22,321.0,754.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0
Eso-AdenoCA::S.23,413.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.24,172.0,162.0,0.0,464.0,0.0,0.0,17.0,0.0,0.0
Eso-AdenoCA::S.25,304.0,369.0,40.0,424.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.26,181.0,356.0,190.0,27.0,0.0,0.0,26.0,0.0,1.0
Eso-AdenoCA::S.27,1474.0,1944.0,0.0,385.0,0.0,0.0,0.0,0.0,2.0
Eso-AdenoCA::S.28,776.0,599.0,0.0,72.0,8.0,0.0,35.0,0.0,1.0
Eso-AdenoCA::S.29,249.0,1488.0,0.0,418.0,135.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.30,35.0,634.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.31,89.0,305.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0
Eso-AdenoCA::S.32,213.0,219.0,48.0,67.0,0.0,0.0,135.0,0.0,0.0
Eso-AdenoCA::S.33,249.0,640.0,41.0,516.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.34,379.0,1386.0,0.0,168.0,0.0,34.0,0.0,13.0,0.0
Eso-AdenoCA::S.35,324.0,525.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0
Eso-AdenoCA::S.36,714.0,910.0,135.0,826.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.37,184.0,882.0,0.0,0.0,0.0,0.0,0.0,45.0,583.0
Eso-AdenoCA::S.38,739.0,197.0,0.0,463.0,0.0,78.0,159.0,0.0,0.0
Eso-AdenoCA::S.39,43.0,228.0,57.0,0.0,0.0,23.0,482.0,0.0,0.0
Eso-AdenoCA::S.40,101.0,1321.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
Eso-AdenoCA::S.41,848.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.42,242.0,534.0,108.0,53.0,0.0,0.0,18.0,11.0,0.0
Eso-AdenoCA::S.43,198.0,250.0,39.0,305.0,0.0,0.0,0.0,0.0,57.0
Eso-AdenoCA::S.44,502.0,1179.0,0.0,81.0,0.0,0.0,0.0,0.0,1053.0
Eso-AdenoCA::S.45,549.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.46,581.0,223.0,0.0,331.0,0.0,0.0,67.0,0.0,0.0
Eso-AdenoCA::S.47,61.0,3344.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0
Eso-AdenoCA::S.48,711.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.49,296.0,690.0,365.0,382.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.50,304.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.51,646.0,448.0,107.0,1382.0,351.0,120.0,0.0,105.0,227.0
Eso-AdenoCA::S.52,573.0,386.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.53,281.0,958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.54,279.0,2102.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0
Eso-AdenoCA::S.55,794.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.56,1305.0,347.0,0.0,310.0,0.0,0.0,0.0,0.0,33.0
Eso-AdenoCA::S.57,593.0,861.0,0.0,62.0,7.0,0.0,31.0,0.0,0.0
Eso-AdenoCA::S.58,639.0,177.0,493.0,129.0,0.0,0.0,104.0,21.0,0.0
Eso-AdenoCA::S.59,364.0,506.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.60,690.0,190.0,41.0,899.0,0.0,0.0,84.0,19.0,0.0
Eso-AdenoCA::S.61,643.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.62,762.0,60.0,0.0,452.0,87.0,74.0,0.0,71.0,0.0
Eso-AdenoCA::S.63,564.0,1902.0,0.0,70.0,0.0,0.0,109.0,0.0,19.0
Eso-AdenoCA::S.64,869.0,999.0,0.0,0.0,143.0,151.0,0.0,0.0,0.0
Eso-AdenoCA::S.65,1464.0,960.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.66,469.0,27.0,0.0,0.0,0.0,36.0,42.0,0.0,500.0
Eso-AdenoCA::S.67,0.0,4727.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
Eso-AdenoCA::S.68,160.0,760.0,261.0,0.0,0.0,0.0,0.0,0.0,408.0
Eso-AdenoCA::S.69,40.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.70,101.0,1002.0,0.0,0.0,12.0,0.0,441.0,131.0,64.0
Eso-AdenoCA::S.71,268.0,800.0,36.0,0.0,0.0,37.0,348.0,0.0,0.0
Eso-AdenoCA::S.72,465.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Eso-AdenoCA::S.73,1611.0,146.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0
Eso-AdenoCA::S.74,175.0,298.0,0.0,0.0,4.0,0.0,115.0,0.0,0.0
Eso-AdenoCA::S.75,930.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0
Eso-AdenoCA::S.76,358.0,600.0,63.0,47.0,0.0,0.0,0.0,0.0,279.0
Eso-AdenoCA::S.77,301.0,1525.0,0.0,211.0,0.0,60.0,0.0,0.0,0.0
Eso-AdenoCA::S.78,581.0,1111.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.79,296.0,413.0,143.0,0.0,0.0,0.0,224.0,0.0,437.0
Eso-AdenoCA::S.80,2477.0,344.0,90.0,0.0,0.0,0.0,110.0,0.0,1466.0
Eso-AdenoCA::S.81,64.0,1156.0,0.0,394.0,0.0,0.0,28.0,0.0,225.0
Eso-AdenoCA::S.82,250.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.83,633.0,1046.0,0.0,0.0,0.0,88.0,0.0,0.0,522.0
Eso-AdenoCA::S.84,1419.0,2614.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.85,625.0,933.0,0.0,80.0,0.0,0.0,0.0,23.0,25.0
Eso-AdenoCA::S.86,227.0,502.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Eso-AdenoCA::S.87,1064.0,36.0,43.0,0.0,45.0,0.0,0.0,0.0,197.0
Eso-AdenoCA::S.88,176.0,409.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.89,29.0,82.0,51.0,378.0,197.0,0.0,178.0,0.0,0.0
Eso-AdenoCA::S.90,337.0,1294.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.91,2483.0,15.0,74.0,747.0,0.0,174.0,0.0,31.0,47.0
Eso-AdenoCA::S.92,1025.0,512.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Eso-AdenoCA::S.93,192.0,122.0,198.0,0.0,0.0,0.0,0.0,0.0,97.0
Eso-AdenoCA::S.94,551.0,1562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.95,14.0,936.0,0.0,581.0,0.0,0.0,204.0,0.0,0.0
Eso-AdenoCA::S.96,2074.0,1710.0,199.0,0.0,0.0,0.0,305.0,0.0,0.0
Eso-AdenoCA::S.97,434.0,1130.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0
Eso-AdenoCA::S.98,503.0,1730.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.99,1153.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eso-AdenoCA::S.100,589.0,272.0,33.0,249.0,0.0,0.0,0.0,0.0,878.0
