"Mutation type","Liver-HCC::S.1","Liver-HCC::S.2","Liver-HCC::S.3","Liver-HCC::S.4","Liver-HCC::S.5","Liver-HCC::S.6","Liver-HCC::S.7","Liver-HCC::S.8","Liver-HCC::S.9","Liver-HCC::S.10","Liver-HCC::S.11","Liver-HCC::S.12","Liver-HCC::S.13","Liver-HCC::S.14","Liver-HCC::S.15","Liver-HCC::S.16","Liver-HCC::S.17","Liver-HCC::S.18","Liver-HCC::S.19","Liver-HCC::S.20","Liver-HCC::S.21","Liver-HCC::S.22","Liver-HCC::S.23","Liver-HCC::S.24","Liver-HCC::S.25","Liver-HCC::S.26","Liver-HCC::S.27","Liver-HCC::S.28","Liver-HCC::S.29","Liver-HCC::S.30","Liver-HCC::S.31","Liver-HCC::S.32","Liver-HCC::S.33","Liver-HCC::S.34","Liver-HCC::S.35","Liver-HCC::S.36","Liver-HCC::S.37","Liver-HCC::S.38","Liver-HCC::S.39","Liver-HCC::S.40","Liver-HCC::S.41","Liver-HCC::S.42","Liver-HCC::S.43","Liver-HCC::S.44","Liver-HCC::S.45","Liver-HCC::S.46","Liver-HCC::S.47","Liver-HCC::S.48","Liver-HCC::S.49","Liver-HCC::S.50","Liver-HCC::S.51","Liver-HCC::S.52","Liver-HCC::S.53","Liver-HCC::S.54","Liver-HCC::S.55","Liver-HCC::S.56","Liver-HCC::S.57","Liver-HCC::S.58","Liver-HCC::S.59","Liver-HCC::S.60","Liver-HCC::S.61","Liver-HCC::S.62","Liver-HCC::S.63","Liver-HCC::S.64","Liver-HCC::S.65","Liver-HCC::S.66","Liver-HCC::S.67","Liver-HCC::S.68","Liver-HCC::S.69","Liver-HCC::S.70","Liver-HCC::S.71","Liver-HCC::S.72","Liver-HCC::S.73","Liver-HCC::S.74","Liver-HCC::S.75","Liver-HCC::S.76","Liver-HCC::S.77","Liver-HCC::S.78","Liver-HCC::S.79","Liver-HCC::S.80","Liver-HCC::S.81","Liver-HCC::S.82","Liver-HCC::S.83","Liver-HCC::S.84","Liver-HCC::S.85","Liver-HCC::S.86","Liver-HCC::S.87","Liver-HCC::S.88","Liver-HCC::S.89","Liver-HCC::S.90","Liver-HCC::S.91","Liver-HCC::S.92","Liver-HCC::S.93","Liver-HCC::S.94","Liver-HCC::S.95","Liver-HCC::S.96","Liver-HCC::S.97","Liver-HCC::S.98","Liver-HCC::S.99"
"DEL_T_1_4",31,29,13,3,9,15,13,16,24,10,2,36,26,17,22,5,9,11,18,20,21,13,36,32,24,17,5,6,16,10,53,2,11,17,14,8,15,14,15,12,9,8,6,12,10,8,14,12,18,16,16,7,12,15,11,4,10,5,5,13,13,12,7,65,33,7,6,21,6,9,16,17,10,22,10,13,14,18,12,10,7,15,4,9,4,17,3,26,6,4,29,7,9,12,15,20,6,34,27
"DEL_T_1_5+",7,10,5,11,9,8,7,13,7,34,5,31,33,11,14,4,5,6,6,8,6,26,90,57,8,6,4,7,18,8,7,3,20,59,34,6,4,31,34,2,39,25,2,21,33,6,18,7,4,76,14,2,27,5,10,45,20,60,7,4,9,7,79,22,22,20,4,69,3,15,38,4,18,1,4,7,19,34,35,5,38,27,6,4,8,3,7,27,12,23,38,10,4,24,42,17,26,14,30
"INS_C_1_0",0,0,1,0,0,0,1,0,0,1,1,3,0,0,1,0,0,0,1,0,0,0,1,2,0,1,2,0,2,0,2,2,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,1,1,2,3,1,0,1,1,0,1,1,0,0,2,0,1,0,2,1,2,1,0,1,0,2,4,0,2,0,1,0,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0,6,3,0,2,3,0
"INS_C_1_1",2,3,0,2,1,2,0,0,4,0,1,1,0,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,4,2,1,0,1,2,1,2,0,3,1,0,0,2,0,1,0,0,1,0,0,0,2,1,0,0,3,0,5,1,0,1,12,1,0,0,0,0,6,0,1,0,11,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,2,0,10,3,0,2,1,0,0,1,0,0
"INS_C_1_2",0,1,0,2,0,2,1,2,0,2,0,0,0,1,3,0,3,1,2,5,1,1,7,6,3,0,0,0,0,2,0,6,0,1,0,0,0,2,1,2,4,1,1,1,2,0,1,1,2,3,0,1,0,1,2,1,6,0,2,1,7,1,2,1,3,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,1,1,0,2,0,2,4,2,5,3,0,2,1,1,3,0,0,0
"INS_C_1_3",0,4,0,1,5,1,1,1,2,0,0,4,1,2,0,1,1,2,0,2,2,2,3,3,3,0,1,1,1,0,2,0,2,5,1,3,3,3,0,3,2,0,3,4,0,0,2,1,1,5,0,1,0,1,1,2,5,1,0,1,2,0,2,2,0,1,3,0,1,0,1,1,2,1,1,0,1,0,2,0,1,5,0,2,2,0,4,1,6,0,2,1,1,3,1,0,2,2,1
"INS_C_1_4",0,0,0,0,4,4,0,2,1,1,0,0,2,2,1,0,5,0,1,0,2,1,3,2,0,0,1,1,0,0,1,0,0,2,1,0,0,4,2,4,0,0,0,0,1,0,1,1,2,3,4,4,0,2,1,0,1,0,3,0,5,0,1,0,1,0,0,3,1,2,1,1,3,4,1,0,0,1,1,1,4,3,1,1,1,0,1,2,2,2,7,0,2,2,4,0,1,1,5
"INS_C_1_5+",6,11,2,6,9,2,3,2,1,5,7,8,8,11,5,11,2,5,8,3,6,1,15,2,6,7,3,0,5,1,8,1,2,2,4,4,1,1,3,8,8,2,17,5,6,1,3,2,24,9,6,5,4,11,1,12,4,6,4,11,10,1,6,4,3,7,2,10,7,2,2,3,3,11,7,3,5,2,4,7,4,4,1,4,4,3,4,6,1,1,3,7,3,0,2,2,4,4,3
"INS_T_1_0",0,6,3,10,9,9,1,2,5,3,1,1,5,5,5,5,11,6,3,5,9,4,10,7,6,6,4,4,5,7,7,3,8,5,7,0,3,1,3,3,5,1,0,4,5,3,9,3,4,7,11,7,6,0,8,9,4,5,3,3,1,3,14,3,3,5,3,2,1,4,5,7,5,4,6,3,7,9,7,0,5,12,0,1,3,1,6,13,6,2,3,1,9,13,5,1,2,3,3
"INS_T_1_1",14,11,2,3,23,16,3,8,17,7,0,12,7,13,10,10,18,21,12,12,13,7,21,6,8,15,5,2,6,10,5,1,19,8,5,11,16,5,3,13,1,7,6,5,8,4,11,10,3,40,32,4,6,6,8,4,66,11,13,5,43,12,9,3,7,6,26,5,2,4,18,7,5,2,9,2,9,4,14,4,11,15,0,16,11,0,9,12,20,12,6,7,13,26,25,4,13,20,7
"INS_T_1_2",6,4,2,3,20,24,2,16,8,13,0,28,12,25,13,9,13,12,19,8,21,10,14,21,20,20,8,4,10,7,11,13,22,4,17,22,7,6,7,8,0,6,9,12,12,9,11,10,14,48,42,17,0,18,14,8,19,2,9,7,29,14,17,12,11,9,17,11,2,20,22,8,11,11,7,4,27,17,16,4,15,16,8,4,11,4,32,12,9,23,10,5,5,9,12,15,12,23,11
"INS_T_1_3",5,14,0,6,12,11,4,10,9,6,5,7,6,5,13,12,16,2,9,3,11,13,8,8,13,10,2,3,10,8,9,3,7,21,4,7,3,10,5,4,7,4,9,8,14,10,12,13,13,9,12,10,5,5,15,18,6,4,8,4,26,19,10,9,5,10,4,3,2,16,14,8,4,9,6,8,13,6,1,5,8,13,4,7,3,1,6,6,6,3,7,7,15,24,21,7,9,6,9
"INS_T_1_4",8,12,4,1,9,4,4,7,2,7,5,10,8,12,4,17,3,4,5,6,6,5,7,11,15,9,6,4,7,2,14,5,5,5,5,3,3,0,5,6,1,0,0,4,4,5,0,3,12,6,6,9,2,9,3,3,6,2,9,8,12,6,1,6,7,7,3,4,9,11,9,6,2,8,4,3,12,7,1,6,3,8,0,2,5,2,1,8,3,3,7,4,1,4,8,8,0,6,5
"INS_T_1_5+",35,240,84,51,405,182,104,90,32,67,63,236,101,324,35,348,16,77,132,428,180,72,162,52,225,138,135,157,42,144,724,90,21,241,757,141,234,43,117,200,225,16,543,95,190,133,149,226,1289,94,140,80,38,277,22,129,98,89,178,164,258,105,257,98,87,155,91,252,228,24,111,126,87,374,88,145,172,46,299,83,21,110,28,54,211,37,49,369,56,20,294,46,130,7,151,29,37,28,44
"DEL_repeats_2_0",7,8,3,7,4,16,18,4,8,6,3,18,7,6,9,4,13,5,9,3,1,2,19,5,12,18,2,3,13,6,14,10,15,5,10,4,5,6,11,4,5,5,6,10,7,8,11,1,6,7,4,7,3,4,2,4,5,12,10,4,10,15,9,23,11,7,2,5,6,3,4,13,2,4,3,9,6,9,8,3,6,16,1,6,2,3,7,12,2,4,17,3,4,4,6,4,12,14,7
"DEL_repeats_2_1",4,22,7,6,2,12,8,10,9,10,0,17,5,15,10,4,15,11,17,6,6,9,14,5,7,2,5,2,19,7,4,10,6,2,6,6,4,4,10,7,3,3,6,10,6,12,10,4,8,9,8,3,3,7,5,1,6,4,5,5,5,11,9,12,7,9,9,3,1,2,9,6,4,5,4,1,10,3,9,10,6,6,5,5,6,4,9,6,5,2,8,3,5,4,4,7,4,6,4
"DEL_repeats_2_2",1,3,1,1,5,6,1,5,1,3,0,4,1,2,2,1,9,2,4,4,1,3,9,0,2,3,0,4,3,1,4,3,1,3,1,3,2,6,1,3,2,1,1,2,1,2,5,3,4,11,7,3,0,1,7,3,2,1,3,2,5,1,6,1,2,3,2,1,0,1,2,3,2,3,7,2,10,6,2,0,15,3,0,4,2,0,1,4,7,2,1,1,8,5,3,0,0,5,1
"DEL_repeats_2_3",0,0,0,1,4,2,0,0,0,1,0,0,1,3,0,1,0,1,3,1,0,4,1,1,6,1,4,0,2,0,0,0,0,3,1,2,1,1,0,0,0,1,2,1,0,0,2,0,1,4,5,0,2,0,0,2,0,1,1,1,0,0,1,0,0,2,1,4,0,3,3,3,2,0,1,1,0,3,0,0,1,4,0,1,0,0,0,0,2,0,2,1,0,4,0,0,4,2,4
"DEL_repeats_2_4",1,1,0,0,1,0,0,0,2,2,0,1,1,2,1,2,0,1,0,2,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,2,1,1,2,0,0,1,1,1,0,2,2,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,3,0,0,3,0,0,2,0,1,0,0,0,3,1,0
"DEL_repeats_2_5+",9,18,8,0,4,3,0,6,5,9,1,7,7,3,7,3,6,1,0,3,4,3,6,9,5,7,1,2,13,5,3,3,4,0,5,2,5,2,5,2,4,2,0,6,5,2,9,0,3,4,7,0,0,5,1,3,0,5,8,5,4,2,0,16,7,2,3,2,3,0,4,11,3,5,4,2,4,1,1,4,2,1,1,1,0,2,3,6,2,0,0,0,0,1,2,3,0,14,2
"DEL_repeats_3_0",7,2,1,5,4,1,7,7,7,5,1,17,13,6,4,4,3,3,3,5,6,4,1,4,3,2,3,0,15,7,5,8,2,4,1,14,6,2,6,2,2,0,3,1,5,1,5,1,4,1,3,7,1,10,2,2,3,1,4,2,3,15,0,10,17,15,8,3,4,3,1,4,3,5,3,3,22,6,6,0,3,8,1,3,2,1,3,4,8,6,3,1,0,1,1,4,3,8,11
"DEL_repeats_3_1",3,4,2,1,4,2,3,1,0,3,3,3,0,3,9,0,2,2,2,7,3,1,10,3,1,1,2,2,3,1,9,2,2,1,5,1,0,2,1,3,1,2,0,4,3,3,3,1,3,2,0,2,1,2,2,1,1,1,2,10,4,1,4,3,5,0,4,2,3,1,0,0,1,1,0,4,1,0,3,0,2,0,0,1,4,4,1,2,2,0,3,0,1,0,6,2,1,3,5
"DEL_repeats_3_2",0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"DEL_repeats_3_3",0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"DEL_repeats_3_4",3,1,0,0,0,0,1,3,0,2,0,13,0,1,0,1,1,0,0,0,1,1,0,1,2,3,1,0,1,0,2,1,1,0,2,0,0,0,0,1,2,0,0,2,0,7,1,0,3,1,1,0,1,2,2,1,0,1,2,2,1,2,3,2,2,1,1,0,1,0,2,1,0,0,0,2,1,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"DEL_repeats_3_5+",0,1,2,0,2,0,1,2,0,4,0,11,1,2,1,2,1,0,3,5,3,1,1,4,1,2,0,0,0,0,2,0,4,1,1,2,0,0,2,2,2,1,1,1,2,2,7,0,2,0,3,1,1,3,1,0,0,0,1,1,3,4,4,2,1,3,1,1,2,2,0,0,1,3,0,1,5,1,1,0,3,1,0,1,1,0,1,1,3,1,3,2,0,2,0,6,0,1,1
"DEL_repeats_4_0",6,6,2,2,3,1,3,3,2,4,2,6,4,5,6,3,1,1,3,1,2,3,3,0,5,3,1,0,1,4,1,4,1,2,2,7,1,2,5,2,2,0,1,0,5,3,3,2,2,0,5,4,0,5,1,2,2,1,0,5,1,3,1,6,3,6,2,0,4,4,0,3,1,2,7,3,6,2,2,4,0,1,3,3,1,2,3,3,2,2,3,2,1,0,4,7,2,2,5
"DEL_repeats_4_1",0,0,0,2,2,1,0,2,2,0,0,6,1,0,0,1,1,1,2,4,3,1,0,2,0,0,1,0,1,0,1,1,1,3,0,3,0,0,1,0,1,1,0,2,2,5,0,0,1,1,0,1,0,0,2,0,2,2,0,1,0,1,3,0,1,2,2,0,0,0,2,0,0,1,0,2,1,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,1,0
"DEL_repeats_4_2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_4_3",1,4,1,0,0,0,1,0,0,2,0,2,0,3,2,0,1,1,0,0,0,1,1,0,4,1,0,2,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,2,5,1,1,1,0,1,0,0,0,0,2,0,0,0,1,2,0,1,0,0,1,1,0,1,0,2,0,1,1,1,1,1,1,1,0,0,0,1,0,2,0,0,1,2,1,1,0,0,0,1,0
"DEL_repeats_4_4",0,2,1,0,0,3,2,2,2,1,0,3,0,0,3,2,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,1,1,0,2,0,1,0,1,1,0,2,0,0,1,1,0,1,2,0,0,0,1,1,1,3,3,1,1,1,3,1,0,3,3,4,0,0,0,2,2,3,1,3,0,0,4,1,0,4,1,0,1,0,0,2,0,3,1,0,0,0,0,1,1,1,0,0,1
"DEL_repeats_4_5+",0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,0,1,0,1,1,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
"DEL_repeats_5+_0",6,21,40,28,28,65,207,26,2,11,18,14,16,9,15,4,5,4,27,8,7,8,14,13,23,12,35,10,44,32,12,12,18,4,45,95,54,40,24,27,28,18,16,5,23,27,3,10,61,7,18,17,35,18,18,23,14,17,16,51,37,35,62,46,25,8,47,13,12,25,50,26,15,20,26,9,23,79,19,8,6,40,7,4,1,22,64,33,32,13,9,5,24,68,28,41,9,21,47
"DEL_repeats_5+_1",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"DEL_repeats_5+_2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DEL_repeats_5+_3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DEL_repeats_5+_4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_5+_5+",0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_2_0",2,0,0,5,2,4,0,2,3,2,0,3,1,2,2,0,2,3,1,1,3,2,5,0,2,4,0,0,4,1,2,2,4,3,1,1,0,1,0,3,2,2,1,2,2,1,2,1,4,2,0,2,2,2,1,1,3,1,0,2,2,2,1,4,1,0,1,1,0,2,3,3,0,1,0,1,2,3,5,2,0,6,0,1,3,0,0,0,1,0,3,1,2,1,2,3,2,4,1
"INS_repeats_2_1",16,7,6,6,1,4,4,3,3,7,0,7,1,1,3,2,11,0,3,4,5,4,6,9,1,8,3,4,9,2,2,6,1,0,3,4,0,4,8,2,5,3,2,2,2,14,2,11,4,12,0,1,2,3,2,0,2,1,6,1,3,16,4,8,6,4,7,4,1,6,6,1,2,6,3,2,22,4,4,6,4,4,1,2,3,1,3,9,4,2,5,5,2,4,3,9,1,7,0
"INS_repeats_2_2",2,2,3,0,1,4,0,1,0,3,1,11,2,1,0,2,0,1,1,1,3,4,6,2,4,4,0,1,1,0,0,2,0,0,1,1,2,0,1,0,6,1,0,1,2,8,2,2,2,0,2,1,0,2,0,1,1,3,1,0,2,1,2,2,6,0,0,1,1,2,3,1,1,0,1,0,2,1,0,2,0,2,0,0,2,0,2,1,5,1,1,1,3,1,3,1,1,7,1
"INS_repeats_2_3",1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
"INS_repeats_2_4",0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,2,1,2,0,2,0,0,0,0,0,2,0,1,1,1,1,0,0,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"INS_repeats_2_5+",1,4,0,0,6,8,3,4,0,14,10,4,2,1,9,6,0,2,2,3,2,2,3,3,3,2,6,1,4,2,10,4,2,4,11,1,2,0,3,0,6,0,7,2,4,2,5,2,8,2,1,2,2,7,2,7,5,8,3,1,1,0,10,1,2,4,2,2,8,1,1,6,4,6,7,2,1,4,12,3,2,2,2,2,1,2,0,4,2,0,4,4,1,0,0,2,1,0,0
"INS_repeats_3_0",2,1,0,0,0,0,1,3,0,2,1,2,0,2,6,0,3,1,0,2,1,1,4,3,0,1,0,0,0,0,0,1,2,2,0,2,1,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,3,1,0,1,3,1,1,2,5,4,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,1,3,1,0,1,0,0,0,0,0,0,0,0
