"Mutation type","DBS2","DBS3","DBS4","DBS5","DBS7","DBS9","DBS10"
"CC>AT",0.100021165478827,0.00588751711628172,0.0157070440720854,0.0024297978651156,0.000851631209620986,0.0194935145077233,0.0105004550897236
"CC>GA",0.0177037462897524,0.00063473232068572,0.00355159276789193,6.7594376823792e-05,0.000301869278527626,0.0109963415171772,0.0033901469289679
"CC>GG",0.000450095244654721,7.24694381885271e-05,7.30327526918622e-05,1.1899010121348e-05,0.00204911265225707,0.00305898227659658,7.41032116331922e-18
"CC>GT",0.0011002328202671,1.13951944186098e-17,7.99358484942436e-05,2.4797937059616e-05,0.000162929445033123,0.0178940466506793,0.00108004680922871
"CC>TA",0.0160033864766123,0.020791231921674,0.000170076273392008,0.0012698943574884,9.03608701287993e-18,0.000686771511118251,0.0239010358708947
"CC>TG",0.00023705016218482,2.89877752754108e-05,8.30372393619803e-06,0.0048095998893852,0.000235897846796423,0.0154948448651134,7.41032116331922e-18
"CC>TT",4.17088260046709e-18,1.10953208812779e-17,7.00314066908267e-18,1.049912657766e-17,9.03608701287993e-18,9.01700004408534e-18,0.0206008928426958
"CG>AT",0.00115024340300651,0.000283880282007472,0.000290130113433425,0.0016398635797488,6.20731198561775e-05,0.000218927162932892,7.41032116331922e-18
"CG>GC",0.000369078100616872,1.10953208812779e-17,5.10228820176023e-06,9.9191748238464e-05,0.000186919056571742,1.19960089278297e-05,1.90008234956903e-05
"CG>GT",0.00128027091812899,1.10953208812779e-17,7.00314066908267e-18,0.0064794609736416,2.06910399520592e-05,9.93669406188561e-05,1.02004420871601e-05
"CG>TA",4.17088260046709e-18,0.0978587310159559,7.00314066908267e-18,1.049912657766e-17,9.03608701287993e-18,9.01700004408533e-18,0.35801551639248
"CG>TC",0.00215045505779478,0.000721695646511953,7.00314066908267e-18,2.9797521144216e-05,4.86789200804484e-05,0.000132955765616779,0.00265011485597786
"CG>TT",0.00556117680062278,0.00716697754223089,0.000361161968791264,0.0022198153335624,3.12864517149494e-05,8.28724283430903e-05,0.00777033676639546
"CT>AA",0.00321067941187035,0.000102956581150597,7.00314066908267e-18,0.46596123668472,9.03608701287993e-18,9.01700004408534e-18,0.00393017033358226
"CT>AC",4.17088260046709e-18,0.0290877331211881,7.00314066908267e-18,0.20898261473628,1.0095628189169e-17,9.01700004408534e-18,0.0130005634444197
"CT>AG",0.000587124241360715,0.113951944186098,0.000363162866125287,0.026697779011764,0.00125945460577751,0.000581806432999741,0.0265011485597786
"CT>GA",1.81038309516677e-05,1.7192749473692e-05,0.000673301952898948,0.016098660752412,0.00186919056571742,0.00283905544625303,7.41032116331922e-18
"CT>GC",0.000134028361741628,2.6888660514088e-05,7.22323937582527e-05,0.004849596562062,0.0155932475001026,0.0031089656471292,7.41032116331922e-18
"CT>GG",8.98190065999866e-05,5.987474962059e-05,0.000926415465652936,0.0005699525856444,0.00399826858976989,0.0103965410707858,7.41032116331922e-18
"CT>TA",0.00338071539318435,0.000183922436230193,7.00314066908267e-18,0.0033397221685128,9.03608701287993e-18,9.01700004408534e-18,0.0040301746677701
"CT>TC",3.84081275438696e-05,0.00633732742227948,7.00314066908267e-18,0.00023698028561004,0.0631726437183642,2.99900223195743e-05,0.0027501191901657
"CT>TG",0.000390082545367425,0.0521779954957395,3.08138189439638e-05,0.00087392729798808,9.03608701287993e-18,9.45685370477243e-18,0.0457019807238446
"GC>AA",0.00508107520632441,2.15908946878922e-05,0.328147162779874,0.00013298893665036,9.03608701287993e-18,9.01700004408534e-18,0.00408017683486402
"GC>AG",0.000325068787806188,0.000521779954957395,0.0113050699372335,0.0026597787330072,7.29684017633004e-05,0.123958758920907,7.41032116331922e-18
"GC>AT",0.00095320170701322,0.00398831804651342,0.00924414568318913,0.0015698694025644,0.000349848501604865,0.125958093742212,0.00775033589955789
"GC>CA",0.00106022435407557,0.000236900094492151,0.0119053391374405,0.0045796190214936,0.000669709988786456,0.0273908870518779,0.000105004550897236
"GC>CG",6.69141597053353e-05,1.10953208812779e-17,9.8344103967261e-07,0.00032297313186516,0.00264885294072255,0.00249916852663119,7.41032116331922e-18
"GC>TA",0.000736155777924166,0.00422821687637889,0.017707941406109,0.00022198153335624,6.23729900004102e-06,0.0139953437491347,0.00281012179067841
"TA>AT",0.00275058205066774,0.00144938876377054,0.030413639477159,0.0018698444476404,0.0557758468272899,0.0154948448651134,0.0104004507555357
"TA>CG",1.89040002754983e-05,0.00333859204896111,0.000389174531467594,7.8893436854988e-06,0.00304867979969954,0.00134955100438084,0.00411017813512038
"TA>CT",0.000280059263340716,0.000343854989473839,0.00872391237634299,0.0022698111744084,0.0290874039905759,0.0141952772312652,0.00162007021384307
"TA>GC",8.22173980235957e-05,0.00198916113096785,7.02314964242291e-05,5.2195657843224e-05,0.00150934639263813,0.000578807430767784,7.41032116331922e-18
"TA>GG",7.89166995627944e-05,0.00545769837943942,0.00222099604076622,0.0016298644115796,0.00430813440547705,0.00324891908462055,0.00859037230673578
"TA>GT",0.00130027515122475,0.000361847401713749,0.00806361625611519,0.0019098411203172,0.026288615977737,0.00777741245487626,0.00361015646418116
"TC>AA",0.00145030689944299,0.00548768573317261,0.379170044797476,0.040396639403568,0.0195915160898724,0.00368877274530764,0.00756032766460099
"TC>AG",0.000200042330957654,6.13741173072492e-06,0.00187083900731209,0.014898760572108,3.99826858976989e-06,0.0466844680774706,0.000271011745649056
"TC>AT",4.17088260046709e-18,0.00111952787270552,0.00841377328956933,0.00074793777905616,0.00228900876764326,0.0517827718717983,0.00309013392640437
"TC>CA",0.0006821443485656,0.0654723889841176,0.0846379572291992,0.0014298810481956,0.0027088269695691,0.0487837696398408,0.0252010922153366
"TC>CG",3.89082333712637e-06,0.000115951101101643,0.000400179466804724,1.0599118259352e-17,0.00162929445033123,0.00778740912898279,0.000842036493861644
"TC>CT",0.00335070904354071,0.0193918220807921,8.28371496285779e-06,0.001049912657766,0.00918602208499631,0.0513829049075373,0.0262011355572151
"TC>GA",0.000885187314487618,0.0777672040147229,0.0364163314792299,2.4597953696232e-05,9.03608701287993e-18,0.0172942462042878,0.0438018983742756
"TC>GG",9.87208903276022e-06,0.000176925387025783,1.04046661369228e-05,3.4797105228816e-05,0.000705694406094385,0.00372875944173374,7.41032116331922e-18
"TC>GT",8.57181388153546e-05,0.043381705067339,7.00314066908267e-18,3.8596789133112e-05,9.03608701287993e-18,9.14695680747015e-18,0.0459019893922203
"TG>AA",0.00296062649817328,6.67718409792222e-05,0.00763342332930011,0.01799850270456,0.0225902175321999,0.0157947450883091,0.00142006154546738
"TG>AC",0.000220046564053419,8.03661080049321e-05,0.000118052942707394,0.0014598785527032,0.00261886592629928,0.0072675820754435,0.000207008971768837
"TG>AT",0.00429090799904168,0.000957596162546331,7.00314066908267e-18,0.020398303065168,0.00128944162020079,0.000745751888346747,0.00250010835469609
"TG>CA",0.000144030478289511,0.0158932974785873,0.000804360728277496,0.00047596040485392,0.0238896548238751,0.0227924169628765,0.0292012655828504
"TG>CC",5.94125722944232e-05,0.000483795973562029,0.000120053840041417,0.00050595790936152,0.0010495455048146,0.0117960754456992,0.000190008234956903
"TG>CT",0.00307064978019999,0.00606744123868082,8.21368355616696e-05,0.00032797271594976,9.03608701287993e-18,0.000967678053511597,0.00433018767033363
"TG>GA",0.00147031113253876,0.000522779533415168,0.00785352203604271,0.0032697279913284,0.00824642896640039,0.0061779445978323,2.02008755059444e-05
"TG>GC",0.000272057570102409,0.000497790071970848,0.000604270994875134,0.00029197571054064,0.00387832053207679,0.00390869957565118,7.41032116331922e-18
"TG>GT",0.00640135459064493,0.0102956581150597,3.23144919444815e-05,0.082693120759284,0.00870622985422393,0.00333888915157927,0.00217009405187621
"TT>AA",0.00431091223213744,0.00321864263402838,1.80080760062126e-05,0.0049195907392464,0.234898279648981,0.000340886587032494,0.0145006284572373
"TT>AC",0.000345073020901953,0.00242897565238787,6.60296120227795e-07,0.00096591964514472,0.0399826858976989,0.00665778495494549,7.41032116331922e-18
"TT>AG",0.000215045505779478,0.0228903466829968,7.00314066908267e-18,0.00089292571750956,0.0538766692471492,0.000917694682978973,0.00696030165947392
"TT>CA",4.17088260046709e-18,0.000693707449694315,7.00314066908267e-18,1.049912657766e-17,0.0976577103051295,9.02699671819186e-18,0.00129005591102318
"TT>CC",2.98063073126904e-06,0.00815656021542595,7.00314066908267e-18,0.00077293569947916,0.0353846770194635,0.00515828383896678,0.0028801248246099
"TT>CG",1.52032171527817e-05,0.0317865949571747,7.25325283583563e-18,1.049912657766e-17,0.0026688442836714,1.9793414730919e-05,0.00858037187331699
"TT>GA",4.79101382643581e-05,0.0122948150306053,7.00314066908267e-18,2.9897512825908e-05,0.0435811276284918,9.16695015568321e-18,0.00869037664092362
"TT>GC",1.54032594837394e-06,0.0664719674418904,7.00314066908267e-18,5.6595291837672e-05,0.00366841143111387,3.55881598192282e-05,0.0258011182204637
"TT>GG",4.17088260046709e-18,0.170927916279147,7.00314066908267e-18,1.049912657766e-17,9.03608701287993e-18,9.01700004408534e-18,0.0847036710571036
