,SBS1,SBS2,SBS3,SBS5,SBS8,SBS13,SBS18,SBS35,SBS39,SBS40,SBS41
Ovary-AdenoCA::S.69,722.0,434.0,2108.0,767.0,0.0,373.0,279.0,0.0,0.0,2364.0,0.0
Ovary-AdenoCA::S.70,247.0,189.0,4833.0,641.0,0.0,0.0,0.0,0.0,0.0,3725.0,0.0
Ovary-AdenoCA::S.71,768.0,0.0,5171.0,2816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.72,727.0,0.0,2264.0,1934.0,0.0,410.0,0.0,0.0,0.0,3767.0,0.0
Ovary-AdenoCA::S.73,422.0,0.0,1920.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.74,273.0,164.0,7369.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,358.0
Ovary-AdenoCA::S.75,367.0,0.0,4853.0,1577.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.76,698.0,0.0,3744.0,1702.0,0.0,0.0,577.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.77,329.0,0.0,4332.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0
Ovary-AdenoCA::S.78,427.0,396.0,837.0,1645.0,257.0,502.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.79,610.0,0.0,2666.0,1309.0,0.0,130.0,209.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.80,200.0,0.0,2084.0,0.0,0.0,815.0,0.0,0.0,0.0,0.0,132.0
Ovary-AdenoCA::S.81,499.0,0.0,2239.0,1041.0,0.0,0.0,0.0,300.0,0.0,6292.0,0.0
Ovary-AdenoCA::S.82,614.0,164.0,8408.0,1094.0,0.0,642.0,0.0,0.0,0.0,3541.0,0.0
Ovary-AdenoCA::S.83,249.0,0.0,8678.0,4730.0,0.0,693.0,0.0,1141.0,0.0,0.0,0.0
Ovary-AdenoCA::S.84,878.0,86.0,6333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.85,735.0,356.0,7341.0,1934.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.86,502.0,0.0,5275.0,2163.0,0.0,0.0,0.0,0.0,871.0,0.0,0.0
Ovary-AdenoCA::S.87,489.0,0.0,1885.0,1847.0,0.0,0.0,416.0,0.0,0.0,557.0,0.0
Ovary-AdenoCA::S.88,217.0,210.0,11921.0,746.0,0.0,0.0,0.0,0.0,1323.0,0.0,0.0
Ovary-AdenoCA::S.89,410.0,702.0,1012.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.90,211.0,0.0,8940.0,3770.0,0.0,142.0,0.0,0.0,0.0,2055.0,0.0
Ovary-AdenoCA::S.91,310.0,0.0,2440.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.92,564.0,779.0,6772.0,1387.0,0.0,303.0,701.0,0.0,655.0,0.0,0.0
Ovary-AdenoCA::S.93,336.0,235.0,0.0,1129.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.94,528.0,0.0,6873.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,0.0
Ovary-AdenoCA::S.95,322.0,168.0,3640.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.96,1036.0,0.0,4955.0,1013.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0
Ovary-AdenoCA::S.97,174.0,633.0,7358.0,2086.0,0.0,0.0,0.0,0.0,0.0,2161.0,0.0
Ovary-AdenoCA::S.98,265.0,161.0,3767.0,547.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.99,826.0,0.0,1747.0,415.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0
