Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS37	SBS40	SBS41
Breast-AdenoCA::S.30	360	1084	0	4864	0	0	3654	0	0	0	0	0	0
Breast-AdenoCA::S.31	495	374	0	2080	0	0	1120	0	0	0	0	0	0
Breast-AdenoCA::S.32	362	0	0	2789	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.33	577	0	0	1116	0	0	1229	0	0	0	0	0	0
Breast-AdenoCA::S.34	745	0	0	2640	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.35	196	55	0	1305	0	0	144	0	0	317	0	0	0
Breast-AdenoCA::S.36	56	452	4907	2014	0	0	1589	0	0	0	0	0	0
Breast-AdenoCA::S.37	333	3527	4848	1887	0	0	336	0	0	0	0	0	0
Breast-AdenoCA::S.38	829	0	0	95	0	0	0	0	0	0	0	724	0
Breast-AdenoCA::S.39	255	0	0	5341	0	7233	6951	0	0	0	0	0	0
Breast-AdenoCA::S.40	307	263	0	1990	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.41	612	0	12854	2522	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.42	680	0	0	5016	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.43	250	0	2495	1175	0	0	776	0	0	0	0	0	0
Breast-AdenoCA::S.44	300	5695	0	3392	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.45	514	0	0	926	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.46	335	928	4605	4832	0	0	981	0	0	0	0	0	0
Breast-AdenoCA::S.47	556	148	5015	1036	0	0	313	0	0	0	0	0	0
Breast-AdenoCA::S.48	546	692	4187	1075	0	0	1451	0	0	1175	0	0	0
Breast-AdenoCA::S.49	138	7355	0	3543	0	0	4576	0	0	0	0	0	0
Breast-AdenoCA::S.50	550	1830	8337	2082	0	0	495	0	0	0	0	0	0
Breast-AdenoCA::S.51	147	699	0	3652	0	0	551	0	0	0	0	0	0
Breast-AdenoCA::S.52	389	6463	5887	3073	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.53	382	0	0	1727	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.54	483	3158	10269	803	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.55	410	3168	5456	768	0	0	843	0	0	0	0	0	0
Breast-AdenoCA::S.56	271	78	0	1034	0	0	329	0	0	0	0	0	0
Breast-AdenoCA::S.57	521	392	0	2129	0	0	1722	0	0	0	0	0	0
Breast-AdenoCA::S.58	847	0	9062	1712	0	0	3256	0	0	0	0	0	0
Breast-AdenoCA::S.59	396	0	0	2012	0	0	1765	0	0	0	0	0	0
Breast-AdenoCA::S.60	373	1901	0	1608	0	0	13868	0	0	0	0	0	0
Breast-AdenoCA::S.61	396	682	0	3426	0	0	2002	368	2867	0	0	0	0
Breast-AdenoCA::S.62	238	0	0	935	0	0	113	0	0	0	0	0	0
Breast-AdenoCA::S.63	87	510	0	9830	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.64	194	2390	0	3731	0	0	2453	0	0	0	0	0	0
Breast-AdenoCA::S.65	324	1104	0	282	0	0	6056	0	0	0	0	0	0
Breast-AdenoCA::S.66	762	1077	0	1766	0	0	1600	0	0	0	0	0	0
Breast-AdenoCA::S.67	372	725	5250	2349	0	0	3435	0	0	0	0	0	0
Breast-AdenoCA::S.68	245	616	0	3886	0	0	177	0	0	0	0	0	0
Breast-AdenoCA::S.69	342	0	0	1671	0	0	7647	0	0	0	0	0	0
Breast-AdenoCA::S.70	1001	0	0	2240	0	0	0	0	0	1033	0	0	0
Breast-AdenoCA::S.71	498	1284	0	2933	0	0	1223	0	0	0	0	0	0
Breast-AdenoCA::S.72	752	161	0	1481	0	0	405	0	0	0	0	0	0
Breast-AdenoCA::S.73	345	100	0	586	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.74	549	1921	0	1328	0	0	9710	0	0	0	0	0	0
Breast-AdenoCA::S.75	207	0	0	3832	0	0	283	0	0	0	0	0	0
Breast-AdenoCA::S.76	397	0	0	7452	0	0	7030	0	0	0	0	0	0
Breast-AdenoCA::S.77	141	332	1813	2790	0	0	115	0	0	0	0	0	0
Breast-AdenoCA::S.78	243	926	0	2083	0	0	4671	0	0	0	0	0	0
Breast-AdenoCA::S.79	485	3098	0	938	0	0	4411	0	0	0	0	0	0
Breast-AdenoCA::S.80	88	4444	0	4980	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.81	243	0	0	3649	0	0	2713	0	0	0	0	0	0
Breast-AdenoCA::S.82	373	0	0	0	0	0	9786	0	0	0	0	0	0
Breast-AdenoCA::S.83	196	1195	0	7070	0	0	2797	0	0	0	0	0	0
Breast-AdenoCA::S.84	426	0	0	2542	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.85	556	399	0	3487	2265	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.86	295	4727	0	2393	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.87	159	0	11161	1816	0	0	2161	0	0	0	0	0	0
Breast-AdenoCA::S.88	300	8864	0	205	0	0	6412	0	0	0	0	0	0
Breast-AdenoCA::S.89	325	235	0	2126	0	0	130	0	0	657	0	0	0
Breast-AdenoCA::S.90	399	0	0	1195	0	3380	956	0	0	0	0	0	0
Breast-AdenoCA::S.91	336	4013	7045	2592	0	0	1285	0	0	0	0	0	0
Breast-AdenoCA::S.92	192	326	4344	2725	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.93	396	1795	4469	3400	0	0	1042	1622	0	0	0	0	0
Breast-AdenoCA::S.94	199	228	0	2942	0	0	543	0	0	593	0	0	0
Breast-AdenoCA::S.95	512	0	3145	1981	0	0	0	0	0	1675	0	0	0
Breast-AdenoCA::S.96	578	0	0	2655	0	0	3925	0	0	0	0	0	0
Breast-AdenoCA::S.97	464	276	0	1777	0	0	1061	0	0	0	0	0	0
Breast-AdenoCA::S.98	248	868	0	984	0	0	106	0	0	0	0	0	0
Breast-AdenoCA::S.99	747	2143	0	4248	0	0	2479	0	0	0	0	0	0
Breast-AdenoCA::S.100	329	1595	0	2033	0	0	881	0	0	0	0	0	0
