MutationType	Kidney-RCC::S.1	Kidney-RCC::S.2	Kidney-RCC::S.3	Kidney-RCC::S.4	Kidney-RCC::S.5	Kidney-RCC::S.6	Kidney-RCC::S.7	Kidney-RCC::S.8	Kidney-RCC::S.9	Kidney-RCC::S.10	Kidney-RCC::S.11	Kidney-RCC::S.12	Kidney-RCC::S.13	Kidney-RCC::S.14	Kidney-RCC::S.15	Kidney-RCC::S.16	Kidney-RCC::S.17	Kidney-RCC::S.18	Kidney-RCC::S.19	Kidney-RCC::S.20	Kidney-RCC::S.21	Kidney-RCC::S.22	Kidney-RCC::S.23	Kidney-RCC::S.24	Kidney-RCC::S.25	Kidney-RCC::S.26	Kidney-RCC::S.27	Kidney-RCC::S.28	Kidney-RCC::S.29	Kidney-RCC::S.30	Kidney-RCC::S.31	Kidney-RCC::S.32	Kidney-RCC::S.33	Kidney-RCC::S.34	Kidney-RCC::S.35	Kidney-RCC::S.36	Kidney-RCC::S.37	Kidney-RCC::S.38	Kidney-RCC::S.39	Kidney-RCC::S.40	Kidney-RCC::S.41	Kidney-RCC::S.42	Kidney-RCC::S.43	Kidney-RCC::S.44	Kidney-RCC::S.45	Kidney-RCC::S.46	Kidney-RCC::S.47	Kidney-RCC::S.48	Kidney-RCC::S.49	Kidney-RCC::S.50	Kidney-RCC::S.51	Kidney-RCC::S.52	Kidney-RCC::S.53	Kidney-RCC::S.54	Kidney-RCC::S.55	Kidney-RCC::S.56	Kidney-RCC::S.57	Kidney-RCC::S.58	Kidney-RCC::S.59	Kidney-RCC::S.60	Kidney-RCC::S.61	Kidney-RCC::S.62	Kidney-RCC::S.63	Kidney-RCC::S.64	Kidney-RCC::S.65	Kidney-RCC::S.66	Kidney-RCC::S.67	Kidney-RCC::S.68	Kidney-RCC::S.69	Kidney-RCC::S.70	Kidney-RCC::S.71	Kidney-RCC::S.72	Kidney-RCC::S.73	Kidney-RCC::S.74	Kidney-RCC::S.75	Kidney-RCC::S.76	Kidney-RCC::S.77	Kidney-RCC::S.78	Kidney-RCC::S.79	Kidney-RCC::S.80	Kidney-RCC::S.81	Kidney-RCC::S.82	Kidney-RCC::S.83	Kidney-RCC::S.84	Kidney-RCC::S.85	Kidney-RCC::S.86	Kidney-RCC::S.87	Kidney-RCC::S.88	Kidney-RCC::S.89	Kidney-RCC::S.90	Kidney-RCC::S.91	Kidney-RCC::S.92	Kidney-RCC::S.93	Kidney-RCC::S.94	Kidney-RCC::S.95	Kidney-RCC::S.96	Kidney-RCC::S.97
CC>GT	0	0	3	1	0	0	0	0	0	3	1	1	0	0	4	0	6	0	2	0	3	5	1	0	0	1	2	6	0	0	1	3	3	0	4	3	0	0	5	1	0	0	1	1	0	0	0	4	0	0	0	1	0	0	2	2	4	0	10	5	1	0	1	1	0	0	1	0	0	3	1	2	0	0	2	0	1	0	0	0	1	2	0	6	4	6	2	0	0	0	2	11	0	0	3	1	2
CC>TA	0	0	1	0	2	1	0	1	0	0	2	1	0	1	0	0	0	3	0	14	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	5	0	4	2	1	2	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	5	0	0	5	2	0	0	1	0	1	1	0	2	0	1	0	0	0	0	0	1	0	6	0
CC>TG	0	2	0	1	3	2	0	0	0	2	1	0	0	0	0	3	7	0	1	0	0	1	1	0	5	0	5	4	1	3	0	3	0	5	0	2	0	1	3	5	0	3	6	1	1	0	0	1	0	0	0	2	0	1	3	0	5	1	0	2	2	0	2	0	0	0	1	0	0	0	3	0	0	9	2	0	0	0	0	0	0	18	0	0	1	3	1	0	2	1	0	1	1	0	3	0	1
CC>TT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>AT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CG>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
CG>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>TC	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG>TT	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0
CT>AA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>AG	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1
CT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0
CT>GC	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	3	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	3	2	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
CT>GG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	6	2	2	2	0	0	0	0	2	0	0	0	0	1	2	2	4	0	1	0	3	0	0	3	0	2	1	0	0	3	1	6	0	8	0	0	1	3	0	0	1	1	0	1	1	4	2	0	2	1	0	4	0	0	0	0	2
CT>TA	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CT>TC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	9	2	0	5	0	1	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	5	0	0	7	0	4	0	0	0	7	0	0	0	0
CT>TG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
GC>AA	14	7	10	1	3	1	12	2	0	3	0	24	8	0	4	5	18	2	9	10	54	45	0	17	2	5	0	0	11	12	0	2	0	6	0	2	29	7	0	11	1	20	7	56	2	56	0	46	1	0	15	6	20	0	1	64	8	7	32	1	3	0	2	12	1	0	0	14	52	0	14	30	3	3	0	3	14	4	73	4	23	2	9	0	0	1	1	3	0	0	14	46	0	1	0	28	2
GC>AG	0	14	0	1	25	12	1	4	0	5	5	1	0	1	9	20	6	0	0	1	26	5	3	0	1	18	32	9	1	1	28	13	0	26	29	3	0	17	12	1	15	13	10	7	29	0	1	5	10	0	0	20	0	3	4	7	10	3	0	1	3	0	67	8	11	2	6	0	11	12	13	6	0	9	14	1	34	5	3	2	0	13	1	11	1	29	3	0	5	4	8	1	8	1	4	0	11
GC>AT	0	3	6	11	7	0	0	1	0	8	7	6	1	1	0	6	4	0	0	1	8	12	0	0	9	10	10	29	0	9	36	12	7	6	4	5	0	2	9	1	22	76	10	31	13	3	0	3	24	1	0	2	0	14	10	9	18	4	16	5	47	0	27	14	1	8	0	0	0	13	7	15	0	21	6	0	9	2	1	0	1	45	2	18	5	2	18	0	1	8	6	9	3	1	0	1	13
GC>CA	0	0	2	1	0	5	0	1	0	4	1	1	4	0	0	2	1	2	3	1	2	1	1	0	4	3	1	1	1	0	0	3	1	1	0	5	1	2	7	2	5	2	4	11	1	0	2	7	2	1	0	1	1	6	1	0	0	7	4	1	5	0	5	5	0	2	6	0	3	4	8	1	1	2	0	1	3	3	1	0	0	11	0	1	0	4	4	2	0	1	0	5	4	1	8	1	2
GC>CG	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	1	0	0
GC>TA	0	0	2	2	1	1	1	0	0	3	0	0	0	1	1	4	1	1	1	1	6	2	0	0	2	0	2	2	3	2	1	2	0	4	1	0	2	0	0	5	7	6	2	2	6	2	0	3	1	0	0	2	1	2	2	0	1	0	1	1	5	0	5	0	2	0	0	0	0	2	0	1	3	4	1	0	0	3	3	1	0	2	1	0	0	0	2	0	0	3	1	3	2	0	3	0	3
TA>AT	0	2	1	1	5	0	3	2	0	3	2	0	0	1	5	5	2	0	3	1	0	5	1	0	2	4	5	3	4	1	1	3	0	1	2	3	2	1	0	6	4	16	0	2	12	1	1	4	2	0	1	0	0	5	2	5	0	3	8	3	3	0	4	1	2	8	1	0	0	0	3	6	5	4	16	0	2	2	15	11	0	5	2	2	0	0	1	2	3	0	2	20	7	0	0	1	4
TA>CG	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	1	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
TA>CT	0	1	3	0	1	5	1	0	0	2	0	0	1	0	0	5	1	0	0	0	0	0	1	1	2	8	0	1	0	3	10	1	0	0	2	2	1	2	3	1	0	3	4	2	1	1	0	3	0	1	0	2	0	2	1	1	0	0	0	9	4	0	2	5	3	0	0	0	1	0	0	0	2	0	1	0	2	1	1	5	2	4	0	0	0	0	3	0	3	0	1	0	0	0	2	0	2
TA>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TA>GG	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
TA>GT	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	3	0	0	4	3	0	0	2	3	3	0	0	0	0	3	0	0	1	1	1	0	1	1	2	0	2	1	0	1	0	0	0	5	1	0	1	4	2	2	0	1	2	0	3	0	4	3	0	4	1	0	0	7	1	0	0	7	0	0	2	1	0	0	1	1	0	2	0	1	0	7	0	2	1	0
TC>AA	1	6	3	2	16	17	3	7	0	44	1	7	26	7	1	7	10	2	5	6	14	5	3	23	5	3	3	1	10	1	0	16	0	23	0	69	17	3	0	4	1	18	1	12	26	30	0	67	0	12	7	13	0	8	2	56	5	16	12	3	17	0	7	64	0	0	0	38	46	6	4	1	45	14	1	1	29	20	1	114	22	6	8	0	0	6	0	14	3	1	20	24	1	4	1	1	26
TC>AG	0	1	3	4	1	0	0	0	0	0	4	0	0	0	3	3	0	0	5	0	16	1	2	0	13	4	7	1	0	0	11	8	7	7	2	0	0	2	5	3	1	0	2	1	0	0	2	3	0	0	0	7	0	0	0	13	12	6	12	1	4	0	5	22	2	0	6	0	4	5	5	3	0	0	2	0	1	0	0	0	0	6	0	0	8	2	1	0	0	0	2	0	5	0	1	0	4
TC>AT	0	4	3	2	1	1	0	0	0	12	0	5	1	1	9	5	1	0	3	0	14	0	4	0	2	0	6	0	0	0	2	1	0	3	0	3	0	6	0	5	0	1	3	9	2	0	0	4	18	0	0	0	1	2	4	0	8	3	21	4	5	0	4	2	1	0	2	0	7	3	6	2	1	12	5	0	0	1	2	0	0	8	0	6	3	1	0	0	0	1	1	2	3	0	3	1	3
TC>CA	1	0	1	4	2	4	10	8	0	16	4	0	1	1	2	11	11	1	10	1	8	8	3	0	6	13	3	1	12	2	7	1	2	15	5	3	3	14	4	3	1	4	8	24	4	26	0	0	13	6	2	7	5	2	16	13	8	6	3	1	21	0	2	14	22	16	7	0	7	2	9	8	1	10	0	0	10	8	5	0	6	3	1	1	4	0	0	3	3	1	7	7	3	3	5	6	6
TC>CG	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	7	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	1	2	1	0	0	2	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	3	1	0	1	0	0	0	1
TC>CT	0	3	2	1	0	0	0	0	0	9	11	9	0	0	0	11	1	0	0	0	3	3	7	0	13	0	1	13	0	1	4	2	1	0	6	5	0	3	10	3	1	3	0	12	13	1	14	4	10	0	0	2	0	3	0	1	1	4	6	3	5	0	4	10	4	6	21	1	6	1	6	12	0	1	7	0	15	2	5	0	0	4	0	3	3	2	2	1	6	1	1	8	10	0	10	0	4
