Samples	SBS1	SBS5	SBS10a	SBS10b	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40
ColoRect-AdenoCA::S.43	2436	2647	0	0	1381	0	3341	0	0	8605
ColoRect-AdenoCA::S.44	1784	3533	0	0	0	0	3922	0	0	12464
ColoRect-AdenoCA::S.45	2010	1334	0	0	0	0	0	0	0	14278
ColoRect-AdenoCA::S.46	1712	5149	0	0	0	0	3277	0	0	0
ColoRect-AdenoCA::S.47	2234	152	0	0	1491	0	0	0	0	10629
ColoRect-AdenoCA::S.48	3605	4049	0	0	0	0	0	0	0	18495
ColoRect-AdenoCA::S.49	2860	0	0	0	0	0	4505	0	0	10162
ColoRect-AdenoCA::S.50	2464	7853	0	0	0	3926	0	0	0	0
ColoRect-AdenoCA::S.51	2140	4011	0	0	0	0	3540	0	0	0
ColoRect-AdenoCA::S.52	3194	822	0	0	0	0	3317	0	0	0
ColoRect-AdenoCA::S.53	2750	0	0	0	0	0	0	0	0	15474
ColoRect-AdenoCA::S.54	1995	0	0	0	0	0	7456	0	0	5603
ColoRect-AdenoCA::S.55	3074	4800	0	0	0	4738	0	0	0	0
ColoRect-AdenoCA::S.56	4551	0	0	0	0	0	0	0	0	7143
ColoRect-AdenoCA::S.57	1593	2230	0	0	0	0	2993	0	0	5991
ColoRect-AdenoCA::S.58	2574	1625	0	0	0	0	4869	0	0	0
ColoRect-AdenoCA::S.59	2792	1167	0	0	0	0	5247	0	0	6959
ColoRect-AdenoCA::S.60	3079	0	0	0	0	0	0	0	0	10893
ColoRect-AdenoCA::S.61	1954	31	0	0	0	0	2705	0	2086	6965
ColoRect-AdenoCA::S.62	3581	0	0	0	0	0	0	0	0	18850
ColoRect-AdenoCA::S.63	3261	4304	0	0	0	0	6360	0	0	6033
ColoRect-AdenoCA::S.64	1625	2288	0	0	0	0	0	0	0	14712
ColoRect-AdenoCA::S.65	2919	7866	0	0	0	0	5315	0	0	0
ColoRect-AdenoCA::S.66	1740	3683	0	0	0	0	0	0	1971	3468
ColoRect-AdenoCA::S.67	1871	5	0	0	0	0	0	0	0	9468
ColoRect-AdenoCA::S.68	2239	2366	0	0	0	0	3284	0	0	6034
ColoRect-AdenoCA::S.69	2805	2612	0	0	0	0	3547	904	0	7249
ColoRect-AdenoCA::S.70	3429	3652	0	0	0	0	4636	0	0	10242
ColoRect-AdenoCA::POLE.S.1	22605	324965	286257	76812	0	0	0	193905	0	0
ColoRect-AdenoCA::POLE.S.2	5061	146022	70188	312640	0	0	0	166975	0	0
ColoRect-AdenoCA::POLE.S.3	76765	68464	282935	86846	0	0	0	79121	0	0
ColoRect-AdenoCA::POLE.S.4	0	367245	812820	190777	0	0	0	129885	0	0
ColoRect-AdenoCA::POLE.S.5	9369	168822	347344	241400	0	0	0	586197	0	0
ColoRect-AdenoCA::POLE.S.6	12374	106291	317979	388451	0	0	0	72008	0	0
ColoRect-AdenoCA::POLE.S.7	3197	418575	912546	88797	0	0	0	199946	0	0
ColoRect-AdenoCA::POLE.S.8	25539	104178	674516	149620	0	0	0	423328	0	0
ColoRect-AdenoCA::POLE.S.9	12552	530203	470001	163932	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.10	0	267359	715987	56573	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.11	29348	112642	114672	48819	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.12	18215	321136	483201	329469	0	0	0	162823	0	0
ColoRect-AdenoCA::POLE.S.13	12272	105578	163578	145878	0	0	0	100764	0	0
ColoRect-AdenoCA::POLE.S.14	78271	237887	549113	76473	0	0	0	174153	0	0
