"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"28","yapsa_0.06","ColoRect-AdenoCA",2.65510362235098,2.71346760339823,0.277884114825899,0.912484126984127,1,0.107792161672172,0.188563044315683,0.151372218305478,0.126449237830352,0.885833333333333,1,0.14689787026134,0.957833333333333,1,0.103243009290955,0.887184270498941,0.246451616399633,0.101367734498223,-2407.48677688979,-372.908174899713
"29","fitms_0.200","Kidney-RCC",2.65453282687629,2.67314240304031,0.33561960767632,0.890093073593074,0.888888888888889,0.131864497908501,0.164181458837996,0.104394255055459,0.188302925926784,0.838547619047619,0.8,0.17667072303588,0.980166666666667,1,0.0684809934554579,0.904434595994001,NA,NA,-281.919671975323,-267.344100200847
"30","deconstruct_0.06","ColoRect-AdenoCA",2.65228818046687,2.69833485228251,0.289413229642395,0.908225108225108,1,0.112035967726099,0.185711819533133,0.152528725647512,0.133255311969719,0.871,1,0.156967259448334,0.967,1,0.0920821621114783,0.888460840499972,0.28615862115761,0.10683320738614,-3293.86208407375,-384.588467541478
"31","deconstruct_0.03","ColoRect-AdenoCA",2.64465634189819,2.70089584190492,0.288838381859706,0.908665945165945,0.898989898989899,0.104566769009426,0.188224610482765,0.155384558063252,0.134698259713332,0.929333333333333,1,0.112942483102408,0.903547619047619,1,0.139394254770063,0.891590970744276,0.209033793278787,0.0877013224959713,-2281.94414270917,-366.027044207695
"32","msa_thresholdx100_unpruned","Breast-AdenoCA",2.64431125554773,2.69115808568719,0.298355921658676,0.868533799533799,0.888888888888889,0.144692135587572,0.144783982547507,0.112518665334741,0.12287542889394,0.800928571428571,0.8,0.204103355855006,0.988166666666667,1,0.0531443938654549,0.912852990979787,0.259719953520371,0.0484873614527166,-367.686809411844,-287.225411272506
"33","fitms_0.060","Kidney-RCC",2.64224067354011,2.64483962860903,0.299025103125605,0.885890331890332,0.888888888888889,0.109782188852435,0.152902183602743,0.11161718508812,0.118561702543845,0.86197619047619,0.916666666666667,0.149397139002473,0.933166666666667,1,0.124688050705658,0.9120217095229,0.179897803268791,0.121591347038556,-280.061520598471,-266.420610348454
"34","fitms_0.050","Kidney-RCC",2.64224061140457,2.64483962860899,0.299025153225901,0.885890331890332,0.888888888888889,0.109782188852435,0.15290224573829,0.111617185088126,0.118561739203145,0.86197619047619,0.916666666666667,0.149397139002473,0.933166666666667,1,0.124688050705658,0.912021649220516,0.179897908099238,0.121591347038599,-280.061520598471,-266.420610348454
"35","fitms_0.010","Breast-AdenoCA",2.63551293972184,2.67376226057121,0.257091552838241,0.8390337995338,0.857142857142857,0.13016555864705,0.10074896504006,0.0849897455361038,0.0842316700963,0.747428571428571,0.75,0.183977547957625,0.988833333333333,1,0.0561610938497621,0.940744828641114,0.178201388504472,0.14609082929327,-341.737827860887,-300.325053429591
"36","msa_thresholdx10","Ovary-AdenoCA",2.63268442679098,2.66541224750019,0.281791660164012,0.902428848928849,0.909090909090909,0.108807517436795,0.189387001780453,0.141303815550622,0.130760579094933,0.9005,1,0.131264569497588,0.921571428571429,1,0.130579871593552,0.883144296449687,0.233255963166933,0.0679534964837006,-306.9377790018,-299.020652189625
"37","msa_thresholdx10_unpruned","Breast-AdenoCA",2.63219445049289,2.69028772265243,0.301079580245042,0.885801143301143,0.888888888888889,0.112147378825316,0.158436501888064,0.119762463837391,0.120109946185594,0.924880952380952,1,0.123625022089857,0.86575,0.857142857142857,0.145722904858308,0.907815112436606,0.160111604622062,0.0648651299783229,-296.213075528567,-274.413335521902
"38","fitms_0.010","Ovary-AdenoCA",2.62941177586535,2.62973547931163,0.245157153668116,0.860176767676768,0.857142857142857,0.128615195214847,0.138421557467982,0.124383477288687,0.0795339598031071,0.788833333333333,0.775,0.185199485979802,0.979,1,0.0734594874491804,0.917886956398662,0.17283807183199,0.177640580312489,-355.71979440637,-306.422611913066
"39","fitms_0.200","Liver-HCC",2.62938859806188,2.6445041235605,0.294703421789649,0.836833333333333,0.857142857142857,0.149724745604952,0.107778068604788,0.0784182664106047,0.109454944029626,0.7555,0.75,0.208248198092994,0.981666666666667,1,0.0735694088086747,0.932211468963854,0.174259801895757,0.0194439347758699,-344.188616933024,-316.641288614388
"40","fitms_0.050","Ovary-AdenoCA",2.62470909488176,2.62442083214704,0.26015903419245,0.85558152958153,0.857142857142857,0.130317218923663,0.134790905118243,0.121736956211797,0.0858046453757697,0.7855,0.775,0.187751402726023,0.974,1,0.0801345669580164,0.92089683171316,0.18670998357438,0.172880763157169,-369.511190485624,-307.951244670381
"41","fitms_0.030","Ovary-AdenoCA",2.62470907469611,2.624420832147,0.260158806037627,0.85558152958153,0.857142857142857,0.130317218923663,0.134790925303894,0.121736908961357,0.0858045908909744,0.7855,0.775,0.187751402726023,0.974,1,0.0801345669580164,0.920896677669593,0.186709973461645,0.172880746198975,-369.511190485624,-307.951244670381
"42","fitms_0.060","Ovary-AdenoCA",2.62470901531036,2.62442083214695,0.260158962113226,0.85558152958153,0.857142857142857,0.130317218923663,0.134790984689645,0.121736469189408,0.0858045461100682,0.7855,0.775,0.187751402726023,0.974,1,0.0801345669580164,0.920896771727877,0.186709986535132,0.172880792053418,-369.511190485624,-307.951244670381
"43","fitms_0.100","Ovary-AdenoCA",2.62470893272957,2.62442083214699,0.260158852806808,0.85558152958153,0.857142857142857,0.130317218923663,0.134791067270427,0.121736885623392,0.0858044462159736,0.7855,0.775,0.187751402726023,0.974,1,0.0801345669580164,0.920896690964727,0.186709984860834,0.172880758135602,-369.511190485624,-307.951244670381
"44","mp","ColoRect-AdenoCA",2.62355624403695,2.65033718029902,0.32172796193877,0.897460317460318,0.888888888888889,0.120278072749255,0.198777089296383,0.149662819700981,0.151046583446034,0.864833333333333,1,0.168056411217456,0.9575,1,0.097711610991524,0.880672158055202,0.340258569807967,0.10425542421174,-4929.55562505083,-385.462240853507
"45","fitms_0.030","Breast-AdenoCA",2.62294533643161,2.6741512221565,0.28312975390572,0.832755411255411,0.857142857142857,0.136762250796951,0.101887996901729,0.0850639080612247,0.0919276129975314,0.7435,0.75,0.188686534448991,0.981333333333333,1,0.0780040000125465,0.940800268381012,0.19384524905483,0.148835843156357,-344.013158631029,-303.07749369066
"46","fitms_0.050","Breast-AdenoCA",2.62294533590202,2.67415122215649,0.283129754186789,0.832755411255411,0.857142857142857,0.136762250796951,0.101887997431315,0.0850639080612215,0.0919276131339051,0.7435,0.75,0.188686534448991,0.981333333333333,1,0.0780040000125465,0.940800268171721,0.193845249108921,0.148835843156358,-344.013158631029,-303.07749369066
"47","fitms_0.060","Breast-AdenoCA",2.62294533502505,2.67415122215749,0.283129754656861,0.832755411255411,0.857142857142857,0.136762250796951,0.10188799830828,0.0850639080612235,0.0919276133607738,0.7435,0.75,0.188686534448991,0.981333333333333,1,0.0780040000125465,0.940800267824965,0.193845249206445,0.148835843156391,-344.013158631029,-303.07749369066
"48","fitms_0.005","Breast-AdenoCA",2.62232756354373,2.66427065206291,0.24826405451692,0.834680985680986,0.857142857142857,0.130847355484785,0.10560100788484,0.0920551586250737,0.063248728987138,0.743261904761905,0.75,0.183680186061279,0.984666666666667,1,0.0628842843729646,0.937024726358804,0.17683366842253,0.146886527399092,-343.414711852067,-310.087227418695
"49","fitms_0.001","Breast-AdenoCA",2.62232708320431,2.66427244352879,0.24826420144097,0.834680985680986,0.857142857142857,0.130847355484785,0.105601488224259,0.0920551588712893,0.0632490675511215,0.743261904761905,0.75,0.183680186061279,0.984666666666667,1,0.0628842843729646,0.937024544939877,0.176833546737213,0.146886519648267,-343.414711852067,-310.087227418695
"50","musical","Stomach-AdenoCA",2.6214149537328,2.66894418890859,0.265889018411318,0.888957108251226,0.909090909090909,0.101439583880087,0.174247744679895,0.148280268159243,0.128742542720987,0.880535714285714,1,0.138766115082259,0.915126984126984,1,0.115362217284062,0.904661288258904,0.194088110220984,0.0751134983437644,-483.173627943926,-351.769933788761
"51","yapsa_0.03","ColoRect-AdenoCA",2.62065416374415,2.69789390011272,0.297884200763131,0.899246753246753,0.888888888888889,0.111840727102409,0.196179169589181,0.180244131388112,0.130480325260464,0.925333333333333,1,0.120801661935484,0.8915,1,0.14953153558591,0.887539971132404,0.221348170625091,0.100845681272857,-2188.17047412368,-369.34304357669
"52","pasa","Ovary-AdenoCA",2.61818163398198,2.6910798374081,0.328112898598075,0.883339826839827,0.888888888888889,0.120805791689842,0.187985032684688,0.121664473697447,0.175860234251103,0.820333333333333,0.8,0.178903945661599,0.985833333333333,1,0.0627366451463574,0.885187414571622,0.305953520297492,0.0773209660870234,-328.262237589679,-304.904889139147
"53","mp","Ovary-AdenoCA",2.61352408202109,2.66031511398158,0.29119804774041,0.884289488289488,0.888888888888889,0.129666374067863,0.186237822740817,0.151411269028965,0.120784350901803,0.868666666666667,1,0.17610131254008,0.931095238095238,1,0.117677940828439,0.88968559922954,0.196618547264844,0.130823042001617,-320.845928886399,-300.032982121306
"54","musical","Lung-AdenoCA",2.6123665469529,2.682124425847,0.298419033553594,0.853884726384726,0.857142857142857,0.126708558666505,0.130633453047098,0.0947375811262886,0.114176474091642,0.843357142857143,0.833333333333333,0.166521717701888,0.899642857142857,1,0.161512191001609,0.922154379506871,0.139121764398149,0.0316972310741869,-451.955003696758,-381.241670679432
"55","fitms_0.100","Breast-AdenoCA",2.6116067282502,2.6493764350762,0.263282436616376,0.825512987012987,0.857142857142857,0.133601434238316,0.105559938416465,0.0850053822978568,0.0969953253006938,0.732833333333333,0.75,0.187591276636865,0.984333333333333,1,0.0637765811312086,0.938885966502061,0.217905657014181,0.15214153607246,-347.716815506058,-310.410621778869
"56","fitms_0.200","Breast-AdenoCA",2.61160672789174,2.6493764350762,0.26328243680438,0.825512987012987,0.857142857142857,0.133601434238316,0.105559938774928,0.0850053822978205,0.0969953253738637,0.732833333333333,0.75,0.187591276636865,0.984333333333333,1,0.0637765811312086,0.938885966360616,0.217905657048409,0.15214153607246,-347.716815506058,-310.410621778869
"57","msa_default","Ovary-AdenoCA",2.60156328765526,2.63143807961909,0.279844873248591,0.890828116328116,0.909090909090909,0.107122537602569,0.198912902820931,0.161696963916023,0.127650763100764,0.919333333333333,1,0.120481637255745,0.881142857142857,1,0.141422441373767,0.88074599654006,0.202883009394729,0.127811397324516,-306.59754141233,-298.453907547147
"58","msa_thresholdx100","Breast-AdenoCA",2.59506331290491,2.64506415471678,0.284455907806258,0.841328171828172,0.857142857142857,0.144957562139116,0.15586525852366,0.114995766738955,0.124596143401802,0.750928571428572,0.75,0.202567719327248,1,1,0,0.903508115680329,0.368371233082513,0.0884508265789003,-418.252180202471,-296.160670108493
"59","msa_thresholdx10_unpruned","ColoRect-AdenoCA",2.59415707977268,2.64717110102126,0.29779751374881,0.883507936507936,0.888888888888889,0.098710299565376,0.19289053927494,0.15097000858959,0.14612413949644,0.933333333333333,1,0.106731882420522,0.853714285714286,0.8,0.140759133286653,0.889988629880377,0.241069364950965,0.0738241466754043,-2068.5327293153,-388.189308687427
"60","msa_thresholdx10","Kidney-RCC",2.59196496800049,2.59406521152752,0.267917921168129,0.875800172050172,0.888888888888889,0.11857060804662,0.196681857396331,0.182628555659645,0.105283586641105,0.9815,1,0.0705078180985561,0.807146825396825,0.8,0.170688162577467,0.885130068369572,0.164867096615944,0.10135726724987,-264.387697671296,-263.009219198354
"61","msa_default","Kidney-RCC",2.58927488424034,2.59406521152752,0.262596266088443,0.874533938283938,0.888888888888889,0.11663667023578,0.196705274489814,0.182162498472258,0.104288621347907,0.9815,1,0.0705078180985561,0.804480158730159,0.8,0.167377939116167,0.885041671968621,0.165023644005071,0.109015409110677,-264.339977842599,-263.009219198354
"62","yapsa_0.10","ColoRect-AdenoCA",2.58840349462137,2.56922601968517,0.272220346690875,0.874833333333333,0.873015873015873,0.120207396186067,0.202763172045301,0.173569602239102,0.125978796031765,0.810333333333333,0.8,0.180250791742176,0.980833333333333,1,0.0709236401949031,0.876949779465331,0.398568985755522,0.3020758461866,-5214.81696632103,-415.878738189022
"63","msa_thresholdx10","ColoRect-AdenoCA",2.58779076966533,2.64376352855388,0.313219942411255,0.885362914862915,0.888888888888889,0.101818169617479,0.198875897001336,0.14756626711852,0.150154353185755,0.8995,1,0.125494644204068,0.887166666666667,1,0.132464657633217,0.882605176839542,0.326864552659036,0.0850809749584984,-2097.75653737826,-396.44537703642
"64","fitms_0.200","Eso-AdenoCA",2.58629026219305,2.59513531928635,0.260907929705256,0.82957104007104,0.833333333333333,0.119295096909523,0.130483547330763,0.101665158415982,0.10472034208435,0.734940476190476,0.714285714285714,0.168364231121746,0.981833333333333,1,0.0719339624203682,0.929454365944652,0.260603859562985,0.20949328067205,-741.115725673454,-689.930342461368
"65","pasa","Skin-Melanoma",2.58528728165628,2.60549718556063,0.24240050964389,0.841275557775558,0.857142857142857,0.104742078166704,0.137371448502452,0.0980659136267953,0.124234518944252,0.771825396825397,0.8,0.154654320593627,0.950833333333333,1,0.0931845555427224,0.918430982389873,0.215479373221791,0.0744643526978065,-645.227317788262,-454.667260249363
"66","deconstruct_0.10","ColoRect-AdenoCA",2.58448087438005,2.56539664758419,0.299633495105214,0.869444444444444,0.888888888888889,0.129295812490042,0.201185792286621,0.173449657617606,0.137678496857777,0.796,0.8,0.19131126469709,0.989666666666667,1,0.0517797719302121,0.878470974412037,0.433754822431731,0.267493767882898,-5340.29145967109,-422.374290438362
"67","msa_thresholdx100","Kidney-RCC",2.58377993499328,2.59406521152752,0.263029347635279,0.87148199023199,0.888888888888889,0.117281526466695,0.197533557070209,0.182628555659645,0.104202648572049,0.9815,1,0.0705078180985561,0.799813492063492,0.8,0.168524101042604,0.884886403233358,0.166666620093479,0.119275091059835,-264.391815947183,-263.009219198354
"68","fitms_0.001","Ovary-AdenoCA",2.58321565521198,2.62497956631585,0.296301595512682,0.852069264069264,0.857142857142857,0.137505422273925,0.163284344788023,0.154536372799904,0.0952215981316847,0.797,0.8,0.189724533017561,0.9495,1,0.114578596473868,0.903661440788865,0.186142765561864,0.190810298617657,-358.932744695359,-306.157155150472
"69","fitms_0.005","Ovary-AdenoCA",2.58321543124472,2.62497956631574,0.296301421733909,0.852069264069264,0.857142857142857,0.137505422273925,0.16328456875528,0.154536372883867,0.0952217075131584,0.797,0.8,0.189724533017561,0.9495,1,0.114578596473868,0.903661079422733,0.186142991964439,0.190810298617651,-358.932015033848,-306.157155150472
"70","yapsa_0.03","Kidney-RCC",2.58107361136505,2.59343773657189,0.260082047909458,0.876715395715396,0.888888888888889,0.113830226806879,0.200950198158763,0.190507274745821,0.10170979172519,0.94347619047619,1,0.118796088291926,0.838547619047619,0.816666666666667,0.157457268144728,0.883884652357274,0.162418751288388,0.133939250499619,-271.724371523806,-263.13868397927
"71","msa_thresholdx1000","Kidney-RCC",2.57927494434039,2.58598333454449,0.263346791465577,0.869603202353202,0.888888888888889,0.117607941670695,0.197574262008813,0.182628555659645,0.104216470054464,0.978166666666667,1,0.0771873331548063,0.79868253968254,0.8,0.167738000648135,0.884810914510168,0.166869114115196,0.109015409110677,-264.481315665972,-262.871225937359
"72","fitms_0.100","Kidney-RCC",2.57802129258566,2.65470228571601,0.427097129384116,0.867146464646465,0.857142857142857,0.14957887850511,0.188026326461959,0.115735122075271,0.216809235527435,0.832214285714286,0.8,0.180840784491586,0.933833333333333,1,0.121818778580377,0.890043533400024,NA,NA,-279.361918249896,-268.184465864902
"73","sigpro","Ovary-AdenoCA",2.57767052479621,2.65203117157794,0.34467931801303,0.894263347763348,0.888888888888889,0.10472335644466,0.23816280853712,0.136489245851487,0.226378290255599,0.837,0.8,0.153770055857971,0.978833333333333,1,0.0741148667138616,0.852709948926972,0.467629467127023,0.115781100507881,-331.860531353189,-311.151537591301
"74","sigpro","Lung-AdenoCA",2.57607190960888,2.60005368931391,0.304539908507666,0.847137806637807,0.857142857142857,0.1200300400048,0.169499518962552,0.113572540494526,0.158784735531775,0.775738095238095,0.75,0.182915008768828,0.969833333333333,1,0.0906608423064867,0.895652136159099,0.347035788418736,0.14507604805118,-703.386058640285,-426.563678163969
"75","fitms_0.060","Eso-AdenoCA",2.57468694908968,2.57435715633657,0.253057406744298,0.826573704073704,0.833333333333333,0.115225470758904,0.130086860434132,0.107651084921078,0.0887487322929208,0.737440476190476,0.732142857142857,0.163232096846326,0.967333333333333,1,0.0788853321150112,0.929989429408867,0.233506048345235,0.205035673618062,-758.165010083818,-670.89128448761
"76","fitms_0.100","Eso-AdenoCA",2.57468691792349,2.57435715633657,0.25305745256952,0.826573704073704,0.833333333333333,0.115225470758904,0.130086891600321,0.107651084921098,0.0887487893180662,0.737440476190476,0.732142857142857,0.163232096846326,0.967333333333333,1,0.0788853321150112,0.9299894407794,0.233505977049055,0.205035673618062,-758.165010083818,-670.89128448761
"77","fitms_0.050","Eso-AdenoCA",2.57468657593986,2.57435715633645,0.253058020503248,0.826573704073704,0.833333333333333,0.115225470758904,0.130087233583955,0.1076510849211,0.0887493254392953,0.737440476190476,0.732142857142857,0.163232096846326,0.967333333333333,1,0.0788853321150112,0.929989350396555,0.233506054187759,0.205035673618062,-758.157917000019,-670.89128448761
"78","msa_thresholdx100","Ovary-AdenoCA",2.57199795844057,2.5825334768239,0.313429020651918,0.861044011544012,0.857142857142857,0.132827634697694,0.202454422511812,0.159977514456461,0.165321821810089,0.784333333333333,0.775,0.186539458820298,0.990119047619048,1,0.0641214967363457,0.867038140987561,0.503527057908988,0.264212278670325,-322.320794867622,-306.005039847689
"79","pasa","Stomach-AdenoCA",2.56989208427309,2.58674169968633,0.261321104382023,0.837877788877789,0.857142857142857,0.115402927570213,0.161203153822146,0.10711959658373,0.12725457584993,0.748690476190476,0.775,0.165044370319523,0.982404761904762,1,0.0666038450314765,0.907988454332209,0.309943194505324,0.142253177004855,-533.270539898257,-361.389438571292
"80","fitms_0.005","Eso-AdenoCA",2.56758841774246,2.57059137092111,0.252371442817107,0.825664613164613,0.833333333333333,0.114197408664656,0.135518725114682,0.117725688411891,0.0891090073578597,0.737440476190476,0.732142857142857,0.163232096846326,0.965666666666667,1,0.0799417576990771,0.927173012785707,0.235449197165607,0.200971589182609,-759.105035005709,-661.638359442397
