Samples	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS11
Eso-AdenoCA::S.56	0	0	37	0	0	47	0	52	0
Eso-AdenoCA::S.57	0	0	0	0	64	103	0	0	0
Eso-AdenoCA::S.58	0	0	30	0	40	105	44	0	0
Eso-AdenoCA::S.59	0	0	0	0	39	98	0	0	0
Eso-AdenoCA::S.60	86	0	44	0	0	0	0	0	0
Eso-AdenoCA::S.61	0	0	0	0	92	0	0	54	0
Eso-AdenoCA::S.62	0	0	44	0	0	69	0	54	0
Eso-AdenoCA::S.63	0	0	0	0	59	0	27	0	0
Eso-AdenoCA::S.64	29	0	35	0	0	0	0	62	0
Eso-AdenoCA::S.65	33	0	0	0	44	0	0	0	0
Eso-AdenoCA::S.66	100	0	0	0	0	47	0	0	0
Eso-AdenoCA::S.67	24	0	69	0	0	0	0	0	64
Eso-AdenoCA::S.68	115	0	57	0	0	0	0	0	0
Eso-AdenoCA::S.69	47	0	0	0	23	32	0	49	0
Eso-AdenoCA::S.70	0	0	56	0	0	0	132	0	92
Eso-AdenoCA::S.71	87	0	0	0	36	0	34	0	0
Eso-AdenoCA::S.72	0	0	36	0	47	0	0	0	0
Eso-AdenoCA::S.73	0	0	23	0	0	0	0	0	30
Eso-AdenoCA::S.74	16	0	40	0	0	46	38	0	27
Eso-AdenoCA::S.75	0	0	29	0	18	0	0	0	24
Eso-AdenoCA::S.76	28	0	44	0	0	0	0	0	32
Eso-AdenoCA::S.77	36	0	0	0	0	90	0	0	0
Eso-AdenoCA::S.78	108	0	0	0	0	0	0	0	0
Eso-AdenoCA::S.79	0	0	0	197	0	0	0	0	0
Eso-AdenoCA::S.80	20	0	78	0	0	0	0	59	0
Eso-AdenoCA::S.81	0	0	0	0	38	125	0	0	0
Eso-AdenoCA::S.82	0	0	0	0	0	0	242	0	0
Eso-AdenoCA::S.83	31	0	37	0	0	0	65	57	0
Eso-AdenoCA::S.84	0	0	55	0	0	0	68	62	0
Eso-AdenoCA::S.85	0	0	97	0	0	0	0	0	0
Eso-AdenoCA::S.86	32	0	0	0	20	0	0	0	0
Eso-AdenoCA::S.87	18	0	15	0	0	62	0	50	0
Eso-AdenoCA::S.88	15	0	23	0	49	54	0	0	0
Eso-AdenoCA::S.89	28	0	50	0	0	0	131	0	132
Eso-AdenoCA::S.90	0	0	17	0	0	0	0	81	0
Eso-AdenoCA::S.91	0	0	86	0	0	0	46	0	0
Eso-AdenoCA::S.92	0	63	0	0	0	0	0	38	0
Eso-AdenoCA::S.93	0	0	27	0	0	0	0	0	0
Eso-AdenoCA::S.94	37	0	59	0	0	0	0	0	0
Eso-AdenoCA::S.95	24	0	0	0	0	64	0	0	62
Eso-AdenoCA::S.96	206	0	0	0	0	0	0	0	0
Eso-AdenoCA::S.97	0	0	71	0	0	0	130	0	0
Eso-AdenoCA::S.98	0	0	61	0	0	0	35	0	101
Eso-AdenoCA::S.99	0	0	45	0	0	0	154	0	0
Eso-AdenoCA::S.100	0	0	24	0	0	0	57	76	0
