MutationType	ColoRect-AdenoCA::MSI-H.S.1	ColoRect-AdenoCA::MSI-H.S.2	ColoRect-AdenoCA::MSI-H.S.3	ColoRect-AdenoCA::MSI-H.S.4	ColoRect-AdenoCA::MSI-H.S.5	ColoRect-AdenoCA::MSI-H.S.6	ColoRect-AdenoCA::MSI-H.S.7	ColoRect-AdenoCA::MSI-H.S.8	ColoRect-AdenoCA::MSI-H.S.9	ColoRect-AdenoCA::MSI-H.S.10	ColoRect-AdenoCA::MSI-H.S.11	ColoRect-AdenoCA::MSI-H.S.12	ColoRect-AdenoCA::MSI-H.S.13	ColoRect-AdenoCA::MSI-H.S.14	ColoRect-AdenoCA::MSI-H.S.15
5:Del:R:5	2	0	2	0	3	3	0	5	4	0	6	4	3	2	0
2:Ins:R:0	52	15	12	45	19	12	13	23	12	22	16	13	35	46	32
2:Ins:R:1	28	1	27	6	25	15	1	17	7	7	22	40	34	18	28
2:Ins:R:2	43	5	26	107	109	89	12	27	70	100	47	74	74	69	49
2:Ins:R:3	18	12	26	36	25	80	8	37	13	14	62	20	83	20	39
2:Ins:R:4	202	74	167	154	331	490	37	94	73	100	292	167	95	206	94
2:Ins:R:5	1312	309	819	1305	2545	1389	372	1565	1016	293	1604	545	858	912	2146
3:Ins:R:0	1	0	1	3	5	4	1	0	1	3	8	4	3	7	4
3:Ins:R:1	42	43	57	197	104	128	26	56	77	88	167	108	82	130	112
3:Ins:R:2	18	5	8	13	19	22	2	11	15	22	21	9	8	12	8
3:Ins:R:3	1	3	4	1	2	1	0	1	1	0	1	4	3	4	7
3:Ins:R:4	8	1	11	17	6	8	5	8	6	5	26	13	6	8	15
3:Ins:R:5	124	60	228	162	174	173	15	80	152	68	188	59	185	89	188
4:Ins:R:0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0
4:Ins:R:1	69	10	24	82	81	97	26	23	72	27	102	143	41	88	104
4:Ins:R:2	1	2	0	5	0	2	0	0	3	0	2	1	1	0	2
4:Ins:R:3	7	2	10	23	8	4	5	8	4	4	30	12	5	2	11
4:Ins:R:4	17	8	26	35	21	24	12	25	7	25	64	10	11	9	29
4:Ins:R:5	101	37	121	137	237	56	43	57	166	184	281	340	183	201	172
5:Ins:R:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:1	27	28	79	46	12	8	38	19	41	16	84	26	9	22	140
5:Ins:R:2	2	2	2	3	10	3	4	1	13	2	9	1	3	5	15
5:Ins:R:3	6	5	8	16	13	7	1	5	16	5	16	8	5	11	18
5:Ins:R:4	2	6	3	3	2	2	5	5	7	4	3	8	7	1	11
5:Ins:R:5	10	3	9	6	6	30	4	14	8	9	21	17	6	9	13
2:Del:M:1	26	17	55	27	36	31	7	12	26	10	40	40	49	28	85
3:Del:M:1	0	3	4	2	0	0	1	1	7	0	6	2	3	1	5
3:Del:M:2	217	51	214	256	159	262	48	256	217	130	260	300	188	291	382
4:Del:M:1	14	3	9	5	12	16	3	7	11	1	19	8	8	9	15
4:Del:M:2	21	5	40	43	63	79	3	29	18	73	55	54	37	51	36
4:Del:M:3	37	5	48	51	131	83	7	36	62	57	48	80	29	39	60
5:Del:M:1	75	7	17	40	15	90	4	36	32	34	85	21	41	68	44
5:Del:M:2	8	2	8	7	6	7	1	2	8	5	10	1	9	9	5
5:Del:M:3	1	0	2	7	3	4	0	3	7	4	3	6	4	4	1
5:Del:M:4	60	6	32	62	15	51	7	16	10	57	40	39	65	33	58
5:Del:M:5	89	41	95	230	215	158	81	150	189	82	220	193	304	349	282
