MutationType	Ovary-AdenoCA::S.1	Ovary-AdenoCA::S.2	Ovary-AdenoCA::S.3	Ovary-AdenoCA::S.4	Ovary-AdenoCA::S.5	Ovary-AdenoCA::S.6	Ovary-AdenoCA::S.7	Ovary-AdenoCA::S.8	Ovary-AdenoCA::S.9	Ovary-AdenoCA::S.10	Ovary-AdenoCA::S.11	Ovary-AdenoCA::S.12	Ovary-AdenoCA::S.13	Ovary-AdenoCA::S.14	Ovary-AdenoCA::S.15	Ovary-AdenoCA::S.16	Ovary-AdenoCA::S.17	Ovary-AdenoCA::S.18	Ovary-AdenoCA::S.19	Ovary-AdenoCA::S.20	Ovary-AdenoCA::S.21	Ovary-AdenoCA::S.22	Ovary-AdenoCA::S.23	Ovary-AdenoCA::S.24	Ovary-AdenoCA::S.25	Ovary-AdenoCA::S.26	Ovary-AdenoCA::S.27	Ovary-AdenoCA::S.28	Ovary-AdenoCA::S.29	Ovary-AdenoCA::S.30	Ovary-AdenoCA::S.31	Ovary-AdenoCA::S.32	Ovary-AdenoCA::S.33	Ovary-AdenoCA::S.34	Ovary-AdenoCA::S.35	Ovary-AdenoCA::S.36	Ovary-AdenoCA::S.37	Ovary-AdenoCA::S.38	Ovary-AdenoCA::S.39	Ovary-AdenoCA::S.40	Ovary-AdenoCA::S.41	Ovary-AdenoCA::S.42	Ovary-AdenoCA::S.43	Ovary-AdenoCA::S.44	Ovary-AdenoCA::S.45	Ovary-AdenoCA::S.46	Ovary-AdenoCA::S.47	Ovary-AdenoCA::S.48	Ovary-AdenoCA::S.49	Ovary-AdenoCA::S.50	Ovary-AdenoCA::S.51	Ovary-AdenoCA::S.52	Ovary-AdenoCA::S.53	Ovary-AdenoCA::S.54	Ovary-AdenoCA::S.55	Ovary-AdenoCA::S.56	Ovary-AdenoCA::S.57	Ovary-AdenoCA::S.58	Ovary-AdenoCA::S.59	Ovary-AdenoCA::S.60	Ovary-AdenoCA::S.61	Ovary-AdenoCA::S.62	Ovary-AdenoCA::S.63	Ovary-AdenoCA::S.64	Ovary-AdenoCA::S.65	Ovary-AdenoCA::S.66	Ovary-AdenoCA::S.67	Ovary-AdenoCA::S.68	Ovary-AdenoCA::S.69	Ovary-AdenoCA::S.70	Ovary-AdenoCA::S.71	Ovary-AdenoCA::S.72	Ovary-AdenoCA::S.73	Ovary-AdenoCA::S.74	Ovary-AdenoCA::S.75	Ovary-AdenoCA::S.76	Ovary-AdenoCA::S.77	Ovary-AdenoCA::S.78	Ovary-AdenoCA::S.79	Ovary-AdenoCA::S.80	Ovary-AdenoCA::S.81	Ovary-AdenoCA::S.82	Ovary-AdenoCA::S.83	Ovary-AdenoCA::S.84	Ovary-AdenoCA::S.85	Ovary-AdenoCA::S.86	Ovary-AdenoCA::S.87	Ovary-AdenoCA::S.88	Ovary-AdenoCA::S.89	Ovary-AdenoCA::S.90	Ovary-AdenoCA::S.91	Ovary-AdenoCA::S.92	Ovary-AdenoCA::S.93	Ovary-AdenoCA::S.94	Ovary-AdenoCA::S.95	Ovary-AdenoCA::S.96	Ovary-AdenoCA::S.97	Ovary-AdenoCA::S.98	Ovary-AdenoCA::S.99
1:Ins:C:4	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	1
1:Ins:C:5	0	1	3	0	3	0	1	4	0	3	8	2	5	5	3	4	1	2	1	2	7	6	2	3	2	0	1	1	4	1	2	0	1	5	0	0	1	2	3	4	1	1	0	0	0	0	1	2	0	1	1	0	4	3	2	1	1	5	1	0	3	0	11	3	1	1	0	1	1	1	0	2	1	0	0	0	7	2	0	3	0	0	1	2	0	2	1	0	5	7	1	2	4	1	1	1	1	2	0
1:Ins:T:0	1	16	7	1	1	11	4	0	4	2	4	2	6	2	4	0	3	13	3	4	2	3	6	3	3	1	0	3	0	2	7	0	0	1	3	3	2	1	3	6	1	4	5	17	2	3	0	0	1	3	3	4	13	2	0	2	2	1	1	2	1	8	2	1	2	1	4	1	0	0	1	2	3	5	13	0	2	7	3	3	2	5	3	4	2	2	4	1	0	2	0	0	2	11	11	1	13	8	5
1:Ins:T:1	3	4	2	5	0	3	3	0	4	0	3	0	1	4	0	0	2	1	1	2	4	1	2	3	0	2	1	5	0	7	5	0	3	0	1	2	0	0	1	3	0	0	3	5	2	1	1	2	2	0	3	3	3	1	0	4	1	2	0	1	0	4	2	0	4	2	1	2	0	3	4	1	3	4	10	2	5	6	4	10	0	2	2	2	3	1	1	0	0	0	0	0	1	5	1	0	11	4	3
1:Ins:T:2	1	7	5	4	1	0	1	0	1	0	2	0	0	3	4	0	0	0	1	0	2	0	2	2	0	0	1	1	0	6	1	0	0	1	0	0	3	0	0	1	2	3	1	1	0	0	1	4	0	0	0	3	4	2	0	0	0	3	0	0	4	1	4	0	2	0	1	5	0	0	0	0	1	1	9	1	1	0	1	7	0	1	1	0	3	1	4	7	0	0	0	0	0	1	2	1	1	6	0
1:Ins:T:3	1	3	1	2	1	0	2	0	1	0	1	0	0	0	2	1	0	2	1	0	5	1	0	2	0	0	2	0	1	2	2	1	1	0	1	0	1	2	2	1	0	3	4	1	0	0	0	2	0	1	1	4	1	2	0	0	1	1	0	0	1	2	0	1	0	0	1	1	0	1	2	1	1	6	1	1	1	3	0	5	0	2	2	0	2	1	2	0	0	2	0	0	3	1	2	1	0	5	0
1:Ins:T:4	1	3	10	3	1	0	0	2	2	2	2	1	0	1	4	0	4	2	1	0	2	8	1	8	1	0	2	2	7	3	2	1	1	0	0	4	0	0	5	3	1	7	1	4	0	0	1	2	0	0	1	4	5	0	0	0	2	2	2	1	2	2	2	1	3	0	1	3	0	2	2	5	1	2	1	0	6	2	0	3	2	2	0	1	2	1	1	2	0	7	1	2	2	0	2	0	4	6	5
1:Ins:T:5	97	36	165	2	107	12	5	56	66	104	135	29	86	73	24	69	110	77	27	100	51	90	37	199	30	4	47	32	90	35	17	137	49	38	48	58	44	25	29	29	25	79	3	123	9	0	27	37	6	85	4	7	101	37	7	31	42	99	14	75	52	11	35	77	37	5	17	34	54	37	14	67	69	9	43	6	120	103	10	30	23	2	36	76	50	75	7	29	175	214	22	27	108	13	109	16	64	70	75
2:Del:R:0	1	6	24	8	3	8	7	1	3	0	3	0	8	6	7	0	1	7	3	1	15	9	7	14	0	11	0	7	2	5	2	0	6	4	9	4	6	1	8	13	1	5	6	7	5	2	13	1	4	3	4	2	7	4	10	5	0	10	2	0	6	6	14	4	7	8	0	0	7	2	23	0	5	2	10	2	4	14	8	10	1	14	10	8	7	2	5	2	0	0	2	3	5	6	5	1	15	4	6
2:Del:R:1	1	8	32	2	1	3	27	3	2	4	9	2	49	3	4	0	0	8	2	3	10	12	7	7	0	17	2	12	52	2	2	1	8	1	24	4	23	0	6	16	1	3	5	6	2	0	30	3	3	3	0	0	10	6	8	5	4	6	0	1	4	6	29	9	2	6	3	12	25	3	71	2	8	12	16	2	33	21	4	18	1	29	21	32	2	4	2	3	0	1	11	3	1	24	3	2	8	3	2
2:Del:R:2	1	7	7	0	0	0	2	0	0	0	8	0	8	2	2	0	1	0	0	2	1	3	0	1	1	4	1	7	3	2	0	1	1	0	2	0	3	1	2	6	0	0	1	6	1	0	10	1	1	2	0	1	2	0	6	1	1	4	0	0	0	0	11	0	3	2	0	7	4	0	10	0	0	3	2	1	0	5	1	2	0	4	1	11	3	0	1	1	1	0	4	0	1	9	1	0	1	2	3
2:Del:R:3	1	0	1	0	1	0	4	0	0	0	3	0	2	0	1	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0
2:Del:R:4	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	3	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
2:Del:R:5	2	0	4	3	0	0	2	0	0	0	0	0	0	2	4	0	0	1	0	0	3	0	0	3	0	0	0	6	0	2	0	0	1	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	3	0	0	3	1	2	0	0	0	0	1	0	0	4	0	0	6	2	0	1	0	0	3	0	2	0	1	0	0	2	1	0	1	0	0	0	2	0	0	3	1	0
3:Del:R:0	3	9	2	1	0	2	3	1	4	0	3	0	3	2	3	2	2	8	3	0	5	3	8	6	0	1	0	3	2	3	3	1	11	5	1	2	3	1	4	0	3	6	2	5	0	0	2	2	2	0	0	0	6	3	1	5	9	1	1	1	6	0	5	1	4	1	2	2	1	0	5	1	3	7	2	8	1	10	3	5	0	3	4	5	1	3	3	0	0	3	0	2	3	3	2	0	19	1	0
3:Del:R:1	2	9	20	4	2	5	8	1	3	3	13	1	15	2	5	2	3	4	2	3	2	8	7	2	0	18	1	2	8	6	3	2	0	0	9	1	4	1	3	3	2	4	3	17	3	2	11	1	1	1	1	2	4	1	4	6	2	8	0	1	1	5	7	4	8	7	1	11	3	0	27	2	0	3	8	1	17	12	3	0	1	8	13	28	1	3	2	0	0	0	20	0	1	2	8	3	4	17	3
3:Del:R:2	2	1	7	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	1	2	1	1	1	1	0	2	1	0	0	0	0	0	3	0	3	0	1	3	0	2	0	1	0	0	2	0	0	2	0	0	0	1	0	2	1	0	0	0	0	2	8	3	2	1	0	2	5	0	1	0	0	0	3	0	0	6	0	0	0	0	2	4	1	1	0	0	1	0	2	2	1	3	0	1	2	2	0
3:Del:R:3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0
3:Del:R:4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:5	0	1	0	1	0	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:0	2	5	0	1	1	1	5	0	4	1	2	0	1	4	5	0	0	2	3	2	0	0	2	3	0	0	0	3	1	2	4	0	5	1	4	5	4	2	2	3	1	1	3	4	1	0	1	1	3	2	0	0	8	1	0	2	4	5	0	2	1	2	5	1	1	0	0	2	2	1	8	1	3	2	4	2	2	1	2	1	0	3	0	1	1	2	2	0	1	1	1	1	1	1	1	1	5	3	0
4:Del:R:1	2	4	7	1	5	0	5	2	2	1	2	0	7	1	0	0	1	4	1	1	1	4	7	1	1	7	0	3	4	3	0	1	2	1	6	2	7	1	1	7	1	1	2	4	2	0	11	2	0	1	0	2	5	5	10	4	1	9	0	0	1	2	5	6	2	3	3	2	1	1	13	3	0	0	9	2	7	5	0	1	1	4	8	19	5	2	1	1	0	0	1	0	1	9	2	1	3	1	0
4:Del:R:2	0	1	2	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	5	2	0	2	0	0	1	1	0	0	3	2	0	0	3	0	1	0	0	1	0	0	2	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0
4:Del:R:3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1
4:Del:R:5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	64	142	24	21	32	100	20	4	71	11	9	12	5	75	57	6	16	90	59	2	19	0	65	50	0	0	5	9	5	76	138	10	86	89	21	18	3	6	44	10	26	6	32	87	30	0	7	25	40	30	30	13	53	21	2	11	83	35	22	43	64	84	66	8	31	34	13	8	16	3	55	12	80	42	20	136	65	80	55	113	8	20	51	21	21	56	32	4	1	79	2	78	9	57	8	14	174	43	63
5:Del:R:1	0	16	3	1	3	1	3	0	3	4	5	0	4	0	4	0	0	1	1	3	1	0	1	2	2	1	0	1	2	0	0	2	1	0	0	1	0	2	6	7	0	2	5	10	8	0	1	0	2	2	3	0	11	1	2	1	1	7	0	0	0	13	1	4	8	0	1	2	0	0	8	5	0	4	4	0	1	6	1	0	0	2	4	3	3	1	4	0	2	1	2	1	0	12	4	0	0	7	1
5:Del:R:2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	0	4	0	3	2	2	4	0	1	0	1	0	1	1	2	0	0	0	1	2	3	0	0	1	0	0	1	0	0	1	0	0	0	0	3	0	3	1	1	4	0	3	0	4	3	0	1	1	0	1	1	0	5	1	1	0	2	1	0	0	1	0	1	0	2	0	0	1	1	0	3	0	1	1	3	0	2	2	2	0	0	3	0	0	5	2	1	1	0	0	0	1	0	1	2	1	3	3	6
2:Ins:R:1	3	2	4	1	0	1	0	0	0	0	2	0	1	1	0	1	0	2	0	0	1	0	0	2	0	0	1	2	2	2	1	0	0	0	1	0	1	1	2	0	0	5	0	1	1	0	0	0	0	0	0	2	1	1	0	0	1	1	0	2	3	0	4	0	0	1	0	7	0	0	0	1	2	2	2	2	0	2	4	3	0	3	0	1	2	0	5	2	0	0	0	0	0	1	0	1	2	0	2
2:Ins:R:2	0	4	2	3	0	0	3	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	4	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	2	0	4	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	4	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0
2:Ins:R:3	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
