,SBS1,SBS5,SBS10a,SBS10b,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40
ColoRect-AdenoCA::S.16,2321.0,4167.0,0.0,238.0,0.0,0.0,1494.0,0.0,0.0,926.0
ColoRect-AdenoCA::S.17,3422.0,0.0,0.0,0.0,0.0,0.0,4453.0,0.0,0.0,8594.0
ColoRect-AdenoCA::S.18,2310.0,5120.0,0.0,0.0,0.0,0.0,1964.0,131.0,0.0,6161.0
ColoRect-AdenoCA::S.19,2927.0,1695.0,1231.0,0.0,0.0,0.0,5769.0,0.0,0.0,4235.0
ColoRect-AdenoCA::S.20,1598.0,0.0,0.0,0.0,0.0,0.0,3203.0,0.0,0.0,10987.0
ColoRect-AdenoCA::S.21,2921.0,0.0,0.0,474.0,0.0,0.0,3469.0,535.0,0.0,7584.0
ColoRect-AdenoCA::S.22,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.23,2342.0,5479.0,0.0,423.0,0.0,0.0,4862.0,0.0,610.0,0.0
ColoRect-AdenoCA::S.24,3127.0,3957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.25,4215.0,0.0,0.0,0.0,0.0,0.0,1685.0,0.0,597.0,6531.0
ColoRect-AdenoCA::S.26,3427.0,0.0,428.0,0.0,0.0,152.0,2557.0,0.0,0.0,9471.0
ColoRect-AdenoCA::S.27,3492.0,0.0,0.0,0.0,0.0,5399.0,4147.0,0.0,0.0,2153.0
ColoRect-AdenoCA::S.28,2797.0,0.0,0.0,0.0,0.0,0.0,3127.0,188.0,0.0,10630.0
ColoRect-AdenoCA::S.29,1747.0,5093.0,282.0,0.0,0.0,0.0,2513.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.30,3646.0,3583.0,0.0,0.0,1868.0,0.0,6184.0,0.0,0.0,6915.0
ColoRect-AdenoCA::S.31,2406.0,4487.0,0.0,0.0,0.0,0.0,3227.0,0.0,0.0,5763.0
ColoRect-AdenoCA::S.32,3130.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0
ColoRect-AdenoCA::S.33,1294.0,0.0,0.0,0.0,0.0,0.0,2348.0,0.0,0.0,10775.0
ColoRect-AdenoCA::S.34,2716.0,1189.0,176.0,0.0,0.0,0.0,1516.0,0.0,1496.0,6562.0
ColoRect-AdenoCA::S.35,4225.0,2560.0,0.0,0.0,0.0,0.0,3746.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.36,3809.0,0.0,1218.0,0.0,1764.0,0.0,7895.0,539.0,0.0,2143.0
ColoRect-AdenoCA::S.37,3214.0,5608.0,0.0,853.0,0.0,0.0,1918.0,0.0,0.0,7746.0
ColoRect-AdenoCA::S.38,2753.0,0.0,257.0,0.0,0.0,1546.0,1233.0,0.0,0.0,4886.0
ColoRect-AdenoCA::S.39,3991.0,0.0,878.0,0.0,0.0,0.0,8003.0,431.0,0.0,7940.0
ColoRect-AdenoCA::S.40,2580.0,1696.0,268.0,0.0,0.0,0.0,2961.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.41,2588.0,0.0,0.0,0.0,0.0,0.0,506.0,639.0,0.0,13826.0
ColoRect-AdenoCA::S.42,1210.0,1939.0,279.0,0.0,780.0,0.0,2516.0,0.0,0.0,8378.0
ColoRect-AdenoCA::S.43,2363.0,3303.0,0.0,0.0,1380.0,0.0,3548.0,377.0,0.0,7164.0
ColoRect-AdenoCA::S.44,1765.0,3495.0,0.0,0.0,0.0,0.0,3880.0,0.0,0.0,12331.0
ColoRect-AdenoCA::S.45,1770.0,4475.0,160.0,0.0,0.0,0.0,2080.0,812.0,0.0,8026.0
ColoRect-AdenoCA::S.46,1629.0,3228.0,0.0,456.0,0.0,0.0,2800.0,0.0,0.0,1629.0
ColoRect-AdenoCA::S.47,2097.0,1497.0,0.0,0.0,1533.0,0.0,1501.0,0.0,0.0,7717.0
ColoRect-AdenoCA::S.48,3507.0,3212.0,0.0,602.0,0.0,0.0,0.0,0.0,0.0,18434.0
ColoRect-AdenoCA::S.49,2875.0,0.0,0.0,0.0,0.0,0.0,4572.0,0.0,0.0,10072.0
ColoRect-AdenoCA::S.50,2284.0,3694.0,0.0,649.0,128.0,3535.0,0.0,0.0,0.0,3489.0
ColoRect-AdenoCA::S.51,2199.0,4127.0,0.0,0.0,0.0,0.0,3461.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.52,3165.0,0.0,0.0,0.0,0.0,0.0,3038.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.53,2655.0,0.0,0.0,292.0,0.0,0.0,1378.0,0.0,0.0,13987.0
ColoRect-AdenoCA::S.54,2142.0,0.0,415.0,0.0,0.0,0.0,7324.0,584.0,0.0,5288.0
ColoRect-AdenoCA::S.55,3014.0,4519.0,0.0,0.0,0.0,4488.0,0.0,419.0,0.0,0.0
ColoRect-AdenoCA::S.56,4589.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,5555.0
ColoRect-AdenoCA::S.57,1539.0,2218.0,0.0,0.0,0.0,0.0,2971.0,0.0,0.0,5666.0
ColoRect-AdenoCA::S.58,2519.0,0.0,0.0,240.0,0.0,0.0,4338.0,0.0,0.0,1894.0
ColoRect-AdenoCA::S.59,2852.0,1168.0,0.0,0.0,0.0,0.0,5216.0,0.0,0.0,7160.0
ColoRect-AdenoCA::S.60,2960.0,792.0,0.0,0.0,0.0,0.0,1473.0,0.0,0.0,8585.0
ColoRect-AdenoCA::S.61,1963.0,0.0,0.0,0.0,0.0,0.0,2712.0,0.0,2100.0,7015.0
ColoRect-AdenoCA::S.62,3479.0,0.0,0.0,392.0,0.0,0.0,2680.0,0.0,0.0,16296.0
ColoRect-AdenoCA::S.63,3296.0,3096.0,453.0,0.0,0.0,0.0,5465.0,0.0,915.0,6548.0
ColoRect-AdenoCA::S.64,1496.0,2456.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,13535.0
ColoRect-AdenoCA::S.65,2919.0,4681.0,0.0,0.0,0.0,0.0,4326.0,0.0,0.0,3993.0
ColoRect-AdenoCA::S.66,1699.0,3951.0,0.0,149.0,104.0,0.0,0.0,0.0,1836.0,2886.0
ColoRect-AdenoCA::S.67,1800.0,0.0,0.0,158.0,0.0,0.0,777.0,0.0,0.0,8172.0
ColoRect-AdenoCA::S.68,2234.0,2230.0,0.0,157.0,0.0,0.0,3275.0,0.0,0.0,6156.0
ColoRect-AdenoCA::S.69,2801.0,2608.0,0.0,0.0,0.0,0.0,3542.0,903.0,0.0,7239.0
ColoRect-AdenoCA::S.70,3395.0,3953.0,0.0,0.0,0.0,0.0,4728.0,171.0,0.0,9598.0
ColoRect-AdenoCA::POLE.S.1,22332.0,276593.0,274432.0,75871.0,0.0,28656.0,0.0,170110.0,30635.0,0.0
ColoRect-AdenoCA::POLE.S.2,6685.0,83313.0,67899.0,307879.0,0.0,0.0,0.0,160317.0,28132.0,43018.0
ColoRect-AdenoCA::POLE.S.3,78394.0,0.0,277439.0,88070.0,0.0,0.0,15116.0,76047.0,0.0,72590.0
ColoRect-AdenoCA::POLE.S.4,0.0,272601.0,793807.0,190496.0,0.0,26528.0,0.0,109617.0,0.0,108990.0
ColoRect-AdenoCA::POLE.S.5,9500.0,162272.0,346452.0,242215.0,0.0,31217.0,0.0,569493.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.6,13185.0,0.0,299194.0,379911.0,0.0,4613.0,43454.0,63464.0,33341.0,64344.0
ColoRect-AdenoCA::POLE.S.7,0.0,425080.0,922639.0,90453.0,0.0,0.0,0.0,202036.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.8,29127.0,0.0,664854.0,150306.0,0.0,0.0,0.0,414095.0,0.0,128630.0
ColoRect-AdenoCA::POLE.S.9,15056.0,440231.0,447562.0,151021.0,0.0,0.0,22035.0,40204.0,0.0,52879.0
ColoRect-AdenoCA::POLE.S.10,0.0,222038.0,694069.0,43936.0,0.0,0.0,22525.0,64155.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.11,30129.0,103572.0,114263.0,45114.0,0.0,0.0,0.0,18588.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.12,23677.0,68181.0,444829.0,320136.0,0.0,0.0,54859.0,144459.0,0.0,276723.0
ColoRect-AdenoCA::POLE.S.13,12536.0,107841.0,167083.0,149005.0,0.0,0.0,0.0,102924.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.14,79553.0,214398.0,555003.0,78158.0,0.0,0.0,0.0,174506.0,27430.0,0.0
