MutationType	Skin-Melanoma::S.1	Skin-Melanoma::S.2	Skin-Melanoma::S.3	Skin-Melanoma::S.4	Skin-Melanoma::S.5	Skin-Melanoma::S.6	Skin-Melanoma::S.7	Skin-Melanoma::S.8	Skin-Melanoma::S.9	Skin-Melanoma::S.10	Skin-Melanoma::S.11	Skin-Melanoma::S.12	Skin-Melanoma::S.13	Skin-Melanoma::S.14	Skin-Melanoma::S.15	Skin-Melanoma::S.16	Skin-Melanoma::S.17	Skin-Melanoma::S.18	Skin-Melanoma::S.19	Skin-Melanoma::S.20	Skin-Melanoma::S.21	Skin-Melanoma::S.22	Skin-Melanoma::S.23	Skin-Melanoma::S.24	Skin-Melanoma::S.25	Skin-Melanoma::S.26	Skin-Melanoma::S.27	Skin-Melanoma::S.28	Skin-Melanoma::S.29	Skin-Melanoma::S.30	Skin-Melanoma::S.31	Skin-Melanoma::S.32	Skin-Melanoma::S.33	Skin-Melanoma::S.34	Skin-Melanoma::S.35	Skin-Melanoma::S.36	Skin-Melanoma::S.37	Skin-Melanoma::S.38	Skin-Melanoma::S.39	Skin-Melanoma::S.40	Skin-Melanoma::S.41	Skin-Melanoma::S.42	Skin-Melanoma::S.43	Skin-Melanoma::S.44	Skin-Melanoma::S.45	Skin-Melanoma::S.46	Skin-Melanoma::S.47	Skin-Melanoma::S.48	Skin-Melanoma::S.49	Skin-Melanoma::S.50	Skin-Melanoma::S.51	Skin-Melanoma::S.52	Skin-Melanoma::S.53	Skin-Melanoma::S.54	Skin-Melanoma::S.55	Skin-Melanoma::S.56	Skin-Melanoma::S.57	Skin-Melanoma::S.58	Skin-Melanoma::S.59	Skin-Melanoma::S.60	Skin-Melanoma::S.61	Skin-Melanoma::S.62	Skin-Melanoma::S.63	Skin-Melanoma::S.64	Skin-Melanoma::S.65	Skin-Melanoma::S.66	Skin-Melanoma::S.67	Skin-Melanoma::S.68	Skin-Melanoma::S.69	Skin-Melanoma::S.70	Skin-Melanoma::S.71	Skin-Melanoma::S.72	Skin-Melanoma::S.73	Skin-Melanoma::S.74	Skin-Melanoma::S.75	Skin-Melanoma::S.76	Skin-Melanoma::S.77	Skin-Melanoma::S.78	Skin-Melanoma::S.79	Skin-Melanoma::S.80	Skin-Melanoma::S.81	Skin-Melanoma::S.82	Skin-Melanoma::S.83	Skin-Melanoma::S.84	Skin-Melanoma::S.85	Skin-Melanoma::S.86	Skin-Melanoma::S.87	Skin-Melanoma::S.88	Skin-Melanoma::S.89	Skin-Melanoma::S.90	Skin-Melanoma::S.91	Skin-Melanoma::S.92	Skin-Melanoma::S.93	Skin-Melanoma::S.94	Skin-Melanoma::S.95	Skin-Melanoma::S.96	Skin-Melanoma::S.97	Skin-Melanoma::S.98	Skin-Melanoma::S.99
1:Del:T:4	30	21	18	19	5	17	15	32	19	16	10	43	29	13	15	27	17	42	19	62	3	11	26	10	42	15	19	13	5	8	13	1	12	44	15	18	33	33	7	28	16	17	10	47	38	8	56	13	8	13	34	18	5	105	45	10	34	13	15	17	18	37	15	39	5	17	12	29	27	40	16	8	38	9	0	9	12	0	38	7	10	18	8	30	20	10	13	20	13	14	32	5	31	28	9	43	9	4	30
1:Del:T:5	55	52	19	14	4	12	125	9	40	74	70	113	34	16	11	41	11	15	108	79	26	48	31	6	26	45	23	34	8	3	81	6	33	31	49	12	16	9	8	149	51	22	48	32	19	27	26	58	29	31	15	135	4	38	6	11	25	57	5	9	12	77	17	13	25	6	6	67	17	38	18	9	140	10	0	47	7	1	5	1	29	38	12	21	5	31	47	10	124	4	17	51	72	35	24	19	47	3	84
1:Ins:C:0	2	3	3	1	1	1	0	1	0	2	0	0	0	0	3	1	3	1	0	2	0	0	0	0	0	3	0	1	0	1	3	0	1	3	0	1	3	0	1	0	1	1	0	2	0	1	2	2	4	2	1	1	0	4	2	0	0	1	1	1	0	5	0	1	0	0	2	0	0	3	2	0	1	3	0	1	0	0	1	0	0	4	2	3	1	1	0	6	0	1	1	0	5	0	1	3	2	1	0
1:Ins:C:1	4	2	2	2	0	2	0	1	0	3	1	3	1	0	4	0	1	1	2	5	4	0	3	1	1	4	2	1	0	0	1	1	2	0	0	0	2	1	0	1	0	1	0	1	0	1	2	0	0	3	2	4	0	0	3	0	1	1	0	0	0	2	0	2	0	0	2	0	1	7	1	0	3	2	0	2	2	0	2	0	0	5	1	4	0	2	0	1	0	3	0	3	1	2	2	0	2	1	2
1:Ins:C:2	0	3	2	5	1	2	1	0	1	2	2	2	0	0	0	2	1	1	2	3	0	2	0	0	1	3	0	0	0	0	2	0	0	1	2	1	1	1	2	0	2	1	1	5	2	1	4	1	1	2	2	3	1	1	1	0	2	0	0	2	1	2	2	2	1	1	1	0	0	2	0	1	0	2	0	2	1	0	0	1	1	1	0	4	2	0	1	0	1	3	1	0	1	1	1	2	0	0	2
1:Ins:C:3	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	2	0	0	0	1	1	2	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	5	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	2	1	1	0	2	0	1	0	0	0	0
1:Ins:C:4	2	0	0	0	1	0	1	0	0	1	0	0	0	0	2	2	1	3	1	0	0	0	0	1	0	2	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	3	1	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	2	0	0	1	1	1	0	0	2	0	0
1:Ins:C:5	7	5	1	0	15	0	0	1	4	2	1	2	0	11	1	1	2	5	6	2	0	4	1	1	3	7	1	4	2	4	5	1	0	3	1	4	0	0	3	2	1	1	0	3	2	8	2	2	0	5	13	6	3	2	3	3	1	4	3	0	10	14	7	2	2	6	5	0	1	6	3	3	1	1	0	4	1	1	0	5	3	4	0	3	1	2	1	3	4	1	0	6	6	1	2	3	4	0	1
1:Ins:T:0	11	29	64	28	17	15	5	10	6	18	9	7	2	13	45	12	14	7	1	25	7	8	21	32	11	11	15	1	1	27	30	2	7	28	2	6	7	4	1	8	11	5	6	22	15	5	20	19	2	5	23	4	5	26	33	1	3	21	6	5	1	15	1	47	1	14	26	2	1	24	3	0	30	39	1	34	8	3	10	10	0	12	5	26	2	9	10	18	18	10	15	4	22	7	5	20	15	1	0
1:Ins:T:1	4	18	16	10	5	5	5	3	1	6	10	12	5	0	3	6	3	2	3	6	1	5	6	3	30	5	5	5	0	1	0	2	3	15	3	11	3	5	1	5	16	4	9	11	12	3	8	0	1	7	5	3	3	20	3	1	9	10	3	3	8	10	6	11	1	1	5	5	4	12	12	6	4	8	1	1	4	0	10	5	0	6	4	13	8	3	3	5	6	4	1	1	12	4	7	4	3	1	14
1:Ins:T:2	11	15	8	20	4	1	5	9	14	17	14	16	6	0	9	21	7	7	10	18	2	10	7	5	36	13	8	0	0	0	15	15	6	22	2	4	4	12	8	9	34	3	4	18	34	4	2	0	3	10	10	2	10	9	5	18	14	4	5	4	12	14	4	3	0	3	1	17	11	11	4	8	6	4	0	5	7	2	20	8	3	5	2	6	20	2	6	6	16	13	5	1	25	4	2	12	1	1	19
1:Ins:T:3	2	8	19	7	5	3	7	1	8	14	6	8	6	0	10	8	15	13	7	14	3	9	9	8	25	13	7	1	0	8	8	1	2	17	1	10	7	5	3	6	15	3	7	13	15	14	30	3	3	7	3	1	3	40	10	9	23	4	2	9	8	4	7	15	3	4	9	6	7	24	5	5	4	13	0	4	11	1	13	7	5	6	3	11	7	0	2	10	5	10	3	5	21	8	3	5	4	2	12
1:Ins:T:4	10	18	5	7	6	6	5	5	4	8	5	22	3	11	17	13	19	19	6	26	3	14	5	6	14	15	9	7	1	9	16	5	5	4	0	19	14	7	1	9	13	4	9	10	8	10	14	5	3	5	4	6	4	26	14	11	19	14	3	10	7	10	2	21	2	8	6	2	10	10	4	4	16	16	1	3	9	2	10	14	6	2	4	11	4	7	5	6	7	6	1	5	15	4	3	10	16	4	4
1:Ins:T:5	100	207	46	34	94	26	34	45	102	33	134	54	37	486	27	244	58	76	51	92	32	353	26	33	233	37	84	173	44	97	183	25	13	58	1	179	44	54	23	129	57	42	58	83	48	155	171	23	9	94	302	96	173	51	131	53	12	101	203	50	485	188	112	76	49	132	109	18	2	115	111	76	4	172	85	93	90	60	79	123	16	101	36	59	57	127	131	111	19	166	31	163	119	67	24	85	157	252	10
2:Del:R:0	86	20	36	20	16	8	2	13	24	6	9	31	9	3	38	45	286	20	13	53	4	7	13	18	71	45	17	12	0	17	43	4	2	31	3	10	14	9	11	13	26	9	7	20	35	15	28	6	8	20	15	8	7	35	46	11	15	4	4	22	3	141	8	20	3	5	19	10	3	36	15	12	13	6	0	15	22	1	39	9	30	25	4	43	11	8	14	13	37	9	8	8	42	13	17	35	19	1	4
2:Del:R:1	108	13	17	1	13	7	6	19	13	18	2	25	10	3	17	31	589	19	8	31	8	9	5	8	34	15	4	12	0	1	14	7	5	9	2	16	10	14	7	4	26	2	14	23	24	7	11	0	2	10	2	7	2	29	4	8	10	3	2	11	17	286	8	11	5	0	5	22	9	7	2	3	2	6	0	3	21	3	7	8	43	3	4	10	4	6	9	9	132	6	5	14	23	9	7	7	3	2	11
2:Del:R:2	11	2	4	7	8	1	1	2	1	1	1	4	1	2	1	14	85	4	0	3	0	3	6	1	3	2	1	1	0	0	2	2	2	0	1	4	6	1	2	6	3	2	2	2	3	3	0	1	0	1	3	3	0	14	4	0	1	4	0	1	1	130	1	4	1	2	0	4	2	2	1	0	4	1	0	0	5	0	1	1	25	0	0	5	1	1	0	0	35	0	1	1	10	4	1	5	2	0	3
2:Del:R:3	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	39	0	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	18	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
2:Del:R:4	3	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	9	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	4	0	0	1	0	1	1	0	1	0	0
2:Del:R:5	13	3	8	5	0	1	5	9	10	4	8	20	9	0	1	10	8	5	7	25	1	2	3	3	28	5	0	4	0	0	6	0	2	27	3	5	6	7	4	4	24	2	12	10	22	5	10	0	2	2	2	6	4	12	6	11	19	2	2	2	4	9	5	3	3	1	0	10	3	5	8	15	2	0	0	0	6	0	4	10	7	0	1	3	10	1	4	4	5	6	2	4	3	11	0	5	0	2	4
3:Del:R:0	8	16	10	4	3	4	3	14	4	7	3	15	3	0	3	16	26	5	2	13	6	3	3	2	30	16	6	4	1	2	2	4	6	9	4	7	5	7	2	5	12	4	2	16	9	3	7	1	4	11	7	6	4	25	7	5	11	3	1	9	3	21	9	13	1	3	2	9	16	7	5	3	1	1	4	8	12	0	24	5	7	4	1	6	5	3	4	5	22	5	6	4	4	5	8	13	6	5	4
3:Del:R:1	47	2	6	1	8	0	0	3	1	1	3	4	1	3	4	15	476	3	2	7	2	2	1	2	6	3	1	3	1	0	6	1	2	6	1	1	2	3	2	0	2	1	1	5	4	6	1	0	1	0	2	3	2	10	1	3	4	6	3	7	5	312	4	5	0	2	0	4	2	1	2	2	2	4	1	1	2	0	3	3	10	2	3	0	3	2	2	1	102	1	3	3	6	0	1	4	1	2	1
3:Del:R:2	12	0	1	1	6	0	0	0	0	3	0	0	0	0	0	3	21	3	0	2	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	1	0	2	2	0	0	0	0	1	1	0	0	0	1	0	0	0	44	0	1	1	0	0	2	0	1	0	0	2	0	0	0	3	0	0	0	3	0	1	1	0	2	1	0	8	3	1	0	0	0	0	0	2	0	0
3:Del:R:3	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	20	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	1	7	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1
3:Del:R:4	1	2	5	3	0	0	1	4	4	0	0	2	1	0	1	3	4	1	0	3	0	0	0	1	6	5	2	1	0	0	1	4	0	5	0	2	0	0	1	0	6	1	0	1	6	0	4	0	1	0	1	3	1	1	0	1	0	0	0	0	3	5	1	0	0	0	0	0	6	6	3	2	2	0	0	1	2	0	3	2	4	0	1	7	4	1	2	1	2	1	1	0	0	3	0	4	0	0	9
3:Del:R:5	2	0	4	4	0	0	1	1	2	2	2	4	1	0	3	6	0	0	13	6	0	1	0	0	27	3	3	0	0	0	0	0	0	4	0	1	4	1	3	3	7	3	0	3	5	0	5	0	3	0	1	0	3	15	0	3	8	1	1	4	5	7	6	0	2	0	0	7	2	3	4	0	3	0	0	0	1	0	0	4	1	0	3	4	0	0	4	1	3	1	2	1	4	2	1	5	0	0	6
4:Del:R:0	11	5	6	1	4	2	3	4	2	9	6	6	0	1	4	10	17	3	4	20	3	0	2	4	19	6	1	4	1	0	5	6	6	10	0	3	7	3	5	2	13	3	0	2	6	3	9	1	1	3	8	3	3	15	6	5	2	3	7	3	5	10	4	11	3	3	1	1	6	4	6	1	3	0	3	4	4	0	7	1	6	1	6	11	3	2	1	6	8	6	2	0	14	1	7	5	0	4	7
4:Del:R:1	38	2	0	1	9	1	1	5	1	1	2	4	0	1	0	20	61	1	2	12	1	0	0	1	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	1	1	1	1	2	10	0	0	3	1	1	1	0	257	1	1	1	1	0	2	4	2	1	1	2	0	0	0	8	2	0	0	32	2	0	3	0	1	0	0	14	1	0	0	2	5	0	1	1	0	0
4:Del:R:2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	56	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	1	5	0	0	0	1	0	0	0	1	0	0
4:Del:R:3	3	1	1	1	0	3	0	1	3	0	1	2	1	0	1	2	19	0	1	0	0	0	2	1	6	6	0	0	0	0	0	1	0	1	0	2	1	1	2	3	8	0	3	2	2	3	7	0	2	0	3	0	1	4	2	1	7	1	0	0	0	6	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	6	0	0	0	2	1	0	0	0	0	4
4:Del:R:4	0	0	5	2	0	4	1	3	2	1	0	2	0	0	1	0	6	5	2	2	0	1	1	0	3	10	3	0	0	0	1	2	0	4	0	2	1	2	0	0	10	0	3	0	1	1	4	0	0	1	0	0	0	3	0	0	2	0	1	1	1	2	0	1	0	0	0	4	2	1	4	1	0	0	1	2	1	0	2	1	3	1	0	1	3	1	2	1	1	1	1	0	4	1	0	0	0	0	3
4:Del:R:5	0	0	0	0	0	1	2	3	0	0	1	1	0	0	0	2	1	0	0	2	0	0	1	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	3	1	1	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0
5:Del:R:0	16	30	73	31	50	77	63	116	11	61	49	70	3	7	55	16	103	64	19	66	102	19	17	42	16	118	25	73	13	10	15	0	30	61	1	4	49	41	39	4	46	40	12	59	39	22	31	9	4	46	37	16	11	100	105	24	5	60	38	33	14	81	41	55	3	22	20	9	29	84	10	41	17	33	39	61	130	5	27	3	15	81	7	179	14	86	1	38	23	32	22	15	256	14	50	93	109	16	10
5:Del:R:1	12	0	3	0	2	1	0	3	0	1	0	0	0	0	3	4	25	2	0	2	0	1	1	0	1	4	2	0	0	2	0	0	0	2	0	0	3	0	0	1	0	1	0	2	1	1	0	0	1	3	2	1	1	6	3	0	0	2	0	0	0	22	0	2	0	0	4	0	0	2	1	3	3	1	0	0	3	1	1	1	11	1	1	3	0	0	1	0	25	0	2	0	1	1	0	0	1	0	0
5:Del:R:2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	2	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	5	0	0	0	1	0	1	0	0	0	0
5:Del:R:3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5:Del:R:4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
2:Ins:R:0	5	6	22	8	3	5	3	11	2	8	1	6	3	2	5	10	10	3	2	8	2	4	16	4	8	10	6	3	0	3	10	4	2	5	0	1	14	2	2	1	10	2	0	11	13	8	2	6	4	14	7	3	0	21	5	1	4	4	2	5	8	8	3	13	1	2	9	1	3	18	8	4	11	5	0	1	10	1	4	6	8	3	1	20	1	0	0	1	5	3	10	0	12	3	3	8	2	0	2
2:Ins:R:1	13	5	5	4	1	5	6	4	5	11	1	9	1	0	6	1	0	5	13	17	2	6	6	3	20	14	3	3	0	1	13	6	5	3	4	8	2	0	3	1	31	3	6	4	18	7	9	2	2	1	5	3	4	21	4	4	7	3	5	8	14	5	5	10	1	3	1	9	2	7	1	1	7	1	1	3	17	0	18	7	10	3	1	10	8	2	10	3	5	5	4	5	12	6	5	7	0	2	19
2:Ins:R:2	2	1	3	6	0	2	1	4	7	3	1	5	2	1	0	2	1	3	4	3	0	1	2	0	11	5	4	1	0	0	4	0	0	6	1	1	2	0	0	1	2	0	1	0	9	1	3	2	0	1	2	5	3	11	2	4	3	1	1	4	2	3	2	0	0	2	0	1	1	3	5	1	3	0	0	3	0	0	6	2	2	3	2	3	3	1	1	1	0	2	1	1	1	0	1	6	1	2	8
2:Ins:R:3	1	1	0	0	1	0	0	1	0	1	0	2	0	0	1	2	1	0	0	2	0	0	1	0	2	1	2	1	0	0	2	0	0	2	0	2	0	0	0	0	1	0	0	1	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	2	0	1	0	0	0	1	1	0	1	1	0	0	2	0	1	0	0	0	1	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1
2:Ins:R:4	0	2	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	1	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	1	0	0	2
2:Ins:R:5	2	3	4	1	2	2	2	1	5	2	5	3	2	3	1	2	1	3	1	8	3	4	1	0	2	0	3	2	1	2	3	2	4	3	3	3	3	4	3	3	1	1	2	2	5	0	5	3	3	3	7	0	5	0	4	2	4	4	5	3	5	18	2	3	1	6	3	3	1	6	3	0	2	4	1	0	0	1	5	3	5	5	1	3	7	2	3	4	3	3	1	2	4	4	5	9	0	3	4
