Mutation type,Kidney-RCC::MSI-H.S.1,Kidney-RCC::MSI-H.S.2,Kidney-RCC::MSI-H.S.3
TC>GT,-0.011293411983491266,-0.0163739918420088,-0.01330557913209647
TG>AA,-0.3901466644928333,-0.0819491501354523,-0.029606821102224845
TG>AC,-0.028997449553457438,-0.006388501404836101,-0.009783356428936109
TG>AT,-0.5654491461757123,-0.11691752857473636,-0.021270432320706904
TG>CA,0.9810199518321792,-0.0569399019558253,-0.07612055145099252
TG>CC,-0.00782763911107796,-0.0044486375596947845,-0.01684001172824658
TG>CT,-0.4046454551587801,-0.08182584318644469,-0.018346225766694903
TG>GA,-0.19375528432740988,-0.043802135474857194,-0.016218861089345005
TG>GC,-0.035851377799354336,-0.012649195576557228,-0.010395733406512429
TG>GT,-0.8435605515470448,1.8351125081242956,0.9858459837134408
TT>AA,-0.5680852420137258,-0.11991553547269077,-0.007716979388399091
TT>AC,-0.045473180319478196,-0.01092838051508398,-0.008929622074387468
TT>AG,-0.028338425593954056,-0.008367986229316405,-0.0024121075629786716
TT>CA,-5.495160790100184e-16,-0.005180056522992498,-0.0017599099887542333
TT>CC,-0.00039269973991603235,-0.0050120978032389876,-0.009504283108596197
TT>CG,-0.002003032230444192,-0.0004690358146747449,-3.462665642107835e-05
TT>GA,-0.0063121870946234735,-0.003324452300560016,-0.0006510078495130927
TT>GC,-0.00020293879176868789,-0.00016734621820265413,-4.7705017966219094e-05
TT>GG,-5.495160790100184e-16,-1.1120319985217033e-16,-2.1426310743066528e-17
