,SBS1,SBS2,SBS3,SBS5,SBS8,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS37,SBS40,SBS41
Breast-AdenoCA::S.43,0.0,0.0,3715.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.44,0.0,5395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.45,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.46,0.0,950.0,8647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.47,1350.0,0.0,6209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.48,0.0,0.0,0.0,0.0,0.0,0.0,2079.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.49,0.0,8428.0,0.0,0.0,0.0,0.0,4672.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.50,0.0,2467.0,10169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.51,0.0,501.0,0.0,4078.0,0.0,0.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.52,0.0,4465.0,8437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.53,354.0,0.0,0.0,1926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.54,0.0,3286.0,11331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.55,0.0,2970.0,6005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.56,346.0,171.0,0.0,949.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.57,0.0,574.0,0.0,2090.0,0.0,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.58,0.0,0.0,9362.0,0.0,0.0,0.0,5851.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.59,0.0,0.0,0.0,0.0,0.0,0.0,3030.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.60,0.0,0.0,0.0,0.0,0.0,0.0,14656.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.61,0.0,0.0,0.0,0.0,0.0,0.0,2256.0,0.0,4237.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.62,178.0,0.0,0.0,941.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.63,0.0,0.0,0.0,9611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.64,0.0,1646.0,0.0,3519.0,0.0,0.0,2645.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.65,0.0,0.0,0.0,0.0,0.0,0.0,4359.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.66,0.0,1567.0,0.0,0.0,0.0,0.0,1567.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.67,0.0,0.0,8368.0,0.0,0.0,0.0,3394.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.68,0.0,913.0,0.0,3739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.69,0.0,0.0,0.0,0.0,0.0,0.0,5478.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.70,673.0,0.0,0.0,1813.0,0.0,0.0,0.0,0.0,0.0,853.0,0.0,0.0,0.0
Breast-AdenoCA::S.71,0.0,913.0,0.0,3803.0,0.0,0.0,1538.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.72,680.0,0.0,0.0,1709.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.73,521.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.74,0.0,3842.0,0.0,0.0,0.0,0.0,9143.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.75,0.0,0.0,0.0,4147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.76,0.0,0.0,7751.0,0.0,0.0,0.0,5614.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.77,0.0,0.0,0.0,4601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.78,0.0,975.0,0.0,0.0,0.0,0.0,4217.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.79,0.0,3119.0,0.0,0.0,0.0,0.0,3258.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.80,0.0,3111.0,0.0,4764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.81,0.0,0.0,0.0,3618.0,0.0,0.0,2334.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.82,0.0,0.0,0.0,0.0,0.0,0.0,9011.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.83,0.0,1391.0,7603.0,0.0,0.0,0.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.84,333.0,0.0,0.0,2536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.85,688.0,461.0,0.0,3616.0,2226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.86,0.0,5643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.87,0.0,0.0,12441.0,0.0,0.0,0.0,2863.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.88,0.0,5736.0,0.0,0.0,0.0,0.0,5295.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.89,453.0,273.0,0.0,1678.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0
Breast-AdenoCA::S.90,0.0,0.0,0.0,0.0,0.0,3476.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.91,0.0,3719.0,8980.0,0.0,0.0,0.0,2202.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.92,0.0,458.0,6499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.93,0.0,1412.0,0.0,7304.0,0.0,0.0,1359.0,1280.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.94,0.0,0.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,0.0,0.0,0.0
Breast-AdenoCA::S.96,0.0,0.0,0.0,0.0,0.0,0.0,4191.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.97,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.98,0.0,1548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.99,0.0,2604.0,0.0,0.0,0.0,0.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast-AdenoCA::S.100,0.0,1087.0,0.0,2564.0,0.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0
