Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID11
Kidney-RCC::S.86	0	0	0	0	479	0	161	456	0
Kidney-RCC::S.87	0	0	0	0	534	0	241	157	0
Kidney-RCC::S.88	0	0	0	0	488	0	313	0	0
Kidney-RCC::S.89	0	42	214	0	406	0	0	0	0
Kidney-RCC::S.90	53	0	0	0	0	0	80	323	78
Kidney-RCC::S.91	182	0	0	0	598	0	137	0	0
Kidney-RCC::S.92	132	0	0	0	516	0	0	0	0
Kidney-RCC::S.93	107	0	0	0	339	0	204	0	0
Kidney-RCC::S.94	0	87	98	0	199	0	198	0	0
Kidney-RCC::S.95	0	0	156	0	300	0	126	0	0
Kidney-RCC::S.96	0	0	0	0	388	0	131	0	118
Kidney-RCC::S.97	58	0	0	0	509	0	263	0	0
Kidney-RCC::S.98	0	37	136	0	355	0	85	0	0
Kidney-RCC::S.99	0	0	0	0	424	0	223	126	0
