Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Stomach-AdenoCA::S.68	19025	0.98	4483.527	23.567%	712.919	20.251%	0.06267	0.972
Stomach-AdenoCA::S.69	17450	0.99	3070.168	17.594%	436.279	14.343%	0.03114	0.984
Stomach-AdenoCA::S.70	20409	0.957	4697.916	23.019%	1354.549	29.455%	0.04144	0.945
Stomach-AdenoCA::S.71	8577	0.958	2263.713	26.393%	436.61	28.801%	0.05605	0.937
Stomach-AdenoCA::S.72	12082	0.935	3589.578	29.71%	566.822	35.583%	0.07476	0.83
Stomach-AdenoCA::S.73	36322	0.983	6495.171	17.882%	1001.59	18.171%	0.02952	0.97
Stomach-AdenoCA::S.74	36054	0.984	6974.671	19.345%	1100.925	18.363%	0.03219	0.976
Stomach-AdenoCA::S.75	23159	0.99	4685.488	20.232%	880.855	14.776%	0.03225	0.988
Stomach-AdenoCA::S.76	24633	0.97	4971.76	20.183%	822.361	24.301%	0.03433	0.933
Stomach-AdenoCA::S.77	8440	0.979	1648.084	19.527%	237.916	20.231%	0.03299	0.955
Stomach-AdenoCA::S.78	2152	0.949	735.521	34.178%	256.012	31.715%	0.10992	0.944
Stomach-AdenoCA::S.79	37732	0.986	6314.641	16.736%	917.018	16.716%	0.02465	0.972
Stomach-AdenoCA::S.80	3732	0.976	762.406	20.429%	143.661	21.85%	0.04123	0.963
Stomach-AdenoCA::S.81	13489	0.973	3459.344	25.646%	626.098	23.287%	0.05965	0.963
Stomach-AdenoCA::S.82	9985	0.976	2177.016	21.803%	333.414	21.735%	0.04081	0.958
Stomach-AdenoCA::S.83	12346	0.946	3378.938	27.369%	552.147	32.488%	0.07665	0.878
Stomach-AdenoCA::S.84	4376	0.978	1001.723	22.891%	161.484	21.393%	0.03873	0.966
Stomach-AdenoCA::S.85	37226	0.989	6625.012	17.797%	1088.0	14.832%	0.02554	0.985
Stomach-AdenoCA::S.86	3507	0.977	801.474	22.854%	172.524	21.849%	0.04361	0.971
Stomach-AdenoCA::S.87	12193	0.964	3024.745	24.807%	734.573	26.733%	0.04458	0.955
Stomach-AdenoCA::S.88	27915	0.983	6311.515	22.61%	1501.515	19.247%	0.03806	0.981
Stomach-AdenoCA::S.89	17401	0.992	6853.079	39.383%	1921.824	22.833%	0.43839	0.992
Stomach-AdenoCA::S.90	3548	0.985	796.725	22.456%	244.933	17.082%	0.06483	0.984
Stomach-AdenoCA::S.91	14584	0.986	3250.295	22.287%	489.712	16.902%	0.04627	0.981
