,DBS2,DBS4,DBS6,DBS9,DBS11
Breast-AdenoCA::S.41,11.0,0.0,0.0,29.0,11.0
Breast-AdenoCA::S.42,12.0,53.0,122.0,34.0,0.0
Breast-AdenoCA::S.43,33.0,11.0,6.0,29.0,4.0
Breast-AdenoCA::S.44,0.0,11.0,17.0,16.0,38.0
Breast-AdenoCA::S.45,23.0,40.0,32.0,0.0,84.0
Breast-AdenoCA::S.46,4.0,11.0,44.0,32.0,12.0
Breast-AdenoCA::S.47,13.0,38.0,7.0,16.0,0.0
Breast-AdenoCA::S.48,4.0,59.0,20.0,0.0,33.0
Breast-AdenoCA::S.49,51.0,55.0,0.0,42.0,17.0
Breast-AdenoCA::S.50,11.0,27.0,9.0,63.0,0.0
Breast-AdenoCA::S.51,5.0,10.0,84.0,0.0,15.0
Breast-AdenoCA::S.52,31.0,41.0,11.0,37.0,0.0
Breast-AdenoCA::S.53,22.0,22.0,9.0,63.0,10.0
Breast-AdenoCA::S.54,0.0,22.0,16.0,29.0,219.0
Breast-AdenoCA::S.55,45.0,20.0,8.0,24.0,0.0
Breast-AdenoCA::S.56,16.0,7.0,41.0,83.0,0.0
Breast-AdenoCA::S.57,0.0,8.0,48.0,29.0,0.0
Breast-AdenoCA::S.58,0.0,5.0,8.0,21.0,17.0
Breast-AdenoCA::S.59,35.0,17.0,44.0,32.0,0.0
Breast-AdenoCA::S.60,8.0,74.0,21.0,54.0,0.0
Breast-AdenoCA::S.61,36.0,49.0,5.0,66.0,0.0
Breast-AdenoCA::S.62,2.0,0.0,52.0,49.0,0.0
Breast-AdenoCA::S.63,62.0,38.0,0.0,20.0,0.0
Breast-AdenoCA::S.64,24.0,0.0,82.0,56.0,8.0
Breast-AdenoCA::S.65,10.0,0.0,21.0,12.0,26.0
Breast-AdenoCA::S.66,14.0,35.0,9.0,39.0,39.0
Breast-AdenoCA::S.67,21.0,0.0,19.0,9.0,0.0
Breast-AdenoCA::S.68,3.0,6.0,15.0,23.0,23.0
Breast-AdenoCA::S.69,23.0,98.0,38.0,18.0,20.0
Breast-AdenoCA::S.70,5.0,25.0,23.0,39.0,3.0
Breast-AdenoCA::S.71,28.0,9.0,31.0,6.0,4.0
Breast-AdenoCA::S.72,34.0,41.0,10.0,34.0,0.0
Breast-AdenoCA::S.73,5.0,35.0,7.0,36.0,21.0
Breast-AdenoCA::S.74,30.0,19.0,13.0,24.0,6.0
Breast-AdenoCA::S.75,22.0,8.0,44.0,24.0,19.0
Breast-AdenoCA::S.76,0.0,19.0,50.0,42.0,38.0
Breast-AdenoCA::S.77,21.0,12.0,0.0,73.0,0.0
Breast-AdenoCA::S.78,3.0,59.0,51.0,0.0,5.0
Breast-AdenoCA::S.79,60.0,55.0,10.0,43.0,0.0
Breast-AdenoCA::S.80,47.0,16.0,0.0,59.0,5.0
Breast-AdenoCA::S.81,86.0,52.0,0.0,0.0,16.0
Breast-AdenoCA::S.82,8.0,95.0,19.0,24.0,0.0
Breast-AdenoCA::S.83,25.0,40.0,15.0,47.0,0.0
Breast-AdenoCA::S.84,56.0,98.0,40.0,24.0,0.0
Breast-AdenoCA::S.85,52.0,0.0,16.0,9.0,0.0
Breast-AdenoCA::S.86,1.0,16.0,9.0,0.0,86.0
Breast-AdenoCA::S.87,29.0,27.0,42.0,25.0,4.0
Breast-AdenoCA::S.88,13.0,35.0,17.0,29.0,3.0
Breast-AdenoCA::S.89,35.0,16.0,24.0,24.0,0.0
Breast-AdenoCA::S.90,55.0,0.0,72.0,63.0,0.0
Breast-AdenoCA::S.91,29.0,21.0,21.0,65.0,25.0
Breast-AdenoCA::S.92,4.0,13.0,20.0,39.0,33.0
Breast-AdenoCA::S.93,19.0,14.0,16.0,56.0,26.0
Breast-AdenoCA::S.94,10.0,31.0,46.0,24.0,27.0
Breast-AdenoCA::S.95,34.0,13.0,62.0,24.0,0.0
Breast-AdenoCA::S.96,2.0,17.0,17.0,76.0,16.0
Breast-AdenoCA::S.97,0.0,49.0,43.0,0.0,38.0
Breast-AdenoCA::S.98,9.0,36.0,55.0,0.0,3.0
Breast-AdenoCA::S.99,0.0,27.0,32.0,23.0,23.0
Breast-AdenoCA::S.100,0.0,11.0,47.0,49.0,0.0
